School,FG,FGA,3P,FT,FTA,ORB,TOV,DRB,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TOV,opp_DRB
Arkansas 2015,978,2196,238,593,819,470,430,820,869,2031,223,564,789,433,567,848
Baylor 2015,813,1874,236,487,723,497,434,836,738,1836,196,376,583,376,410,676
Belmont 2015,858,1803,329,405,585,307,451,786,854,1889,238,384,539,330,418,750
Boise State 2015,831,1823,297,431,591,298,348,821,730,1754,195,390,558,279,430,751
Brigham Young 2015,976,2090,300,679,886,421,417,928,894,2052,218,555,793,370,456,815
Buffalo 2015,837,1922,199,589,819,420,378,840,795,1881,235,428,645,367,448,796
Butler 2015,814,1882,192,526,767,408,376,831,740,1785,187,406,595,281,431,768
UC-Irvine 2015,854,1851,217,370,541,329,396,869,739,1878,184,451,650,382,384,762
Cincinnati 2015,761,1705,167,424,633,383,432,795,700,1804,192,306,470,380,409,645
Coastal Carolina 2015,836,1899,228,538,780,447,399,891,724,1831,242,431,616,317,403,746
Davidson 2015,898,1924,343,390,553,335,303,809,814,1838,181,412,646,351,370,781
Dayton 2015,810,1755,239,580,846,255,415,866,795,1901,206,394,582,344,489,840
Duke 2015,1099,2191,283,610,873,445,421,991,962,2281,199,379,548,428,481,799
Eastern Washington 2015,977,2045,344,522,719,351,376,832,901,2001,279,507,708,363,431,822
Georgetown 2015,799,1753,201,541,769,367,415,785,698,1716,220,537,756,352,438,704
Georgia State 2015,902,1878,174,521,719,322,366,794,709,1826,251,515,721,416,535,750
Georgia 2015,747,1730,184,572,826,360,420,900,733,1882,207,451,645,358,365,759
Gonzaga 2015,1084,2083,264,557,806,391,397,1050,841,2154,217,444,667,403,429,754
Hampton 2015,796,1959,194,560,859,416,494,876,795,1924,197,600,876,392,491,893
Harvard 2015,671,1548,146,438,609,316,349,709,614,1519,164,335,497,280,386,649
Indiana 2015,923,1989,319,468,651,407,392,817,900,1986,196,442,651,374,364,748
Iowa State 2015,940,1973,263,502,721,323,375,898,866,2081,248,366,499,377,440,819
Iowa 2015,821,1905,192,538,723,422,377,852,754,1903,227,384,553,371,417,765
Kansas 2015,869,1976,213,610,842,426,463,938,825,2084,210,473,704,434,421,793
Kentucky 2015,1006,2150,203,685,943,491,408,991,750,2116,175,443,672,463,533,752
Lafayette 2015,872,1799,261,421,549,282,366,735,886,1921,274,363,521,378,362,712
Louisiana State 2015,892,1962,189,450,658,401,476,893,824,2052,185,400,604,438,450,781
Louisville 2015,878,2048,198,529,792,454,408,897,767,1958,189,431,652,400,506,856
Manhattan 2015,756,1748,215,573,829,345,481,720,736,1683,148,614,880,357,545,771
Maryland 2015,781,1777,258,597,790,314,431,909,800,2026,242,376,570,399,391,771
Michigan State 2015,1014,2181,294,451,714,436,441,1022,833,2104,224,592,820,378,416,869
Mississippi 2015,848,2003,220,559,723,430,378,854,762,1885,270,532,777,391,430,806
New Mexico State 2015,808,1748,165,535,771,428,470,771,754,1774,129,396,572,339,448,644
North Carolina State 2015,895,2054,236,499,727,435,375,934,827,2052,212,501,712,402,349,845
North Carolina 2015,1099,2309,184,571,814,526,481,1015,889,2232,247,591,843,460,468,790
North Dakota State 2015,743,1713,230,425,614,274,325,824,727,1726,213,388,525,248,347,795
North Florida 2015,897,1910,317,540,747,339,436,880,879,2033,176,451,666,400,425,787
Northeastern 2015,838,1725,203,518,713,297,483,863,875,1952,193,336,488,291,349,689
Northern Iowa 2015,776,1618,257,472,644,255,363,816,684,1732,211,333,468,301,391,690
Notre Dame 2015,1050,2061,302,561,756,313,357,918,946,2214,227,380,533,435,425,808
Ohio State 2015,964,1995,236,471,693,387,396,854,790,1959,238,384,545,401,503,767
Oklahoma State 2015,733,1667,226,468,645,287,392,752,675,1673,183,478,697,352,438,747
Oklahoma 2015,885,2035,236,495,668,389,419,943,794,2057,225,383,585,432,468,845
Oregon 2015,992,2143,263,466,613,372,421,926,902,2136,232,514,739,418,413,834
Providence 2015,828,1889,171,543,768,411,407,817,760,1804,218,489,709,334,442,759
Purdue 2015,827,1840,195,524,767,409,444,840,749,1868,200,497,717,376,394,711
Robert Morris 2015,854,1926,221,485,684,367,467,795,837,1941,241,482,730,446,512,816
San Diego State 2015,800,1916,189,437,694,439,410,831,716,1864,181,326,469,351,470,801
Southern Methodist 2015,832,1750,145,541,770,388,426,856,691,1815,268,382,562,357,441,659
St. John's (NY) 2015,835,1890,198,475,687,336,352,828,793,1948,230,424,649,444,436,849
Stephen F. Austin 2015,911,1870,262,588,799,413,476,763,730,1665,155,571,821,316,587,678
Texas Southern 2015,818,1840,185,569,861,394,454,799,882,1983,193,429,656,422,431,772
Texas 2015,796,1837,212,486,671,422,435,929,702,1910,204,441,665,372,303,691
UCLA 2015,930,2099,223,507,750,440,430,927,855,2054,281,462,664,371,438,862
Utah 2015,849,1760,264,534,760,322,407,882,704,1832,169,422,617,342,408,698
Valparaiso 2015,837,1836,236,456,676,397,422,879,689,1802,228,415,589,323,415,717
Villanova 2015,916,1951,326,596,815,371,382,864,797,1964,193,406,597,392,508,771
Virginia Commonwealth 2015,896,2139,293,524,797,444,383,833,822,1892,229,495,716,367,577,952
Virginia 2015,804,1758,170,446,614,358,316,874,622,1697,191,314,486,280,359,689
West Virginia 2015,872,2138,227,571,863,575,453,697,762,1626,191,623,903,312,678,857
Wichita State 2015,860,1933,239,501,715,415,327,830,691,1721,187,439,634,304,464,773
Wisconsin 2015,1014,2115,288,584,765,383,296,955,896,2092,202,333,469,297,378,809
Wofford 2015,818,1802,222,473,688,324,379,815,737,1763,173,442,629,300,445,789
Wyoming 2015,747,1619,209,448,638,216,392,831,715,1775,219,325,462,298,377,754
Xavier 2015,956,2011,234,566,775,364,447,918,886,2035,261,459,678,345,464,800
Akron 2011,892,2073,283,457,649,363,432,875,832,2004,194,507,768,425,514,920
Alabama-Birmingham 2011,756,1725,239,368,513,352,387,757,699,1692,156,386,549,333,385,702
Alabama State 2011,728,1841,165,525,870,460,551,811,715,1773,180,624,913,406,545,829
Arizona 2011,969,2064,296,671,899,408,484,911,940,2115,175,525,774,375,475,792
Little Rock 2011,825,1938,242,565,819,377,428,827,811,1867,222,582,819,376,497,884
Belmont 2011,944,2045,327,575,781,451,480,807,721,1764,183,553,815,382,665,755
Boston University 2011,749,1865,265,507,695,414,418,835,783,1964,239,417,592,435,397,802
Brigham Young 2011,1019,2267,312,662,865,420,404,1005,902,2174,218,490,711,395,533,925
Bucknell 2011,827,1855,234,499,633,270,380,879,747,1888,219,461,661,359,400,803
Butler 2011,919,2122,289,580,799,431,416,906,845,1994,229,518,771,351,472,869
UC-Santa Barbara 2011,742,1636,227,459,610,277,456,761,696,1712,227,486,693,356,429,700
Cincinnati 2011,848,1939,220,496,742,454,401,783,735,1790,171,445,633,351,492,737
Clemson 2011,810,1827,217,493,703,384,449,793,724,1801,193,445,627,382,516,740
Connecticut 2011,1053,2429,234,627,822,570,466,1056,973,2478,261,452,665,546,472,901
Duke 2011,1040,2206,291,622,826,446,447,953,896,2212,176,426,655,473,545,826
Florida State 2011,827,1903,212,482,725,422,541,910,696,1918,233,484,696,403,516,764
Florida 2011,968,2083,233,498,744,467,452,917,872,2075,214,387,576,393,461,788
George Mason 2011,876,1861,227,495,718,364,376,824,761,1847,201,401,591,376,454,741
Georgetown 2011,809,1703,223,417,568,324,433,757,737,1763,176,473,669,361,363,638
Georgia 2011,823,1822,156,465,667,407,444,836,741,1866,190,453,648,388,396,698
Gonzaga 2011,932,1947,203,617,810,398,474,916,786,1947,253,482,685,359,503,727
Hampton 2011,746,1843,213,492,759,367,412,803,719,1874,180,452,671,449,516,868
Illinois 2011,894,1910,232,393,539,342,434,836,780,1931,205,457,632,384,413,738
Indiana State 2011,769,1793,235,480,676,352,477,820,713,1755,194,572,796,348,445,786
Kansas State 2011,849,1939,237,542,828,490,498,790,751,1782,178,569,803,350,524,708
Kansas 2011,1114,2193,271,585,862,449,507,1026,862,2188,225,509,697,397,535,775
Kentucky 2011,1002,2183,281,560,789,445,406,975,863,2188,210,476,658,431,457,854
Long Island University 2011,928,2009,229,645,999,479,505,899,942,2165,208,374,567,428,497,802
Louisville 2011,949,2097,309,416,627,434,459,838,762,1935,199,536,770,455,564,813
Marquette 2011,973,2094,191,645,927,457,455,872,939,2142,260,408,618,433,515,808
Memphis 2011,891,1975,210,532,782,421,535,825,828,1987,205,531,778,445,519,772
Michigan State 2011,817,1894,220,484,691,407,454,849,787,1861,215,474,716,347,411,772
Michigan 2011,847,1889,283,351,502,289,351,826,795,1854,222,375,553,335,409,843
Missouri 2011,983,2145,245,537,727,425,431,772,851,1943,197,536,775,439,614,827
Morehead State 2011,851,1874,204,506,751,484,525,827,735,1756,245,447,645,313,523,679
Nevada-Las Vegas 2011,842,1836,184,495,718,368,414,783,704,1737,189,480,689,363,534,743
North Carolina-Asheville 2011,881,1950,168,576,810,400,506,813,803,1925,218,509,747,440,592,806
North Carolina 2011,1044,2317,190,590,878,525,493,1053,948,2339,267,382,580,454,526,889
Northern Colorado 2011,731,1708,254,571,742,376,454,774,682,1660,238,503,711,305,443,690
Notre Dame 2011,843,1832,273,599,827,371,364,890,815,1996,234,363,511,372,351,739
Oakland 2011,1052,2137,287,601,834,451,473,915,984,2217,233,489,678,430,423,762
Ohio State 2011,1017,2059,285,535,763,419,375,858,838,1976,232,300,407,341,552,755
Old Dominion 2011,803,1828,166,459,687,524,424,831,717,1774,245,305,488,326,392,631
Penn State 2011,767,1748,216,394,544,337,358,731,768,1747,235,355,509,316,365,709
Pittsburgh 2011,886,1866,202,540,805,484,397,875,735,1850,199,404,598,350,378,643
Princeton 2011,788,1696,193,446,609,315,389,790,721,1701,148,427,597,289,385,686
Purdue 2011,875,1957,235,481,673,380,354,827,770,1858,169,394,565,349,478,794
Richmond 2011,922,2007,287,446,649,344,383,878,832,2053,188,413,601,441,454,859
Saint Peter's 2011,713,1782,197,446,693,384,511,825,683,1818,175,501,765,431,484,812
San Diego State 2011,991,2141,223,455,653,472,402,924,802,2027,194,394,547,381,460,765
Southern California 2011,813,1832,204,422,648,340,390,813,741,1810,191,458,653,324,404,798
St. John's (NY) 2011,807,1773,143,556,783,354,408,714,739,1703,253,480,684,354,530,735
Syracuse 2011,936,1983,222,474,713,429,433,879,788,2000,244,396,594,442,490,740
Temple 2011,868,1943,206,458,656,374,368,844,790,1908,187,357,504,340,447,792
Tennessee 2011,837,1941,175,527,770,464,454,815,785,1878,230,496,704,388,476,765
Texas A&M 2011,758,1719,181,557,799,412,426,781,702,1703,179,426,619,321,441,667
Texas-San Antonio 2011,802,1871,234,546,774,362,461,824,813,1941,254,483,695,413,480,827
Texas 2011,954,2099,201,592,905,494,425,958,816,2108,162,444,648,423,461,800
UCLA 2011,830,1824,173,549,808,405,502,860,821,1964,176,436,648,396,410,720
Utah State 2011,840,1788,206,563,764,363,402,903,696,1815,186,417,616,319,412,688
Vanderbilt 2011,848,1853,263,622,837,370,441,885,848,2063,203,402,577,419,406,753
Villanova 2011,796,1819,210,582,769,402,392,821,739,1823,210,471,665,356,395,720
Virginia Commonwealth 2011,968,2228,339,589,824,428,452,864,971,2200,222,509,751,496,584,959
Washington 2011,1061,2260,305,480,712,488,426,879,844,2017,183,603,887,412,515,807
West Virginia 2011,783,1826,206,531,747,469,397,758,752,1827,172,458,658,417,393,699
Wisconsin 2011,798,1808,278,436,533,355,258,733,705,1647,179,403,542,273,329,735
Wofford 2011,883,1853,197,539,778,372,404,736,796,1787,188,533,742,353,452,720
Xavier 2011,784,1700,173,565,756,328,386,802,707,1743,208,445,610,308,401,683
Arizona 2016,946,1970,221,622,863,394,442,974,853,2067,204,432,606,320,388,735
Little Rock 2016,886,1958,266,449,616,315,355,880,720,1825,226,463,677,353,486,837
Austin Peay 2016,945,2049,223,627,936,422,502,904,995,2159,302,471,667,378,478,858
