School,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TRB,opp_TOV
Abilene Christian,748,1558,183,507,737,313,1113,452
Air Force,694,1571,252,377,548,308,954,383
Akron,750,1853,188,515,759,387,1223,443
Alabama A&M,714,1581,151,409,652,360,1018,344
Alabama-Birmingham NCAA,883,2083,217,469,685,435,1269,476
Alabama State,691,1658,173,382,590,304,999,394
Alabama,735,1790,215,495,701,377,1137,416
Albany (NY) NCAA,697,1657,250,352,502,274,964,408
Alcorn State,848,1809,195,486,716,369,1200,396
American,706,1552,173,348,513,294,983,416
Appalachian State,735,1604,152,411,602,290,1014,332
Arizona State,821,1821,188,433,621,274,1055,437
Arizona NCAA,777,1951,206,508,728,285,1065,523
Little Rock,749,1688,223,459,678,331,1143,419
Arkansas-Pine Bluff,705,1583,210,520,773,392,1135,518
Arkansas State,716,1681,195,391,583,342,1074,343
Arkansas NCAA,869,2031,223,564,789,433,1281,567
Army,772,1684,171,448,673,320,1064,404
Auburn,887,1892,205,544,779,382,1297,513
Austin Peay,758,1609,227,435,599,271,1029,424
Ball State,720,1564,183,445,642,272,972,360
Baylor NCAA,738,1836,196,376,583,376,1052,410
Belmont NCAA,854,1889,238,384,539,330,1080,418
Bethune-Cookman,663,1560,178,499,710,336,1009,401
Binghamton,745,1666,238,396,579,326,1124,419
Boise State NCAA,730,1754,195,390,558,279,1030,430
Boston College,742,1682,177,496,689,321,1067,391
Boston University,731,1620,242,381,535,267,928,322
Bowling Green State,728,1764,219,401,573,336,1110,411
Bradley,667,1559,211,481,701,295,1077,454
Brigham Young NCAA,894,2052,218,555,793,370,1185,456
Brown,758,1795,186,442,646,345,1079,348
Bryant,731,1711,192,446,615,341,1072,333
Bucknell,814,1841,203,515,696,279,1075,320
Buffalo NCAA,795,1881,235,428,645,367,1163,448
Butler NCAA,740,1785,187,406,595,281,1049,431
Cal Poly,622,1459,167,310,449,253,961,306
Cal State Bakersfield,647,1572,220,514,737,274,983,403
Cal State Fullerton,742,1676,210,461,656,274,1059,345
Cal State Northridge,802,1853,259,462,658,344,1113,364
UC-Davis,730,1760,209,399,573,377,1018,380
UC-Irvine NCAA,739,1878,184,451,650,382,1144,384
UC-Riverside,691,1628,186,482,676,291,1030,386
UC-Santa Barbara,713,1729,201,485,664,332,1093,390
University of California,783,1839,156,499,715,292,1141,317
Campbell,738,1616,177,471,651,288,1054,393
Canisius,698,1704,203,478,693,360,1138,460
Central Arkansas,848,1711,185,503,728,366,1067,379
Central Connecticut State,822,1814,221,308,434,349,1093,315
Central Florida,825,1809,195,306,494,394,1102,312
Central Michigan,780,1752,221,406,608,325,1078,431
Charleston Southern,740,1696,247,403,570,288,1067,410
Charlotte,818,1861,249,432,616,356,1104,408
Chattanooga,740,1731,164,497,725,351,1076,431
Chicago State,687,1542,224,517,766,323,1103,492
Cincinnati NCAA,700,1804,192,306,470,380,1025,409
Citadel,764,1611,200,330,460,304,881,305
Clemson,687,1710,186,367,533,345,1057,348
Cleveland State,685,1622,210,478,707,326,1036,447
Coastal Carolina NCAA,724,1831,242,431,616,317,1063,403
