,School,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TOV,opp_DRB
7,Albany (NY) 2014,775,1848,236,388,537,329,397,733
9,American 2014,671,1621,161,448,660,319,396,643
11,Arizona State 2014,821,1961,175,474,732,385,394,866
12,Arizona 2014,776,2041,173,500,698,369,471,812
21,Baylor 2014,927,2179,258,465,688,432,394,768
30,Brigham Young 2014,935,2175,259,577,810,382,441,871
36,Cal Poly 2014,739,1703,183,502,694,341,383,809
55,Cincinnati 2014,690,1745,182,424,628,366,485,712
59,Coastal Carolina 2014,778,1934,264,506,730,372,440,803
63,Colorado 2014,856,1986,251,424,603,319,422,779
65,Connecticut 2014,878,2241,241,532,801,492,518,886
68,Creighton 2014,844,1983,234,454,654,347,338,765
71,Dayton 2014,843,1936,203,589,832,353,459,805
73,Delaware 2014,936,2115,219,557,803,429,418,936
79,Duke 2014,848,1860,138,525,758,357,425,780
84,Eastern Kentucky 2014,793,1631,204,621,880,325,574,785
96,Florida 2014,806,2004,207,434,626,370,526,821
102,George Washington 2014,788,1895,214,421,632,383,442,730
108,Gonzaga 2014,806,2027,203,557,784,399,422,779
114,Harvard 2014,680,1664,164,428,603,318,459,686
131,Iowa State 2014,954,2272,259,511,698,403,418,926
132,Iowa 2014,804,1938,229,484,686,361,439,740
139,Kansas State 2014,723,1774,162,551,805,385,416,764
140,Kansas 2014,815,1961,219,605,892,373,396,700
143,Kentucky 2014,933,2271,222,577,836,437,428,794
153,Louisiana 2014,907,2032,205,614,885,400,483,814
157,Louisville 2014,786,1983,170,518,761,434,638,851
162,Manhattan 2014,739,1809,164,669,956,409,515,790
170,Massachusetts 2014,843,1986,165,499,739,400,445,772
172,Memphis 2014,888,2029,180,441,681,421,490,771
173,Mercer 2014,812,2024,236,550,787,399,452,791
176,Michigan State 2014,817,2058,252,605,829,375,449,833
177,Michigan 2014,905,2035,201,397,543,364,398,790
179,Milwaukee 2014,869,1991,204,527,707,373,445,868
192,Mount St. Mary's 2014,960,1939,155,491,669,357,439,850
196,Nebraska 2014,696,1659,186,507,744,319,397,802
200,New Mexico State 2014,863,2153,162,527,720,457,397,713
201,New Mexico 2014,776,1995,243,453,625,368,338,747
209,North Carolina Central 2014,658,1726,186,521,753,382,534,698
211,North Carolina State 2014,851,1997,196,606,851,453,414,813
213,North Carolina 2014,810,1949,211,541,807,395,462,784
214,North Dakota State 2014,722,1709,222,498,664,290,381,660
228,Ohio State 2014,761,1873,173,397,558,354,502,823
230,Oklahoma State 2014,801,1957,211,552,803,409,484,853
231,Oklahoma 2014,864,1976,236,544,761,369,426,829
235,Oregon 2014,838,1907,198,647,912,377,458,748
240,Pittsburgh 2014,771,1872,205,482,682,352,440,727
246,Providence 2014,893,2017,188,469,681,374,383,789
259,Saint Joseph's 2014,825,1966,231,417,602,343,344,780
260,Saint Louis 2014,755,1875,139,456,665,354,485,828
265,San Diego State 2014,734,1904,174,410,607,370,490,810
293,Stanford 2014,844,2006,237,532,743,355,413,838
294,Stephen F. Austin 2014,746,1643,148,579,840,293,555,725
297,Syracuse 2014,685,1669,233,409,612,346,455,726
302,Tennessee 2014,823,1991,192,445,631,351,399,757
310,Texas Southern 2014,936,2075,222,418,607,386,374,755
313,Texas 2014,819,2039,259,578,835,399,395,804
318,Tulsa 2014,741,1830,218,599,869,363,477,851
319,UCLA 2014,898,2103,301,507,750,377,529,868
326,Villanova 2014,763,1886,220,515,728,355,468,782
327,Virginia Commonwealth 2014,808,1869,170,496,742,369,638,916
330,Virginia 2014,727,1875,203,403,609,321,413,764
335,Weber State 2014,753,1763,134,421,599,311,291,652
340,Western Michigan 2014,773,1883,225,464,651,385,417,698
341,Wichita State 2014,746,1911,211,438,674,339,435,776
344,Wisconsin 2014,915,2135,184,418,579,350,370,862
345,Wofford 2014,727,1642,153,447,659,286,424,760
348,Xavier 2014,797,1851,233,489,732,335,381,734
