School,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TRB,opp_TOV
Abilene Christian,792,1662,168,520,735,266,1031,448
Air Force,784,1823,290,472,667,326,1187,436
Akron,862,2103,205,452,667,401,1315,408
Alabama A&M,726,1599,168,422,637,307,1025,316
Alabama-Birmingham,841,2017,233,408,589,390,1144,417
Alabama State,808,1744,193,499,768,324,1170,400
Alabama,769,1878,211,493,735,431,1259,402
Albany (NY),801,1899,229,349,516,310,1027,428
Alcorn State,748,1673,215,453,646,324,1038,357
American,735,1568,147,419,628,284,992,370
Appalachian State,856,1852,183,503,738,357,1157,349
Arizona State,830,1812,224,483,690,302,1159,411
Arizona NCAA,853,2067,204,432,606,320,1055,388
Little Rock NCAA,720,1825,226,463,677,353,1190,486
Arkansas-Pine Bluff,747,1701,180,648,913,408,1248,438
Arkansas State,791,1983,259,512,757,401,1257,355
Arkansas,803,1844,231,553,790,349,1187,454
Army,918,2064,199,439,656,342,1230,402
Auburn,832,1877,232,525,752,376,1270,400
Austin Peay NCAA,995,2159,302,471,667,378,1236,478
Ball State,790,1951,242,516,732,335,1189,397
Baylor NCAA,823,1843,233,485,693,314,1011,463
Belmont,873,1977,242,522,725,370,1137,390
Bethune-Cookman,830,1923,228,442,647,428,1258,389
Binghamton,728,1675,204,399,576,298,1108,372
Boise State,785,1765,234,442,631,264,1054,472
Boston College,796,1732,224,440,641,302,1175,415
Boston University,875,2009,247,467,681,346,1184,406
Bowling Green State,853,1978,278,473,685,350,1208,403
Bradley,737,1675,188,576,866,288,1121,374
Brigham Young,943,2269,287,519,725,359,1340,487
Brown,757,1726,218,423,617,338,1092,324
Bryant,841,1880,251,428,589,378,1217,346
Bucknell,779,1824,229,501,747,321,1067,404
Buffalo NCAA,906,2098,256,566,790,378,1273,464
Butler NCAA,818,1879,231,477,672,309,1082,432
Cal Poly,792,1720,213,458,658,287,1102,326
Cal State Bakersfield NCAA,696,1764,198,514,747,347,1128,499
Cal State Fullerton,752,1753,238,485,664,307,1096,341
Cal State Northridge,799,1815,232,431,630,348,1150,415
UC-Davis,707,1710,196,370,517,296,1057,408
UC-Irvine,847,2210,272,546,745,403,1325,441
UC-Riverside,796,1861,198,510,713,321,1136,392
UC-Santa Barbara,736,1842,229,518,750,340,1178,403
University of California NCAA,789,1989,183,528,745,327,1126,329
Campbell,783,1708,198,439,649,314,1109,404
Canisius,892,1872,273,530,730,353,1228,455
Central Arkansas,811,1729,239,483,669,303,1028,324
Central Connecticut State,843,1775,208,374,542,309,1096,299
Central Florida,799,1925,217,332,482,367,1089,277
Central Michigan,861,1938,231,448,646,367,1232,355
Charleston Southern,783,1708,242,445,624,267,1101,376
Charlotte,961,1994,264,445,617,314,1200,441
Chattanooga NCAA,866,1967,235,397,584,344,1133,494
Chicago State,826,1821,291,535,787,366,1287,469
Cincinnati NCAA,750,1907,240,350,515,373,1136,446
Citadel,1052,2050,226,632,900,413,1440,536
Clemson,723,1725,205,348,492,327,1060,357
Cleveland State,738,1662,200,493,751,336,1121,431
Coastal Carolina,780,1980,249,387,591,366,1181,362
Colgate,734,1599,222,455,664,301,1043,386
College of Charleston,657,1548,173,434,660,274,1056,441
Colorado State,918,2037,283,507,703,305,1176,357
Colorado NCAA,852,2038,212,491,716,322,1140,371
Columbia,842,1916,262,453,659,311,1155,449
Connecticut NCAA,785,2032,240,475,719,393,1242,431
Coppin State,881,1872,222,513,799,399,1283,429
Cornell,765,1723,220,443,602,370,1198,407
Creighton,901,2088,244,487,700,341,1230,441
Dartmouth,678,1505,212,421,635,271,934,409
Davidson,945,2059,252,434,617,373,1294,378
Dayton NCAA,761,1882,242,412,618,299,1113,412
Delaware State,791,1821,248,506,740,435,1311,425
Delaware,784,1800,296,406,574,311,1099,275
Denver,672,1480,193,487,642,276,945,440
DePaul,756,1711,246,567,766,317,1034,377
Detroit Mercy,862,1869,239,604,848,330,1107,414
Drake,816,1805,219,379,543,297,1031,302
Drexel,737,1600,189,520,759,285,1107,365
Duke NCAA,998,2244,226,387,568,456,1322,427
Duquesne,892,2141,329,564,803,387,1277,394
East Carolina,854,1911,249,344,511,370,1161,402
East Tennessee State,915,2107,262,595,827,393,1307,471
Eastern Illinois,766,1722,212,469,666,364,1161,410
Eastern Kentucky,837,1814,251,528,755,367,1101,467
Eastern Michigan,823,1956,276,538,778,441,1262,529
Eastern Washington,953,1966,197,514,743,322,1161,395
Elon,884,1980,219,426,638,356,1218,377
Evansville,794,1962,206,427,580,314,1101,436
Fairfield,902,2072,252,489,706,438,1342,459
Fairleigh Dickinson NCAA,868,1901,247,617,888,417,1285,510
Florida A&M,746,1691,194,442,644,324,1143,434
Florida Atlantic,882,1928,172,507,715,373,1280,378
Florida Gulf Coast NCAA,877,2128,232,487,713,385,1235,422
Florida International,775,1900,237,455,665,366,1111,320
Florida State,875,1981,265,501,728,342,1140,458
Florida,868,2109,233,510,752,405,1364,471
Fordham,728,1622,213,459,651,268,1008,485
Fresno State NCAA,812,1929,252,599,859,368,1275,529
Furman,815,1874,236,467,688,326,1099,449
Gardner-Webb,840,1887,240,531,741,341,1216,462
George Mason,827,1957,241,418,587,277,1107,221
George Washington,953,2228,262,434,601,378,1245,451
Georgetown,758,1839,199,655,907,343,1142,371
Georgia Southern,770,1763,235,532,769,374,1232,463
Georgia State,638,1559,205,469,646,307,1047,425
Georgia Tech,931,2107,206,477,667,346,1131,352
Georgia,770,1976,259,570,812,392,1217,365
Gonzaga NCAA,859,2167,214,428,610,359,1159,370
Grambling,727,1681,205,451,677,327,1116,425
Grand Canyon,822,1938,226,446,675,334,1169,458
Green Bay NCAA,1013,2255,278,576,807,432,1458,609
Hampton NCAA,826,1934,215,503,696,324,1169,393
Hartford,918,1948,231,521,794,415,1389,438
Harvard,699,1720,186,401,563,307,1026,346
Hawaii NCAA,764,1910,203,536,748,321,1124,498
High Point,811,1787,234,402,573,337,1060,467
Hofstra,952,2182,260,345,514,392,1253,401
Holy Cross NCAA,859,1873,273,454,626,323,1253,450
Houston Baptist,908,2090,245,521,723,392,1189,424
Houston,776,1845,195,469,665,395,1132,396
Howard,844,1983,242,503,739,438,1250,446
Idaho State,832,1859,247,446,648,334,1165,398
Idaho,747,1799,270,487,723,293,1012,438
Illinois-Chicago,803,1878,225,515,727,363,1209,351
Illinois State,734,1744,206,440,648,312,1128,436
Illinois,930,2013,298,384,534,320,1262,458
Incarnate Word,769,1680,208,394,603,290,1069,390
Indiana State,745,1792,192,540,779,296,1195,402
Indiana NCAA,905,2037,218,419,615,356,1060,458
Iona NCAA,844,1993,257,506,724,390,1234,460
Iowa State NCAA,986,2250,268,385,560,401,1261,425
Iowa NCAA,850,2021,242,345,505,390,1229,431
Fort Wayne,941,2046,280,423,616,312,1163,386
IUPUI,843,1836,186,490,697,309,1147,404
Jackson State,751,1918,209,641,909,358,1339,519
Jacksonville State,783,1685,179,489,706,337,1163,387
Jacksonville,862,1931,288,419,633,305,1200,413
James Madison,742,1874,231,482,684,332,1136,344
Kansas State,776,1789,201,498,723,344,1089,471
Kansas NCAA,873,2200,233,591,816,392,1234,490
Kennesaw State,857,1833,216,469,684,378,1169,398
Kent State,810,1826,230,467,631,308,1074,375
Kentucky NCAA,827,2082,201,596,848,433,1209,437
La Salle,802,1749,234,441,608,353,1173,403
Lafayette,853,1838,239,467,645,350,1192,358
Lamar,773,1736,204,560,799,345,1125,441
Lehigh,795,1825,254,366,513,321,1056,399
Liberty,747,1637,215,479,693,282,1042,388
Lipscomb,922,2057,305,540,735,374,1273,441
Long Beach State,890,2016,258,530,779,385,1338,497
Long Island University,837,1857,217,495,706,355,1167,451
Longwood,853,1913,306,491,674,322,1124,407
Louisiana,876,2016,219,505,722,323,1133,408
Louisiana-Monroe,827,2005,252,454,637,385,1178,403
Louisiana State,915,2021,262,451,675,367,1233,452
Louisiana Tech,863,2017,210,459,673,362,1249,476
Louisville,631,1616,183,450,654,317,981,442
Loyola (IL),726,1676,198,432,597,317,1126,473
Loyola Marymount,775,1686,250,519,717,324,1156,437
Loyola (MD),784,1707,208,484,698,318,1048,352
Maine,934,1880,219,519,714,342,1212,494
Manhattan,769,1643,176,554,769,324,1113,490
Marist,833,1776,238,456,650,336,1150,355
Marquette,886,2073,246,430,580,385,1181,460
Marshall,1009,2160,241,542,776,397,1339,437
Maryland-Baltimore County,904,1821,254,517,707,300,1141,441
Maryland-Eastern Shore,790,1713,233,586,837,306,1042,420
Maryland NCAA,874,2145,240,412,579,398,1193,407
Massachusetts-Lowell,850,1776,230,471,664,338,1084,417
Massachusetts,823,1928,215,566,776,365,1242,398
McNeese State,822,1785,206,451,662,357,1163,336
Memphis,825,2062,203,537,791,396,1304,477
Mercer,786,1954,307,460,640,336,1077,371
Miami (FL) NCAA,865,2008,210,419,584,357,1129,404
Miami (OH),748,1724,261,492,656,330,1159,457
Michigan State NCAA,774,2025,204,493,690,329,1055,333
Michigan NCAA,894,1995,251,387,534,308,1190,432
Middle Tennessee NCAA,824,1902,232,530,794,312,1213,469
Milwaukee,882,1966,239,388,558,292,1117,360
Minnesota,807,1789,235,445,611,312,1169,382
Mississippi State,791,1837,214,460,666,377,1145,401
Mississippi Valley State,973,2152,250,508,757,458,1480,490
Mississippi,779,1821,249,499,740,363,1164,453
Missouri-Kansas City,734,1703,223,549,747,332,1066,378
Missouri State,818,1841,240,445,637,311,1158,393
Missouri,759,1791,236,508,730,345,1152,349
Monmouth,871,2206,290,572,821,448,1415,539
Montana State,820,1732,231,540,791,289,1087,364
Montana,743,1732,204,535,748,266,1043,420
Morehead State,810,1851,234,699,969,333,1197,548
Morgan State,800,1756,177,446,658,363,1205,452
Mount St. Mary's,801,1766,172,508,713,358,1299,569
Murray State,719,1580,191,464,647,255,969,409
Navy,707,1713,252,469,666,302,1031,438
Omaha,909,1973,250,551,729,352,1178,486
Nebraska,799,1822,227,520,723,321,1130,446
Nevada-Las Vegas,831,2004,213,552,792,383,1282,500
Nevada,934,2335,264,606,905,450,1460,488
New Hampshire,811,1900,240,435,620,257,1121,344
New Mexico State,780,1989,214,371,553,326,1065,376
New Mexico,807,1919,247,487,711,345,1054,393
New Orleans,785,1725,227,528,736,346,1113,493
Niagara,788,1854,240,488,658,356,1144,369
Nicholls State,909,2031,222,558,796,421,1345,471
NJIT,902,2059,302,481,724,388,1276,477
Norfolk State,824,1948,271,575,797,411,1210,446
North Carolina-Asheville NCAA,835,1954,205,438,627,359,1204,528
North Carolina A&T,796,1791,254,587,867,356,1188,400
North Carolina Central,770,1787,226,469,673,356,1117,423
North Carolina-Greensboro,837,1909,281,539,720,314,1195,413
North Carolina State,883,2016,275,415,598,371,1173,338
North Carolina-Wilmington NCAA,758,1802,175,688,976,374,1210,493
North Carolina NCAA,993,2384,308,505,725,441,1282,510
North Dakota State,772,1830,185,400,568,295,1114,378
North Dakota,838,1913,252,438,702,311,1196,481
North Florida,1049,2261,205,401,598,443,1312,368
North Texas,864,1878,232,545,784,347,1179,400
Northeastern,883,1935,221,352,540,335,1161,395
Northern Arizona,864,1812,268,442,609,304,1186,377
Northern Colorado,811,1714,264,596,803,313,1074,381
Northern Illinois,759,1881,265,502,747,338,1186,487
Northern Iowa NCAA,850,2011,255,348,483,326,1238,420
Northern Kentucky,754,1721,202,523,711,311,1071,347
Northwestern State,870,1798,203,470,662,393,1103,388
Northwestern,716,1784,227,452,625,325,1105,345
Notre Dame NCAA,930,2154,274,407,559,410,1210,346
Oakland,982,2259,277,505,725,401,1286,431
Ohio State,839,2076,257,446,632,391,1263,412
Ohio,919,2117,261,518,704,326,1197,356
Oklahoma State,725,1769,216,482,723,383,1151,368
Oklahoma NCAA,953,2314,278,445,656,434,1341,468
Old Dominion,797,2007,231,514,718,356,1229,413
Oral Roberts,861,1909,227,435,595,324,1092,352
Oregon State NCAA,766,1788,226,486,699,364,1180,430
Oregon NCAA,931,2199,272,480,690,408,1257,533
Pacific,650,1528,201,508,727,279,969,337
Penn State,739,1744,225,525,741,324,1152,375
Pennsylvania,732,1653,181,368,550,308,1030,323
Pepperdine,834,1914,209,410,609,346,1150,355
Pittsburgh NCAA,798,1844,222,402,608,310,1022,379
Portland State,875,1878,233,426,607,336,1130,439
Portland,871,1928,264,546,784,394,1230,431
Prairie View,748,1637,164,542,776,366,1167,498
Presbyterian,781,1751,243,454,665,325,1116,422
Princeton,737,1691,169,346,519,272,985,372
Providence NCAA,909,2067,221,416,578,370,1293,508
Purdue NCAA,824,2106,219,414,591,315,1074,325
Quinnipiac,729,1755,174,499,704,333,1127,369
Radford,818,1819,182,430,610,334,1077,366
Rhode Island,713,1672,165,481,662,280,1038,397
Rice,915,1901,277,469,669,346,1144,426
Richmond,837,1858,217,472,670,357,1188,402
Rider,767,1862,245,444,603,350,1173,400
Robert Morris,800,1843,222,445,607,392,1253,489
Rutgers,940,2074,265,426,625,441,1334,374
Sacramento State,789,1839,216,443,663,366,1182,375
Sacred Heart,811,1805,222,492,711,359,1114,394
Saint Francis (PA),796,1776,204,385,534,329,1062,345
Saint Joseph's NCAA,924,2218,286,388,555,351,1277,410
Saint Louis,780,1800,240,505,708,316,1196,414
Saint Mary's (CA),804,1964,204,320,476,332,1048,337
Saint Peter's,693,1682,221,380,533,278,1012,356
Sam Houston State,796,1806,255,580,810,259,1154,455
Samford,820,1848,247,555,795,369,1157,483
San Diego State,799,2142,228,477,657,390,1266,460
San Diego,714,1605,177,469,664,281,1081,355
San Francisco,811,1843,280,460,644,336,1096,343
San Jose State,761,1767,211,557,811,317,1133,387
Santa Clara,781,1774,243,467,645,324,1144,350
Savannah State,736,1689,203,492,678,310,1151,497
Seattle,738,1807,259,405,605,352,1092,416
Seton Hall NCAA,814,2027,212,465,685,408,1231,469
Siena,851,2041,226,564,784,385,1097,423
South Alabama,834,1975,231,527,747,401,1262,432
South Carolina State,851,1922,248,535,742,362,1190,413
South Carolina Upstate,889,1935,270,447,643,382,1173,369
South Carolina,779,1962,287,512,751,381,1167,505
South Dakota State NCAA,789,1888,207,531,736,311,1102,411
South Dakota,852,1875,279,554,752,334,1179,447
South Florida,817,1978,235,483,704,413,1193,314
Southeast Missouri State,824,1734,233,371,528,294,1105,395
Southeastern Louisiana,847,1893,268,527,805,389,1192,457
Southern California NCAA,924,2214,248,441,627,430,1279,414
SIU Edwardsville,708,1554,175,477,675,273,981,336
Southern Illinois,764,1687,189,512,758,268,1038,478
Southern Methodist,676,1690,224,327,513,313,878,363
Southern Mississippi,687,1575,249,422,605,281,1026,342
Southern Utah,839,1700,231,520,728,299,1091,371
Southern NCAA,832,2001,234,508,764,413,1311,482
St. Bonaventure,788,1808,218,470,676,380,1134,409
St. Francis (NY),765,1809,152,449,630,349,1155,404
St. John's (NY),835,1854,238,564,795,355,1265,464
Stanford,728,1647,228,427,646,318,1053,402
Stephen F. Austin NCAA,764,1745,174,451,680,335,1099,631
Stetson,1052,2221,251,452,670,407,1362,415
Stony Brook NCAA,770,1887,212,363,506,301,1058,418
Syracuse NCAA,877,2127,259,396,595,471,1357,491
Temple NCAA,809,1952,196,416,561,358,1262,355
Tennessee-Martin,883,2050,308,420,593,358,1213,419
Tennessee State,698,1691,253,485,709,319,1068,481
Tennessee Tech,836,1890,236,432,633,368,1118,357
Tennessee,886,2081,248,536,776,456,1361,420
Texas A&M-Corpus Christi,753,1805,231,571,797,381,1186,525
Texas A&M NCAA,862,2117,283,451,685,396,1296,534
Texas-Arlington,788,1989,277,564,851,351,1237,528
Texas Christian,806,1805,225,522,747,349,1204,482
Texas-El Paso,853,2013,268,497,734,403,1294,470
Texas-Rio Grande Valley,861,1897,207,401,586,400,1235,305
Texas-San Antonio,924,1826,280,564,834,280,1180,410
Texas Southern,873,1993,215,368,490,332,1079,355
Texas State,691,1627,194,417,596,312,1063,436
Texas Tech NCAA,783,1828,246,424,601,360,1080,401
Texas NCAA,775,1844,209,494,707,362,1183,408
Toledo,815,1874,267,389,538,275,1064,390
Towson,746,1784,209,526,709,306,1053,414
Troy,821,1859,236,451,641,356,1202,389
Tulane,845,1950,212,496,718,369,1264,442
Tulsa NCAA,757,1819,241,472,629,347,1185,450
UCLA,860,2002,268,467,677,381,1188,372
Utah State,795,1800,228,399,575,315,1070,353
Utah Valley,851,1902,183,475,685,341,1205,385
Utah NCAA,933,2226,269,367,506,371,1173,378
Valparaiso,792,2061,225,514,784,347,1208,475
Vanderbilt NCAA,784,2033,183,474,700,396,1235,323
Vermont,904,2124,257,546,791,368,1223,431
Villanova NCAA,906,2247,285,446,674,418,1322,552
Virginia Commonwealth NCAA,872,1980,202,494,728,342,1242,535
VMI,769,1716,224,502,693,339,1163,390
Virginia Tech,906,2099,244,484,703,400,1251,444
Virginia NCAA,777,1849,235,433,617,287,1047,428
Wagner,737,1789,197,538,789,331,1117,481
Wake Forest,847,1923,209,547,742,367,1142,339
Washington State,836,1886,210,512,699,333,1107,333
Washington,936,2175,211,665,969,490,1438,550
Weber State NCAA,880,2113,202,382,571,336,1170,382
West Virginia NCAA,726,1713,206,677,948,305,1078,624
Western Carolina,824,1903,242,600,843,375,1230,510
Western Illinois,647,1508,176,444,621,251,943,303
Western Kentucky,949,2091,280,408,617,363,1128,365
Western Michigan,804,1824,264,480,690,286,1097,388
Wichita State NCAA,659,1705,203,545,769,276,1154,539
William & Mary,798,1895,251,358,516,319,1075,330
Winthrop,870,2051,226,463,651,407,1202,375
Wisconsin NCAA,794,1862,201,444,627,314,1121,420
Wofford,826,1699,177,466,682,254,1005,370
Wright State,745,1768,206,607,846,294,1215,488
Wyoming,787,1826,239,489,701,340,1181,346
Xavier NCAA,834,2010,253,471,675,334,1138,474
Yale NCAA,678,1654,183,375,537,256,881,364
Youngstown State,984,2094,256,458,661,396,1336,407
