School,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TRB,opp_TOV
Air Force,705,1737,266,406,567,381,1110,407
Akron NCAA,832,2004,194,507,768,425,1345,514
Alabama A&M,658,1594,141,413,662,360,1109,465
Alabama-Birmingham NCAA,699,1692,156,386,549,333,1035,385
Alabama State NCAA,715,1773,180,624,913,406,1235,545
Alabama,758,1965,200,482,713,450,1238,581
Albany (NY),744,1809,240,320,502,383,1077,334
Alcorn State,793,1794,178,494,756,424,1288,424
American,679,1614,175,440,604,268,948,321
Appalachian State,841,1822,197,390,564,329,1070,382
Arizona State,708,1652,205,452,649,345,1102,398
Arizona NCAA,940,2115,175,525,774,375,1167,475
Little Rock NCAA,811,1867,222,582,819,376,1260,497
Arkansas-Pine Bluff,728,1576,195,570,873,316,1127,479
Arkansas State,711,1696,185,459,670,323,1029,421
Arkansas,747,1813,160,415,571,404,1153,446
Army,728,1632,214,471,678,320,1072,419
Auburn,674,1583,220,483,714,345,1095,477
Austin Peay,808,1902,207,456,683,411,1186,566
Ball State,740,1747,192,377,569,365,1064,443
Baylor,695,1660,195,399,580,329,953,459
Belmont NCAA,721,1764,183,553,815,382,1137,665
Bethune-Cookman,786,1707,180,488,750,348,1108,492
Binghamton,775,1721,222,351,504,382,1119,342
Boise State,807,1760,220,548,769,295,1138,608
Boston College,875,1965,244,360,508,383,1116,354
Boston University NCAA,783,1964,239,417,592,435,1237,397
Bowling Green State,772,1743,228,443,662,365,1184,508
Bradley,742,1716,218,462,640,321,1123,413
Brigham Young NCAA,902,2174,218,490,711,395,1320,533
Brown,755,1690,188,356,513,288,1017,307
Bryant,788,1713,250,432,611,353,1117,374
Bucknell NCAA,747,1888,219,461,661,359,1162,400
Buffalo,768,1844,204,457,685,397,1089,518
Butler NCAA,845,1994,229,518,771,351,1220,472
Cal Poly,591,1479,146,438,619,313,1019,404
Cal State Bakersfield,773,1605,155,466,636,331,1091,390
Cal State Fullerton,767,1709,252,540,744,338,1049,409
Cal State Northridge,717,1663,204,642,927,355,1095,480
UC-Davis,786,1711,176,446,687,359,1085,413
UC-Irvine,818,1892,237,546,762,367,1252,464
UC-Riverside,718,1680,259,469,660,331,1074,424
UC-Santa Barbara NCAA,696,1712,227,486,693,356,1056,429
University of California,836,1919,263,447,648,340,1083,417
Campbell,668,1567,209,546,782,355,1027,454
Canisius,693,1681,180,458,662,387,1092,408
Centenary (LA),835,1699,204,548,812,386,1163,440
Central Arkansas,798,1649,174,446,633,325,1076,483
Central Connecticut State,733,1751,182,397,584,394,1076,494
Central Florida,751,1832,190,388,592,388,1079,427
Central Michigan,675,1480,138,518,778,281,1064,459
Charleston Southern,790,1762,183,434,645,349,1056,493
Charlotte,769,1769,194,398,560,330,1040,350
Chattanooga,829,1887,301,421,615,301,1131,418
Chicago State,923,1949,276,632,934,418,1330,442
Cincinnati NCAA,735,1790,171,445,633,351,1088,492
Citadel,821,1772,215,380,556,300,1034,339
Clemson NCAA,724,1801,193,445,627,382,1122,516
Cleveland State,786,1900,190,529,778,411,1257,529
Coastal Carolina,796,2011,242,344,517,383,1099,458
Colgate,763,1668,190,554,747,309,1023,348
College of Charleston,969,2218,213,403,600,479,1307,482
Colorado State,750,1747,201,465,662,336,1044,443
Colorado,990,2213,253,554,785,440,1261,511
Columbia,704,1540,148,432,596,248,927,357
Connecticut NCAA,973,2478,261,452,665,546,1447,472
Coppin State,756,1772,229,428,629,384,1139,445
Cornell,665,1458,166,466,645,284,1002,384
Creighton,958,2209,239,394,581,372,1200,373
Dartmouth,689,1529,217,393,559,326,1062,395
Davidson,753,1740,161,599,850,323,1073,428
Dayton,806,1946,237,504,747,360,1220,450
Delaware State,735,1494,145,352,524,356,1050,464
Delaware,711,1684,144,499,701,351,1092,294
Denver,577,1264,119,544,787,259,890,419
DePaul,873,1743,141,491,686,384,1176,477
Detroit Mercy,856,2007,242,443,651,422,1122,472
Drake,748,1664,172,432,602,315,1103,408
Drexel,652,1630,125,421,613,255,956,311
Duke NCAA,896,2212,176,426,655,473,1299,545
Duquesne,759,1781,195,464,686,437,1220,643
East Carolina,799,1863,209,481,722,419,1208,466
East Tennessee State,803,1983,259,455,686,429,1220,501
Eastern Illinois,635,1514,200,405,587,293,938,365
Eastern Kentucky,681,1522,172,423,619,304,997,434
Eastern Michigan,697,1635,159,477,690,299,1122,426
Eastern Washington,704,1607,169,542,742,341,1060,391
Elon,827,1791,206,441,657,350,1152,427
Evansville,730,1614,201,486,696,294,1043,473
Fairfield,703,1756,162,356,553,370,1111,524
Fairleigh Dickinson,736,1690,193,443,641,342,1072,322
Florida A&M,769,1855,185,473,713,422,1208,472
Florida Atlantic,743,1727,175,476,673,372,1110,406
Florida Gulf Coast,765,1707,251,404,603,341,1068,451
Florida International,766,1712,224,506,718,394,1113,458
Florida State NCAA,696,1918,233,484,696,403,1167,516
Florida NCAA,872,2075,214,387,576,393,1181,461
Fordham,727,1678,208,407,597,351,1061,294
Fresno State,727,1678,193,442,653,331,1081,431
Furman,731,1727,181,481,703,352,1040,411
Gardner-Webb,729,1653,208,463,645,297,1072,461
George Mason NCAA,761,1847,201,401,591,376,1117,454
George Washington,693,1615,223,416,587,333,1052,457
Georgetown NCAA,737,1763,176,473,669,361,999,363
Georgia Southern,823,1693,214,563,813,341,1061,511
Georgia State,627,1548,178,556,783,330,1022,417
Georgia Tech,701,1592,196,481,719,290,1071,514
Georgia NCAA,741,1866,190,453,648,388,1086,396
Gonzaga NCAA,786,1947,253,482,685,359,1086,503
Grambling,783,1802,158,538,854,368,1270,486
Green Bay,731,1632,195,532,738,329,1047,468
Hampton NCAA,719,1874,180,452,671,449,1317,516
Hartford,668,1529,232,428,594,313,1161,505
Harvard,716,1654,189,312,425,309,898,391
Hawaii,733,1883,215,470,678,395,1092,417
High Point,759,1660,166,566,805,361,1134,468
Hofstra,815,1851,216,454,647,412,1191,417
Holy Cross,713,1661,180,396,560,302,974,296
Houston Baptist,829,1795,222,549,850,426,1258,512
Houston,729,1726,172,462,669,401,1069,386
Howard,712,1580,214,460,710,343,1073,414
Idaho State,713,1563,218,452,639,326,1002,364
Idaho,761,1818,209,403,569,378,1046,413
Illinois-Chicago,774,1720,189,415,612,329,1013,380
Illinois State,694,1622,201,388,561,291,996,359
Illinois NCAA,780,1931,205,457,632,384,1122,413
Indiana State NCAA,713,1755,194,572,796,348,1134,445
Indiana,703,1622,202,574,815,317,1019,412
Iona,926,2094,235,492,716,380,1255,544
Iowa State,823,1955,217,394,570,399,1245,460
Iowa,768,1749,212,362,489,340,1045,445
Fort Wayne,704,1538,157,538,744,267,960,422
IUPUI,855,1809,220,352,506,348,1028,396
Jackson State,657,1524,182,513,788,290,1038,542
Jacksonville State,664,1423,141,505,706,305,977,455
Jacksonville,704,1678,172,514,764,351,1096,526
James Madison,778,1818,226,475,663,316,1065,395
Kansas State NCAA,751,1782,178,569,803,350,1058,524
Kansas NCAA,862,2188,225,509,697,397,1172,535
Kennesaw State,857,1844,204,402,607,416,1156,377
Kent State,902,2148,216,453,691,482,1351,520
Kentucky NCAA,863,2188,210,476,658,431,1285,457
La Salle,929,2069,222,515,734,439,1212,458
Lafayette,794,1768,217,505,715,354,1148,440
Lamar,781,1781,175,542,805,354,1141,509
Lehigh,777,1808,207,471,689,358,1144,462
Liberty,758,1774,193,391,630,346,1051,453
Lipscomb,779,1763,205,450,691,351,1059,436
Long Beach State,892,1998,216,398,591,343,1157,460
Long Island University NCAA,942,2165,208,374,567,428,1230,497
Longwood,936,1933,203,477,693,403,1218,423
Louisiana,696,1593,169,506,717,317,983,421
Louisiana-Monroe,734,1554,214,444,640,284,976,399
Louisiana State,730,1759,174,496,703,400,1178,426
Louisiana Tech,733,1716,205,503,725,310,1081,437
Louisville NCAA,762,1935,199,536,770,455,1268,564
Loyola (IL),750,1676,190,375,566,330,1017,423
Loyola Marymount,811,1864,198,492,689,369,1133,422
Loyola (MD),719,1600,132,441,637,309,979,405
Maine,701,1673,219,389,547,333,992,361
Manhattan,762,1725,246,391,600,400,1123,379
Marist,828,1900,225,502,714,397,1242,358
Marquette NCAA,939,2142,260,408,618,433,1241,515
Marshall,817,1939,185,472,720,395,1136,436
Maryland-Baltimore County,785,1667,266,518,724,341,1128,379
Maryland-Eastern Shore,820,1737,209,559,807,374,1195,472
Maryland,805,1994,210,411,591,402,1161,495
Massachusetts,677,1682,214,471,701,371,1108,413
McNeese State,799,1854,229,527,788,414,1207,466
Memphis NCAA,828,1987,205,531,778,445,1217,519
Mercer,754,1735,193,557,804,358,1158,509
Miami (FL),833,1999,245,522,756,400,1171,430
Miami (OH),836,1886,223,424,601,369,1129,353
Michigan State NCAA,787,1861,215,474,716,347,1119,411
Michigan NCAA,795,1854,222,375,553,335,1178,409
Middle Tennessee,662,1554,185,612,891,322,1051,534
Milwaukee,827,1841,216,430,604,336,1103,416
Minnesota,710,1780,265,391,521,362,1021,355
Mississippi State,799,1917,232,347,523,389,1141,339
Mississippi Valley State,801,1843,186,605,869,360,1200,483
Mississippi,803,1889,212,532,740,378,1144,440
Missouri-Kansas City,784,1668,193,456,643,324,1028,395
Missouri State,804,1792,179,422,609,290,1040,386
Missouri NCAA,851,1943,197,536,775,439,1266,614
Monmouth,685,1639,242,364,540,349,1064,408
Montana State,750,1667,194,436,650,346,1117,412
Montana,682,1710,164,422,598,353,1057,428
Morehead State NCAA,735,1756,245,447,645,313,992,523
Morgan State,708,1650,153,502,724,329,1027,447
Mount St. Mary's,750,1759,168,456,677,406,1149,435
Murray State,688,1586,158,445,634,312,957,479
Navy,763,1719,224,504,716,358,1270,592
Nebraska,657,1691,229,393,581,310,1016,420
Nevada-Las Vegas NCAA,704,1737,189,480,689,363,1106,534
