School,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TRB,opp_TOV
Jackson State,724,1624,169,425,670,369,1086,424
Jacksonville State,701,1624,139,565,800,337,1105,494
Jacksonville,719,1538,171,564,832,337,1032,424
James Madison,765,1751,195,510,742,399,1181,434
Kansas State NCAA,716,1750,178,504,731,385,1070,526
Kansas NCAA,826,2176,236,519,721,419,1256,533
Kennesaw State,856,1713,222,396,580,353,1120,399
Kent State,789,1856,211,389,569,409,1153,525
Kentucky NCAA,889,2379,219,426,614,487,1286,464
La Salle,801,1919,164,483,664,415,1233,535
Lafayette,795,1697,210,460,643,329,1086,378
Lamar NCAA,838,1989,177,443,659,385,1202,495
Lehigh NCAA,808,1952,206,466,661,369,1202,504
Liberty,838,1834,223,384,558,336,1058,375
Lipscomb,843,1873,225,392,583,396,1207,473
Long Beach State NCAA,804,1909,207,360,519,373,1109,513
Long Island University NCAA,1039,2313,209,354,510,470,1233,469
Longwood,962,1981,302,391,600,344,1226,353
Louisiana,741,1842,172,501,732,367,1135,454
Louisiana-Monroe,714,1563,232,418,595,291,1019,319
Louisiana State,745,1775,174,455,660,357,1178,483
Louisiana Tech,828,1864,171,528,780,393,1261,511
Louisville NCAA,857,2233,218,508,766,509,1441,621
Loyola (IL),681,1526,182,343,496,288,916,361
Loyola Marymount,810,1953,209,472,654,414,1220,491
Loyola (MD) NCAA,739,1723,168,474,688,363,1062,473
Maine,693,1674,172,424,598,377,1087,379
Manhattan,741,1810,208,540,767,384,1115,536
Marist,883,1914,204,363,510,364,1132,431
Marquette NCAA,831,2065,213,433,632,468,1275,577
Marshall,859,1911,171,494,763,363,1143,429
Maryland-Baltimore County,785,1673,205,537,769,339,1130,392
Maryland-Eastern Shore,722,1645,187,478,698,337,1082,413
Maryland,808,1888,195,452,624,369,1112,348
Massachusetts,920,2253,242,598,863,501,1450,615
McNeese State,762,1777,181,480,684,345,1150,452
Memphis NCAA,751,1945,188,518,745,424,1152,492
Mercer,805,2085,232,546,810,474,1247,514
Miami (FL),778,1847,209,416,609,381,1152,436
Miami (OH),688,1526,157,394,552,297,955,344
Michigan State NCAA,751,1981,214,479,681,364,1106,465
Michigan NCAA,756,1768,203,375,526,329,1076,424
Middle Tennessee,722,1820,180,504,754,410,1108,510
Milwaukee,761,1815,151,453,632,344,1150,460
Minnesota,842,2033,246,532,746,425,1184,492
Mississippi State,855,1969,211,315,466,334,1112,352
Mississippi Valley State NCAA,801,1851,233,510,780,386,1282,564
Mississippi,788,1947,249,425,651,410,1205,456
Missouri-Kansas City,784,1639,161,475,664,325,1059,390
Missouri State,685,1684,212,433,639,309,1078,379
Missouri NCAA,869,1956,222,361,534,380,1109,501
Monmouth,833,1737,254,500,738,392,1232,553
Montana State,712,1562,209,455,611,286,1011,416
Montana NCAA,684,1688,165,452,646,346,1071,478
Morehead State,675,1521,223,445,638,299,938,526
Morgan State,699,1638,182,437,642,387,1043,412
Mount St. Mary's,683,1544,166,414,597,325,948,390
Murray State NCAA,730,1749,140,401,607,382,1053,546
Navy,658,1393,193,411,568,248,904,407
Nebraska,696,1533,218,359,509,262,932,374
Nevada-Las Vegas NCAA,817,1991,217,456,678,383,1218,539
Nevada,827,2004,230,393,560,377,1157,443
New Hampshire,633,1514,120,435,612,289,1032,379
New Mexico State NCAA,896,2085,213,454,673,382,1125,524
New Mexico NCAA,731,1903,213,401,594,351,1093,499
Niagara,777,1700,249,645,862,368,1205,530
Nicholls State,811,1703,220,496,726,379,1121,395
NJIT,727,1743,204,517,746,352,1158,462
Norfolk State NCAA,842,2044,210,522,778,431,1241,504
North Carolina-Asheville NCAA,865,1949,234,462,695,415,1133,539
North Carolina A&T,795,1917,267,469,710,459,1285,511
