School,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TRB,opp_TOV
Air Force,764,1702,224,418,621,325,1053,412
Akron NCAA,723,1831,176,449,629,358,1060,449
Alabama A&M,783,1753,163,431,653,337,1124,384
Alabama-Birmingham,816,1848,215,504,718,353,1155,527
Alabama State,780,1808,215,456,685,392,1170,428
Alabama,750,1853,184,418,602,393,1202,521
Albany (NY) NCAA,787,1848,212,337,514,324,1069,438
Alcorn State,740,1876,189,579,878,421,1236,447
American,695,1576,228,298,439,260,937,281
Appalachian State,814,1781,172,421,608,322,1084,423
Arizona State,861,2098,227,414,559,396,1251,434
Arizona NCAA,784,1909,211,447,629,321,1051,465
Little Rock,718,1701,198,498,721,352,1119,522
Arkansas-Pine Bluff,676,1672,216,430,630,375,1138,487
Arkansas State,687,1666,171,399,587,328,1091,494
Arkansas,747,1726,203,506,766,370,1201,561
Army,730,1749,216,436,641,332,1040,400
Auburn,738,1717,230,495,738,327,1126,430
Austin Peay,880,1928,216,395,549,386,1120,404
Ball State,716,1604,197,412,581,292,951,388
Baylor,884,2176,201,487,706,448,1297,482
Belmont NCAA,725,1748,218,461,651,384,1100,572
Bethune-Cookman,788,1736,182,560,824,347,1226,521
Binghamton,746,1709,248,341,539,328,1132,342
Boise State NCAA,709,1623,211,466,660,240,944,430
Boston College,826,1833,222,372,533,331,1072,379
Boston University,689,1627,165,392,540,322,1048,425
Bowling Green State,729,1711,182,393,573,334,1107,421
Bradley,831,1872,246,488,661,363,1216,507
Brigham Young,872,2072,242,516,764,366,1256,493
Brown,636,1503,194,334,496,255,930,338
Bryant,797,1777,246,372,537,319,1006,368
Bucknell NCAA,703,1864,177,383,543,300,1042,307
Buffalo,796,1896,199,496,692,385,1081,388
Butler NCAA,807,1938,201,484,688,322,1057,406
Cal Poly,715,1552,192,398,571,261,979,381
Cal State Bakersfield,688,1525,178,516,743,278,1017,462
Cal State Fullerton,866,1816,204,445,644,390,1156,513
Cal State Northridge,809,1727,230,461,662,316,1053,490
UC-Davis,793,1842,242,411,571,344,1047,328
UC-Irvine,831,2146,203,553,797,433,1359,407
UC-Riverside,716,1671,242,388,534,283,997,366
UC-Santa Barbara,710,1686,225,445,627,338,1056,365
University of California NCAA,753,1915,189,428,622,384,1133,370
Campbell,852,1882,202,489,711,408,1186,469
Canisius,853,1928,236,443,624,388,1136,454
Central Arkansas,845,1857,183,486,749,420,1235,447
Central Connecticut State,849,1877,242,372,550,396,1221,408
Central Florida,785,1840,190,319,467,369,1061,394
Central Michigan,806,1688,226,388,572,326,1074,410
Charleston Southern,767,1842,229,381,536,334,1127,439
Charlotte,751,1835,221,508,721,371,1104,458
Chattanooga,810,1801,291,407,583,299,1069,434
Chicago State,758,1714,208,552,789,354,1205,552
Cincinnati NCAA,716,1851,171,403,606,367,1139,452
Citadel,806,1712,236,347,480,350,972,372
Clemson,669,1613,171,355,531,328,1030,394
Cleveland State,752,1629,196,526,706,320,1049,459
Coastal Carolina,616,1494,214,394,569,300,920,446
Colgate,791,1839,225,423,606,310,1127,324
College of Charleston,812,1992,175,377,524,348,1111,345
Colorado State NCAA,767,1852,233,462,674,281,984,380
Colorado NCAA,769,1918,224,336,485,371,1119,426
Columbia,587,1349,144,376,534,226,850,348
Connecticut,708,1753,171,375,543,403,1097,406
Coppin State,813,1827,197,454,686,437,1335,528
Cornell,752,1636,233,431,599,267,1041,431
Creighton NCAA,845,2074,215,369,542,359,1099,377
Dartmouth,622,1408,166,434,584,271,938,384
Davidson NCAA,739,1805,155,477,665,328,1078,414
Dayton,719,1655,192,437,620,314,943,436
Delaware State,771,1772,166,386,568,400,1142,454
Delaware,811,1972,211,442,650,406,1177,355
Denver,623,1441,117,427,591,312,994,503
DePaul,881,1879,175,472,681,395,1220,498
