"","X","Team","FG","FGA","X3P","FT","FTA","ORB","DRB","TOV","Opp.FG","Opp.FGA","Opp.3P","Opp.FT","Opp.FTA","Opp.ORB","Opp.DRB","Opp.TOV","Win.","eFG","OeFG","TOVp","oTOVp","ORBp","DRBp","FTp","oFTp"
"3721",1695,"southern-wesleyan",24,59,6,7,14,10,13,17,37,62,13,9,13,8,27,13,0,0.458,0.702,0.188,0.147,0.27,0.325,0.119,0.119
"3722",14239,"north-carolina-greensboro",37,62,13,9,13,8,27,13,24,59,6,7,14,10,13,17,1,0.702,0.458,0.147,0.188,0.381,0.675,0.145,0.145
"3723",12214,"california-davis",23,51,8,16,25,9,22,15,24,49,8,18,29,6,19,12,0,0.529,0.571,0.164,0.133,0.321,0.537,0.314,0.314
"3724",121102,"north-dakota-state",24,49,8,18,29,6,19,12,23,51,8,16,25,9,22,15,1,0.571,0.529,0.133,0.164,0.214,0.463,0.367,0.367
"3725",12215,"arkansas-little-rock",25,54,7,15,22,3,23,8,24,59,7,12,20,13,26,18,1,0.528,0.466,0.095,0.185,0.103,0.469,0.278,0.278
"3726",121103,"northern-arizona",24,59,7,12,20,13,26,18,25,54,7,15,22,3,23,8,0,0.466,0.528,0.185,0.095,0.361,0.531,0.203,0.203
"3727",1696,"olivet-nazarene",28,56,5,8,13,8,14,20,40,68,8,7,10,13,23,16,0,0.545,0.647,0.224,0.169,0.258,0.378,0.143,0.143
"3728",14240,"northern-illinois",40,68,8,7,10,13,23,16,28,56,5,8,13,8,14,20,1,0.647,0.545,0.169,0.224,0.481,0.622,0.103,0.103
"3729",1180,"chicago-state",23,57,13,5,8,11,25,14,26,61,8,8,11,8,22,8,0,0.518,0.492,0.176,0.099,0.333,0.532,0.088,0.088
"3730",12216,"northwestern",26,61,8,8,11,8,22,8,23,57,13,5,8,11,25,14,1,0.492,0.518,0.099,0.176,0.242,0.468,0.131,0.131
"3731",13258,"milwaukee",26,59,6,11,18,4,27,9,27,56,7,10,19,7,34,13,0,0.492,0.545,0.104,0.147,0.105,0.443,0.186,0.186
"3732",1181,"ohio",27,56,7,10,19,7,34,13,26,59,6,11,18,4,27,9,1,0.545,0.492,0.147,0.104,0.206,0.557,0.179,0.179
"3733",1726,"arkansas-pine-bluff",22,51,3,19,28,10,18,30,29,62,12,32,40,16,19,21,0,0.461,0.565,0.274,0.17,0.345,0.486,0.373,0.373
"3734",17111,"oklahoma-state",29,62,12,32,40,16,19,21,22,51,3,19,28,10,18,30,1,0.565,0.461,0.17,0.274,0.471,0.514,0.516,0.516
"3735",1697,"troy",42,72,10,20,27,9,43,11,18,70,6,10,17,9,21,16,1,0.653,0.3,0.1,0.155,0.3,0.672,0.278,0.278
"3736",12217,"point",18,70,6,10,17,9,21,16,42,72,10,20,27,9,43,11,0,0.3,0.653,0.155,0.1,0.173,0.328,0.143,0.143
"3737",12218,"saint-josephs",26,67,4,20,26,17,34,9,22,62,10,14,23,5,25,5,1,0.418,0.435,0.088,0.055,0.405,0.576,0.299,0.299
"3738",121104,"princeton",22,62,10,14,23,5,25,5,26,67,4,20,26,17,34,9,0,0.435,0.418,0.055,0.088,0.128,0.424,0.226,0.226
"3739",12219,"kennesaw-state",33,60,10,3,8,8,33,22,31,71,10,9,21,11,22,13,0,0.633,0.507,0.243,0.123,0.267,0.6,0.05,0.05
"3740",13259,"rider",31,71,10,9,21,11,22,13,33,60,10,3,8,8,33,22,1,0.507,0.633,0.123,0.243,0.25,0.4,0.127,0.127
"3741",14241,"fairleigh-dickinson",27,60,7,8,11,5,21,8,31,60,6,14,29,16,25,8,0,0.508,0.567,0.101,0.082,0.167,0.457,0.133,0.133
"3742",13260,"rutgers",31,60,6,14,29,16,25,8,27,60,7,8,11,5,21,8,1,0.567,0.508,0.082,0.101,0.432,0.543,0.233,0.233
"3743",14242,"western-kentucky",18,48,5,10,13,7,23,13,31,65,9,2,5,12,24,7,0,0.427,0.546,0.175,0.09,0.226,0.489,0.208,0.208
"3744",15146,"saint-marys-ca",31,65,9,2,5,12,24,7,18,48,5,10,13,7,23,13,1,0.546,0.427,0.09,0.175,0.343,0.511,0.031,0.031
"3745",12220,"saint-louis",20,42,9,6,14,7,17,21,25,49,5,15,24,7,17,8,0,0.583,0.561,0.271,0.098,0.292,0.5,0.143,0.143
"3746",121105,"southern-illinois",25,49,5,15,24,7,17,8,20,42,9,6,14,7,17,21,1,0.561,0.583,0.098,0.271,0.292,0.5,0.306,0.306
"3747",14243,"mcneese-state",19,62,11,7,15,11,16,10,35,70,12,10,12,18,31,10,0,0.395,0.586,0.114,0.108,0.262,0.34,0.113,0.113
"3748",141108,"southern-methodist",35,70,12,10,12,18,31,10,19,62,11,7,15,11,16,10,1,0.586,0.395,0.108,0.114,0.529,0.66,0.143,0.143
"3749",15147,"arkansas-state",30,65,14,13,22,12,19,11,24,48,2,18,27,7,26,16,1,0.569,0.521,0.112,0.175,0.316,0.422,0.2,0.2
"3750",14244,"tennessee-martin",24,48,2,18,27,7,26,16,30,65,14,13,22,12,19,11,0,0.521,0.569,0.175,0.112,0.269,0.578,0.375,0.375
"3751",1698,"alabama-state",15,59,3,13,27,11,23,21,25,53,5,13,22,7,32,19,0,0.28,0.519,0.195,0.201,0.256,0.418,0.22,0.22
"3752",1727,"tennessee-state",25,53,5,13,22,7,32,19,15,59,3,13,27,11,23,21,1,0.519,0.28,0.201,0.195,0.233,0.582,0.245,0.245
"3753",13261,"nicholls-state",17,50,9,3,6,3,14,18,31,56,8,19,25,13,25,12,0,0.43,0.625,0.242,0.128,0.107,0.359,0.06,0.06
"3754",14245,"texas-tech",31,56,8,19,25,13,25,12,17,50,9,3,6,3,14,18,1,0.625,0.43,0.128,0.242,0.481,0.641,0.339,0.339
"3755",1728,"california-santa-barbara",25,83,5,7,13,21,26,13,39,71,11,13,16,8,33,8,0,0.331,0.627,0.119,0.084,0.389,0.441,0.084,0.084
"3756",13262,"ucla",39,71,11,13,16,8,33,8,25,83,5,7,13,21,26,13,1,0.627,0.331,0.084,0.119,0.235,0.559,0.183,0.183
"3757",14246,"green-bay",23,57,6,7,12,9,20,19,27,58,5,14,21,8,24,9,0,0.456,0.509,0.215,0.102,0.273,0.455,0.123,0.123
"3758",15148,"wisconsin",27,58,5,14,21,8,24,9,23,57,6,7,12,9,20,19,1,0.509,0.456,0.102,0.215,0.286,0.545,0.241,0.241
"3759",12221,"niagara",35,75,10,17,19,10,25,12,38,76,12,13,19,11,27,10,0,0.533,0.579,0.113,0.095,0.27,0.481,0.227,0.227
"3760",121106,"youngstown-state",38,76,12,13,19,11,27,10,35,75,10,17,19,10,25,12,1,0.579,0.533,0.095,0.113,0.306,0.519,0.171,0.171
"3761",12222,"south-carolina-upstate",21,61,10,9,16,10,19,13,31,58,6,10,18,10,31,10,0,0.426,0.586,0.144,0.116,0.244,0.38,0.148,0.148
"3762",15149,"alabama",31,58,6,10,18,10,31,10,21,61,10,9,16,10,19,13,1,0.586,0.426,0.116,0.144,0.345,0.62,0.172,0.172
"3763",12223,"coastal-carolina",25,78,8,14,23,14,20,16,40,72,21,16,22,10,35,15,0,0.372,0.701,0.136,0.137,0.286,0.364,0.179,0.179
"3764",1729,"auburn",40,72,21,16,22,10,35,15,25,78,8,14,23,14,20,16,1,0.701,0.372,0.137,0.136,0.333,0.636,0.222,0.222
"3765",1730,"bethesda-ca",23,54,17,15,23,4,16,21,37,68,12,19,30,19,29,19,0,0.583,0.632,0.213,0.162,0.121,0.356,0.278,0.278
"3766",14247,"cal-state-bakersfield",37,68,12,19,30,19,29,19,23,54,17,15,23,4,16,21,1,0.632,0.583,0.162,0.213,0.543,0.644,0.279,0.279
"3767",1182,"goldey-beacom",30,68,4,19,23,10,20,15,27,64,10,25,29,14,24,16,0,0.471,0.5,0.141,0.146,0.294,0.455,0.279,0.279
"3768",14248,"coppin-state",27,64,10,25,29,14,24,16,30,68,4,19,23,10,20,15,1,0.5,0.471,0.146,0.141,0.412,0.545,0.391,0.391
"3769",12224,"college-of-charleston",20,60,5,8,8,15,27,14,11,47,2,11,14,7,22,20,1,0.375,0.255,0.17,0.246,0.405,0.551,0.133,0.133
"3770",14249,"east-carolina",11,47,2,11,14,7,22,20,20,60,5,8,8,15,27,14,0,0.255,0.375,0.246,0.17,0.206,0.449,0.234,0.234
"3771",12225,"georgia-southern",24,55,10,17,21,5,25,9,26,57,6,10,14,6,25,13,1,0.527,0.509,0.105,0.154,0.167,0.5,0.309,0.309
"3772",1183,"florida-international",26,57,6,10,14,6,25,13,24,55,10,17,21,5,25,9,0,0.509,0.527,0.154,0.105,0.194,0.5,0.175,0.175
"3773",1184,"central-florida",21,53,5,12,18,9,27,11,25,59,12,12,19,10,20,5,0,0.443,0.525,0.133,0.06,0.31,0.574,0.226,0.226
"3774",13263,"george-washington",25,59,12,12,19,10,20,5,21,53,5,12,18,9,27,11,1,0.525,0.443,0.06,0.133,0.27,0.426,0.203,0.203
"3775",14250,"blue-mountain-college",18,42,4,17,21,2,24,15,18,59,4,9,15,18,21,15,1,0.476,0.339,0.191,0.168,0.087,0.533,0.405,0.405
"3776",13264,"jackson-state",18,59,4,9,15,18,21,15,18,42,4,17,21,2,24,15,0,0.339,0.476,0.168,0.191,0.429,0.467,0.153,0.153
"3777",13265,"murray-state",22,61,7,22,31,8,30,12,22,62,7,27,38,11,30,11,0,0.418,0.411,0.115,0.099,0.211,0.5,0.361,0.361
"3778",12226,"mississippi",22,62,7,27,38,11,30,11,22,61,7,22,31,8,30,12,1,0.411,0.418,0.099,0.115,0.268,0.5,0.435,0.435
"3779",12227,"nebraska-omaha",28,64,9,15,24,9,33,15,27,71,8,13,17,8,31,13,1,0.508,0.437,0.145,0.128,0.225,0.516,0.234,0.234
"3780",15150,"missouri-kansas-city",27,71,8,13,17,8,31,13,28,64,9,15,24,9,33,15,0,0.437,0.508,0.128,0.145,0.195,0.484,0.183,0.183
"3781",15151,"appalachian-state",24,76,4,12,19,9,23,11,29,56,5,34,41,3,36,13,0,0.342,0.562,0.103,0.118,0.2,0.39,0.158,0.158
"3782",1731,"north-carolina-state",29,56,5,34,41,3,36,13,24,76,4,12,19,9,23,11,1,0.562,0.342,0.118,0.103,0.115,0.61,0.607,0.607
"3783",15152,"thomas-ga",27,75,12,14,20,7,20,7,34,56,13,29,40,6,39,13,0,0.44,0.723,0.068,0.119,0.152,0.339,0.187,0.187
"3784",14251,"north-florida",34,56,13,29,40,6,39,13,27,75,12,14,20,7,20,7,1,0.723,0.44,0.119,0.068,0.231,0.661,0.518,0.518
"3785",12228,"north-carolina-at",21,56,3,12,18,11,20,7,22,53,5,17,22,11,26,9,0,0.402,0.462,0.086,0.107,0.297,0.435,0.214,0.214
"3786",121107,"pacific",22,53,5,17,22,11,26,9,21,56,3,12,18,11,20,7,1,0.462,0.402,0.107,0.086,0.355,0.565,0.321,0.321
"3787",1699,"st-edwards",20,71,8,16,24,10,20,16,31,55,9,22,30,6,42,20,0,0.338,0.645,0.144,0.19,0.192,0.323,0.225,0.225
"3788",1732,"rice",31,55,9,22,30,6,42,20,20,71,8,16,24,10,20,16,1,0.645,0.338,0.19,0.144,0.231,0.677,0.4,0.4
"3789",16100,"mississippi-valley-state",24,73,6,13,22,12,24,13,27,61,7,21,28,9,36,16,0,0.37,0.5,0.12,0.152,0.25,0.4,0.178,0.178
"3790",15153,"seattle",27,61,7,21,28,9,36,16,24,73,6,13,22,12,24,13,1,0.5,0.37,0.152,0.12,0.273,0.6,0.344,0.344
"3791",13266,"lipscomb",28,63,12,9,17,5,20,9,30,55,4,28,39,10,31,11,0,0.54,0.582,0.101,0.104,0.139,0.392,0.143,0.143
"3792",131113,"tennessee",30,55,4,28,39,10,31,11,28,63,12,9,17,5,20,9,1,0.582,0.54,0.104,0.101,0.333,0.608,0.509,0.509
"3793",14252,"austin-peay",29,51,5,14,24,3,23,15,37,62,13,9,15,6,22,10,0,0.618,0.702,0.166,0.114,0.12,0.511,0.275,0.275
"3794",16101,"wofford",37,62,13,9,15,6,22,10,29,51,5,14,24,3,23,15,1,0.702,0.618,0.114,0.166,0.207,0.489,0.145,0.145
"3795",14253,"texas-arlington",17,51,6,16,23,10,27,12,19,56,4,9,17,10,25,12,1,0.392,0.375,0.139,0.14,0.286,0.519,0.314,0.314
"3796",13267,"bradley",19,56,4,9,17,10,25,12,17,51,6,16,23,10,27,12,0,0.375,0.392,0.14,0.139,0.27,0.481,0.161,0.161
"3797",13268,"bethesda-ca",36,70,13,15,28,9,23,12,31,62,9,24,40,12,30,15,1,0.607,0.573,0.109,0.128,0.231,0.434,0.214,0.214
"3798",1185,"cal-state-northridge",31,62,9,24,40,12,30,15,36,70,13,15,28,9,23,12,0,0.573,0.607,0.128,0.109,0.343,0.566,0.387,0.387
"3799",12229,"arkansas-state",32,65,10,15,23,7,28,12,28,61,7,14,20,7,25,16,1,0.569,0.516,0.119,0.164,0.219,0.528,0.231,0.231
"3800",14254,"central-arkansas",28,61,7,14,20,7,25,16,32,65,10,15,23,7,28,12,0,0.516,0.569,0.164,0.119,0.2,0.472,0.23,0.23
"3801",13269,"south-carolina-state",28,65,6,7,9,7,23,7,23,59,7,14,19,12,27,11,1,0.477,0.449,0.086,0.123,0.206,0.46,0.108,0.108
"3802",12230,"furman",23,59,7,14,19,12,27,11,28,65,6,7,9,7,23,7,0,0.449,0.477,0.123,0.086,0.343,0.54,0.237,0.237
"3803",14255,"warren-wilson",14,47,6,11,21,7,13,21,41,66,5,8,15,15,28,12,0,0.362,0.659,0.235,0.128,0.2,0.317,0.234,0.234
"3804",15154,"gardner-webb",41,66,5,8,15,15,28,12,14,47,6,11,21,7,13,21,1,0.659,0.362,0.128,0.235,0.536,0.683,0.121,0.121
"3805",16102,"north-carolina-wesleyan",20,50,12,9,11,1,22,17,28,55,8,15,24,7,29,14,0,0.52,0.582,0.217,0.15,0.033,0.431,0.18,0.18
"3806",15155,"high-point",28,55,8,15,24,7,29,14,20,50,12,9,11,1,22,17,1,0.582,0.52,0.15,0.217,0.241,0.569,0.273,0.273
"3807",15156,"shenandoah",20,53,8,18,28,9,22,13,23,52,7,24,40,13,27,10,0,0.453,0.51,0.138,0.098,0.25,0.449,0.34,0.34
"3808",13270,"howard",23,52,7,24,40,13,27,10,20,53,8,18,28,9,22,13,1,0.51,0.453,0.098,0.138,0.371,0.551,0.462,0.462
"3809",14256,"montana-tech",19,54,5,3,3,6,22,14,25,54,11,15,18,5,27,6,0,0.398,0.565,0.196,0.076,0.182,0.449,0.056,0.056
"3810",141109,"idaho-state",25,54,11,15,18,5,27,6,19,54,5,3,3,6,22,14,1,0.565,0.398,0.076,0.196,0.185,0.551,0.278,0.278
"3811",14257,"clarks-summit",11,51,7,4,7,5,18,16,31,58,8,11,15,8,34,8,0,0.284,0.603,0.215,0.098,0.128,0.346,0.078,0.078
"3812",141110,"liberty",31,58,8,11,15,8,34,8,11,51,7,4,7,5,18,16,1,0.603,0.284,0.098,0.215,0.308,0.654,0.19,0.19
"3813",13271,"florida-atlantic",19,57,3,15,18,6,18,9,25,55,8,18,27,14,30,11,0,0.36,0.527,0.107,0.118,0.167,0.375,0.263,0.263
"3814",12231,"miami-fl",25,55,8,18,27,14,30,11,19,57,3,15,18,6,18,9,1,0.527,0.36,0.118,0.107,0.438,0.625,0.327,0.327
"3815",13272,"north-dakota-state",30,57,9,18,26,8,31,15,25,56,4,16,30,8,23,10,1,0.605,0.482,0.152,0.104,0.258,0.574,0.316,0.316
"3816",14258,"north-dakota",25,56,4,16,30,8,23,10,30,57,9,18,26,8,31,15,0,0.482,0.605,0.104,0.152,0.205,0.426,0.286,0.286
"3817",15157,"long-beach-state",23,50,5,20,21,10,23,16,24,54,8,11,17,10,14,14,1,0.51,0.519,0.183,0.164,0.417,0.622,0.4,0.4
"3818",13273,"oregon-state",24,54,8,11,17,10,14,14,23,50,5,20,21,10,23,16,0,0.519,0.51,0.164,0.183,0.303,0.378,0.204,0.204
"3819",13274,"south-dakota",28,72,6,20,27,11,23,8,29,58,12,15,21,9,28,16,0,0.431,0.603,0.074,0.168,0.282,0.451,0.278,0.278
"3820",1186,"portland",29,58,12,15,21,9,28,16,28,72,6,20,27,11,23,8,1,0.603,0.431,0.168,0.074,0.281,0.549,0.259,0.259
"3821",12232,"drexel",33,76,7,9,14,15,23,12,33,68,6,18,26,14,29,14,0,0.48,0.529,0.117,0.129,0.341,0.442,0.118,0.118
"3822",1187,"rider",33,68,6,18,26,14,29,14,33,76,7,9,14,15,23,12,1,0.529,0.48,0.129,0.117,0.378,0.558,0.265,0.265
"3823",13275,"portland-state",27,62,6,22,26,11,22,9,27,58,11,13,20,8,23,12,1,0.484,0.56,0.092,0.133,0.324,0.489,0.355,0.355
"3824",14259,"san-francisco",27,58,11,13,20,8,23,12,27,62,6,22,26,11,22,9,0,0.56,0.484,0.133,0.092,0.267,0.511,0.224,0.224
"3825",14260,"samford",24,57,6,28,31,11,18,16,29,63,8,13,18,12,20,16,1,0.474,0.524,0.153,0.164,0.355,0.474,0.491,0.491
"3826",13276,"south-alabama",29,63,8,13,18,12,20,16,24,57,6,28,31,11,18,16,0,0.524,0.474,0.164,0.153,0.4,0.526,0.206,0.206
"3827",14261,"cal-state-east-bay",19,64,6,11,19,10,17,14,26,47,1,26,39,8,33,11,0,0.344,0.564,0.144,0.113,0.233,0.34,0.172,0.172
"3828",1819,"stanford",26,47,1,26,39,8,33,11,19,64,6,11,19,10,17,14,1,0.564,0.344,0.113,0.144,0.32,0.66,0.553,0.553
"3829",13277,"lamar",27,66,5,22,36,13,17,16,37,63,9,12,19,11,27,21,0,0.447,0.659,0.135,0.203,0.325,0.386,0.333,0.333
"3830",14262,"texas-pan-american",37,63,9,12,19,11,27,21,27,66,5,22,36,13,17,16,1,0.659,0.447,0.203,0.135,0.393,0.614,0.19,0.19
"3831",1820,"milligan",22,67,7,8,17,8,19,14,40,66,13,20,27,11,34,14,0,0.381,0.705,0.142,0.13,0.19,0.358,0.119,0.119
"3832",14263,"william-mary",40,66,13,20,27,11,34,14,22,67,7,8,17,8,19,14,1,0.705,0.381,0.13,0.142,0.367,0.642,0.303,0.303
"3833",13278,"marshall",30,63,12,16,23,6,15,10,34,58,15,16,20,7,27,15,0,0.571,0.716,0.104,0.161,0.182,0.357,0.254,0.254
"3834",14264,"akron",34,58,15,16,20,7,27,15,30,63,12,16,23,6,15,10,1,0.716,0.571,0.161,0.104,0.318,0.643,0.276,0.276
"3835",15158,"st-francis-ny",24,59,5,7,12,2,16,8,29,61,8,21,25,13,30,15,0,0.449,0.541,0.101,0.148,0.062,0.348,0.119,0.119
"3836",12233,"albany-ny",29,61,8,21,25,13,30,15,24,59,5,7,12,2,16,8,1,0.541,0.449,0.148,0.101,0.448,0.652,0.344,0.344
"3837",13279,"james-madison",20,48,5,16,23,10,29,22,24,58,12,13,18,5,18,11,0,0.469,0.517,0.235,0.126,0.357,0.617,0.333,0.333
"3838",14265,"appalachian-state",24,58,12,13,18,5,18,11,20,48,5,16,23,10,29,22,1,0.517,0.469,0.126,0.235,0.147,0.383,0.224,0.224
"3839",12234,"texas-am",25,56,3,10,17,14,20,14,22,55,3,20,24,12,21,9,0,0.473,0.427,0.16,0.102,0.4,0.488,0.179,0.179
"3840",1011,"arizona",22,55,3,20,24,12,21,9,25,56,3,10,17,14,20,14,1,0.427,0.473,0.102,0.16,0.375,0.512,0.364,0.364
"3841",12235,"new-mexico-state",28,56,11,14,18,6,28,16,26,63,4,14,17,9,24,10,1,0.598,0.444,0.177,0.111,0.2,0.538,0.25,0.25
"3842",1188,"arizona-state",26,63,4,14,17,9,24,10,28,56,11,14,18,6,28,16,0,0.444,0.598,0.111,0.177,0.243,0.462,0.222,0.222
"3843",12236,"evansville",30,55,2,15,22,9,22,12,21,53,9,18,25,9,18,13,1,0.564,0.481,0.134,0.142,0.333,0.55,0.273,0.273
"3844",13280,"austin-peay",21,53,9,18,25,9,18,13,30,55,2,15,22,9,22,12,0,0.481,0.564,0.142,0.134,0.29,0.45,0.34,0.34
"3845",15159,"jackson-state",17,61,8,15,17,12,13,8,24,49,8,26,34,12,29,15,0,0.344,0.571,0.093,0.152,0.293,0.31,0.246,0.246
"3846",14266,"baylor",24,49,8,26,34,12,29,15,17,61,8,15,17,12,13,8,1,0.571,0.344,0.152,0.093,0.48,0.69,0.531,0.531
"3847",15160,"delaware-state",25,55,8,8,18,8,14,10,31,51,8,15,24,7,25,12,0,0.527,0.686,0.12,0.137,0.242,0.359,0.145,0.145
"3848",16103,"binghamton",31,51,8,15,24,7,25,12,25,55,8,8,18,8,14,10,1,0.686,0.527,0.137,0.12,0.333,0.641,0.294,0.294
"3849",14267,"canisius",30,70,14,20,30,14,29,16,28,70,9,22,32,13,24,17,1,0.529,0.464,0.137,0.142,0.368,0.547,0.286,0.286
"3850",13281,"buffalo",28,70,9,22,32,13,24,17,30,70,14,20,30,14,29,16,0,0.464,0.529,0.142,0.137,0.31,0.453,0.314,0.314
"3851",14268,"cal-poly",20,62,7,8,16,13,24,9,31,58,10,9,18,10,25,9,0,0.379,0.621,0.103,0.105,0.342,0.49,0.129,0.129
"3852",16104,"california",31,58,10,9,18,10,25,9,20,62,7,8,16,13,24,9,1,0.621,0.379,0.105,0.103,0.294,0.51,0.155,0.155
"3853",16105,"william-jessup",23,65,9,9,10,8,21,16,29,56,9,20,25,7,29,14,0,0.423,0.598,0.175,0.147,0.216,0.42,0.138,0.138
"3854",14269,"california-davis",29,56,9,20,25,7,29,14,23,65,9,9,10,8,21,16,1,0.598,0.423,0.147,0.175,0.25,0.58,0.357,0.357
"3855",13282,"montana",22,47,6,21,29,4,22,19,18,50,2,25,34,11,23,21,1,0.532,0.38,0.199,0.199,0.148,0.489,0.447,0.447
"3856",131114,"california-riverside",18,50,2,25,34,11,23,21,22,47,6,21,29,4,22,19,0,0.38,0.532,0.199,0.199,0.333,0.511,0.5,0.5
"3857",14270,"fairleigh-dickinson",20,63,8,20,22,11,15,22,44,68,12,19,29,12,29,12,0,0.381,0.735,0.205,0.11,0.275,0.341,0.317,0.317
"3858",16106,"cincinnati",44,68,12,19,29,12,29,12,20,63,8,20,22,11,15,22,1,0.735,0.381,0.11,0.205,0.444,0.659,0.279,0.279
"3859",15161,"fort-hays-state",26,65,10,9,13,9,26,14,22,51,6,31,41,5,31,13,0,0.477,0.49,0.151,0.123,0.225,0.456,0.138,0.138
"3860",15162,"colorado",22,51,6,31,41,5,31,13,26,65,10,9,13,9,26,14,1,0.49,0.477,0.123,0.151,0.161,0.544,0.608,0.608
"3861",16107,"kansas-state",31,63,9,18,20,12,21,9,23,57,7,17,23,14,18,14,1,0.563,0.465,0.097,0.148,0.4,0.538,0.286,0.286
"3862",13283,"colorado-state",23,57,7,17,23,14,18,14,31,63,9,18,20,12,21,9,0,0.465,0.563,0.148,0.097,0.4,0.462,0.298,0.298
"3863",12237,"oral-roberts",26,59,6,7,10,8,30,11,28,58,7,3,9,3,26,10,0,0.492,0.543,0.137,0.129,0.235,0.536,0.119,0.119
"3864",14271,"creighton",28,58,7,3,9,3,26,10,26,59,6,7,10,8,30,11,1,0.543,0.492,0.129,0.137,0.091,0.464,0.052,0.052
"3865",12238,"kansas",33,68,6,17,24,15,24,6,24,56,10,13,20,9,24,13,1,0.529,0.518,0.061,0.145,0.385,0.5,0.25,0.25
"3866",14272,"davidson",24,56,10,13,20,9,24,13,33,68,6,17,24,15,24,6,0,0.518,0.529,0.145,0.061,0.273,0.5,0.232,0.232
"3867",13284,"northern-colorado",21,49,7,21,30,7,27,18,21,58,9,22,27,9,25,14,0,0.5,0.44,0.185,0.141,0.219,0.519,0.429,0.429
"3868",14273,"denver",21,58,9,22,27,9,25,14,21,49,7,21,30,7,27,18,1,0.44,0.5,0.141,0.185,0.25,0.481,0.379,0.379
"3869",15163,"chicago-state",23,62,4,11,15,7,15,13,38,57,13,20,29,9,31,15,0,0.403,0.781,0.144,0.148,0.184,0.326,0.177,0.177
"3870",15164,"depaul",38,57,13,20,29,9,31,15,23,62,4,11,15,7,15,13,1,0.781,0.403,0.148,0.144,0.375,0.674,0.351,0.351
"3871",12239,"western-kentucky",30,62,10,9,12,12,25,15,33,63,12,7,13,9,18,9,0,0.565,0.619,0.168,0.105,0.4,0.581,0.145,0.145
"3872",121108,"detroit-mercy",33,63,12,7,13,9,18,9,30,62,10,9,12,12,25,15,1,0.619,0.565,0.105,0.168,0.265,0.419,0.111,0.111
"3873",15165,"charlotte",14,51,4,14,21,4,17,20,29,58,6,23,30,14,29,12,0,0.314,0.552,0.216,0.119,0.121,0.37,0.275,0.275
"3874",14274,"florida",29,58,6,23,30,14,29,12,14,51,4,14,21,4,17,20,1,0.552,0.314,0.119,0.216,0.452,0.63,0.397,0.397
"3875",12240,"jacksonville",26,56,11,12,17,6,21,11,26,53,9,11,19,4,24,17,1,0.562,0.575,0.13,0.19,0.2,0.467,0.214,0.214
"3876",121109,"florida-am",26,53,9,11,19,4,24,17,26,56,11,12,17,6,21,11,0,0.575,0.562,0.19,0.13,0.16,0.533,0.208,0.208
"3877",13285,"northern-illinois",18,46,3,21,30,7,23,9,19,54,5,10,16,6,23,12,1,0.424,0.398,0.105,0.146,0.233,0.5,0.457,0.457
"3878",14275,"florida-international",19,54,5,10,16,6,23,12,18,46,3,21,30,7,23,9,0,0.398,0.424,0.146,0.105,0.207,0.5,0.185,0.185
"3879",14276,"manhattan",21,52,9,16,24,9,12,16,27,48,2,27,40,11,24,16,0,0.49,0.583,0.173,0.153,0.273,0.333,0.308,0.308
"3880",141111,"florida-state",27,48,2,27,40,11,24,16,21,52,9,16,24,9,12,16,1,0.583,0.49,0.153,0.173,0.478,0.667,0.562,0.562
"3881",14277,"charleston-southern",24,57,6,10,16,5,15,9,28,52,8,20,29,13,26,12,0,0.474,0.615,0.109,0.128,0.161,0.366,0.175,0.175
"3882",1733,"georgia",28,52,8,20,29,13,26,12,24,57,6,10,16,5,15,9,1,0.615,0.474,0.128,0.109,0.464,0.634,0.385,0.385
"3883",14278,"mississippi-valley-state",25,57,6,6,10,7,24,12,22,51,8,20,25,7,24,12,0,0.491,0.51,0.151,0.136,0.226,0.5,0.105,0.105
"3884",1012,"grand-canyon",22,51,8,20,25,7,24,12,25,57,6,6,10,7,24,12,1,0.51,0.491,0.136,0.151,0.226,0.5,0.392,0.392
"3885",13286,"winthrop",27,53,10,22,30,8,23,16,23,54,11,22,25,6,19,17,1,0.604,0.528,0.161,0.176,0.296,0.548,0.415,0.415
"3886",14279,"hampton",23,54,11,22,25,6,19,17,27,53,10,22,30,8,23,16,0,0.528,0.604,0.176,0.161,0.207,0.452,0.407,0.407
"3887",16108,"texas-pan-american",20,57,8,10,12,12,16,18,29,56,10,15,20,12,21,14,0,0.421,0.607,0.206,0.155,0.364,0.432,0.175,0.175
"3888",14280,"houston",29,56,10,15,20,12,21,14,20,57,8,10,12,12,16,18,1,0.607,0.421,0.155,0.206,0.429,0.568,0.268,0.268
"3889",14281,"arlington-baptist",31,60,6,9,14,5,14,15,43,71,7,10,15,12,25,10,0,0.567,0.655,0.168,0.104,0.167,0.359,0.15,0.15
"3890",15166,"houston-baptist",43,71,7,10,15,12,25,10,31,60,6,9,14,5,14,15,1,0.655,0.567,0.104,0.168,0.462,0.641,0.141,0.141
"3891",14282,"northwest-nazarene",23,46,9,6,18,4,20,17,27,61,8,25,27,12,22,8,0,0.598,0.508,0.209,0.083,0.154,0.476,0.13,0.13
"3892",16109,"idaho",27,61,8,25,27,12,22,8,23,46,9,6,18,4,20,17,1,0.508,0.598,0.083,0.209,0.375,0.524,0.41,0.41
