"","X","Team","FG","FGA","X3P","FT","FTA","ORB","DRB","TOV","Opp.FG","Opp.FGA","Opp.3P","Opp.FT","Opp.FTA","Opp.ORB","Opp.DRB","Opp.TOV","Win.","eFG","OeFG","TOVp","oTOVp","ORBp","DRBp","FTp","oFTp"
"253",1341,"fairleigh-dickinson",24,61,9,13,16,6,23,10,35,57,8,13,27,9,32,10,0,0.467,0.684,0.114,0.106,0.158,0.418,0.213,0.213
"254",13115,"seton-hall",35,57,8,13,27,9,32,10,24,61,9,13,16,6,23,10,1,0.684,0.467,0.106,0.114,0.281,0.582,0.228,0.228
"255",1342,"louisiana-tech",24,55,7,21,30,9,20,13,30,57,9,16,26,7,23,15,0,0.5,0.605,0.132,0.152,0.281,0.465,0.382,0.382
"256",13116,"south-carolina",30,57,9,16,26,7,23,15,24,55,7,21,30,9,20,13,1,0.605,0.5,0.152,0.132,0.259,0.535,0.281,0.281
"257",1458,"florida-am",22,63,9,20,32,9,18,10,30,56,5,19,27,10,33,16,0,0.421,0.58,0.095,0.161,0.214,0.353,0.317,0.317
"258",119,"south-florida",30,56,5,19,27,10,33,16,22,63,9,20,32,9,18,10,1,0.58,0.421,0.161,0.095,0.357,0.647,0.339,0.339
"259",1721,"millsaps",16,51,3,4,12,3,17,19,31,56,6,17,28,11,35,18,0,0.343,0.607,0.23,0.176,0.079,0.327,0.078,0.078
"260",1459,"southeastern-louisiana",31,56,6,17,28,11,35,18,16,51,3,4,12,3,17,19,1,0.607,0.343,0.176,0.23,0.393,0.673,0.304,0.304
"261",1460,"montana",22,57,10,7,11,9,20,14,21,51,6,27,38,13,24,14,0,0.474,0.471,0.17,0.135,0.273,0.455,0.123,0.123
"262",1110,"southern-california",21,51,6,27,38,13,24,14,22,57,10,7,11,9,20,14,1,0.471,0.474,0.135,0.17,0.394,0.545,0.529,0.529
"263",1113,"wright-state",27,58,10,21,31,14,22,18,28,55,9,16,20,6,18,17,1,0.552,0.591,0.168,0.184,0.438,0.55,0.362,0.362
"264",1461,"southern-illinois",28,55,9,16,20,6,18,17,27,58,10,21,31,14,22,18,0,0.591,0.552,0.184,0.168,0.214,0.45,0.291,0.291
"265",1462,"gardner-webb",15,49,6,8,15,10,13,23,24,53,8,16,21,16,24,18,0,0.367,0.528,0.263,0.195,0.294,0.351,0.163,0.163
"266",1343,"southern-methodist",24,53,8,16,21,16,24,18,15,49,6,8,15,10,13,23,1,0.528,0.367,0.195,0.263,0.552,0.649,0.302,0.302
"267",1533,"tougaloo",38,75,12,8,19,8,21,20,34,60,7,26,37,13,31,27,0,0.587,0.625,0.175,0.217,0.205,0.404,0.107,0.107
"268",1344,"southern-mississippi",34,60,7,26,37,13,31,27,38,75,12,8,19,8,21,20,1,0.625,0.587,0.217,0.175,0.382,0.596,0.433,0.433
"269",1234,"bethune-cookman",20,60,5,8,19,13,16,18,33,53,11,23,32,6,25,11,0,0.375,0.726,0.185,0.114,0.342,0.39,0.133,0.133
"270",1534,"st-johns-ny",33,53,11,23,32,6,25,11,20,60,5,8,19,13,16,18,1,0.726,0.375,0.114,0.185,0.273,0.61,0.434,0.434
"271",1345,"harvard",22,59,4,22,30,9,25,12,25,54,1,29,43,10,31,11,0,0.407,0.472,0.118,0.101,0.225,0.446,0.373,0.373
"272",13117,"stanford",25,54,1,29,43,10,31,11,22,59,4,22,30,9,25,12,1,0.472,0.407,0.101,0.118,0.286,0.554,0.537,0.537
"273",1535,"webber",22,67,4,14,17,12,24,14,23,49,4,28,41,5,27,15,0,0.358,0.51,0.142,0.142,0.308,0.471,0.209,0.209
"274",15111,"stetson",23,49,4,28,41,5,27,15,22,67,4,14,17,12,24,14,1,0.51,0.358,0.142,0.142,0.172,0.529,0.571,0.571
"275",1463,"columbia",26,54,10,11,13,7,26,14,24,67,6,12,21,17,19,10,1,0.574,0.403,0.172,0.102,0.269,0.578,0.204,0.204
"276",1346,"stony-brook",24,67,6,12,21,17,19,10,26,54,10,11,13,7,26,14,0,0.403,0.574,0.102,0.172,0.395,0.422,0.179,0.179
"277",1722,"colgate",18,64,6,13,21,14,17,14,34,62,7,8,19,10,30,9,0,0.328,0.605,0.141,0.1,0.318,0.362,0.203,0.203
"278",17110,"syracuse",34,62,7,8,19,10,30,9,18,64,6,13,21,14,17,14,1,0.605,0.328,0.1,0.141,0.37,0.638,0.129,0.129
"279",1347,"la-salle",30,71,9,23,27,5,29,9,34,69,9,20,31,7,36,10,0,0.486,0.558,0.084,0.091,0.122,0.446,0.324,0.324
"280",10,"temple",34,69,9,20,31,7,36,10,30,71,9,23,27,5,29,9,1,0.558,0.486,0.091,0.084,0.194,0.554,0.29,0.29
"281",1235,"chattanooga",27,58,5,23,33,10,21,14,19,58,1,30,40,18,22,17,1,0.509,0.336,0.133,0.147,0.312,0.488,0.397,0.397
"282",1464,"tennessee",19,58,1,30,40,18,22,17,27,58,5,23,33,10,21,14,0,0.336,0.509,0.147,0.133,0.462,0.512,0.517,0.517
"283",1465,"incarnate-word",24,70,6,19,26,11,26,10,27,58,3,21,30,4,37,15,0,0.386,0.491,0.094,0.145,0.229,0.413,0.271,0.271
