,School,G,W,L,W-L%,SRS,SOS, ,W,L, ,W,L, ,W,L, ,Tm.,Opp., ,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
177,Michigan State_2001,33,28,5,.848,25.12,9.54,,13,3,,17,0,,7,3,,2553,2039,,,957,1957,.489,146,453,.322,493,686,.719,514,1404,579,210,133,451,611
184,Mississippi_2001,35,27,8,.771,15.05,9.20,,11,5,,15,1,,6,4,,2496,2262,,,865,1958,.442,224,655,.342,542,829,.654,416,1227,500,285,115,500,719
187,Missouri_2001,33,20,13,.606,10.76,9.19,,9,7,,13,1,,3,8,,2493,2402,,,847,2015,.420,279,734,.380,520,742,.701,466,1259,418,258,132,497,679
188,Monmouth_2001,31,21,10,.677,-3.82,-8.85,,15,5,,10,2,,8,7,,2180,2024,,,756,1664,.454,201,570,.353,467,678,.689,300,1055,439,280,105,471,517
210,North Carolina-Greensboro_2001,31,19,12,.613,-5.02,-5.85,,10,6,,10,1,,6,10,,2282,2230,,,773,1741,.444,184,480,.383,552,718,.769,343,1049,414,271,118,475,648
213,North Carolina_2001,33,26,7,.788,19.95,11.77,,13,3,,12,2,,8,3,,2611,2341,,,945,1972,.479,189,519,.364,532,794,.670,411,1363,576,244,184,518,576
221,Northwestern State_2001,32,19,13,.594,-11.10,-7.82,,11,9,,8,3,,8,9,,2292,2397,,,768,1856,.414,175,551,.318,581,877,.662,410,1178,392,308,133,537,765
223,Notre Dame_2001,30,20,10,.667,14.35,5.68,,11,5,,13,4,,6,4,,2338,2078,,,814,1763,.462,219,570,.384,491,714,.688,370,1214,527,199,178,434,501
225,Ohio State_2001,31,20,11,.645,15.68,8.17,,11,5,,14,3,,5,4,,2206,1973,,,775,1645,.471,169,443,.381,487,697,.699,355,1090,473,161,160,471,607
227,Oklahoma State_2001,30,20,10,.667,10.81,4.70,,10,6,,15,1,,4,7,,2129,1936,,,767,1652,.464,129,395,.327,466,736,.633,364,1139,406,241,115,506,568
228,Oklahoma_2001,33,26,7,.788,15.54,5.48,,12,4,,13,1,,5,5,,2454,2122,,,859,1924,.446,242,636,.381,494,668,.740,420,1184,444,281,91,420,706
234,Penn State_2001,33,21,12,.636,12.42,10.54,,7,9,,10,4,,5,6,,2535,2473,,,835,1962,.426,278,757,.367,587,768,.764,349,1069,481,279,117,407,657
243,Princeton_2001,27,16,11,.593,-2.53,-1.88,,11,3,,9,1,,6,7,,1562,1569,,,540,1203,.449,218,619,.352,264,363,.727,174,692,383,180,61,340,456
244,Providence_2001,31,21,10,.677,13.74,5.44,,11,5,,13,3,,8,3,,2359,2049,,1240,806,1809,.446,249,622,.400,498,693,.719,391,1129,506,286,172,467,644
257,Saint Joseph's_2001,33,26,7,.788,12.72,4.45,,14,2,,13,1,,10,5,,2625,2352,,,905,1879,.482,255,716,.356,560,808,.693,368,1241,590,204,128,479,652
278,Southern California_2001,34,24,10,.706,16.53,10.83,,11,7,,13,3,,7,5,,2620,2420,,,898,1955,.459,208,597,.348,616,873,.706,422,1250,514,259,151,512,617
282,Southern Utah_2001,31,25,6,.806,3.01,-3.42,,13,3,,13,0,,9,5,,2243,2015,,,783,1602,.489,197,493,.400,480,673,.713,335,997,462,321,87,470,613
289,Stanford_2001,34,31,3,.912,25.76,9.86,,16,2,,13,2,,11,0,,2829,2226,,,953,1865,.511,252,587,.429,671,903,.743,365,1244,568,187,108,438,778
293,Syracuse_2001,34,25,9,.735,11.14,5.82,,10,6,,15,2,,4,5,,2475,2294,,,885,2029,.436,185,552,.335,520,727,.715,442,1213,545,325,203,441,681
294,Temple_2001,37,24,13,.649,16.20,9.77,,12,4,,12,5,,8,6,,2604,2366,,,926,2168,.427,281,815,.345,471,673,.700,494,1322,416,270,138,307,585
298,Tennessee_2001,33,22,11,.667,15.49,10.28,,8,8,,13,3,,6,6,,2668,2496,,,909,1980,.459,257,697,.369,593,872,.680,421,1301,528,232,191,528,712
310,Texas_2001,34,25,9,.735,14.25,8.89,,12,4,,16,1,,6,5,,2396,2211,,,819,1990,.412,215,626,.343,543,835,.650,483,1346,414,268,191,502,771
316,UCLA_2001,32,23,9,.719,17.13,12.06,,14,4,,12,4,,8,3,,2544,2382,,,902,1947,.463,190,535,.355,550,829,.663,441,1219,464,249,127,515,670
317,Utah State_2001,34,28,6,.824,9.97,-1.50,,13,3,,15,0,,7,4,,2404,1959,,,852,1755,.485,200,513,.390,500,743,.673,370,1177,511,220,132,486,581
326,Virginia_2001,29,20,9,.690,18.93,8.72,,9,7,,15,1,,5,7,,2464,2168,,,852,1872,.455,204,553,.369,556,755,.736,437,1131,420,221,98,399,590
328,Wake Forest_2001,30,19,11,.633,20.53,10.50,,8,8,,13,3,,6,6,,2296,1995,,,838,1815,.462,177,494,.358,443,609,.727,342,1104,465,219,136,375,572
337,Western Kentucky_2001,31,24,7,.774,8.67,-1.65,,14,2,,13,2,,9,4,,2303,1889,,,812,1789,.454,213,605,.352,466,674,.691,441,1240,452,246,155,453,588
341,Winthrop_2001,31,18,13,.581,-3.73,-7.80,,11,3,,11,1,,5,8,,2037,1917,,,684,1676,.408,215,613,.351,454,661,.687,398,1103,351,223,78,441,610
342,Wisconsin_2001,29,18,11,.621,14.90,12.08,,9,7,,13,2,,5,7,,1723,1641,,,575,1349,.426,174,477,.365,399,568,.702,233,869,358,172,68,337,520
346,Xavier_2001,29,21,8,.724,12.14,4.59,,12,4,,14,1,,7,5,,2130,1911,,,706,1653,.427,178,587,.303,540,768,.703,391,1125,398,208,115,415,551
6,Alabama_2002,35,27,8,.771,16.93,7.67,,12,4,,17,0,,4,4,,2658,2334,,,910,2071,.439,217,703,.309,621,844,.736,509,1369,460,257,113,490,
8,Alcorn State_2002,31,21,10,.677,-11.28,-14.18,,16,2,,11,0,,8,9,,2473,2374,,,900,1935,.465,173,458,.378,500,777,.644,453,1243,496,258,125,538,
