,School_opp,G_opp,W_opp,L_opp,W-L%_opp,SRS_opp,SOS_opp, _opp,W_opp,L_opp, _opp,W_opp,L_opp, _opp,W_opp,L_opp, _opp,Tm._opp,Opp._opp, _opp,MP_opp,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
68,College of Charleston_2018,34,26,8,.765,1.83,-3.29,,14,4,,14,0,,7,6,,2536,2331,,1385,824,1907,.432,239,694,.344,444,602,.738,321,1149,410,140,110,403,617
75,Creighton_2018,33,21,12,.636,16.35,8.10,,10,8,,16,2,,4,7,,2756,2444,,1330,907,2093,.433,261,785,.332,369,512,.721,303,1160,460,200,99,387,529
77,Davidson_2018,33,21,12,.636,11.02,2.57,,13,5,,11,1,,6,8,,2519,2240,,1335,802,1826,.439,266,761,.350,370,540,.685,258,1042,417,158,83,352,525
86,Duke_2018,37,29,8,.784,24.44,9.71,,13,5,,15,1,,6,5,,3121,2576,,1490,957,2364,.405,279,871,.320,383,526,.728,432,1216,537,210,97,453,671
104,Florida State_2018,35,23,12,.657,15.79,8.50,,9,9,,13,2,,4,7,,2806,2551,,1420,887,2129,.417,285,802,.355,492,689,.714,383,1228,432,204,104,494,658
105,Florida_2018,34,21,13,.618,16.67,10.08,,11,7,,12,5,,5,4,,2577,2353,,1375,832,1946,.428,229,650,.352,460,629,.731,362,1273,394,150,105,468,607
116,Georgia State_2018,35,24,11,.686,3.23,-2.78,,12,6,,11,3,,9,6,,2614,2356,,1415,771,1963,.393,307,901,.341,507,727,.697,416,1296,457,174,117,501,577
119,Gonzaga_2018,37,32,5,.865,18.43,2.59,,17,1,,15,1,,10,1,,3091,2505,,1500,890,2178,.409,272,777,.350,453,633,.716,316,1160,411,190,101,455,681
133,Houston_2018,35,27,8,.771,15.99,4.16,,14,4,,15,0,,6,5,,2685,2271,,1400,744,1887,.394,231,715,.323,552,785,.703,320,1126,386,175,92,457,648
143,Iona_2018,34,20,14,.588,0.76,-2.19,,11,7,,8,3,,7,8,,2702,2602,,1385,969,2102,.461,267,745,.358,397,602,.659,379,1280,505,172,95,464,577
152,Kansas State_2018,37,25,12,.676,12.84,8.74,,10,8,,14,3,,6,5,,2630,2478,,1485,842,1980,.425,261,791,.330,533,728,.732,386,1259,459,208,91,533,673
155,Kansas_2018,39,31,8,.795,21.39,11.87,,13,5,,14,3,,8,3,,3174,2803,,1565,1031,2419,.426,315,947,.333,424,595,.713,453,1371,500,216,138,501,656
158,Kentucky_2018,37,26,11,.703,17.24,10.73,,10,8,,16,2,,4,6,,2840,2599,,1485,905,2242,.404,287,955,.301,502,725,.692,437,1240,472,212,134,436,761
164,Lipscomb_2018,33,23,10,.697,-2.10,-3.80,,10,4,,13,2,,10,7,,2708,2564,,1340,898,2002,.449,249,730,.341,519,751,.691,292,1169,444,233,144,511,712
166,Long Island University_2018,35,18,17,.514,-8.61,-8.19,,10,8,,12,4,,5,11,,2696,2674,,1405,973,2209,.440,242,743,.326,486,702,.692,401,1275,458,232,91,423,714
173,Loyola (IL)_2018,38,32,6,.842,10.38,1.81,,15,3,,14,1,,9,4,,2721,2377,,1520,877,2118,.414,254,786,.323,369,523,.706,335,1158,439,252,119,484,627
182,Marshall_2018,36,25,11,.694,4.21,0.44,,12,6,,15,2,,6,8,,3017,2849,,1455,1059,2399,.441,265,747,.355,466,684,.681,458,1466,539,239,95,515,675
183,Maryland-Baltimore County_2018,36,25,11,.694,-2.02,-3.84,,12,4,,15,2,,9,7,,2630,2466,,1440,883,2012,.439,282,819,.344,418,618,.676,339,1289,458,238,96,529,678
191,Miami (FL)_2018,32,22,10,.688,12.83,6.96,,11,7,,11,3,,8,4,,2361,2173,,1290,794,1841,.431,215,655,.328,368,517,.712,314,1088,423,182,108,412,526
193,Michigan State_2018,35,30,5,.857,22.41,7.10,,16,2,,16,1,,8,1,,2807,2271,,1405,774,2108,.367,252,748,.337,471,647,.728,369,1058,419,207,88,349,698
194,Michigan_2018,41,33,8,.805,19.03,9.41,,13,5,,15,1,,6,5,,3019,2596,,1655,948,2227,.426,222,676,.328,478,663,.721,341,1353,412,172,129,530,729
205,Missouri_2018,33,20,13,.606,13.81,9.19,,10,8,,13,3,,5,6,,2399,2246,,1330,795,1949,.408,231,706,.327,425,586,.725,343,1079,376,217,117,365,649
208,Montana_2018,34,26,8,.765,6.28,-2.25,,16,2,,14,0,,8,6,,2625,2329,,1380,784,1825,.430,209,584,.358,552,764,.723,295,1102,343,168,129,522,674
212,Murray State_2018,32,26,6,.813,6.87,-3.53,,16,2,,14,2,,10,3,,2515,2117,,1280,761,1841,.413,199,649,.307,396,547,.724,314,1005,322,173,105,402,579
217,Nevada_2018,37,29,8,.784,14.44,4.93,,15,3,,14,1,,11,3,,3055,2703,,1500,974,2248,.433,275,868,.317,480,677,.709,393,1347,480,165,105,474,710
221,New Mexico State_2018,34,28,6,.824,9.06,-1.10,,12,2,,14,1,,8,3,,2572,2183,,1365,763,1919,.398,222,715,.310,435,612,.711,282,1103,320,166,82,463,603
230,North Carolina Central_2018,35,19,16,.543,-13.19,-12.31,,9,7,,12,2,,3,13,,2520,2425,,1405,846,2030,.417,259,786,.330,474,663,.715,359,1168,462,181,105,423,546
231,North Carolina-Greensboro_2018,35,27,8,.771,4.54,-3.87,,15,3,,16,1,,8,6,,2562,2189,,1430,729,1794,.406,229,727,.315,502,692,.725,264,1070,348,245,79,528,579
232,North Carolina State_2018,33,21,12,.636,12.91,6.70,,11,7,,16,3,,4,5,,2682,2477,,1325,908,1952,.465,199,629,.316,462,657,.703,363,1164,457,205,131,487,599
234,North Carolina_2018,37,26,11,.703,20.08,11.78,,11,7,,12,3,,6,5,,3018,2711,,1485,972,2297,.423,357,940,.380,410,597,.687,362,1216,541,228,176,433,657
251,Ohio State_2018,34,25,9,.735,17.67,9.03,,15,3,,16,2,,6,2,,2591,2297,,1375,811,1944,.417,272,775,.351,403,574,.702,302,1078,405,174,90,418,598
254,Oklahoma_2018,32,18,14,.563,13.81,10.56,,8,10,,13,2,,2,9,,2718,2614,,1295,964,2178,.443,293,810,.362,393,559,.703,383,1237,471,215,141,415,574
261,Pennsylvania_2018,33,24,9,.727,2.24,-3.17,,12,2,,11,3,,9,4,,2506,2274,,1355,816,1971,.414,192,651,.295,450,613,.734,275,1192,323,174,97,406,609
271,Providence_2018,35,21,14,.600,11.12,10.23,,10,8,,13,4,,4,7,,2575,2544,,1425,913,2054,.444,240,746,.322,478,654,.731,357,1268,444,227,128,469,675
272,Purdue_2018,37,30,7,.811,23.41,8.74,,15,3,,16,1,,8,2,,2974,2431,,1485,907,2197,.413,251,755,.332,366,531,.689,376,1204,443,190,94,448,688
274,Radford_2018,36,23,13,.639,-2.61,-4.08,,12,6,,12,2,,7,10,,2422,2336,,1465,819,1897,.432,261,745,.350,437,582,.751,317,1135,413,198,120,469,601
275,Rhode Island_2018,34,26,8,.765,11.81,4.61,,15,3,,15,1,,7,4,,2583,2338,,1370,811,1792,.453,182,549,.332,534,728,.734,303,1170,397,187,105,536,591
292,San Diego State_2018,33,22,11,.667,12.23,3.91,,11,7,,13,2,,5,7,,2545,2240,,1320,795,1908,.417,251,767,.327,399,549,.727,297,1077,440,201,109,443,636
299,Seton Hall_2018,34,22,12,.647,15.67,10.11,,10,8,,14,3,,5,6,,2701,2512,,1370,903,2057,.439,262,776,.338,444,613,.724,347,1149,442,201,111,431,664
305,South Dakota State_2018,35,28,7,.800,6.84,-0.38,,13,1,,15,0,,8,5,,2958,2599,,1415,955,2235,.427,291,875,.333,398,554,.718,305,1243,410,172,91,371,670
319,St. Bonaventure_2018,34,26,8,.765,8.87,2.61,,14,4,,13,1,,9,4,,2620,2407,,1380,807,1917,.421,266,829,.321,527,737,.715,353,1186,463,181,133,488,663
323,Stephen F. Austin_2018,35,28,7,.800,2.67,-6.46,,14,4,,16,1,,9,5,,2819,2386,,1400,768,1796,.428,246,689,.357,604,878,.688,325,1124,450,260,126,691,717
326,Syracuse_2018,37,23,14,.622,12.89,10.02,,8,10,,14,5,,4,6,,2466,2360,,1500,801,2046,.391,289,910,.318,469,642,.731,400,1237,591,228,116,469,679
333,Tennessee_2018,35,26,9,.743,18.20,10.12,,13,5,,13,2,,8,4,,2584,2301,,1410,784,1917,.409,222,699,.318,511,720,.710,383,1194,383,194,112,484,674
335,Texas A&M_2018,35,22,13,.629,15.30,10.62,,9,9,,13,3,,4,7,,2631,2467,,1400,892,2186,.408,268,821,.326,415,603,.688,378,1222,512,227,135,379,616
337,Texas Christian_2018,33,21,12,.636,16.38,9.68,,9,9,,15,3,,3,7,,2708,2487,,1345,894,1958,.457,262,697,.376,437,598,.731,291,1001,511,206,141,410,612
341,Texas Southern_2018,36,16,20,.444,-7.53,-5.53,,12,6,,8,2,,5,17,,2787,2859,,1450,1048,2320,.452,280,764,.366,483,724,.667,442,1381,569,191,145,426,757
343,Texas Tech_2018,37,27,10,.730,19.38,9.60,,11,7,,17,1,,4,6,,2759,2397,,1490,806,2008,.401,249,770,.323,536,762,.703,368,1199,377,222,138,554,766
344,Texas_2018,34,19,15,.559,13.96,10.67,,8,10,,13,4,,3,7,,2450,2338,,1410,861,2028,.425,237,714,.332,379,532,.712,353,1216,420,181,100,425,606
350,UCLA_2018,33,21,12,.636,12.07,6.86,,11,7,,14,2,,3,7,,2679,2507,,1350,891,2105,.423,287,829,.346,438,625,.701,347,1195,451,201,81,351,630
359,Villanova_2018,40,36,4,.900,26.64,10.24,,14,4,,12,1,,9,3,,3463,2807,,1615,1028,2401,.428,272,858,.317,479,641,.747,378,1306,532,193,105,512,698
362,Virginia Tech_2018,33,21,12,.636,14.35,6.72,,10,8,,14,4,,6,5,,2634,2382,,1335,844,1965,.430,292,842,.347,402,577,.697,346,1130,460,174,124,433,572
363,Virginia_2018,34,31,3,.912,22.21,9.07,,17,1,,16,1,,10,1,,2283,1836,,1365,647,1703,.380,215,694,.310,327,447,.732,280,1048,308,130,87,432,510
369,West Virginia_2018,37,26,11,.703,19.88,9.36,,11,7,,14,3,,5,5,,2964,2575,,1485,835,1962,.426,288,758,.380,617,866,.712,375,1268,462,204,148,612,695
376,Wichita State_2018,33,25,8,.758,16.58,5.46,,14,4,,13,3,,9,2,,2731,2364,,1330,809,1922,.421,282,776,.363,464,639,.726,271,1005,356,200,111,379,658
381,Wright State_2018,35,25,10,.714,0.58,-3.64,,14,4,,14,2,,8,7,,2500,2307,,1410,816,1965,.415,268,775,.346,407,573,.710,303,1178,420,204,102,531,702
383,Xavier_2018,35,29,6,.829,19.08,9.45,,15,3,,17,1,,9,2,,2953,2616,,1415,944,2192,.431,301,902,.334,427,562,.760,296,1095,492,238,127,400,731
1,Abilene Christian_2019,34,27,7,.794,-1.91,-7.34,,14,4,,13,2,,10,4,,2502,2161,,1370,753,1737,.434,191,578,.330,464,643,.722,295,1098,356,192,92,560,592
12,Arizona State_2019,34,23,11,.676,10.28,6.04,,12,6,,13,3,,6,5,,2638,2494,,1380,828,2007,.413,292,874,.334,546,774,.705,343,1218,449,221,113,476,735
19,Auburn_2019,40,30,10,.750,20.84,10.92,,11,7,,15,2,,4,6,,3188,2750,,1615,940,2153,.437,323,937,.345,547,774,.707,424,1412,491,226,144,683,690
24,Baylor_2019,34,20,14,.588,13.38,9.26,,10,8,,13,5,,5,6,,2442,2302,,1365,795,1869,.425,246,714,.345,466,682,.683,338,1086,442,202,146,421,612
25,Belmont_2019,33,27,6,.818,9.12,-2.60,,16,2,,13,1,,12,3,,2868,2439,,1330,895,2110,.424,253,743,.341,396,569,.696,314,1166,402,200,116,403,552
32,Bradley_2019,35,20,15,.571,-0.08,-0.90,,9,9,,10,6,,5,8,,2329,2285,,1405,779,1892,.412,246,753,.327,481,664,.724,313,1163,415,196,90,433,648
37,Buffalo_2019,36,32,4,.889,15.56,2.62,,16,2,,14,0,,12,3,,3037,2550,,1445,916,2180,.420,236,791,.298,482,687,.702,363,1333,372,192,112,553,704
47,UC-Irvine_2019,37,31,6,.838,5.70,-2.30,,15,1,,12,2,,13,2,,2675,2353,,1500,809,2118,.382,241,715,.337,494,698,.708,379,1211,355,194,103,419,627
55,Central Florida_2019,33,24,9,.727,13.37,5.58,,13,5,,15,2,,5,5,,2385,2128,,1325,764,1938,.394,233,744,.313,367,565,.650,371,1142,409,190,92,400,699
61,Cincinnati_2019,35,28,7,.800,14.53,5.50,,14,4,,16,2,,7,4,,2510,2194,,1410,766,1869,.410,284,800,.355,378,570,.663,332,1088,388,133,126,476,659
68,Colgate_2019,35,24,11,.686,1.23,-3.83,,13,5,,15,1,,9,9,,2648,2458,,1415,884,2033,.435,277,824,.336,413,580,.712,327,1112,454,250,112,422,581
89,Duke_2019,38,32,6,.842,26.90,11.98,,14,4,,15,2,,7,2,,3143,2576,,1525,960,2415,.398,253,844,.300,403,579,.696,441,1348,479,243,121,540,659
100,Fairleigh Dickinson_2019,35,21,14,.600,-6.09,-7.24,,12,6,,13,4,,7,9,,2620,2515,,1420,908,2041,.445,277,789,.351,422,608,.694,389,1186,473,218,116,508,632
105,Florida State_2019,37,29,8,.784,17.99,10.26,,13,5,,15,1,,6,4,,2771,2485,,1500,842,2067,.407,269,803,.335,532,737,.722,348,1223,369,203,113,529,682
106,Florida_2019,36,20,16,.556,15.42,11.22,,9,9,,9,6,,5,6,,2440,2289,,1455,806,1916,.421,231,730,.316,446,644,.693,390,1242,389,221,104,527,615
112,Gardner-Webb_2019,35,23,12,.657,-2.61,-4.43,,11,6,,13,0,,8,9,,2718,2468,,1430,871,2101,.415,310,951,.326,416,579,.718,393,1229,470,206,102,468,600
117,Georgia State_2019,34,24,10,.706,2.44,0.65,,13,5,,13,1,,7,7,,2598,2491,,1360,872,2051,.425,304,926,.328,443,631,.702,428,1336,512,169,108,512,595
120,Gonzaga_2019,37,33,4,.892,27.79,5.01,,16,0,,17,0,,9,1,,3243,2400,,1480,877,2256,.389,239,787,.304,407,584,.697,382,1194,363,201,84,501,685
134,Houston_2019,37,33,4,.892,18.91,4.61,,16,2,,19,1,,10,1,,2787,2258,,1480,749,2035,.368,233,836,.279,527,759,.694,360,1236,374,195,81,452,639
144,Iona_2019,33,17,16,.515,-4.78,-5.50,,12,6,,8,3,,5,9,,2532,2508,,1320,900,2021,.445,314,857,.366,394,576,.684,369,1249,499,178,118,437,617
145,Iowa State_2019,35,23,12,.657,18.07,9.30,,9,9,,12,4,,5,6,,2692,2385,,1400,877,2097,.418,276,822,.336,355,495,.717,388,1213,438,183,92,440,569
146,Iowa_2019,35,23,12,.657,14.27,9.84,,10,10,,14,4,,4,6,,2740,2585,,1415,943,2104,.448,281,866,.324,418,606,.690,363,1218,545,230,97,457,721
155,Kansas State_2019,34,25,9,.735,15.39,9.18,,14,4,,13,2,,7,5,,2236,2025,,1360,717,1728,.415,233,741,.314,358,531,.674,279,1098,391,213,95,504,560
156,Kansas_2019,36,26,10,.722,18.35,12.79,,12,6,,16,0,,3,8,,2725,2525,,1455,898,2201,.408,309,921,.336,420,612,.686,385,1263,473,237,123,455,620
159,Kentucky_2019,37,30,7,.811,21.43,10.29,,15,3,,17,1,,8,2,,2806,2394,,1490,854,2134,.400,283,824,.343,403,572,.705,337,1083,409,215,112,449,725
164,Liberty_2019,36,29,7,.806,5.27,-3.88,,14,2,,16,1,,11,3,,2654,2209,,1440,790,1894,.417,231,713,.324,398,588,.677,300,1104,363,194,97,482,561
171,Louisiana State_2019,35,28,7,.800,16.50,9.16,,16,2,,15,2,,9,1,,2815,2558,,1435,900,2085,.432,281,833,.337,477,691,.690,388,1200,405,225,113,508,670
173,Louisville_2019,34,20,14,.588,17.28,11.04,,10,8,,14,4,,5,6,,2536,2324,,1380,819,2007,.408,239,746,.320,447,643,.695,330,1176,392,195,117,380,652
182,Marquette_2019,34,24,10,.706,14.78,6.96,,12,6,,16,3,,6,4,,2629,2363,,1375,819,2020,.405,233,720,.324,492,725,.679,341,1146,418,236,102,402,644
186,Maryland_2019,34,23,11,.676,16.01,10.09,,13,7,,15,3,,6,5,,2429,2228,,1360,795,2005,.397,252,790,.319,386,534,.723,315,1050,413,236,118,318,595
194,Michigan State_2019,39,32,7,.821,24.93,12.34,,16,4,,15,1,,8,4,,3025,2534,,1570,905,2378,.381,280,885,.316,444,654,.679,404,1238,470,243,117,398,694
195,Michigan_2019,37,30,7,.811,21.82,10.55,,15,5,,17,1,,7,4,,2575,2158,,1480,823,2073,.397,181,623,.291,331,499,.663,320,1273,377,147,121,434,557
200,Minnesota_2019,36,22,14,.611,12.52,11.27,,9,11,,14,3,,2,9,,2543,2498,,1445,922,2107,.438,243,714,.340,411,594,.692,353,1252,468,209,156,412,693
201,Mississippi State_2019,34,23,11,.676,15.96,9.07,,10,8,,14,3,,5,5,,2628,2394,,1370,848,1937,.438,253,708,.357,445,622,.715,342,1086,429,199,122,458,559
203,Mississippi_2019,33,20,13,.606,12.32,8.13,,10,8,,11,5,,6,5,,2485,2347,,1325,832,1869,.445,241,644,.374,442,627,.705,332,1080,459,203,112,471,563
209,Montana_2019,35,26,9,.743,1.50,-5.05,,16,4,,12,2,,9,5,,2665,2397,,1405,823,1906,.432,236,696,.339,515,687,.750,286,1094,373,195,97,472,612
213,Murray State_2019,33,28,5,.848,8.96,-3.11,,16,2,,15,1,,10,3,,2727,2255,,1320,827,2014,.411,204,713,.286,397,552,.719,376,1145,374,199,117,464,584
218,Nevada_2019,34,29,5,.853,16.00,2.68,,15,3,,15,0,,9,3,,2723,2270,,1360,815,1984,.411,263,791,.332,375,555,.676,312,1186,421,158,85,461,717
222,New Mexico State_2019,35,30,5,.857,10.05,-2.38,,15,1,,16,1,,10,1,,2734,2259,,1405,789,1882,.419,252,755,.334,429,611,.702,236,1003,309,174,66,460,715
232,North Carolina Central_2019,34,18,16,.529,-11.53,-11.24,,10,6,,10,2,,4,12,,2429,2266,,1365,831,1911,.435,213,672,.317,391,582,.672,308,1045,442,198,123,450,550
236,North Carolina_2019,36,29,7,.806,23.94,11.35,,16,2,,14,2,,11,1,,3089,2636,,1445,935,2248,.416,330,985,.335,434,639,.679,321,1216,507,242,170,501,630
237,North Dakota State_2019,35,19,16,.543,-4.01,-2.07,,9,7,,10,3,,4,9,,2556,2541,,1410,942,2043,.461,261,721,.362,396,529,.749,284,1164,426,181,95,343,581
243,Northeastern_2019,34,23,11,.676,3.95,-0.70,,14,4,,11,2,,8,6,,2564,2406,,1385,889,1931,.460,234,694,.337,394,536,.735,272,1090,403,185,73,383,596
248,Northern Kentucky_2019,35,26,9,.743,4.67,-2.39,,13,5,,17,1,,7,7,,2747,2410,,1410,834,1987,.420,244,778,.314,498,692,.720,317,1141,428,206,133,466,630
253,Ohio State_2019,35,20,15,.571,13.89,11.00,,8,12,,12,6,,4,7,,2419,2318,,1405,814,1929,.422,236,722,.327,454,613,.741,308,1170,408,218,107,425,651
256,Oklahoma_2019,34,20,14,.588,15.30,12.21,,7,11,,11,4,,5,7,,2423,2318,,1365,852,2096,.406,288,865,.333,326,485,.672,368,1253,424,225,125,408,586
257,Old Dominion_2019,35,26,9,.743,3.74,-1.18,,13,5,,14,2,,8,4,,2300,2128,,1400,737,1887,.391,248,765,.324,408,612,.667,305,1201,390,169,86,424,573
260,Oregon_2019,38,25,13,.658,13.95,6.13,,10,8,,13,4,,5,7,,2661,2364,,1530,807,2027,.398,267,921,.290,483,688,.702,371,1250,445,197,103,523,629
270,Prairie View_2019,35,22,13,.629,-7.29,-9.17,,17,1,,11,0,,9,12,,2627,2547,,1400,863,1887,.457,215,679,.317,606,875,.693,393,1316,445,174,152,637,758
274,Purdue_2019,36,26,10,.722,21.40,11.99,,16,4,,15,0,,6,6,,2760,2421,,1460,831,1997,.416,295,862,.342,464,634,.732,331,1155,445,179,135,448,614
289,Saint Louis_2019,36,23,13,.639,5.06,2.23,,10,8,,15,2,,4,8,,2399,2297,,1440,798,1948,.410,230,732,.314,471,652,.722,305,1191,437,216,139,466,674
290,Saint Mary's (CA)_2019,34,22,12,.647,12.58,4.40,,11,5,,14,3,,5,5,,2463,2185,,1365,803,1834,.438,186,580,.321,393,534,.736,251,991,346,167,114,358,536
301,Seton Hall_2019,34,20,14,.588,10.25,8.34,,9,9,,11,4,,3,8,,2508,2443,,1375,845,1974,.428,270,793,.340,481,648,.742,352,1212,449,195,150,477,621
323,St. John's (NY)_2019,34,21,13,.618,7.88,5.50,,8,10,,11,4,,4,7,,2623,2542,,1375,853,1961,.435,283,828,.342,553,779,.710,353,1323,462,176,82,529,579
328,Syracuse_2019,34,20,14,.588,13.73,10.09,,10,8,,13,6,,6,4,,2370,2246,,1365,746,1859,.401,294,894,.329,460,637,.722,405,1253,506,225,107,528,626
331,Temple_2019,33,23,10,.697,8.17,4.93,,13,5,,13,2,,8,5,,2465,2358,,1340,841,1897,.443,239,727,.329,437,643,.680,325,1222,421,182,85,485,550
335,Tennessee_2019,37,31,6,.838,21.55,10.16,,15,3,,18,0,,7,3,,3035,2580,,1505,888,2199,.404,311,893,.348,493,755,.653,421,1270,455,230,95,472,694
345,Texas Tech_2019,38,31,7,.816,22.79,9.53,,14,4,,17,1,,6,3,,2765,2261,,1530,751,2027,.370,243,816,.298,516,743,.694,373,1254,372,237,94,586,706
355,Utah State_2019,35,28,7,.800,11.98,0.89,,15,3,,14,1,,9,4,,2753,2349,,1410,790,2008,.393,282,800,.353,487,682,.714,293,1096,403,215,120,432,684
360,Vermont_2019,34,27,7,.794,4.88,-4.18,,14,2,,16,2,,11,4,,2508,2143,,1370,768,1834,.419,240,693,.346,367,503,.730,241,1050,353,187,94,439,657
361,Villanova_2019,36,26,10,.722,14.33,7.97,,13,5,,13,2,,5,6,,2654,2425,,1455,877,2012,.436,274,799,.343,397,567,.700,334,1190,492,188,83,414,656
362,Virginia Commonwealth_2019,33,25,8,.758,11.96,2.87,,16,2,,16,1,,8,4,,2344,2044,,1330,706,1822,.387,172,604,.285,460,667,.690,374,1171,358,212,87,535,640
364,Virginia Tech_2019,35,26,9,.743,19.28,7.79,,12,6,,14,2,,5,5,,2574,2172,,1410,758,1856,.408,303,927,.327,353,489,.722,307,1058,428,176,107,491,575
365,Virginia_2019,38,35,3,.921,25.46,10.15,,16,2,,15,1,,10,1,,2714,2132,,1535,769,1995,.385,245,848,.289,349,524,.666,323,1132,334,189,103,407,592
369,Washington_2019,36,27,9,.750,12.01,7.01,,15,3,,15,1,,7,4,,2511,2331,,1445,814,1958,.416,231,691,.334,472,665,.710,418,1245,477,217,89,587,657
381,Wisconsin_2019,34,23,11,.676,17.90,11.01,,14,6,,12,3,,8,5,,2333,2099,,1385,774,1950,.397,215,682,.315,336,503,.668,327,1207,352,176,138,387,591
382,Wofford_2019,35,30,5,.857,13.92,0.80,,18,0,,15,1,,11,3,,2879,2295,,1410,818,1924,.425,248,773,.321,411,585,.703,271,1029,397,191,88,482,542
386,Yale_2019,30,22,8,.733,5.52,-1.24,,10,4,,11,2,,8,5,,2427,2202,,1215,779,1890,.412,223,719,.310,421,577,.730,285,1029,381,209,93,338,513
