,School_opp,G_opp,W_opp,L_opp,W-L%_opp,SRS_opp,SOS_opp, _opp,W_opp,L_opp, _opp,W_opp,L_opp, _opp,W_opp,L_opp, _opp,Tm._opp,Opp._opp, _opp,MP_opp,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
384,Yale_2016,30,23,7,.767,9.08,-1.03,,13,1,,12,0,,9,6,,2248,1914,,1205,678,1654,.410,183,564,.324,375,537,.698,256,881,339,202,107,364,641
13,Arizona_2017,37,32,5,.865,18.25,7.63,,16,2,,15,1,,9,1,,2833,2440,,1480,893,2121,.421,239,772,.310,415,607,.684,339,1107,477,175,109,432,729
17,Arkansas_2017,36,26,10,.722,14.04,8.60,,12,6,,15,3,,6,5,,2855,2659,,1440,901,2159,.417,263,792,.332,594,843,.705,460,1322,454,187,118,477,670
24,Baylor_2017,35,27,8,.771,19.75,11.87,,12,6,,15,2,,6,4,,2550,2228,,1400,794,1960,.405,222,687,.323,418,586,.713,351,1023,462,189,126,397,645
36,Bucknell_2017,35,26,9,.743,5.89,-2.48,,15,3,,14,2,,9,6,,2669,2376,,1400,860,2017,.426,216,631,.342,440,667,.660,347,1176,424,246,105,487,673
38,Butler_2017,34,25,9,.735,17.70,10.23,,12,6,,13,3,,7,4,,2595,2341,,1370,818,1837,.445,231,693,.333,474,680,.697,293,1065,366,171,87,451,653
45,UC-Davis_2017,36,23,13,.639,-5.21,-4.68,,11,5,,11,0,,6,9,,2525,2506,,1455,889,2086,.426,253,768,.329,475,666,.713,347,1241,479,248,122,503,759
60,Cincinnati_2017,36,30,6,.833,18.43,5.49,,16,2,,18,0,,8,3,,2674,2208,,1450,767,1974,.389,251,731,.343,423,575,.736,368,1162,405,130,113,475,606
75,Creighton_2017,35,25,10,.714,17.27,8.95,,10,8,,13,4,,7,4,,2864,2549,,1400,933,2134,.437,259,786,.330,424,615,.689,379,1257,449,234,103,489,608
78,Dayton_2017,32,24,8,.750,12.98,4.27,,15,3,,15,1,,7,3,,2428,2126,,1285,731,1772,.413,227,699,.325,437,618,.707,312,1110,404,139,116,479,633
86,Duke_2017,37,28,9,.757,21.56,10.91,,11,7,,15,1,,4,6,,2991,2597,,1480,959,2218,.432,187,639,.293,492,693,.710,399,1245,447,176,88,447,737
91,East Tennessee State_2017,35,27,8,.771,7.31,-2.11,,14,4,,13,2,,8,5,,2782,2438,,1415,819,1962,.417,274,773,.354,526,729,.722,340,1123,387,242,126,548,729
102,Florida Gulf Coast_2017,34,26,8,.765,2.26,-3.42,,12,2,,16,3,,10,3,,2701,2356,,1370,830,1953,.425,232,757,.306,464,682,.680,347,1085,412,209,98,441,604
104,Florida State_2017,35,26,9,.743,18.87,8.87,,12,6,,18,0,,3,6,,2873,2523,,1400,857,2060,.416,259,743,.349,550,769,.715,382,1189,424,176,104,494,688
105,Florida_2017,36,27,9,.750,22.40,11.01,,14,4,,9,1,,8,4,,2804,2394,,1455,849,2070,.410,198,649,.305,498,705,.706,375,1266,347,200,101,533,746
119,Gonzaga_2017,39,37,2,.949,25.26,4.13,,17,1,,15,1,,10,0,,3222,2398,,1560,875,2400,.365,223,771,.289,425,646,.658,421,1312,378,209,120,475,770
143,Iona_2017,35,22,13,.629,1.08,-2.47,,12,8,,8,4,,7,7,,2813,2689,,1415,951,2183,.436,280,776,.361,507,729,.695,429,1345,504,170,101,461,602
144,Iowa State_2017,35,24,11,.686,20.51,11.94,,12,6,,12,3,,5,6,,2829,2529,,1425,933,2178,.428,270,781,.346,393,558,.704,416,1339,484,167,121,491,578
149,Jacksonville State_2017,35,20,15,.571,-2.85,-3.24,,9,7,,5,5,,10,9,,2434,2378,,1410,816,1955,.417,268,716,.374,478,663,.721,343,1116,400,210,106,381,626
152,Kansas State_2017,35,21,14,.600,14.80,10.48,,8,10,,11,5,,5,6,,2523,2372,,1405,827,1921,.431,250,654,.382,468,642,.729,382,1171,459,220,114,525,682
155,Kansas_2017,36,31,5,.861,23.53,12.23,,16,2,,14,1,,10,1,,2995,2588,,1455,924,2200,.420,268,753,.356,472,660,.715,401,1234,461,245,132,483,673
157,Kent State_2017,36,22,14,.611,0.88,-1.63,,10,8,,10,6,,7,5,,2772,2628,,1465,931,2139,.435,265,761,.348,501,713,.703,385,1238,483,214,86,502,705
158,Kentucky_2017,38,32,6,.842,23.88,10.49,,16,2,,15,2,,7,3,,3225,2716,,1525,979,2309,.424,235,768,.306,523,774,.676,388,1332,431,182,127,544,867
172,Louisville_2017,34,25,9,.735,22.47,11.15,,12,6,,16,1,,5,5,,2628,2243,,1370,760,1894,.401,213,674,.316,510,734,.695,348,1139,367,169,117,460,622
181,Marquette_2017,32,19,13,.594,15.26,8.60,,10,8,,14,3,,4,6,,2631,2418,,1285,859,1871,.459,235,639,.368,465,667,.697,319,1077,511,210,114,418,548
185,Maryland_2017,33,24,9,.727,12.79,8.29,,12,6,,13,5,,8,2,,2438,2246,,1325,797,1917,.416,212,628,.338,440,626,.703,383,1160,369,202,118,418,646
191,Miami (FL)_2017,33,21,12,.636,14.48,9.57,,10,8,,14,2,,4,6,,2278,2116,,1325,761,1817,.419,208,631,.330,386,522,.739,318,1043,395,197,101,392,553
193,Michigan State_2017,35,20,15,.571,13.67,10.50,,10,8,,14,2,,2,7,,2515,2404,,1405,832,2027,.410,229,662,.346,511,704,.726,349,1150,446,211,105,380,658
194,Michigan_2017,38,26,12,.684,18.80,10.17,,10,8,,15,3,,3,8,,2851,2523,,1535,958,2060,.465,224,593,.378,383,560,.684,348,1210,438,162,95,478,650
195,Middle Tennessee_2017,36,31,5,.861,9.80,-0.48,,17,1,,13,2,,11,2,,2697,2299,,1445,791,1882,.420,219,678,.323,498,700,.711,286,1088,400,171,85,476,602
199,Minnesota_2017,34,24,10,.706,14.56,8.82,,11,7,,17,3,,5,5,,2556,2361,,1390,857,2142,.400,220,712,.309,427,626,.682,415,1312,460,192,124,429,687
211,Mount St. Mary's_2017,36,20,16,.556,-4.29,-3.51,,14,4,,11,4,,8,11,,2446,2474,,1445,923,2039,.453,190,558,.341,438,664,.660,427,1351,405,230,99,534,674
217,Nevada_2017,35,28,7,.800,10.49,2.03,,14,4,,13,1,,8,4,,2792,2496,,1405,920,2149,.428,236,762,.310,420,607,.692,341,1229,478,193,78,397,724
221,New Mexico State_2017,34,28,6,.824,4.66,-3.82,,11,3,,17,1,,8,4,,2678,2310,,1365,827,1972,.419,188,640,.294,468,686,.682,371,1124,359,178,65,466,736
223,New Orleans_2017,32,20,12,.625,-4.10,-5.34,,13,5,,11,3,,7,8,,2331,2215,,1300,792,1793,.442,209,661,.316,422,614,.687,349,1016,405,269,106,521,684
230,North Carolina Central_2017,34,25,9,.735,-3.18,-12.12,,13,3,,11,2,,11,6,,2542,2159,,1360,788,2007,.393,210,724,.290,373,576,.648,416,1225,359,155,92,474,608
233,North Carolina-Wilmington_2017,35,29,6,.829,8.06,-0.55,,15,3,,13,1,,11,3,,2967,2624,,1405,938,1964,.478,192,568,.338,556,777,.716,320,1184,433,171,97,504,662
234,North Carolina_2017,40,33,7,.825,24.84,11.76,,14,4,,16,0,,6,5,,3377,2824,,1605,982,2377,.413,319,939,.340,541,746,.725,362,1258,458,249,177,544,778
236,North Dakota_2017,32,22,10,.688,-1.83,-5.45,,14,4,,11,2,,7,6,,2578,2357,,1300,824,1858,.443,215,612,.351,494,715,.691,310,1123,369,201,75,479,654
246,Northern Kentucky_2017,35,24,11,.686,-0.17,-2.84,,12,6,,12,2,,8,7,,2659,2507,,1400,918,2087,.440,227,699,.325,444,628,.707,322,1165,417,207,146,427,643
248,Northwestern_2017,36,24,12,.667,14.02,8.43,,10,8,,14,4,,5,5,,2558,2357,,1440,817,2025,.403,233,698,.334,490,732,.669,404,1275,428,206,139,430,640
249,Notre Dame_2017,36,26,10,.722,17.81,9.78,,12,6,,16,2,,5,4,,2783,2494,,1445,914,2118,.432,250,739,.338,416,565,.736,387,1278,467,188,146,456,575
253,Oklahoma State_2017,33,20,13,.606,19.19,12.22,,9,9,,11,5,,7,5,,2828,2589,,1320,875,1856,.471,235,641,.367,604,834,.724,345,1083,451,213,142,491,683
258,Oregon_2017,39,33,6,.846,20.80,8.38,,16,2,,17,0,,7,3,,3076,2565,,1565,932,2311,.403,273,873,.313,428,595,.719,408,1274,456,186,133,516,742
270,Princeton_2017,30,23,7,.767,6.57,-1.84,,14,0,,10,1,,10,4,,2149,1843,,1205,652,1568,.416,195,587,.332,344,499,.689,238,1002,317,134,78,394,458
271,Providence_2017,33,20,13,.606,11.24,7.84,,10,8,,15,3,,4,7,,2319,2207,,1325,810,1840,.440,207,631,.328,380,562,.676,322,1142,392,206,96,454,629
272,Purdue_2017,35,27,8,.771,20.13,8.79,,14,4,,15,2,,6,4,,2790,2393,,1415,902,2145,.421,242,728,.332,347,491,.707,313,1088,451,228,109,411,666
275,Rhode Island_2017,35,25,10,.714,12.88,4.62,,13,5,,13,3,,7,5,,2577,2288,,1405,762,1875,.406,166,563,.295,598,845,.708,373,1212,353,184,104,459,692
288,Saint Mary's (CA)_2017,34,29,5,.853,16.75,2.19,,16,2,,15,2,,10,1,,2449,1954,,1360,738,1792,.412,149,496,.300,329,476,.691,245,903,297,190,82,318,548
299,Seton Hall_2017,33,21,12,.636,12.10,9.25,,10,8,,12,2,,4,6,,2417,2323,,1335,811,1872,.433,214,628,.341,487,677,.719,295,1087,398,231,114,403,642
304,South Carolina_2017,37,26,11,.703,17.52,10.16,,12,6,,15,3,,6,5,,2707,2414,,1505,789,1969,.401,208,687,.303,628,868,.724,382,1304,363,222,142,632,777
305,South Dakota State_2017,35,18,17,.514,-2.30,-0.66,,8,8,,11,3,,3,12,,2683,2697,,1415,963,2140,.450,369,990,.373,402,557,.722,356,1195,510,235,106,400,721
312,Southern California_2017,36,26,10,.722,11.48,6.40,,10,8,,14,3,,6,5,,2816,2633,,1445,973,2243,.434,301,819,.368,386,538,.717,408,1272,522,200,115,452,673
315,Southern Methodist_2017,35,30,5,.857,18.71,4.45,,17,1,,18,0,,8,3,,2599,2100,,1400,745,1928,.386,282,878,.321,328,474,.692,329,1035,415,172,105,409,633
341,Texas Southern_2017,35,23,12,.657,-6.41,-7.81,,16,2,,10,0,,11,11,,2593,2544,,1410,940,2113,.445,196,603,.325,466,682,.683,441,1310,453,182,118,473,742
347,Troy_2017,37,22,15,.595,-0.47,-3.36,,10,8,,10,4,,6,10,,2889,2667,,1485,933,2182,.428,295,869,.339,506,703,.720,380,1267,464,222,119,463,705
350,UCLA_2017,36,31,5,.861,20.67,6.39,,15,3,,16,1,,8,2,,3233,2719,,1440,1000,2371,.422,310,849,.365,409,602,.679,413,1257,468,226,64,423,615
357,Vanderbilt_2017,35,19,16,.543,13.69,10.72,,10,8,,11,5,,5,6,,2489,2385,,1405,862,2028,.425,226,669,.338,435,622,.699,339,1209,399,193,104,379,587
358,Vermont_2017,35,29,6,.829,6.67,-3.27,,16,0,,16,1,,11,3,,2571,2174,,1400,812,1918,.423,199,596,.334,351,498,.705,315,1066,363,186,95,453,644
359,Villanova_2017,36,32,4,.889,23.80,9.28,,15,3,,14,1,,9,2,,2779,2256,,1440,846,2018,.419,251,807,.311,313,445,.703,336,1073,482,185,73,475,656
360,Virginia Commonwealth_2017,35,26,9,.743,11.57,3.77,,14,4,,15,1,,7,4,,2616,2343,,1420,800,1897,.422,202,597,.338,541,776,.697,334,1185,371,192,129,515,678
362,Virginia Tech_2017,33,22,11,.667,12.77,8.38,,10,8,,15,2,,4,6,,2610,2465,,1330,902,2029,.445,264,728,.363,397,554,.717,359,1146,450,179,129,383,633
363,Virginia_2017,34,23,11,.676,20.63,10.93,,11,7,,12,4,,7,5,,2246,1916,,1380,658,1653,.398,209,658,.318,391,559,.699,264,1022,333,168,91,432,500
365,Wake Forest_2017,33,19,14,.576,14.19,9.80,,9,9,,11,3,,5,8,,2733,2588,,1320,891,1948,.457,270,755,.358,536,740,.724,323,1109,470,199,125,385,699
369,West Virginia_2017,37,28,9,.757,24.45,9.67,,12,6,,16,2,,6,4,,3014,2467,,1505,826,1948,.424,250,708,.353,565,827,.683,393,1274,442,209,142,740,792
376,Wichita State_2017,36,31,5,.861,21.24,2.96,,17,1,,16,1,,9,1,,2916,2246,,1440,754,2000,.377,241,775,.311,497,718,.692,321,1154,373,189,120,488,752
378,Winthrop_2017,33,26,7,.788,1.34,-6.12,,15,3,,13,3,,12,3,,2615,2322,,1350,811,1990,.408,219,700,.313,481,666,.722,355,1207,331,199,108,462,644
379,Wisconsin_2017,37,27,10,.730,19.40,9.40,,12,6,,15,2,,5,5,,2678,2308,,1500,822,1992,.413,251,667,.376,413,559,.739,313,1142,375,197,115,473,678
383,Xavier_2017,38,24,14,.632,14.80,11.51,,9,9,,12,4,,4,8,,2836,2711,,1525,964,2144,.450,283,847,.334,500,716,.698,331,1186,530,243,143,454,807
7,Alabama_2018,36,20,16,.556,12.34,10.64,,8,10,,12,4,,2,8,,2604,2543,,1440,877,2109,.416,262,799,.328,527,769,.685,414,1277,427,237,134,473,718
12,Arizona State_2018,32,20,12,.625,14.37,6.56,,8,10,,13,4,,4,6,,2645,2395,,1290,841,1919,.438,262,766,.342,451,628,.718,357,1171,479,172,111,474,688
13,Arizona_2018,35,27,8,.771,15.67,6.84,,14,4,,15,1,,8,3,,2818,2509,,1420,890,2047,.435,261,729,.358,468,638,.734,310,1018,443,214,92,406,686
17,Arkansas_2018,35,23,12,.657,14.76,9.85,,10,8,,15,2,,3,7,,2819,2647,,1415,872,2028,.430,301,844,.357,602,828,.727,394,1264,477,167,125,490,680
19,Auburn_2018,34,26,8,.765,15.97,7.29,,13,5,,15,1,,7,4,,2783,2488,,1360,838,1961,.427,273,777,.351,539,747,.722,341,1207,439,207,111,516,700
36,Bucknell_2018,35,25,10,.714,4.48,-3.46,,16,2,,15,1,,10,8,,2837,2559,,1420,911,2138,.426,224,677,.331,513,738,.695,360,1240,448,231,116,438,742
37,Buffalo_2018,36,27,9,.750,7.99,0.25,,15,3,,14,1,,8,5,,3047,2742,,1455,936,2179,.430,239,728,.328,631,860,.734,389,1313,415,207,135,496,657
38,Butler_2018,35,21,14,.600,16.92,10.55,,9,9,,14,3,,3,7,,2763,2540,,1430,877,1954,.449,274,735,.373,512,689,.743,278,1137,440,179,120,484,586
41,Cal State Fullerton_2018,32,20,12,.625,-0.92,-1.02,,10,6,,9,4,,7,7,,2318,2245,,1290,768,1861,.413,220,635,.346,489,647,.756,320,1074,396,180,114,413,627
60,Cincinnati_2018,36,31,5,.861,20.25,3.53,,16,2,,15,1,,9,2,,2673,2071,,1440,739,1974,.374,231,747,.309,362,529,.684,361,1127,361,179,106,514,654
62,Clemson_2018,35,25,10,.714,17.17,9.25,,11,7,,15,1,,4,6,,2584,2307,,1410,826,2033,.406,268,761,.352,387,552,.701,332,1172,401,199,126,413,617
