,School,SRS,SOS,DRB,oEFG,dEFG,oTOV,dTOV,oREB,dREB,oFT,dFT
257,San Diego State_2013,13.01,6.19,768,0.491,0.446,0.27,0.307,0.323,0.693,0.248,0.191
258,South Dakota State_2013,2.36,-3.27,794,0.539,0.506,0.269,0.313,0.298,0.732,0.247,0.165
259,Southern_2013,-2.61,-10.31,747,0.497,0.411,0.255,0.296,0.264,0.668,0.27,0.23
260,Syracuse_2013,20.3,8.57,820,0.49,0.426,0.27,0.309,0.388,0.616,0.248,0.238
261,Temple_2013,9.52,5.2,676,0.49,0.49,0.254,0.295,0.308,0.654,0.257,0.247
262,UCLA_2013,12.88,7.82,778,0.491,0.475,0.263,0.323,0.307,0.629,0.24,0.164
263,Valparaiso_2013,7.15,-1.13,705,0.559,0.459,0.288,0.287,0.312,0.686,0.307,0.262
264,Villanova_2013,10.74,8.53,733,0.474,0.472,0.273,0.292,0.33,0.679,0.363,0.278
265,Virginia Commonwealth_2013,16.89,4.47,676,0.513,0.499,0.274,0.329,0.36,0.628,0.209,0.276
266,Western Kentucky_2013,-0.65,-1.14,763,0.485,0.475,0.294,0.288,0.351,0.671,0.26,0.265
267,Wichita State_2013,14.68,6.09,843,0.5,0.453,0.277,0.283,0.38,0.704,0.255,0.274
268,Wisconsin_2013,18.76,9.73,801,0.486,0.43,0.267,0.309,0.324,0.711,0.188,0.177
269,Albany (NY)_2014,-3.31,-5.22,832,0.488,0.483,0.27,0.298,0.319,0.717,0.315,0.21
270,American_2014,0.69,-3.25,754,0.558,0.464,0.317,0.273,0.265,0.703,0.248,0.276
271,Arizona State_2014,13.32,7.41,891,0.524,0.463,0.245,0.259,0.245,0.698,0.295,0.242
272,Arizona_2014,23.36,9.04,984,0.517,0.423,0.235,0.287,0.364,0.727,0.27,0.245
273,Baylor_2014,15.8,10.11,931,0.521,0.485,0.241,0.267,0.406,0.683,0.306,0.213
274,Brigham Young_2014,11.63,5.72,969,0.503,0.489,0.214,0.261,0.347,0.717,0.334,0.265
275,Cal Poly_2014,-1.34,1.69,719,0.466,0.488,0.251,0.262,0.318,0.678,0.224,0.295
276,Cincinnati_2014,15.26,5.28,767,0.477,0.448,0.253,0.303,0.391,0.677,0.274,0.243
277,Coastal Carolina_2014,-5.21,-6.31,902,0.491,0.471,0.278,0.273,0.351,0.708,0.266,0.262
278,Colorado_2014,10.8,8.8,904,0.483,0.494,0.254,0.292,0.34,0.739,0.346,0.213
279,Connecticut_2014,17.23,8.63,1002,0.515,0.446,0.262,0.282,0.304,0.671,0.298,0.237
280,Creighton_2014,18.03,7.17,899,0.589,0.485,0.256,0.254,0.277,0.722,0.252,0.229
281,Dayton_2014,10.55,5.34,875,0.524,0.488,0.259,0.262,0.34,0.713,0.277,0.304
282,Delaware_2014,2.73,-1.1,879,0.504,0.494,0.21,0.255,0.291,0.672,0.312,0.263
283,Duke_2014,19.51,8.48,797,0.538,0.493,0.228,0.264,0.345,0.691,0.283,0.282
284,Eastern Kentucky_2014,0.6,-4.34,641,0.574,0.549,0.237,0.283,0.236,0.664,0.331,0.381
285,Florida_2014,20.69,8.54,948,0.522,0.454,0.245,0.313,0.347,0.719,0.283,0.217
286,George Washington_2014,10.6,4.42,835,0.515,0.472,0.252,0.291,0.351,0.686,0.304,0.222
287,Gonzaga_2014,15.56,5.36,948,0.56,0.448,0.257,0.259,0.306,0.704,0.286,0.275
288,Harvard_2014,10.79,-0.47,757,0.519,0.458,0.237,0.302,0.328,0.704,0.347,0.257
289,Iowa State_2014,18.52,9.88,1012,0.542,0.477,0.241,0.272,0.288,0.715,0.252,0.225
290,Iowa_2014,18.58,7.43,885,0.511,0.474,0.226,0.281,0.377,0.71,0.333,0.25
291,Kansas State_2014,12.14,8.47,774,0.488,0.453,0.261,0.254,0.347,0.668,0.264,0.311
292,Kansas_2014,20.25,11.4,920,0.542,0.471,0.249,0.235,0.373,0.712,0.343,0.309
293,Kentucky_2014,18.07,9.9,1045,0.5,0.46,0.225,0.253,0.414,0.705,0.353,0.254
294,Louisiana_2014,2.91,-0.28,865,0.522,0.497,0.251,0.261,0.363,0.684,0.288,0.302
295,Louisville_2014,24.69,4.8,893,0.535,0.439,0.23,0.313,0.371,0.673,0.272,0.261
296,Manhattan_2014,6.04,-0.9,819,0.507,0.454,0.239,0.259,0.344,0.667,0.368,0.37
297,Massachusetts_2014,10.61,6.0,863,0.504,0.466,0.268,0.273,0.344,0.683,0.268,0.251
298,Memphis_2014,13.02,7.14,841,0.522,0.482,0.264,0.295,0.356,0.666,0.257,0.217
299,Mercer_2014,5.33,-3.42,931,0.547,0.459,0.257,0.267,0.34,0.7,0.282,0.272
300,Michigan State_2014,19.35,9.38,1005,0.545,0.458,0.271,0.26,0.322,0.728,0.239,0.294
301,Michigan_2014,18.52,9.65,844,0.557,0.494,0.246,0.297,0.286,0.699,0.266,0.195
302,Milwaukee_2014,-1.53,-0.44,839,0.493,0.488,0.266,0.279,0.283,0.692,0.32,0.265
303,Mount St. Mary's_2014,-6.32,-4.44,725,0.515,0.535,0.262,0.284,0.278,0.67,0.271,0.253
304,Nebraska_2014,10.13,8.5,781,0.483,0.476,0.247,0.258,0.257,0.71,0.303,0.306
305,New Mexico State_2014,6.16,-2.58,918,0.539,0.438,0.235,0.262,0.375,0.668,0.368,0.245
306,New Mexico_2014,12.72,4.84,936,0.511,0.45,0.228,0.26,0.325,0.718,0.338,0.227
307,North Carolina Central_2014,3.97,-8.03,794,0.513,0.435,0.236,0.293,0.366,0.675,0.347,0.302
308,North Carolina State_2014,9.02,7.44,817,0.5,0.475,0.248,0.247,0.342,0.643,0.243,0.303
309,North Carolina_2014,15.24,8.42,867,0.499,0.47,0.24,0.267,0.381,0.687,0.268,0.278
310,North Dakota State_2014,6.31,-0.02,774,0.555,0.487,0.237,0.267,0.317,0.727,0.307,0.291
311,Ohio State_2014,17.84,8.12,841,0.503,0.452,0.249,0.321,0.296,0.704,0.291,0.212
312,Oklahoma State_2014,19.02,8.34,871,0.524,0.463,0.212,0.273,0.28,0.68,0.357,0.282
313,Oklahoma_2014,14.91,8.97,844,0.517,0.497,0.242,0.264,0.324,0.696,0.295,0.275
314,Oregon_2014,15.75,8.05,803,0.535,0.491,0.237,0.25,0.322,0.681,0.338,0.339
315,Pittsburgh_2014,17.46,7.54,859,0.507,0.467,0.232,0.282,0.373,0.709,0.315,0.257
316,Providence_2014,11.37,7.85,846,0.483,0.489,0.247,0.265,0.354,0.693,0.328,0.233
317,Saint Joseph's_2014,9.05,5.08,899,0.539,0.478,0.256,0.267,0.29,0.724,0.281,0.212
318,Saint Louis_2014,11.63,4.24,886,0.494,0.44,0.266,0.297,0.294,0.715,0.281,0.243
319,San Diego State_2014,14.95,4.86,894,0.481,0.431,0.22,0.309,0.367,0.707,0.298,0.215
320,Stanford_2014,13.42,9.0,910,0.513,0.48,0.241,0.263,0.293,0.719,0.316,0.265
321,Stephen F. Austin_2014,4.82,-6.76,735,0.525,0.499,0.248,0.285,0.384,0.715,0.286,0.352
322,Syracuse_2014,16.05,7.25,754,0.482,0.48,0.231,0.299,0.381,0.685,0.27,0.245
323,Tennessee_2014,17.34,7.84,923,0.503,0.462,0.238,0.279,0.398,0.724,0.299,0.224
324,Texas Southern_2014,-8.41,-10.07,860,0.521,0.505,0.25,0.276,0.338,0.69,0.352,0.201
325,Texas_2014,12.67,9.15,921,0.474,0.465,0.242,0.243,0.396,0.698,0.291,0.283
326,Tulsa_2014,6.23,1.17,863,0.492,0.464,0.234,0.262,0.302,0.704,0.318,0.327
327,UCLA_2014,18.4,7.62,940,0.541,0.499,0.237,0.293,0.298,0.714,0.286,0.241
328,Villanova_2014,18.97,7.5,884,0.536,0.463,0.245,0.281,0.326,0.713,0.318,0.273
329,Virginia Commonwealth_2014,14.55,4.78,838,0.479,0.478,0.261,0.316,0.343,0.694,0.237,0.265
330,Virginia_2014,18.38,7.86,933,0.508,0.442,0.239,0.288,0.332,0.744,0.283,0.215
331,Weber State_2014,-0.92,-4.23,800,0.547,0.465,0.249,0.246,0.289,0.72,0.369,0.239
332,Western Michigan_2014,1.73,-1.45,820,0.52,0.47,0.26,0.281,0.316,0.68,0.368,0.246
333,Wichita State_2014,16.65,1.74,962,0.526,0.446,0.225,0.282,0.351,0.739,0.342,0.229
334,Wisconsin_2014,19.69,10.19,929,0.533,0.472,0.208,0.28,0.281,0.726,0.318,0.196
335,Wofford_2014,-4.32,-5.95,738,0.502,0.489,0.271,0.281,0.317,0.721,0.218,0.272
336,Xavier_2014,11.84,8.14,834,0.517,0.494,0.261,0.255,0.341,0.713,0.286,0.264
337,Alabama-Birmingham_2015,1.94,1.62,888,0.477,0.476,0.287,0.291,0.342,0.671,0.259,0.225
338,Albany (NY)_2015,-0.34,-5.18,777,0.499,0.496,0.27,0.309,0.326,0.739,0.296,0.212
339,Arizona_2015,24.33,7.41,988,0.535,0.451,0.231,0.295,0.345,0.776,0.338,0.26
340,Arkansas_2015,14.07,6.79,820,0.5,0.483,0.256,0.295,0.357,0.654,0.27,0.278
341,Baylor_2015,17.85,9.33,836,0.497,0.455,0.273,0.292,0.424,0.69,0.26,0.205
342,Belmont_2015,0.35,-2.77,786,0.567,0.515,0.303,0.304,0.29,0.704,0.225,0.203
343,Boise State_2015,10.01,1.38,821,0.537,0.472,0.27,0.303,0.284,0.746,0.236,0.222
344,Brigham Young_2015,13.53,5.02,928,0.539,0.489,0.242,0.267,0.341,0.715,0.325,0.27
345,Buffalo_2015,7.93,1.6,840,0.487,0.485,0.24,0.291,0.345,0.696,0.306,0.228
346,Butler_2015,16.64,8.62,831,0.484,0.467,0.247,0.296,0.347,0.747,0.279,0.227
347,UC-Irvine_2015,3.63,0.45,869,0.52,0.442,0.297,0.271,0.302,0.695,0.2,0.24
348,Cincinnati_2015,10.72,4.4,795,0.495,0.441,0.288,0.317,0.373,0.677,0.249,0.17
349,Coastal Carolina_2015,-1.02,-6.18,891,0.5,0.461,0.253,0.283,0.375,0.738,0.283,0.235
350,Davidson_2015,11.97,3.19,809,0.556,0.492,0.261,0.267,0.3,0.697,0.203,0.224
351,Dayton_2015,10.98,4.06,866,0.53,0.472,0.248,0.313,0.233,0.716,0.33,0.207
352,Duke_2015,24.97,9.87,991,0.566,0.465,0.245,0.318,0.358,0.698,0.278,0.166
353,Eastern Washington_2015,0.79,-3.84,832,0.562,0.52,0.256,0.274,0.299,0.696,0.255,0.253
354,Georgetown_2015,15.48,9.81,785,0.513,0.471,0.259,0.268,0.343,0.69,0.309,0.313
355,Georgia State_2015,5.47,-2.03,794,0.527,0.457,0.252,0.299,0.3,0.656,0.277,0.282
356,Georgia_2015,12.42,8.6,900,0.485,0.444,0.252,0.265,0.322,0.715,0.331,0.24
357,Gonzaga_2015,21.12,5.12,1050,0.584,0.441,0.248,0.281,0.341,0.723,0.267,0.206
358,Hampton_2015,-8.25,-7.08,876,0.456,0.464,0.267,0.264,0.318,0.691,0.286,0.312
359,Harvard_2015,4.47,-0.25,709,0.481,0.458,0.267,0.304,0.327,0.717,0.283,0.221
360,Indiana_2015,12.94,7.2,817,0.544,0.503,0.273,0.264,0.352,0.686,0.235,0.223
361,Iowa State_2015,17.94,9.15,898,0.543,0.476,0.255,0.319,0.283,0.704,0.254,0.176
362,Iowa_2015,15.83,8.39,852,0.481,0.456,0.255,0.301,0.356,0.697,0.282,0.202
363,Kansas_2015,18.47,12.13,938,0.494,0.446,0.262,0.272,0.349,0.684,0.309,0.227
364,Kentucky_2015,28.72,8.67,991,0.515,0.396,0.232,0.307,0.395,0.682,0.319,0.209
365,Lafayette_2015,-3.37,-3.12,735,0.557,0.533,0.286,0.291,0.284,0.66,0.234,0.189
366,Louisiana State_2015,11.39,5.63,893,0.503,0.447,0.296,0.299,0.339,0.671,0.229,0.195
367,Louisville_2015,18.12,8.98,897,0.477,0.44,0.254,0.304,0.347,0.692,0.258,0.22
368,Manhattan_2015,-1.34,-3.34,720,0.494,0.481,0.268,0.277,0.309,0.669,0.328,0.365
369,Maryland_2015,13.32,7.63,909,0.512,0.455,0.261,0.289,0.289,0.695,0.336,0.186
370,Michigan State_2015,17.46,10.0,1022,0.532,0.449,0.276,0.252,0.334,0.73,0.207,0.281
371,Mississippi_2015,11.39,7.01,854,0.478,0.476,0.256,0.263,0.348,0.686,0.279,0.282
372,New Mexico State_2015,3.71,-3.67,771,0.509,0.461,0.275,0.305,0.399,0.695,0.306,0.223
373,North Carolina State_2015,14.11,9.72,934,0.493,0.455,0.254,0.247,0.34,0.699,0.243,0.244
374,North Carolina_2015,20.63,11.76,1015,0.516,0.454,0.271,0.263,0.4,0.688,0.247,0.265
375,North Dakota State_2015,-1.72,-3.63,824,0.501,0.483,0.257,0.285,0.256,0.769,0.248,0.225
376,North Florida_2015,-0.82,-5.94,880,0.553,0.476,0.269,0.28,0.301,0.688,0.283,0.222
377,Northeastern_2015,2.03,-1.34,863,0.545,0.498,0.288,0.294,0.301,0.748,0.3,0.172
378,Northern Iowa_2015,12.54,2.0,816,0.559,0.456,0.265,0.313,0.27,0.731,0.292,0.192
379,Notre Dame_2015,19.23,7.02,918,0.583,0.479,0.243,0.307,0.279,0.678,0.272,0.172
380,Ohio State_2015,19.68,7.37,854,0.542,0.464,0.267,0.324,0.335,0.68,0.236,0.196
381,Oklahoma State_2015,12.95,9.63,752,0.507,0.458,0.274,0.278,0.278,0.681,0.281,0.286
382,Oklahoma_2015,18.65,9.94,943,0.493,0.441,0.278,0.308,0.315,0.686,0.243,0.186
383,Oregon_2015,11.43,7.65,926,0.524,0.477,0.289,0.264,0.308,0.689,0.217,0.241
384,Providence_2015,13.71,9.5,817,0.484,0.482,0.257,0.277,0.351,0.71,0.287,0.271
385,Purdue_2015,12.93,7.64,840,0.502,0.454,0.268,0.262,0.365,0.691,0.285,0.266
386,Robert Morris_2015,-3.02,-3.5,795,0.501,0.493,0.289,0.292,0.31,0.641,0.252,0.248
387,San Diego State_2015,11.81,4.24,831,0.467,0.433,0.271,0.333,0.354,0.703,0.228,0.175
388,Southern Methodist_2015,12.94,3.57,856,0.517,0.455,0.263,0.305,0.371,0.706,0.309,0.21
389,St. John's (NY)_2015,11.85,9.04,828,0.494,0.466,0.253,0.287,0.284,0.651,0.251,0.218
390,Stephen F. Austin_2015,8.61,-4.2,763,0.557,0.485,0.272,0.294,0.379,0.707,0.314,0.343
391,Texas Southern_2015,-5.98,-6.09,799,0.495,0.493,0.257,0.284,0.338,0.654,0.309,0.216
392,Texas_2015,16.16,9.07,929,0.491,0.421,0.282,0.238,0.379,0.714,0.265,0.231
393,UCLA_2015,12.07,8.27,927,0.496,0.485,0.267,0.284,0.338,0.714,0.242,0.225
394,Utah_2015,20.98,7.42,882,0.557,0.43,0.259,0.285,0.316,0.721,0.303,0.23
395,Valparaiso_2015,6.29,-2.0,879,0.52,0.446,0.278,0.292,0.356,0.731,0.248,0.23
396,Villanova_2015,23.13,7.55,864,0.553,0.455,0.242,0.315,0.325,0.688,0.305,0.207
397,Virginia Commonwealth_2015,12.79,6.1,833,0.487,0.495,0.245,0.308,0.318,0.694,0.245,0.262
398,Virginia_2015,21.73,7.81,874,0.506,0.423,0.254,0.298,0.342,0.757,0.254,0.185
399,West Virginia_2015,15.12,9.29,697,0.461,0.527,0.256,0.3,0.402,0.691,0.267,0.383
400,Wichita State_2015,15.56,3.68,830,0.507,0.456,0.239,0.297,0.349,0.732,0.259,0.255
401,Wisconsin_2015,24.61,10.29,955,0.548,0.477,0.218,0.308,0.321,0.763,0.276,0.159
402,Wofford_2015,2.56,-2.98,815,0.516,0.467,0.262,0.293,0.291,0.731,0.262,0.251
403,Wyoming_2015,3.81,-0.04,831,0.526,0.465,0.276,0.31,0.223,0.736,0.277,0.183
404,Xavier_2015,15.42,9.48,918,0.534,0.5,0.268,0.289,0.313,0.727,0.281,0.226
405,Arizona_2016,18.79,7.23,974,0.536,0.462,0.253,0.281,0.349,0.753,0.316,0.209
406,Little Rock_2016,7.12,-1.76,871,0.52,0.456,0.268,0.295,0.279,0.712,0.229,0.254
407,Austin Peay_2016,-6.04,-2.98,904,0.516,0.531,0.259,0.294,0.33,0.705,0.306,0.218
408,Baylor_2016,16.13,9.76,800,0.518,0.51,0.267,0.286,0.401,0.718,0.272,0.263
409,Buffalo_2016,1.34,0.9,938,0.499,0.493,0.261,0.27,0.322,0.713,0.294,0.27
410,Butler_2016,16.46,7.55,822,0.526,0.497,0.232,0.281,0.321,0.727,0.287,0.254
411,Cal State Bakersfield_2016,2.58,-5.15,849,0.497,0.451,0.264,0.286,0.346,0.71,0.245,0.291
412,University of California_2016,15.39,7.87,963,0.522,0.443,0.255,0.234,0.326,0.747,0.274,0.265
413,Chattanooga_2016,3.24,-3.46,860,0.524,0.5,0.259,0.314,0.326,0.714,0.304,0.202
414,Cincinnati_2016,15.19,5.25,850,0.493,0.456,0.262,0.317,0.366,0.695,0.234,0.184
415,Colorado_2016,12.04,7.64,988,0.488,0.47,0.265,0.254,0.353,0.754,0.293,0.241
416,Connecticut_2016,15.89,6.28,962,0.516,0.445,0.278,0.273,0.285,0.71,0.235,0.234
417,Dayton_2016,11.34,4.76,938,0.516,0.469,0.266,0.286,0.287,0.758,0.272,0.219
418,Duke_2016,19.23,10.59,870,0.537,0.495,0.225,0.3,0.33,0.656,0.293,0.172
419,Fairleigh Dickinson_2016,-10.9,-8.31,760,0.517,0.522,0.28,0.267,0.286,0.646,0.228,0.325
420,Florida Gulf Coast_2016,-0.79,-3.82,1005,0.523,0.467,0.265,0.271,0.329,0.723,0.238,0.229
421,Fresno State_2016,5.27,2.24,884,0.487,0.486,0.242,0.276,0.311,0.706,0.263,0.311
422,Gonzaga_2016,16.92,4.23,1044,0.553,0.446,0.271,0.274,0.323,0.744,0.258,0.198
423,Green Bay_2016,1.16,-0.67,927,0.5,0.511,0.233,0.301,0.309,0.682,0.282,0.255
424,Hampton_2016,-8.74,-8.45,875,0.464,0.483,0.26,0.265,0.346,0.73,0.273,0.26
425,Hawaii_2016,9.03,-1.04,908,0.52,0.453,0.252,0.285,0.311,0.739,0.307,0.281
426,Holy Cross_2016,-11.2,-6.11,773,0.479,0.532,0.266,0.295,0.231,0.705,0.248,0.242
427,Indiana_2016,19.59,6.9,874,0.587,0.498,0.29,0.299,0.37,0.711,0.248,0.206
428,Iona_2016,3.59,-1.78,870,0.538,0.488,0.282,0.28,0.292,0.69,0.23,0.254
429,Iowa State_2016,16.93,10.16,940,0.571,0.498,0.293,0.301,0.261,0.701,0.183,0.171
430,Iowa_2016,17.01,8.71,865,0.513,0.48,0.252,0.315,0.318,0.689,0.237,0.171
431,Kansas_2016,23.87,11.22,1041,0.564,0.45,0.266,0.273,0.323,0.726,0.272,0.269
432,Kentucky_2016,20.23,8.84,933,0.535,0.445,0.244,0.254,0.373,0.683,0.261,0.286
433,Maryland_2016,16.71,8.31,969,0.555,0.463,0.276,0.292,0.286,0.709,0.295,0.192
434,Miami (FL)_2016,18.52,10.69,877,0.542,0.483,0.249,0.29,0.299,0.711,0.305,0.209
435,Michigan State_2016,22.59,6.94,1027,0.563,0.433,0.283,0.245,0.37,0.757,0.218,0.243
436,Michigan_2016,13.75,7.92,862,0.546,0.511,0.275,0.309,0.247,0.737,0.205,0.194
437,Middle Tennessee_2016,2.66,-0.7,914,0.518,0.494,0.269,0.271,0.291,0.746,0.218,0.279
438,North Carolina-Asheville_2016,1.1,-3.25,882,0.505,0.48,0.262,0.314,0.319,0.711,0.284,0.224
439,North Carolina-Wilmington_2016,6.25,0.35,840,0.512,0.469,0.248,0.251,0.322,0.692,0.262,0.382
440,North Carolina_2016,23.44,10.69,1056,0.526,0.481,0.255,0.292,0.403,0.705,0.241,0.212
441,Northern Iowa_2016,8.78,4.44,896,0.535,0.486,0.265,0.317,0.176,0.733,0.257,0.173
442,Notre Dame_2016,14.1,9.57,884,0.54,0.495,0.258,0.276,0.323,0.683,0.244,0.189
443,Oklahoma_2016,19.76,11.14,1011,0.543,0.472,0.284,0.294,0.31,0.7,0.238,0.192
444,Oregon State_2016,10.39,9.26,765,0.499,0.492,0.256,0.276,0.292,0.678,0.25,0.272
445,Oregon_2016,18.05,8.64,940,0.525,0.485,0.244,0.303,0.342,0.697,0.291,0.218
446,Pittsburgh_2016,15.47,8.75,840,0.511,0.493,0.264,0.277,0.369,0.73,0.269,0.218
447,Providence_2016,11.94,8.46,861,0.48,0.493,0.252,0.319,0.303,0.699,0.27,0.201
448,Purdue_2016,20.17,7.46,1036,0.536,0.443,0.268,0.262,0.349,0.767,0.263,0.197
449,Saint Joseph's_2016,12.1,4.93,1014,0.512,0.481,0.234,0.298,0.282,0.743,0.268,0.175
450,Seton Hall_2016,14.66,8.28,917,0.498,0.454,0.269,0.289,0.347,0.692,0.266,0.229
451,South Dakota State_2016,5.44,-1.22,898,0.515,0.473,0.252,0.264,0.325,0.743,0.298,0.281
452,Southern California_2016,13.52,7.64,936,0.522,0.473,0.263,0.284,0.321,0.685,0.237,0.199
453,Southern_2016,-7.68,-9.37,893,0.496,0.474,0.254,0.279,0.289,0.684,0.247,0.254
454,Stephen F. Austin_2016,9.23,-5.47,783,0.545,0.488,0.27,0.325,0.346,0.7,0.253,0.258
455,Stony Brook_2016,3.75,-5.28,886,0.524,0.464,0.272,0.311,0.36,0.746,0.215,0.192
456,Syracuse_2016,14.62,9.75,874,0.501,0.473,0.272,0.311,0.334,0.65,0.243,0.186
457,Temple_2016,7.69,6.57,854,0.47,0.465,0.266,0.279,0.291,0.705,0.182,0.213
458,Texas A&M_2016,18.45,8.45,984,0.512,0.474,0.254,0.305,0.346,0.713,0.256,0.213
459,Texas Tech_2016,12.41,10.25,760,0.5,0.496,0.255,0.286,0.312,0.679,0.314,0.232
460,Texas_2016,14.8,11.71,776,0.494,0.477,0.239,0.268,0.307,0.682,0.263,0.268
461,Tulsa_2016,9.79,5.76,800,0.503,0.482,0.243,0.294,0.278,0.697,0.268,0.259
462,Utah_2016,15.5,8.79,988,0.557,0.48,0.271,0.299,0.302,0.727,0.276,0.165
463,Vanderbilt_2016,17.2,8.68,960,0.529,0.431,0.254,0.24,0.272,0.708,0.276,0.233
464,Villanova_2016,24.08,9.71,1034,0.561,0.467,0.267,0.31,0.28,0.712,0.267,0.198
465,Virginia Commonwealth_2016,13.83,4.35,900,0.51,0.491,0.264,0.297,0.332,0.725,0.223,0.249
466,Virginia_2016,22.04,11.12,866,0.548,0.484,0.261,0.29,0.298,0.751,0.241,0.234
467,Weber State_2016,0.18,-5.13,996,0.559,0.464,0.265,0.286,0.265,0.748,0.294,0.181
468,West Virginia_2016,21.61,9.78,822,0.498,0.484,0.253,0.284,0.419,0.729,0.311,0.395
469,Wichita State_2016,17.39,4.24,897,0.49,0.446,0.237,0.292,0.317,0.765,0.272,0.32
470,Wisconsin_2016,13.4,9.4,830,0.485,0.48,0.257,0.286,0.33,0.726,0.267,0.238
471,Xavier_2016,18.58,8.43,951,0.514,0.478,0.25,0.292,0.352,0.74,0.305,0.234
472,Yale_2016,9.08,-1.03,801,0.526,0.465,0.266,0.288,0.394,0.758,0.276,0.227
473,Arizona_2017,18.25,7.63,978,0.537,0.477,0.249,0.294,0.331,0.743,0.31,0.196
474,Arkansas_2017,14.04,8.6,897,0.514,0.478,0.255,0.265,0.317,0.661,0.29,0.275
475,Baylor_2017,19.75,11.87,878,0.53,0.462,0.293,0.288,0.402,0.714,0.244,0.213
476,Bucknell_2017,5.89,-2.48,901,0.553,0.48,0.28,0.297,0.267,0.722,0.253,0.218
477,Butler_2017,17.7,10.23,804,0.546,0.508,0.248,0.285,0.271,0.733,0.275,0.258
478,UC-Davis_2017,-5.21,-4.68,916,0.49,0.487,0.277,0.301,0.289,0.725,0.278,0.228
479,Cincinnati_2017,18.43,5.49,891,0.52,0.452,0.256,0.311,0.355,0.708,0.223,0.214
480,Creighton_2017,17.27,8.95,934,0.576,0.498,0.297,0.307,0.248,0.711,0.189,0.199
481,Dayton_2017,12.98,4.27,820,0.538,0.477,0.247,0.304,0.258,0.724,0.301,0.247
482,Duke_2017,21.56,10.91,951,0.548,0.475,0.25,0.282,0.316,0.704,0.299,0.222
483,East Tennessee State_2017,7.31,-2.11,912,0.555,0.487,0.275,0.3,0.313,0.728,0.304,0.268
484,Florida Gulf Coast_2017,2.26,-3.42,890,0.554,0.484,0.279,0.282,0.339,0.719,0.231,0.238
485,Florida State_2017,18.87,8.87,915,0.537,0.479,0.251,0.281,0.336,0.705,0.265,0.267
486,Florida_2017,22.4,11.01,915,0.516,0.458,0.252,0.301,0.318,0.709,0.293,0.241
487,Gonzaga_2017,25.26,4.13,1209,0.567,0.411,0.251,0.298,0.298,0.742,0.28,0.177
488,Iona_2017,1.08,-2.47,913,0.534,0.5,0.279,0.279,0.269,0.68,0.238,0.232
489,Iowa State_2017,20.51,11.94,901,0.55,0.49,0.27,0.319,0.256,0.684,0.194,0.18
490,Jacksonville State_2017,-2.85,-3.24,889,0.528,0.486,0.298,0.267,0.315,0.722,0.247,0.245
491,Kansas State_2017,14.8,10.48,802,0.527,0.496,0.269,0.31,0.295,0.677,0.286,0.244
492,Kansas_2017,23.53,12.23,965,0.561,0.481,0.268,0.297,0.339,0.706,0.244,0.215
493,Kent State_2017,0.88,-1.63,915,0.484,0.497,0.276,0.292,0.387,0.704,0.236,0.234
494,Kentucky_2017,23.88,10.49,1042,0.529,0.475,0.237,0.292,0.332,0.729,0.288,0.227
495,Louisville_2017,22.47,11.15,886,0.514,0.457,0.257,0.278,0.366,0.718,0.233,0.269
496,Marquette_2017,15.26,8.6,778,0.576,0.522,0.287,0.278,0.27,0.709,0.242,0.249
497,Maryland_2017,12.79,8.29,822,0.523,0.471,0.269,0.286,0.311,0.682,0.278,0.23
498,Miami (FL)_2017,14.48,9.57,813,0.51,0.476,0.287,0.3,0.334,0.719,0.246,0.212
499,Michigan State_2017,13.67,10.5,947,0.54,0.467,0.301,0.259,0.291,0.731,0.224,0.252
500,Michigan_2017,18.8,10.17,831,0.57,0.519,0.264,0.315,0.245,0.705,0.234,0.186
501,Middle Tennessee_2017,9.8,-0.48,918,0.543,0.478,0.271,0.288,0.307,0.762,0.212,0.265
502,Minnesota_2017,14.56,8.82,963,0.487,0.451,0.247,0.289,0.296,0.699,0.281,0.199
503,Mount St. Mary's_2017,-4.29,-3.51,806,0.51,0.499,0.298,0.308,0.23,0.654,0.218,0.215
504,Nevada_2017,10.49,2.03,965,0.525,0.483,0.237,0.283,0.303,0.739,0.291,0.195
505,New Mexico State_2017,4.66,-3.82,903,0.531,0.467,0.262,0.288,0.367,0.709,0.307,0.237
506,New Orleans_2017,-4.1,-5.34,754,0.513,0.5,0.294,0.315,0.367,0.684,0.303,0.235
507,North Carolina Central_2017,-3.18,-12.12,916,0.517,0.445,0.271,0.311,0.329,0.688,0.233,0.186
508,North Carolina-Wilmington_2017,8.06,-0.55,839,0.555,0.526,0.253,0.282,0.328,0.724,0.219,0.283
509,North Carolina_2017,24.84,11.76,1118,0.519,0.48,0.254,0.297,0.413,0.755,0.244,0.228
510,North Dakota_2017,-1.83,-5.45,849,0.542,0.501,0.273,0.286,0.268,0.733,0.26,0.266
511,Northern Kentucky_2017,-0.17,-2.84,928,0.529,0.494,0.279,0.288,0.317,0.742,0.247,0.213
512,Northwestern_2017,14.02,8.43,918,0.497,0.461,0.273,0.27,0.307,0.694,0.228,0.242
513,Notre Dame_2017,17.81,9.78,878,0.536,0.491,0.264,0.309,0.273,0.694,0.229,0.196
514,Oklahoma State_2017,19.19,12.22,761,0.539,0.535,0.262,0.27,0.381,0.688,0.302,0.325
515,Oregon_2017,20.8,8.38,1019,0.554,0.462,0.268,0.317,0.322,0.714,0.247,0.185
