,Seed,School,Wins
3,4,Syracuse_2013,4.0
4,6,Butler_2013,1.0
5,3,Marquette_2013,3.0
6,7,Illinois_2013,1.0
7,2,Miami (FL)_2013,2.0
8,1,Louisville_2013,6.0
9,8,Colorado State_2013,1.0
10,12,Oregon_2013,2.0
11,4,Saint Louis_2013,1.0
12,6,Memphis_2013,1.0
13,3,Michigan State_2013,2.0
14,7,Creighton_2013,1.0
15,2,Duke_2013,3.0
16,1,Gonzaga_2013,1.0
17,9,Wichita State_2013,4.0
18,12,Ole Miss_2013,1.0
19,13,La Salle_2013,2.0
20,6,Arizona_2013,2.0
21,14,Harvard_2013,1.0
22,10,Iowa State_2013,1.0
23,2,Ohio State_2013,3.0
24,1,Kansas_2013,2.0
25,8,UNC_2013,1.0
26,5,VCU_2013,1.0
27,4,Michigan_2013,5.0
28,11,Minnesota_2013,1.0
29,3,Florida_2013,3.0
30,7,San Diego State_2013,1.0
31,15,Florida Gulf Coast_2013,2.0
0,1,Wichita State_2014,1.0
1,8,Kentucky_2014,5.0
2,5,Saint Louis_2014,1.0
3,4,Louisville_2014,2.0
4,11,Tennessee_2014,2.0
5,14,Mercer_2014,1.0
6,7,Texas_2014,1.0
7,2,Michigan_2014,3.0
8,1,Florida_2014,4.0
9,9,Pitt_2014,1.0
10,12,Stephen F. Austin_2014,1.0
11,4,UCLA_2014,2.0
12,11,Dayton_2014,3.0
13,3,Syracuse_2014,1.0
14,10,Stanford_2014,2.0
15,2,Kansas_2014,1.0
16,1,Virginia_2014,2.0
17,8,Memphis_2014,1.0
18,12,Harvard_2014,1.0
19,4,Michigan State_2014,3.0
20,6,UNC_2014,1.0
21,3,Iowa State_2014,2.0
22,7,UConn_2014,6.0
23,2,Villanova_2014,1.0
24,1,Arizona_2014,3.0
25,8,Gonzaga_2014,1.0
26,12,North Dakota State_2014,1.0
27,4,San Diego State_2014,2.0
28,6,Baylor_2014,2.0
29,3,Creighton_2014,1.0
30,7,Oregon_2014,1.0
31,2,Wisconsin_2014,4.0
0,1,Villanova_2015,1.0
1,8,NC State_2015,2.0
2,5,Northern Iowa_2015,1.0
3,4,Louisville_2015,3.0
4,11,Dayton_2015,1.0
5,3,Oklahoma_2015,2.0
6,7,Michigan State_2015,4.0
7,2,Virginia_2015,1.0
8,1,Kentucky_2015,4.0
9,8,Cincinnati_2015,1.0
10,5,West Virginia_2015,2.0
11,4,Maryland_2015,1.0
12,6,Butler_2015,1.0
13,3,Notre Dame_2015,3.0
14,7,Wichita State_2015,2.0
15,2,Kansas_2015,1.0
16,1,Duke_2015,6.0
17,8,San Diego State_2015,1.0
18,5,Utah_2015,2.0
19,4,Georgetown_2015,1.0
20,11,UCLA_2015,2.0
21,14,Alabama-Birmingham_2015,1.0
22,7,Iowa_2015,1.0
23,2,Gonzaga_2015,3.0
24,1,Wisconsin_2015,5.0
25,8,Oregon_2015,1.0
26,5,Arkansas_2015,1.0
27,4,UNC_2015,2.0
28,6,Xavier_2015,2.0
29,14,Georgia State_2015,1.0
30,10,Ohio State_2015,1.0
31,2,Arizona_2015,3.0
0,1,UNC_2016,5.0
1,9,Providence_2016,1.0
2,5,Indiana_2016,2.0
3,4,Kentucky_2016,1.0
4,6,Notre Dame_2016,3.0
5,14,Stephen F. Austin_2016,1.0
6,7,Wisconsin_2016,2.0
7,2,Xavier_2016,1.0
8,1,Kansas_2016,3.0
9,9,UConn_2016,1.0
10,5,Maryland_2016,2.0
11,13,Hawaii_2016,1.0
12,11,Wichita State_2016,1.0
13,3,Miami (FL)_2016,2.0
14,7,Iowa_2016,1.0
15,2,Villanova_2016,6.0
16,1,Oregon_2016,3.0
17,8,St. Joseph's_2016,1.0
18,12,Yale_2016,1.0
19,4,Duke_2016,2.0
20,11,Northern Iowa_2016,1.0
21,3,Texas A&M_2016,2.0
22,10,VCU_2016,1.0
23,2,Oklahoma_2016,4.0
24,1,Virginia_2016,3.0
25,9,Butler_2016,1.0
26,12,Little Rock_2016,1.0
27,4,Iowa State_2016,2.0
28,11,Gonzaga_2016,2.0
29,3,Utah_2016,1.0
30,10,Syracuse_2016,4.0
31,15,Middle Tennessee_2016,1.0
0,1,Villanova_2017,1.0
1,8,Wisconsin_2017,2.0
2,5,Virginia_2017,1.0
3,4,Florida_2017,3.0
4,11,USC_2017,1.0
5,3,Baylor_2017,2.0
6,7,South Carolina_2017,4.0
7,2,Duke_2017,1.0
8,1,Kansas_2017,3.0
9,9,Michigan State_2017,1.0
10,5,Iowa State_2017,1.0
11,4,Purdue_2017,2.0
12,11,Rhode Island_2017,1.0
13,3,Oregon_2017,4.0
14,7,Michigan_2017,2.0
15,2,Louisville_2017,1.0
16,1,UNC_2017,6.0
17,8,Arkansas_2017,1.0
18,12,Middle Tennessee_2017,1.0
19,4,Butler_2017,2.0
20,6,Cincinnati_2017,1.0
21,3,UCLA_2017,2.0
22,10,Wichita State_2017,1.0
23,2,Kentucky_2017,3.0
24,1,Gonzaga_2017,5.0
25,8,Northwestern_2017,1.0
26,5,Notre Dame_2017,1.0
27,4,West Virginia_2017,2.0
28,11,Xavier_2017,3.0
29,3,Florida State_2017,1.0
30,7,Saint Mary's_2017,1.0
31,2,Arizona_2017,2.0
0,1,Villanova_2018,6.0
1,9,Alabama_2018,1.0
2,5,West Virginia_2018,2.0
3,13,Marshall_2018,1.0
4,6,Florida_2018,1.0
5,3,Texas Tech_2018,3.0
6,10,Butler_2018,1.0
7,2,Purdue_2018,2.0
8,1,Kansas_2018,4.0
9,8,Seton Hall_2018,1.0
10,5,Clemson_2018,2.0
11,4,Auburn_2018,1.0
12,11,Syracuse_2018,2.0
13,3,Michigan State_2018,1.0
14,7,Rhode Island_2018,1.0
15,2,Duke_2018,3.0
16,1,Xavier_2018,1.0
17,9,Florida State_2018,3.0
18,5,Ohio State_2018,1.0
19,4,Gonzaga_2018,2.0
20,6,Houston_2018,1.0
21,3,Michigan_2018,5.0
22,7,Texas A&M_2018,2.0
23,2,UNC_2018,1.0
24,16,UMBC_2018,1.0
25,9,Kansas State_2018,3.0
26,5,Kentucky_2018,2.0
27,13,Buffalo_2018,1.0
28,11,Loyola (IL)_2018,4.0
29,3,Tennessee_2018,1.0
30,7,Nevada_2018,2.0
31,2,Cincinnati_2018,1.0
