School,SOS,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TRB,opp_TOV
Abilene Christian,-6.82,770,1759,214,525,743,313,1107,512
Air Force,1.72,781,1686,288,394,553,274,1069,436
Akron,-1.92,828,1797,257,498,689,298,1106,410
Alabama A&M,-8.04,881,1844,228,377,549,340,1126,353
Alabama-Birmingham,-0.65,827,1952,292,357,513,301,1035,414
Alabama State,-8.62,813,1795,238,573,836,392,1232,401
Alabama NCAA,10.64,877,2109,262,527,769,414,1277,473
Albany (NY),-5.41,807,1808,215,353,503,261,965,368
Alcorn State,-8.60,809,1867,266,504,716,363,1179,419
American,-6.17,776,1595,199,464,650,282,1059,413
Appalachian State,-2.65,854,1953,232,508,705,304,1177,430
Arizona State NCAA,6.56,841,1919,262,451,628,357,1171,474
Arizona NCAA,6.84,890,2047,261,468,638,310,1018,406
Little Rock,-2.21,754,1744,269,465,687,336,1130,436
Arkansas-Pine Bluff,-9.36,831,1919,227,610,858,445,1327,531
Arkansas State,-3.02,911,1852,245,456,641,318,1133,437
Arkansas NCAA,9.85,872,2028,301,602,828,394,1264,490
Army,-7.17,757,1709,251,458,640,281,1092,427
Auburn NCAA,7.29,838,1961,273,539,747,341,1207,516
Austin Peay,-2.49,845,1821,240,516,721,309,1107,549
Ball State,-1.99,841,1977,258,422,580,335,1160,384
Baylor,9.17,836,2016,261,436,609,367,1091,400
Belmont,-2.88,836,1943,228,384,521,302,1068,382
Bethune-Cookman,-12.48,883,2080,231,546,780,396,1239,444
Binghamton,-6.36,780,1750,235,386,545,278,1085,372
Boise State,3.05,794,1859,223,399,551,203,972,380
Boston College,7.20,938,2109,309,425,571,336,1212,435
Boston University,-5.84,793,1762,252,388,533,303,1041,427
Bowling Green State,-2.88,893,1949,261,443,614,302,1168,404
Bradley,0.36,716,1768,243,461,627,326,1094,447
Brigham Young,1.53,878,1955,251,365,556,263,1100,444
Brown,-4.67,741,1558,205,446,631,247,959,388
Bryant,-5.43,921,1867,308,432,616,354,1236,394
Bucknell NCAA,-3.46,911,2138,224,513,738,360,1240,438
Buffalo NCAA,0.25,936,2179,239,631,860,389,1313,496
Butler NCAA,10.55,877,1954,274,512,689,278,1137,484
Cal Poly,-1.83,816,1790,228,442,593,307,1143,347
Cal State Bakersfield,-0.73,679,1597,244,466,664,291,1009,407
Cal State Fullerton NCAA,-1.02,768,1861,220,489,647,320,1074,413
Cal State Northridge,-3.55,801,1726,194,410,567,323,1104,333
UC-Davis,-1.84,768,1806,221,484,658,330,1134,506
UC-Irvine,-0.33,781,2006,229,559,803,332,1180,367
UC-Riverside,-1.53,735,1776,233,460,663,351,1195,432
UC-Santa Barbara,-3.36,803,1863,228,377,538,296,1081,368
University of California,6.06,852,1807,282,497,689,316,1116,443
Campbell,-6.68,861,1933,235,455,633,308,1151,427
Canisius,-4.80,818,1825,207,503,686,334,1121,500
Central Arkansas,-5.97,975,2183,252,564,834,445,1405,509
Central Connecticut State,-7.59,816,1860,276,392,560,319,1029,360
Central Florida,3.75,718,1790,201,338,469,321,1085,394
Central Michigan,-3.24,966,2173,318,411,567,378,1269,465
Charleston Southern,-6.15,714,1644,284,421,559,273,1021,484
Charlotte,0.27,842,1762,231,402,566,289,1044,370
Chattanooga,-4.05,902,1880,228,392,525,283,1105,430
Chicago State,1.17,949,1908,295,563,797,363,1250,454
Cincinnati NCAA,3.53,739,1974,231,362,529,361,1127,514
Citadel,-2.94,1020,2123,331,448,619,393,1382,542
Clemson NCAA,9.25,826,2033,268,387,552,332,1172,413
Cleveland State,-3.64,936,2052,289,452,633,390,1335,490
Coastal Carolina,-2.40,736,1819,276,493,680,315,1053,384
Colgate,-5.73,831,1836,270,383,520,285,1128,431
College of Charleston NCAA,-3.29,824,1907,239,444,602,321,1149,403
Colorado State,3.79,879,1918,302,477,677,321,1166,406
Colorado,7.00,808,1909,265,456,649,312,1091,339
Columbia,-3.02,723,1608,269,370,505,275,1000,354
Connecticut,6.05,804,1856,288,444,629,371,1176,400
Coppin State,-7.25,810,1897,247,517,713,379,1332,404
Cornell,-3.24,809,1785,258,374,516,316,1042,320
Creighton NCAA,8.10,907,2093,261,369,512,303,1160,387
Dartmouth,-4.00,724,1552,220,302,386,233,901,337
Davidson NCAA,2.57,802,1826,266,370,540,258,1042,352
Dayton,2.70,824,1755,262,367,513,277,980,388
Delaware State,-9.32,846,1822,313,454,646,367,1146,410
Delaware,-2.96,869,1909,274,416,574,297,1139,338
Denver,-2.54,746,1719,250,447,618,250,929,335
DePaul,8.45,787,1788,286,429,578,303,1083,447
Detroit Mercy,-2.07,959,1989,298,527,743,356,1230,434
Drake,0.59,937,2076,264,357,504,322,1235,413
Drexel,-2.48,948,2054,246,449,636,371,1204,374
Duke NCAA,9.71,957,2364,279,383,526,432,1216,453
Duquesne,-3.33,803,1771,192,447,645,309,1094,401
East Carolina,-0.22,818,1808,225,385,562,350,1108,360
East Tennessee State,-4.09,778,1929,250,435,622,352,1128,500
Eastern Illinois,-3.40,740,1696,246,394,551,308,1070,410
Eastern Kentucky,-3.68,849,1801,256,417,619,327,1106,412
Eastern Michigan,-2.81,814,2013,278,433,599,411,1244,506
Eastern Washington,-1.55,884,1983,241,511,711,289,1181,413
Elon,-1.69,892,2037,332,321,458,341,1224,327
Evansville,1.35,712,1696,246,375,545,278,1025,437
Fairfield,-3.68,886,1946,271,506,716,317,1243,457
Fairleigh Dickinson,-5.66,812,1851,250,476,639,382,1144,451
Florida A&M,-8.34,963,2027,243,515,727,426,1329,458
Florida Atlantic,-0.14,788,1827,192,404,583,303,1167,393
Florida Gulf Coast,-5.44,884,2092,267,480,712,358,1151,494
Florida International,-1.99,799,1841,240,440,643,321,1257,467
Florida State NCAA,8.50,887,2129,285,492,689,383,1228,494
Florida NCAA,10.08,832,1946,229,460,629,362,1273,468
Fordham,1.26,806,1738,205,362,528,334,1193,440
Fresno State,1.84,749,1725,220,483,658,254,1001,432
Furman,-3.64,825,1905,224,386,550,319,1152,489
Gardner-Webb,-3.79,798,1839,256,455,639,295,1109,404
George Mason,0.83,899,1994,278,421,614,322,1173,376
George Washington,2.13,857,1891,229,376,532,330,1084,374
Georgetown,5.29,821,1870,259,393,529,289,1009,377
Georgia Southern,-3.28,816,1916,245,438,661,383,1272,486
Georgia State NCAA,-2.78,771,1963,307,507,727,416,1296,501
Georgia Tech,7.47,768,1791,227,407,569,331,1082,403
Georgia,8.87,778,1975,247,399,547,363,1124,318
Gonzaga NCAA,2.59,890,2178,272,453,633,316,1160,455
Grambling,-10.30,792,1820,209,528,778,357,1160,465
Grand Canyon,-4.81,767,1906,161,518,734,357,1238,511
Green Bay,-4.08,899,2087,253,448,631,372,1307,450
Hampton,-9.57,913,2175,258,519,761,409,1323,438
Hartford,-5.26,820,1869,262,416,622,322,1149,407
Harvard,-1.70,725,1718,233,446,606,250,1030,405
Hawaii,-2.50,714,1618,196,447,619,232,965,423
High Point,-6.37,674,1581,210,435,593,283,976,441
Hofstra,-1.60,874,1831,237,412,586,282,1042,362
Holy Cross,-5.83,713,1653,260,413,561,330,1074,399
Houston Baptist,-3.96,912,1895,271,522,687,313,1177,456
Houston NCAA,4.16,744,1887,231,552,785,320,1126,457
Howard,-9.75,931,1992,251,541,773,424,1313,465
Idaho State,-3.70,816,1789,208,392,555,286,1041,358
Idaho,-3.94,746,1781,261,381,535,264,939,342
Illinois-Chicago,-4.21,919,2265,245,514,744,420,1335,465
Illinois State,3.67,828,1944,240,522,738,382,1288,426
Illinois,7.53,788,1669,200,586,802,295,1063,543
Incarnate Word,-5.04,775,1746,212,401,565,365,1076,385
Indiana State,2.43,760,1714,225,508,706,253,1074,439
Indiana,8.25,773,1752,235,397,564,315,1055,417
Iona NCAA,-2.19,969,2102,267,397,602,379,1280,464
Iowa State,9.49,856,1936,261,366,513,353,1158,356
Iowa,7.13,953,2061,284,407,579,338,1092,365
Purdue-Fort Wayne,-3.24,924,1999,266,421,568,286,1176,500
IUPUI,-3.53,759,1614,211,451,612,275,1022,441
Jackson State,-10.49,719,1599,205,518,736,311,1202,474
Jacksonville State,-4.87,821,2016,275,452,642,336,1169,473
Jacksonville,-6.12,907,2043,247,421,571,342,1219,465
James Madison,-2.15,811,1804,260,532,745,309,1158,426
Kansas State NCAA,8.74,842,1980,261,533,728,386,1259,533
Kansas NCAA,11.87,1031,2419,315,424,595,453,1371,501
Kennesaw State,-4.31,862,1802,200,404,566,327,1057,402
Kent State,-1.75,892,1998,248,470,656,352,1194,438
Kentucky NCAA,10.73,905,2242,287,502,725,437,1240,436
La Salle,2.54,839,1858,241,441,627,281,1136,397
Lafayette,-6.04,856,1886,247,348,498,301,1088,318
Lamar,-7.22,809,1809,215,463,669,306,1179,553
Lehigh,-5.66,828,1849,281,396,563,291,1079,356
Liberty,-6.23,790,1899,316,457,626,237,1096,454
Lipscomb NCAA,-3.80,898,2002,249,519,751,292,1169,511
Long Beach State,0.89,955,2040,255,421,558,347,1137,449
Long Island University NCAA,-8.19,973,2209,242,486,702,401,1275,423
Longwood,-4.31,856,1938,263,470,650,363,1244,419
Louisiana,-2.54,849,1958,212,498,721,329,1099,506
Louisiana-Monroe,-3.31,771,1796,266,379,536,310,1108,422
Louisiana State,8.03,875,1922,277,436,626,361,1130,450
Louisiana Tech,-0.12,838,1900,230,425,600,330,1155,427
Louisville,9.08,913,2208,249,456,646,438,1331,482
Loyola (IL) NCAA,1.81,877,2118,254,369,523,335,1158,484
Loyola Marymount,1.09,817,1645,238,497,687,277,996,416
Loyola (MD),-5.25,805,1714,226,490,674,265,1064,414
Maine,-3.28,833,1894,255,487,685,348,1236,434
Manhattan,-4.15,735,1681,214,491,689,335,1045,458
Marist,-3.57,896,1976,287,436,589,342,1139,332
Marquette,9.70,960,2010,244,584,782,334,1160,450
Marshall NCAA,0.44,1059,2399,265,466,684,458,1466,515
Maryland-Baltimore County NCAA,-3.84,883,2012,282,418,618,339,1289,529
Maryland-Eastern Shore,-7.57,882,1879,271,438,616,373,1261,355
Maryland,7.94,781,1909,244,334,452,334,994,351
Massachusetts-Lowell,-5.78,862,1772,216,416,589,318,1091,439
Massachusetts,1.10,879,1927,227,480,640,330,1132,375
McNeese State,-6.10,805,1878,216,383,562,361,1118,357
Memphis,2.16,841,1947,296,442,630,395,1118,433
Mercer,-3.50,812,1859,317,432,601,275,996,397
Miami (FL) NCAA,6.96,794,1841,215,368,517,314,1088,412
Miami (OH),-1.15,881,2002,246,396,559,305,1174,433
Michigan State NCAA,7.10,774,2108,252,471,647,369,1058,349
Michigan NCAA,9.41,948,2227,222,478,663,341,1353,530
Middle Tennessee,2.83,738,1713,202,510,714,240,1003,438
Milwaukee,-4.25,811,1865,263,375,504,264,1108,406
Minnesota,6.91,876,2000,268,382,542,355,1223,364
Mississippi State,6.82,902,2160,274,429,626,410,1264,498
Mississippi Valley State,-8.13,862,1823,275,501,715,344,1273,445
Mississippi,9.16,852,1933,288,508,713,361,1230,397
Missouri-Kansas City,-1.02,840,1850,227,540,769,359,1295,481
Missouri State,0.45,779,1898,231,408,565,301,1085,326
Missouri NCAA,9.19,795,1949,231,425,586,343,1079,365
Monmouth,-1.24,781,1805,292,518,750,308,1071,413
Montana State,-3.53,897,1884,247,483,684,287,1165,425
Montana NCAA,-2.25,784,1825,209,552,764,295,1102,522
Morehead State,-1.91,765,1634,233,441,635,282,983,407
Morgan State,-11.97,791,1772,239,517,736,334,1126,463
Mount St. Mary's,-8.05,842,1870,243,374,509,375,1204,438
Murray State NCAA,-3.53,761,1841,199,396,547,314,1005,402
Navy,-7.22,744,1645,247,390,549,215,939,465
Omaha,0.33,951,1981,276,410,546,318,1136,366
Nebraska,7.32,856,2025,192,361,537,430,1257,412
Nevada-Las Vegas,1.87,951,2208,248,427,578,401,1149,382
Nevada NCAA,4.93,974,2248,275,480,677,393,1347,474
New Hampshire,-4.32,712,1648,212,449,663,217,1016,315
New Mexico State NCAA,-1.10,763,1919,222,435,612,282,1103,463
New Mexico,3.30,931,1925,228,551,766,334,1217,562
New Orleans,-5.78,822,1780,226,452,645,321,1074,507
Niagara,-4.21,1012,2200,289,456,646,395,1284,387
Nicholls State,-5.86,824,1868,206,557,820,349,1155,552
