,School,SOS,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TRB,opp_TOV
1,Akron 2011,-1.02,832,2004,194,507,768,425,1345,514
3,Alabama-Birmingham 2011,2.78,699,1692,156,386,549,333,1035,385
4,Alabama State 2011,-10.31,715,1773,180,624,913,406,1235,545
11,Arizona 2011,7.99,940,2115,175,525,774,375,1167,475
12,Little Rock 2011,-2.97,811,1867,222,582,819,376,1260,497
21,Belmont 2011,-4.42,721,1764,183,553,815,382,1137,665
26,Boston University 2011,-3.85,783,1964,239,417,592,435,1237,397
29,Brigham Young 2011,5.76,902,2174,218,490,711,395,1320,533
32,Bucknell 2011,-3.87,747,1888,219,461,661,359,1162,400
34,Butler 2011,5.02,845,1994,229,518,771,351,1220,472
42,UC-Santa Barbara 2011,0.12,696,1712,227,486,693,356,1056,429
55,Cincinnati 2011,6.1,735,1790,171,445,633,351,1088,492
57,Clemson 2011,6.58,724,1801,193,445,627,382,1122,516
65,Connecticut 2011,10.44,973,2478,261,452,665,546,1447,472
79,Duke 2011,8.32,896,2212,176,426,655,473,1299,545
95,Florida State 2011,6.45,696,1918,233,484,696,403,1167,516
96,Florida 2011,7.57,872,2075,214,387,576,393,1181,461
101,George Mason 2011,1.37,761,1847,201,401,591,376,1117,454
103,Georgetown 2011,10.39,737,1763,176,473,669,361,999,363
107,Georgia 2011,6.13,741,1866,190,453,648,388,1086,396
108,Gonzaga 2011,4.01,786,1947,253,482,685,359,1086,503
111,Hampton 2011,-8.77,719,1874,180,452,671,449,1317,516
125,Illinois 2011,11.11,780,1931,205,457,632,384,1122,413
126,Indiana State 2011,2.9,713,1755,194,572,796,348,1134,445
137,Kansas State 2011,8.41,751,1782,178,569,803,350,1058,524
138,Kansas 2011,7.62,862,2188,225,509,697,397,1172,535
141,Kentucky 2011,8.91,863,2188,210,476,658,431,1285,457
149,Long Island University 2011,-5.77,942,2165,208,374,567,428,1230,497
155,Louisville 2011,8.2,762,1935,199,536,770,455,1268,564
162,Marquette 2011,8.51,939,2142,260,408,618,433,1241,515
169,Memphis 2011,3.14,828,1987,205,531,778,445,1217,519
173,Michigan State 2011,11.67,787,1861,215,474,716,347,1119,411
174,Michigan 2011,10.68,795,1854,222,375,553,335,1178,409
183,Missouri 2011,6.5,851,1943,197,536,775,439,1266,614
187,Morehead State 2011,-3.13,735,1756,245,447,645,313,992,523
193,Nevada-Las Vegas 2011,6.0,704,1737,189,480,689,363,1106,534
202,North Carolina-Asheville 2011,-2.89,803,1925,218,509,747,440,1246,592
208,North Carolina 2011,10.15,948,2339,267,382,580,454,1343,526
215,Northern Colorado 2011,-2.24,682,1660,238,503,711,305,995,443
220,Notre Dame 2011,8.43,815,1996,234,363,511,372,1111,351
221,Oakland 2011,0.1,984,2217,233,489,678,430,1192,423
222,Ohio State 2011,8.38,838,1976,232,300,407,341,1096,552
226,Old Dominion 2011,1.76,717,1774,245,305,488,326,957,392
231,Penn State 2011,11.45,768,1747,235,355,509,316,1025,365
234,Pittsburgh 2011,7.85,735,1850,199,404,598,350,993,378
239,Princeton 2011,-1.61,721,1701,148,427,597,289,975,385
241,Purdue 2011,8.69,770,1858,169,394,565,349,1143,478
246,Richmond 2011,2.79,832,2053,188,413,601,441,1300,454
256,Saint Peter's 2011,-1.08,683,1818,175,501,765,431,1243,484
259,San Diego State 2011,6.36,802,2027,194,394,547,381,1146,460
277,Southern California 2011,7.97,741,1810,191,458,653,324,1122,404
286,St. John's (NY) 2011,10.01,739,1703,253,480,684,354,1089,530
291,Syracuse 2011,8.79,788,2000,244,396,594,442,1182,490
292,Temple 2011,4.23,790,1908,187,357,504,340,1132,447
296,Tennessee 2011,8.73,785,1878,230,496,704,388,1153,476
298,Texas A&M 2011,5.94,702,1703,179,426,619,321,988,441
303,Texas-San Antonio 2011,-4.93,813,1941,254,483,695,413,1240,480
307,Texas 2011,7.96,816,2108,162,444,648,423,1223,461
313,UCLA 2011,7.93,821,1964,176,436,648,396,1116,410
314,Utah State 2011,0.5,696,1815,186,417,616,319,1007,412
318,Vanderbilt 2011,6.86,848,2063,203,402,577,419,1172,406
320,Villanova 2011,8.23,739,1823,210,471,665,356,1076,395
321,Virginia Commonwealth 2011,3.78,971,2200,222,509,751,496,1455,584
328,Washington 2011,7.74,844,2017,183,603,887,412,1219,515
330,West Virginia 2011,11.03,752,1827,172,458,658,417,1116,393
338,Wisconsin 2011,9.42,705,1647,179,403,542,273,1008,329
339,Wofford 2011,-1.21,796,1787,188,533,742,353,1073,452
342,Xavier 2011,4.41,707,1743,208,445,610,308,991,401
