School,SOS,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TRB,opp_TOV
Air Force,3.31,705,1737,266,406,567,381,1110,407
Akron NCAA,-1.02,832,2004,194,507,768,425,1345,514
Alabama A&M,-11.75,658,1594,141,413,662,360,1109,465
Alabama-Birmingham NCAA,2.78,699,1692,156,386,549,333,1035,385
Alabama State NCAA,-10.31,715,1773,180,624,913,406,1235,545
Alabama,4.27,758,1965,200,482,713,450,1238,581
Albany (NY),-5.96,744,1809,240,320,502,383,1077,334
Alcorn State,-8.02,793,1794,178,494,756,424,1288,424
American,-5.64,679,1614,175,440,604,268,948,321
Appalachian State,-2.95,841,1822,197,390,564,329,1070,382
Arizona State,7.20,708,1652,205,452,649,345,1102,398
Arizona NCAA,7.99,940,2115,175,525,774,375,1167,475
Little Rock NCAA,-2.97,811,1867,222,582,819,376,1260,497
Arkansas-Pine Bluff,-8.03,728,1576,195,570,873,316,1127,479
Arkansas State,-3.31,711,1696,185,459,670,323,1029,421
Arkansas,2.34,747,1813,160,415,571,404,1153,446
Army,-6.58,728,1632,214,471,678,320,1072,419
Auburn,2.40,674,1583,220,483,714,345,1095,477
Austin Peay,-3.77,808,1902,207,456,683,411,1186,566
Ball State,-3.40,740,1747,192,377,569,365,1064,443
Baylor,4.80,695,1660,195,399,580,329,953,459
Belmont NCAA,-4.42,721,1764,183,553,815,382,1137,665
Bethune-Cookman,-8.04,786,1707,180,488,750,348,1108,492
Binghamton,-5.35,775,1721,222,351,504,382,1119,342
Boise State,0.01,807,1760,220,548,769,295,1138,608
Boston College,7.31,875,1965,244,360,508,383,1116,354
Boston University NCAA,-3.85,783,1964,239,417,592,435,1237,397
Bowling Green State,-2.03,772,1743,228,443,662,365,1184,508
Bradley,1.67,742,1716,218,462,640,321,1123,413
Brigham Young NCAA,5.76,902,2174,218,490,711,395,1320,533
Brown,-4.12,755,1690,188,356,513,288,1017,307
Bryant,-3.12,788,1713,250,432,611,353,1117,374
Bucknell NCAA,-3.87,747,1888,219,461,661,359,1162,400
Buffalo,-2.22,768,1844,204,457,685,397,1089,518
Butler NCAA,5.02,845,1994,229,518,771,351,1220,472
Cal Poly,-2.39,591,1479,146,438,619,313,1019,404
Cal State Bakersfield,-2.16,773,1605,155,466,636,331,1091,390
Cal State Fullerton,-2.81,767,1709,252,540,744,338,1049,409
Cal State Northridge,-1.55,717,1663,204,642,927,355,1095,480
UC-Davis,-1.90,786,1711,176,446,687,359,1085,413
UC-Irvine,-2.36,818,1892,237,546,762,367,1252,464
UC-Riverside,-1.40,718,1680,259,469,660,331,1074,424
UC-Santa Barbara NCAA,0.12,696,1712,227,486,693,356,1056,429
University of California,9.17,836,1919,263,447,648,340,1083,417
Campbell,-4.27,668,1567,209,546,782,355,1027,454
Canisius,-3.55,693,1681,180,458,662,387,1092,408
Centenary (LA),-2.85,835,1699,204,548,812,386,1163,440
Central Arkansas,-5.39,798,1649,174,446,633,325,1076,483
Central Connecticut State,-5.97,733,1751,182,397,584,394,1076,494
Central Florida,1.97,751,1832,190,388,592,388,1079,427
Central Michigan,-2.41,675,1480,138,518,778,281,1064,459
Charleston Southern,-4.57,790,1762,183,434,645,349,1056,493
Charlotte,1.89,769,1769,194,398,560,330,1040,350
Chattanooga,-2.67,829,1887,301,421,615,301,1131,418
Chicago State,-4.88,923,1949,276,632,934,418,1330,442
Cincinnati NCAA,6.10,735,1790,171,445,633,351,1088,492
Citadel,-2.84,821,1772,215,380,556,300,1034,339
Clemson NCAA,6.58,724,1801,193,445,627,382,1122,516
Cleveland State,1.74,786,1900,190,529,778,411,1257,529
Coastal Carolina,-5.15,796,2011,242,344,517,383,1099,458
Colgate,-5.03,763,1668,190,554,747,309,1023,348
College of Charleston,-1.05,969,2218,213,403,600,479,1307,482
Colorado State,5.26,750,1747,201,465,662,336,1044,443
Colorado,5.61,990,2213,253,554,785,440,1261,511
Columbia,-4.81,704,1540,148,432,596,248,927,357
Connecticut NCAA,10.44,973,2478,261,452,665,546,1447,472
Coppin State,-7.66,756,1772,229,428,629,384,1139,445
