,School,SOS,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TRB,opp_TOV
12,Arizona 2016,7.23,853,2067,204,432,606,320,1055,388
13,Little Rock 2016,-1.76,720,1825,226,463,677,353,1190,486
19,Austin Peay 2016,-2.98,995,2159,302,471,667,378,1236,478
21,Baylor 2016,9.76,823,1843,233,485,693,314,1011,463
34,Buffalo 2016,0.9,906,2098,256,566,790,378,1273,464
35,Butler 2016,7.55,818,1879,231,477,672,309,1082,432
37,Cal State Bakersfield 2016,-5.15,696,1764,198,514,747,347,1128,499
44,University of California 2016,7.87,789,1989,183,528,745,327,1126,329
53,Chattanooga 2016,-3.46,866,1967,235,397,584,344,1133,494
55,Cincinnati 2016,5.25,750,1907,240,350,515,373,1136,446
63,Colorado 2016,7.64,852,2038,212,491,716,322,1140,371
65,Connecticut 2016,6.28,785,2032,240,475,719,393,1242,431
71,Dayton 2016,4.76,761,1882,242,412,618,299,1113,412
79,Duke 2016,10.59,998,2244,226,387,568,456,1322,427
90,Fairleigh Dickinson 2016,-8.31,868,1901,247,617,888,417,1285,510
93,Florida Gulf Coast 2016,-3.82,877,2128,232,487,713,385,1235,422
98,Fresno State 2016,2.24,812,1929,252,599,859,368,1275,529
108,Gonzaga 2016,4.23,859,2167,214,428,610,359,1159,370
111,Green Bay 2016,-0.67,1013,2255,278,576,807,432,1458,609
112,Hampton 2016,-8.45,826,1934,215,503,696,324,1169,393
115,Hawaii 2016,-1.04,764,1910,203,536,748,321,1124,498
118,Holy Cross 2016,-6.11,859,1873,273,454,626,323,1253,450
129,Indiana 2016,6.9,905,2037,218,419,615,356,1060,458
130,Iona 2016,-1.78,844,1993,257,506,724,390,1234,460
131,Iowa State 2016,10.16,986,2250,268,385,560,401,1261,425
132,Iowa 2016,8.71,850,2021,242,345,505,390,1229,431
140,Kansas 2016,11.22,873,2200,233,591,816,392,1234,490
143,Kentucky 2016,8.84,827,2082,201,596,848,433,1209,437
168,Maryland 2016,8.31,874,2145,240,412,579,398,1193,407
174,Miami (FL) 2016,10.69,865,2008,210,419,584,357,1129,404
176,Michigan State 2016,6.94,774,2025,204,493,690,329,1055,333
177,Michigan 2016,7.92,894,1995,251,387,534,308,1190,432
178,Middle Tennessee 2016,-0.7,824,1902,232,530,794,312,1213,469
207,North Carolina-Asheville 2016,-3.25,835,1954,205,438,627,359,1204,528
212,North Carolina-Wilmington 2016,0.35,758,1802,175,688,976,374,1210,493
213,North Carolina 2016,10.69,993,2384,308,505,725,441,1282,510
222,Northern Iowa 2016,4.44,850,2011,255,348,483,326,1238,420
226,Notre Dame 2016,9.57,930,2154,274,407,559,410,1210,346
231,Oklahoma 2016,11.14,953,2314,278,445,656,434,1341,468
234,Oregon State 2016,9.26,766,1788,226,486,699,364,1180,430
235,Oregon 2016,8.64,931,2199,272,480,690,408,1257,533
240,Pittsburgh 2016,8.75,798,1844,222,402,608,310,1022,379
246,Providence 2016,8.46,909,2067,221,416,578,370,1293,508
247,Purdue 2016,7.46,824,2106,219,414,591,315,1074,325
259,Saint Joseph's 2016,4.93,924,2218,286,388,555,351,1277,410
272,Seton Hall 2016,8.28,814,2027,212,465,685,408,1231,469
278,South Dakota State 2016,-1.22,789,1888,207,531,736,311,1102,411
283,Southern California 2016,7.64,924,2214,248,441,627,430,1279,414
289,Southern 2016,-9.37,832,2001,234,508,764,413,1311,482
294,Stephen F. Austin 2016,-5.47,764,1745,174,451,680,335,1099,631
296,Stony Brook 2016,-5.28,770,1887,212,363,506,301,1058,418
297,Syracuse 2016,9.75,877,2127,259,396,595,471,1357,491
298,Temple 2016,6.57,809,1952,196,416,561,358,1262,355
304,Texas A&M 2016,8.45,862,2117,283,451,685,396,1296,534
312,Texas Tech 2016,10.25,783,1828,246,424,601,360,1080,401
313,Texas 2016,11.71,775,1844,209,494,707,362,1183,408
318,Tulsa 2016,5.76,757,1819,241,472,629,347,1185,450
322,Utah 2016,8.79,933,2226,269,367,506,371,1173,378
324,Vanderbilt 2016,8.68,784,2033,183,474,700,396,1235,323
326,Villanova 2016,9.71,906,2247,285,446,674,418,1322,552
327,Virginia Commonwealth 2016,4.35,872,1980,202,494,728,342,1242,535
330,Virginia 2016,11.12,777,1849,235,433,617,287,1047,428
335,Weber State 2016,-5.13,880,2113,202,382,571,336,1170,382
336,West Virginia 2016,9.78,726,1713,206,677,948,305,1078,624
341,Wichita State 2016,4.24,659,1705,203,545,769,276,1154,539
344,Wisconsin 2016,9.4,794,1862,201,444,627,314,1121,420
348,Xavier 2016,8.43,834,2010,253,471,675,334,1138,474
349,Yale 2016,-1.03,678,1654,183,375,537,256,881,364
