,School,SOS,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TRB,opp_TOV
1,Akron 2013,0.18,723,1831,176,449,629,358,1060,449
6,Albany (NY) 2013,-4.53,787,1848,212,337,514,324,1069,438
11,Arizona 2013,7.47,784,1909,211,447,629,321,1051,465
21,Belmont 2013,-0.96,725,1748,218,461,651,384,1100,572
24,Boise State 2013,5.27,709,1623,211,466,660,240,944,430
32,Bucknell 2013,-1.96,703,1864,177,383,543,300,1042,307
34,Butler 2013,6.08,807,1938,201,484,688,322,1057,406
43,University of California 2013,7.77,753,1915,189,428,622,384,1133,370
54,Cincinnati 2013,6.93,716,1851,171,403,606,367,1139,452
61,Colorado State 2013,5.89,767,1852,233,462,674,281,984,380
62,Colorado 2013,7.95,769,1918,224,336,485,371,1119,426
67,Creighton 2013,5.16,845,2074,215,369,542,359,1099,377
69,Davidson 2013,-3.45,739,1805,155,477,665,328,1078,414
78,Duke 2013,9.54,852,2049,160,486,671,415,1249,502
92,Florida Gulf Coast 2013,-2.07,866,2133,250,487,708,447,1313,580
95,Florida 2013,6.83,725,1897,193,369,567,358,1117,522
102,Georgetown 2013,7.59,623,1649,172,388,582,342,1023,454
107,Gonzaga 2013,4.18,735,1909,244,381,561,373,1045,480
112,Harvard 2013,0.16,707,1601,150,360,496,302,924,409
124,Illinois 2013,10.08,810,1911,232,480,684,392,1256,511
126,Indiana 2013,8.38,815,2089,208,398,563,428,1114,509
127,Iona 2013,-0.02,938,2083,272,447,669,418,1228,475
128,Iowa State 2013,6.13,890,2076,215,491,679,367,1179,462
135,James Madison 2013,-2.28,798,1865,221,509,732,368,1238,490
136,Kansas State 2013,6.53,750,1792,171,444,646,375,1120,493
137,Kansas 2013,7.54,788,2183,236,480,699,436,1219,468
141,La Salle 2013,4.46,872,1912,142,371,544,379,1192,486
145,Liberty 2013,-5.8,879,2084,212,549,802,435,1303,385
148,Long Island University 2013,-5.8,958,2046,235,438,647,403,1147,441
154,Louisville 2013,9.13,825,2089,221,480,730,469,1327,730
161,Marquette 2013,8.58,776,1922,223,416,610,407,1079,439
168,Memphis 2013,2.7,825,2038,204,481,711,413,1205,557
170,Miami (FL) 2013,7.88,795,1987,226,365,562,365,1175,425
172,Michigan State 2013,10.55,758,1943,199,414,621,353,1089,447
173,Michigan 2013,10.05,941,2221,242,343,503,396,1251,470
174,Middle Tennessee 2013,-1.52,674,1704,164,462,729,341,1048,530
176,Minnesota 2013,10.31,720,1813,213,462,666,401,1048,438
179,Mississippi 2013,4.14,865,2122,241,438,660,432,1351,552
182,Missouri 2013,6.0,812,2015,234,410,598,373,1092,410
185,Montana 2013,-4.21,745,1733,176,430,606,334,1044,387
193,Nevada-Las Vegas 2013,5.71,794,2039,203,415,599,361,1181,454
196,New Mexico State 2013,0.7,780,1949,193,422,590,372,1092,432
197,New Mexico 2013,6.63,760,1944,263,337,500,342,1151,445
204,North Carolina A&T 2013,-6.3,763,1965,240,525,804,445,1349,589
207,North Carolina State 2013,7.17,899,2145,209,451,621,430,1176,400
209,North Carolina 2013,8.01,918,2170,248,408,581,417,1328,558
220,Northwestern State 2013,-3.77,823,1934,169,470,750,453,1249,535
222,Notre Dame 2013,7.22,845,2011,191,341,494,368,1120,358
224,Ohio State 2013,9.32,776,1963,230,415,580,360,1196,493
226,Oklahoma State 2013,6.73,716,1838,204,443,645,376,1152,490
227,Oklahoma 2013,7.09,760,1819,205,397,572,363,1121,423
231,Oregon 2013,5.77,845,2039,203,459,679,350,1161,569
232,Pacific 2013,1.05,760,1799,243,475,667,338,1133,449
236,Pittsburgh 2013,5.63,627,1598,172,421,582,316,942,444
256,Saint Louis 2013,4.28,735,1787,157,409,625,340,1151,537
257,Saint Mary's (CA) 2013,3.31,763,1820,195,482,669,286,1000,409
261,San Diego State 2013,6.19,754,1917,203,366,540,341,1128,429
274,South Dakota State 2013,-3.27,867,1952,243,323,465,290,1069,388
285,Southern 2013,-10.31,658,1795,161,413,614,371,1173,447
293,Syracuse 2013,8.57,794,2152,246,513,762,511,1395,616
294,Temple 2013,5.2,824,1882,196,465,642,358,1214,463
315,UCLA 2013,7.82,926,2181,218,357,537,458,1333,491
319,Valparaiso 2013,-1.13,745,1795,159,470,652,322,989,441
322,Villanova 2013,8.53,733,1812,245,503,740,346,1125,518
323,Virginia Commonwealth 2013,4.47,811,1825,198,503,736,400,1252,709
335,Western Kentucky 2013,-1.14,824,1945,200,516,742,374,1189,504
337,Wichita State 2013,6.09,797,2020,238,553,774,355,1190,505
340,Wisconsin 2013,9.73,744,1890,136,334,485,325,1163,392
