,School,SOS,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TRB,opp_TOV
13,Arkansas-Pine Bluff 2010,-7.68,698,1720,170,621,938,321,1086,473
20,Baylor 2010,8.03,816,2136,249,481,708,470,1178,435
29,Brigham Young 2010,3.0,836,2049,220,500,733,372,1181,565
33,Butler 2010,5.08,805,1936,194,454,669,335,1142,529
40,UC-Santa Barbara 2010,-1.09,671,1611,198,432,647,341,1051,458
41,University of California 2010,8.26,866,1993,195,460,663,381,1123,447
54,Clemson 2010,7.9,746,1768,148,425,626,381,1112,551
64,Cornell 2010,-0.91,745,1777,197,467,658,335,1042,463
76,Duke 2010,9.21,884,2204,158,515,750,468,1310,569
79,East Tennessee State 2010,-1.47,801,1917,260,500,756,425,1250,582
91,Florida State 2010,6.79,660,1751,203,409,609,385,1044,513
92,Florida 2010,7.16,841,1952,209,367,540,396,1170,465
99,Georgetown 2010,9.56,788,1890,216,454,632,380,1053,445
102,Georgia Tech 2010,9.02,818,2129,240,489,734,482,1259,547
104,Gonzaga 2010,3.83,818,2006,216,439,677,377,1134,442
114,Houston 2010,3.48,929,2016,197,569,797,469,1480,585
132,Kansas State 2010,10.28,853,2037,209,669,955,451,1277,624
133,Kansas 2010,8.25,811,2142,229,461,672,460,1211,502
136,Kentucky 2010,6.82,875,2314,245,473,688,488,1277,531
140,Lehigh 2010,-7.79,834,1954,236,427,603,360,1159,451
150,Louisville 2010,7.99,786,1833,205,527,751,432,1156,505
157,Marquette 2010,8.23,828,1841,173,369,542,358,1116,488
161,Maryland 2010,7.95,808,2052,221,417,602,490,1252,499
168,Michigan State 2010,8.17,829,2043,248,455,642,373,1109,459
172,Minnesota 2010,7.32,779,1946,250,434,638,413,1178,496
178,Missouri 2010,6.36,775,1890,185,517,736,468,1298,659
181,Montana 2010,-2.35,690,1654,181,399,609,318,961,404
183,Morgan State 2010,-6.15,902,2134,180,622,921,488,1351,529
185,Murray State 2010,-3.89,761,1967,195,458,660,424,1091,603
188,Nevada-Las Vegas 2010,4.82,693,1738,197,585,827,360,1172,535
191,New Mexico State 2010,1.66,954,2127,262,469,680,441,1282,452
192,New Mexico 2010,3.84,823,1922,255,451,673,331,1165,475
206,North Texas 2010,-4.72,846,1953,169,442,627,366,1094,420
211,Northern Iowa 2010,4.27,693,1705,204,339,491,292,1042,425
214,Notre Dame 2010,6.22,873,2008,233,414,558,372,1128,361
215,Oakland 2010,-2.96,935,2065,190,444,661,381,1174,461
216,Ohio State 2010,7.37,826,2015,245,377,531,373,1174,529
217,Ohio 2010,-0.03,905,2165,222,537,767,472,1397,566
218,Oklahoma State 2010,6.97,770,1835,227,476,682,326,1122,440
220,Old Dominion 2010,1.78,752,1867,196,369,555,369,1102,509
228,Pittsburgh 2010,7.39,754,1883,172,421,637,385,1099,367
234,Purdue 2010,8.81,737,1849,184,486,680,381,1225,549
239,Richmond 2010,3.43,761,1927,181,493,698,462,1327,528
241,Robert Morris 2010,-6.15,733,1800,221,619,861,392,1172,549
248,Saint Mary's (CA) 2010,2.2,856,2023,144,402,606,390,1096,369
250,Sam Houston State 2010,-3.37,789,1834,204,502,737,342,1107,510
252,San Diego State 2010,4.21,745,1843,225,386,557,375,1035,453
259,Siena 2010,-1.17,870,2032,209,277,434,364,1168,517
280,Syracuse 2010,7.21,856,2151,261,351,551,480,1188,547
281,Temple 2010,4.27,727,1897,176,357,511,346,1143,395
285,Tennessee 2010,7.75,804,2031,230,575,827,435,1311,599
287,Texas A&M 2010,9.8,761,1854,206,464,660,357,1160,473
290,Texas-El Paso 2010,1.96,707,1804,196,521,780,376,1170,519
296,Texas 2010,7.38,843,2091,191,504,737,435,1226,516
303,Utah State 2010,1.23,757,1867,198,385,543,322,1030,392
307,Vanderbilt 2010,7.86,819,1992,209,427,678,452,1182,445
308,Vermont 2010,-6.69,798,1991,196,475,688,435,1196,479
309,Villanova 2010,7.75,759,1855,240,646,910,390,1118,504
315,Wake Forest 2010,8.85,738,1890,179,500,728,429,1158,426
317,Washington 2010,7.49,860,2041,178,621,911,421,1235,578
319,West Virginia 2010,10.26,836,2007,209,533,785,417,1224,509
326,Winthrop 2010,-7.31,695,1749,180,455,677,357,1228,507
327,Wisconsin 2010,7.66,673,1586,138,394,572,263,1002,396
328,Wofford 2010,-2.57,765,1836,169,435,646,345,1140,491
331,Xavier 2010,5.94,884,2158,201,464,709,415,1231,449
