School,SOS,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TRB,opp_TOV
Navy,-3.61,716,1578,230,397,561,281,998,404
Omaha,-5.14,781,1679,218,476,652,279,1006,440
Nebraska,7.58,657,1627,208,435,627,323,1085,415
Nevada-Las Vegas,3.38,771,1952,205,378,569,407,1220,355
Nevada,1.08,707,1711,198,449,676,359,1040,313
New Hampshire,-6.29,672,1667,169,460,667,252,1024,377
New Mexico State NCAA,-3.67,754,1774,129,396,572,339,983,448
New Mexico,1.03,643,1601,210,370,526,268,933,361
New Orleans,-6.36,753,1565,181,446,688,302,957,446
Niagara,-1.80,762,1618,215,415,588,282,1011,358
Nicholls State,-5.30,689,1574,178,561,784,342,1022,403
NJIT,-4.07,722,1801,219,566,765,383,1128,436
Norfolk State,-6.35,763,1863,251,477,728,367,1057,423
North Carolina-Asheville,-5.65,742,1749,200,499,726,365,1098,411
North Carolina A&T,-8.02,714,1683,218,466,683,372,1074,392
North Carolina Central,-8.67,594,1649,163,470,696,342,992,439
North Carolina-Greensboro,-4.36,767,1742,223,580,814,328,1122,422
North Carolina State NCAA,9.72,827,2052,212,501,712,402,1247,349
North Carolina-Wilmington,-1.92,737,1736,176,550,803,363,1144,449
North Carolina NCAA,11.76,889,2232,247,591,843,460,1250,468
North Dakota State NCAA,-3.63,727,1726,213,388,525,248,1043,347
North Dakota,-3.73,765,1644,187,484,680,289,1068,400
North Florida NCAA,-5.94,879,2033,176,451,666,400,1187,425
North Texas,-0.71,727,1729,232,427,633,364,1115,424
Northeastern NCAA,-1.34,875,1952,193,336,488,291,980,349
Northern Arizona,-4.13,888,2064,215,565,786,344,1247,418
Northern Colorado,-6.21,753,1584,244,453,645,331,997,399
Northern Illinois,-0.14,672,1525,221,424,612,289,931,417
Northern Iowa NCAA,2.00,684,1732,211,333,468,301,991,391
Northern Kentucky,-4.49,684,1588,197,514,714,297,1008,325
Northwestern State,-4.52,955,2021,241,505,720,458,1289,495
Northwestern,7.20,724,1740,237,381,571,347,1073,305
Notre Dame NCAA,7.02,946,2214,227,380,533,435,1243,425
Oakland,1.27,887,1896,250,458,647,328,1106,366
Ohio State NCAA,7.37,790,1959,238,384,545,401,1168,503
Ohio,0.45,764,1775,221,417,571,331,1096,313
Oklahoma State NCAA,9.63,675,1673,183,478,697,352,1099,438
Oklahoma NCAA,9.94,794,2057,225,383,585,432,1277,468
Old Dominion,-0.15,672,1678,204,451,685,305,1084,451
Oral Roberts,-1.99,829,1859,208,477,675,345,1173,444
Oregon State,4.97,576,1494,184,498,673,326,1044,456
Oregon NCAA,7.65,902,2136,232,514,739,418,1252,413
Pacific,3.31,706,1589,208,495,694,298,994,317
Penn State,7.10,750,1879,204,546,780,380,1216,405
Pennsylvania,-1.36,637,1441,201,407,573,258,871,322
Pepperdine,2.80,719,1742,142,392,588,362,1100,392
Pittsburgh,7.36,785,1752,194,466,657,331,1070,368
Portland State,-4.86,754,1656,215,375,512,311,1034,359
Portland,2.67,787,1819,200,479,655,331,1047,375
Prairie View,-8.20,765,1750,156,594,893,450,1269,553
Presbyterian,-4.51,790,1785,287,347,499,357,1065,349
Princeton,-2.92,676,1548,170,450,637,254,956,361
Providence NCAA,9.50,760,1804,218,489,709,334,1093,442
Purdue NCAA,7.64,749,1868,200,497,717,376,1087,394
Quinnipiac,-3.66,711,1787,193,411,597,313,989,286
Radford,-5.53,824,1925,183,470,672,385,1142,432
Rhode Island,2.87,678,1688,120,510,772,336,1082,481
Rice,-0.79,736,1685,194,441,670,338,1069,404
Richmond,3.77,768,1846,164,442,618,392,1233,467
Rider,-3.11,706,1712,215,476,646,325,1116,466
Robert Morris NCAA,-3.50,837,1941,241,482,730,446,1262,512
Rutgers,8.11,771,1775,225,383,568,347,1164,378
Sacramento State,-5.45,812,1743,221,405,563,330,1042,414
Sacred Heart,-5.97,836,1939,229,466,652,396,1175,423
Saint Francis (PA),-4.97,744,1718,194,368,517,324,1091,417
Saint Joseph's,2.58,722,1702,199,356,533,327,1095,383
Saint Louis,2.43,729,1607,190,474,700,322,1096,436
Saint Mary's (CA),3.78,710,1660,176,388,548,254,902,303
Saint Peter's,-3.92,654,1654,187,553,758,332,1103,443
Sam Houston State,-6.03,724,1857,171,482,746,343,1153,501
Samford,-5.57,789,1679,204,519,770,345,1099,460
San Diego State NCAA,4.24,716,1864,181,326,469,351,1152,470
San Diego,3.47,675,1566,147,452,652,317,1049,418
San Francisco,2.83,739,1739,225,464,667,338,1093,403
San Jose State,1.92,725,1574,205,431,656,293,1112,344
Santa Clara,4.12,728,1622,210,470,672,339,1084,371
Savannah State,-6.27,678,1439,153,501,722,300,1040,498
Seattle,-4.69,715,1801,236,429,593,319,1020,370
Seton Hall,7.56,752,1749,167,436,663,363,1100,371
Siena,-2.90,734,1625,201,620,828,371,1065,441
South Alabama,-3.04,878,1994,199,483,688,396,1207,360
South Carolina State,-7.46,789,1776,218,407,625,361,1237,438
South Carolina Upstate,-7.50,783,1992,246,386,581,418,1233,491
South Carolina,8.24,658,1699,196,534,744,355,1103,456
South Dakota State,-3.23,782,1912,207,506,771,361,1194,431
South Dakota,-3.48,815,1822,215,467,633,291,1110,387
South Florida,2.56,736,1742,216,501,736,393,1139,392
Southeast Missouri State,-3.73,703,1611,204,454,660,315,1036,413
Southeastern Louisiana,-6.14,813,1844,238,460,635,363,1122,429
Southern California,6.15,811,1923,224,425,600,408,1205,427
SIU Edwardsville,-4.54,657,1547,179,391,577,307,987,382
Southern Illinois,-0.60,690,1553,211,453,621,250,973,436
Southern Methodist NCAA,3.57,691,1815,268,382,562,357,1016,441
Southern Mississippi,-0.06,707,1553,226,338,491,318,990,373
Southern Utah,-5.48,709,1568,177,551,789,284,1002,322
Southern,-8.23,744,1908,181,557,833,436,1276,484
St. Bonaventure,1.34,707,1677,209,382,569,314,1028,401
St. Francis (NY),-6.20,783,1839,179,517,740,337,1126,471
St. John's (NY) NCAA,9.04,793,1948,230,424,649,444,1293,436
Stanford,7.33,867,2048,247,510,747,360,1207,424
Stephen F. Austin NCAA,-4.20,730,1665,155,571,821,316,994,587
Stetson,-6.68,806,1837,252,426,589,377,1172,345
Stony Brook,-4.03,736,1858,226,404,576,300,1105,400
Syracuse,7.68,699,1724,203,364,517,348,1087,436
Temple,3.52,803,2040,210,447,683,395,1368,455
Tennessee-Martin,-3.90,805,1859,245,369,521,286,1036,354
Tennessee State,-2.38,712,1666,229,458,679,346,1117,366
Tennessee Tech,-3.99,723,1613,204,445,657,290,967,397
Tennessee,8.16,673,1533,244,465,667,322,996,445
Texas A&M-Corpus Christi,-6.43,725,1731,197,545,789,378,1121,459
Texas A&M,5.91,703,1749,232,439,637,324,1045,414
Texas-Arlington,-2.76,727,1781,228,524,735,387,1130,432
Texas Christian,5.32,684,1708,140,550,820,386,1127,431
Texas-El Paso,-0.51,760,1832,197,387,584,352,1108,406
Texas-Rio Grande Valley,-4.68,772,1754,220,415,574,391,1120,381
Texas-San Antonio,-2.61,756,1678,240,359,495,311,1004,411
Texas Southern NCAA,-6.09,882,1983,193,429,656,422,1194,431
Texas State,-3.36,642,1561,159,411,574,316,1079,478
Texas Tech,7.20,712,1668,217,418,619,337,1043,408
Texas NCAA,9.07,702,1910,204,441,665,372,1063,303
Toledo,0.62,844,1935,234,421,599,353,1075,361
Towson,-3.80,689,1668,185,517,736,318,979,298
Troy,-5.09,738,1678,198,339,478,346,1033,383
Tulane,0.32,722,1615,158,382,584,289,1023,414
Tulsa,2.81,722,1835,239,381,581,345,1177,439
UCLA NCAA,8.27,855,2054,281,462,664,371,1233,438
Utah State,0.28,719,1782,189,346,523,393,1158,337
Utah Valley,-4.87,673,1562,182,395,555,283,998,334
Utah NCAA,7.42,704,1832,169,422,617,342,1040,408
Valparaiso NCAA,-2.00,689,1802,228,415,589,323,1040,415
Vanderbilt,6.22,789,1941,216,458,662,409,1119,407
Vermont,-5.52,679,1757,158,496,701,335,1077,439
Villanova NCAA,7.55,797,1964,193,406,597,392,1163,508
Virginia Commonwealth NCAA,6.10,822,1892,229,495,716,367,1319,577
VMI,-3.92,873,1845,154,528,772,367,1262,505
Virginia Tech,5.32,810,1844,252,417,623,406,1188,403
Virginia NCAA,7.81,622,1697,191,314,486,280,969,359
Wagner,-4.99,721,1542,200,564,816,287,1022,424
Wake Forest,7.68,825,1834,218,439,645,296,1100,379
Washington State,6.08,866,1850,205,436,630,324,1110,299
Washington,4.83,765,1816,177,398,575,375,1101,346
Weber State,-3.50,753,1680,167,368,516,303,994,334
West Virginia NCAA,9.29,762,1626,191,623,903,312,1169,678
Western Carolina,-3.56,714,1681,243,613,858,374,1120,462
Western Illinois,-2.93,698,1578,181,406,577,269,1054,326
Western Kentucky,-0.44,765,1817,209,410,606,339,1126,429
Western Michigan,0.19,810,1827,264,470,653,333,1090,427
Wichita State NCAA,3.68,691,1721,187,439,634,304,1077,464
William & Mary,-1.15,789,1838,243,387,561,334,1076,376
Winthrop,-7.38,742,1817,198,477,686,376,1143,434
Wisconsin NCAA,10.29,896,2092,202,333,469,297,1106,378
Wofford NCAA,-2.98,737,1763,173,442,629,300,1089,445
Wright State,-1.14,722,1602,187,476,648,295,1060,404
Wyoming NCAA,-0.04,715,1775,219,325,462,298,1052,377
Xavier NCAA,9.48,886,2035,261,459,678,345,1145,464
Yale,-0.87,698,1679,171,364,538,298,956,389
Youngstown State,-1.73,843,1858,240,468,667,371,1173,392
