School,SOS,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TRB,opp_TOV
Abilene Christian,-6.34,748,1558,183,507,737,313,1113,452
Air Force,-0.71,694,1571,252,377,548,308,954,383
Akron,-0.47,750,1853,188,515,759,387,1223,443
Alabama A&M,-9.62,714,1581,151,409,652,360,1018,344
Alabama-Birmingham NCAA,1.62,883,2083,217,469,685,435,1269,476
Alabama State,-12.71,691,1658,173,382,590,304,999,394
Alabama,8.09,735,1790,215,495,701,377,1137,416
Albany (NY) NCAA,-5.18,697,1657,250,352,502,274,964,408
Alcorn State,-9.95,848,1809,195,486,716,369,1200,396
American,-3.71,706,1552,173,348,513,294,983,416
Appalachian State,-3.18,735,1604,152,411,602,290,1014,332
Arizona State,6.66,821,1821,188,433,621,274,1055,437
Arizona NCAA,7.41,777,1951,206,508,728,285,1065,523
Little Rock,-3.81,749,1688,223,459,678,331,1143,419
Arkansas-Pine Bluff,-8.61,705,1583,210,520,773,392,1135,518
Arkansas State,-3.81,716,1681,195,391,583,342,1074,343
Arkansas NCAA,6.79,869,2031,223,564,789,433,1281,567
Army,-4.98,772,1684,171,448,673,320,1064,404
Auburn,8.15,887,1892,205,544,779,382,1297,513
Austin Peay,-2.81,758,1609,227,435,599,271,1029,424
Ball State,0.04,720,1564,183,445,642,272,972,360
Baylor NCAA,9.33,738,1836,196,376,583,376,1052,410
Belmont NCAA,-2.77,854,1889,238,384,539,330,1080,418
Bethune-Cookman,-10.45,663,1560,178,499,710,336,1009,401
Binghamton,-3.49,745,1666,238,396,579,326,1124,419
Boise State NCAA,1.38,730,1754,195,390,558,279,1030,430
Boston College,7.94,742,1682,177,496,689,321,1067,391
Boston University,-3.12,731,1620,242,381,535,267,928,322
Bowling Green State,-1.25,728,1764,219,401,573,336,1110,411
Bradley,1.52,667,1559,211,481,701,295,1077,454
Brigham Young NCAA,5.02,894,2052,218,555,793,370,1185,456
Brown,-1.99,758,1795,186,442,646,345,1079,348
Bryant,-4.93,731,1711,192,446,615,341,1072,333
Bucknell,-2.75,814,1841,203,515,696,279,1075,320
Buffalo NCAA,1.60,795,1881,235,428,645,367,1163,448
Butler NCAA,8.62,740,1785,187,406,595,281,1049,431
Cal Poly,0.43,622,1459,167,310,449,253,961,306
Cal State Bakersfield,-5.80,647,1572,220,514,737,274,983,403
Cal State Fullerton,-1.06,742,1676,210,461,656,274,1059,345
Cal State Northridge,0.39,802,1853,259,462,658,344,1113,364
UC-Davis,-2.58,730,1760,209,399,573,377,1018,380
UC-Irvine NCAA,0.45,739,1878,184,451,650,382,1144,384
UC-Riverside,-1.16,691,1628,186,482,676,291,1030,386
UC-Santa Barbara,0.98,713,1729,201,485,664,332,1093,390
University of California,6.15,783,1839,156,499,715,292,1141,317
Campbell,-5.30,738,1616,177,471,651,288,1054,393
Canisius,-2.79,698,1704,203,478,693,360,1138,460
Central Arkansas,-5.94,848,1711,185,503,728,366,1067,379
Central Connecticut State,-5.62,822,1814,221,308,434,349,1093,315
Central Florida,0.78,825,1809,195,306,494,394,1102,312
Central Michigan,-1.10,780,1752,221,406,608,325,1078,431
Charleston Southern,-5.23,740,1696,247,403,570,288,1067,410
Charlotte,0.35,818,1861,249,432,616,356,1104,408
Chattanooga,-4.06,740,1731,164,497,725,351,1076,431
Chicago State,-2.48,687,1542,224,517,766,323,1103,492
Cincinnati NCAA,4.40,700,1804,192,306,470,380,1025,409
Citadel,-4.68,764,1611,200,330,460,304,881,305
Clemson,7.18,687,1710,186,367,533,345,1057,348
Cleveland State,-0.78,685,1622,210,478,707,326,1036,447
Coastal Carolina NCAA,-6.18,724,1831,242,431,616,317,1063,403
Colgate,-3.41,760,1719,211,394,590,299,1021,340
College of Charleston,-1.26,702,1657,191,536,786,356,1180,377
Colorado State,0.69,773,1832,237,398,607,297,1083,406
Colorado,6.19,807,1904,249,454,645,338,1100,384
Columbia,-1.49,612,1417,139,374,536,255,850,286
Connecticut,4.22,738,1865,209,416,608,373,1142,388
Coppin State,-4.78,897,1867,215,549,783,408,1326,445
Cornell,-1.92,605,1556,191,437,634,314,1092,392
Creighton,7.05,779,1781,242,407,595,309,1073,361
Dartmouth,-3.32,610,1416,192,417,606,257,923,391
Davidson NCAA,3.19,814,1838,181,412,646,351,1132,370
Dayton NCAA,4.06,795,1901,206,394,582,344,1184,489
Delaware State,-6.75,917,2162,264,509,744,428,1339,415
Delaware,-1.69,755,1754,243,408,582,344,1119,311
Denver,-3.13,629,1328,147,485,680,239,859,361
DePaul,7.49,789,1715,166,610,835,371,1144,406
Detroit Mercy,0.13,772,1721,235,556,801,319,1117,496
Drake,2.22,754,1582,223,339,484,283,910,312
Drexel,-0.85,694,1555,165,377,556,301,1039,344
Duke NCAA,9.87,962,2281,199,379,548,428,1227,481
Duquesne,1.41,800,1842,283,420,619,383,1124,337
East Carolina,1.00,786,1768,199,405,598,368,1153,405
East Tennessee State,-4.01,697,1647,255,491,697,338,1082,444
Eastern Illinois,-2.42,757,1818,219,403,565,387,1183,399
Eastern Kentucky,-4.16,732,1633,257,379,563,334,1100,612
Eastern Michigan,-0.14,737,1911,241,515,751,432,1302,527
Eastern Washington NCAA,-3.84,901,2001,279,507,708,363,1185,431
Elon,-2.69,801,1806,208,519,777,349,1225,488
Evansville,-0.07,846,1971,238,431,605,345,1131,490
Fairfield,-2.31,713,1629,148,467,695,356,1118,360
Fairleigh Dickinson,-4.54,705,1532,184,536,775,377,1145,462
Florida A&M,-8.52,766,1633,216,367,570,348,1114,352
Florida Atlantic,-2.06,718,1567,98,400,574,298,1019,321
Florida Gulf Coast,-4.98,739,1870,191,416,617,385,1158,368
Florida International,-3.23,743,1816,225,442,682,378,1144,426
Florida State,7.02,766,1825,193,485,692,366,1069,393
Florida,9.67,673,1648,170,464,623,307,1058,452
Fordham,2.72,734,1663,213,463,688,307,1024,388
Fresno State,1.30,718,1660,197,490,707,336,1111,428
Furman,-3.46,801,1784,224,419,634,345,1093,360
Gardner-Webb,-3.11,978,2082,230,409,598,375,1229,432
George Mason,4.60,712,1646,203,520,727,324,1018,379
George Washington,2.79,786,1945,213,384,563,382,1147,411
Georgetown NCAA,9.81,698,1716,220,537,756,352,1056,438
Georgia Southern,-4.72,660,1680,190,355,526,348,1100,448
Georgia State NCAA,-2.03,709,1826,251,515,721,416,1166,535
Georgia Tech,8.45,723,1644,172,384,555,258,962,363
Georgia NCAA,8.60,733,1882,207,451,645,358,1117,365
Gonzaga NCAA,5.12,841,2154,217,444,667,403,1157,429
Grambling,-8.00,757,1642,188,403,635,346,1034,328
Grand Canyon,-5.45,788,1790,175,437,643,375,1126,339
Green Bay,-0.40,697,1719,172,440,659,339,1093,449
Hampton NCAA,-7.08,795,1924,197,600,876,392,1285,491
Hartford,-5.16,667,1503,169,421,623,280,1045,409
Harvard NCAA,-0.25,614,1519,164,335,497,280,929,386
Hawaii,-0.83,790,1913,224,583,806,415,1268,583
High Point,-4.61,791,1817,250,399,568,345,1071,443
Hofstra,-4.46,827,1889,216,518,731,333,1161,465
Holy Cross,-3.82,702,1496,180,436,610,260,980,421
Houston Baptist,-5.63,700,1577,178,485,682,296,884,345
Houston,-0.91,758,1743,195,386,579,368,1164,412
Howard,-7.86,659,1697,211,475,681,380,1060,454
Idaho State,-5.45,704,1614,252,415,560,316,1025,365
Idaho,-4.79,764,1700,265,476,695,277,966,326
Illinois-Chicago,-0.36,857,1794,208,467,679,301,1167,403
Illinois State,2.87,744,1795,193,489,709,343,1109,472
Illinois,6.93,751,1784,211,387,542,304,1115,425
Incarnate Word,-6.47,777,1724,179,447,619,326,1040,383
Indiana State,1.21,724,1699,198,455,621,329,1082,425
Indiana NCAA,7.20,900,1986,196,442,651,374,1122,364
Iona,-2.52,937,2208,250,440,630,454,1320,415
Iowa State NCAA,9.15,866,2081,248,366,499,377,1196,440
Iowa NCAA,8.39,754,1903,227,384,553,371,1136,417
Fort Wayne,-3.41,773,1733,208,327,457,272,990,345
IUPUI,-1.93,714,1575,189,463,659,273,976,426
Jackson State,-9.52,639,1511,192,562,817,285,1045,475
Jacksonville State,-4.52,753,1680,175,445,667,356,1163,388
Jacksonville,-6.46,805,1727,235,458,652,336,1141,421
James Madison,-1.53,796,1832,248,414,584,361,1093,381
Kansas State,9.29,716,1613,172,438,661,311,969,409
Kansas NCAA,12.13,825,2084,210,473,704,434,1227,421
Kennesaw State,-5.10,841,1873,211,470,671,401,1200,352
Kent State,-0.94,760,1856,176,506,721,390,1180,404
Kentucky NCAA,8.67,750,2116,175,443,672,463,1215,533
La Salle,3.91,732,1781,166,425,613,353,1144,434
Lafayette NCAA,-3.12,886,1921,274,363,521,378,1090,362
Lamar,-5.29,723,1598,197,489,716,319,989,449
Lehigh,-3.55,696,1735,236,372,543,342,1041,356
Liberty,-6.44,745,1780,254,476,702,364,1074,389
Lipscomb,-5.15,764,1701,262,532,795,321,1128,406
Long Beach State,4.16,765,1801,225,466,662,391,1178,462
Long Island University,-5.32,760,1755,178,437,625,339,1145,381
Longwood,-5.53,838,1844,250,565,830,409,1270,505
Louisiana,-3.61,897,2107,202,524,767,368,1191,486
Louisiana-Monroe,-2.88,820,2116,222,437,609,402,1277,441
Louisiana State NCAA,5.63,824,2052,185,400,604,438,1219,450
Louisiana Tech,-1.34,861,2044,201,439,637,450,1369,561
Louisville NCAA,8.98,767,1958,189,431,652,400,1256,506
Loyola (IL),0.46,818,1893,226,373,551,373,1120,462
Loyola Marymount,5.28,766,1672,252,404,572,337,1027,356
Loyola (MD),-3.38,676,1527,166,467,685,279,1010,337
Maine,-3.40,804,1639,225,411,602,300,1083,382
Manhattan NCAA,-3.34,736,1683,148,614,880,357,1128,545
Marist,-2.93,773,1762,201,452,647,388,1245,441
Marquette,9.02,762,1787,234,387,542,398,1147,438
Marshall,-0.22,818,1916,218,434,685,396,1264,432
Maryland-Baltimore County,-5.14,720,1604,203,370,530,297,1038,383
Maryland-Eastern Shore,-6.94,763,1705,215,475,700,337,1027,459
Maryland NCAA,7.63,800,2026,242,376,570,399,1170,391
Massachusetts-Lowell,-4.32,691,1489,208,338,494,263,1017,437
Massachusetts,4.69,810,1860,191,444,655,360,1108,386
McNeese State,-5.42,795,1764,212,408,598,377,1157,388
Memphis,2.90,694,1749,164,467,677,363,1060,406
Mercer,-4.10,771,1869,262,392,595,383,1153,424
Miami (FL),7.05,888,2111,232,396,602,390,1287,417
Miami (OH),0.31,755,1654,235,481,696,297,1060,438
Michigan State NCAA,10.00,833,2104,224,592,820,378,1247,416
Michigan,9.59,764,1702,208,310,444,310,1090,387
Middle Tennessee,-0.39,773,1761,201,500,731,289,1118,472
Milwaukee,0.15,759,1683,186,373,524,291,1007,320
Minnesota,7.21,783,1794,240,427,608,373,1171,553
Mississippi State,4.72,713,1713,210,396,622,347,1017,388
Mississippi Valley State,-7.78,928,1917,232,474,704,440,1328,478
Mississippi NCAA,7.01,762,1885,270,532,777,391,1197,430
Missouri-Kansas City,-5.07,768,1705,207,459,672,384,1172,539
Missouri State,1.67,686,1614,199,418,591,294,993,326
Missouri,9.26,726,1691,206,515,735,355,1130,353
Monmouth,-2.91,703,1758,255,449,654,384,1131,457
Montana State,-3.50,735,1588,181,501,701,273,1037,347
Montana,-3.78,737,1690,229,516,718,300,1052,440
Morehead State,-3.31,717,1651,182,639,909,296,1053,507
Morgan State,-6.48,767,1604,176,489,693,324,1197,441
Mount St. Mary's,-4.40,702,1578,162,379,561,314,1050,411
Murray State,-2.81,811,1980,227,518,727,410,1158,462
