School,SOS,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TRB,opp_TOV
Air Force,4.28,764,1702,224,418,621,325,1053,412
Akron NCAA,0.18,723,1831,176,449,629,358,1060,449
Alabama A&M,-9.82,783,1753,163,431,653,337,1124,384
Alabama-Birmingham,1.51,816,1848,215,504,718,353,1155,527
Alabama State,-9.01,780,1808,215,456,685,392,1170,428
Alabama,5.93,750,1853,184,418,602,393,1202,521
Albany (NY) NCAA,-4.53,787,1848,212,337,514,324,1069,438
Alcorn State,-7.11,740,1876,189,579,878,421,1236,447
American,-2.53,695,1576,228,298,439,260,937,281
Appalachian State,-5.77,814,1781,172,421,608,322,1084,423
Arizona State,4.60,861,2098,227,414,559,396,1251,434
Arizona NCAA,7.47,784,1909,211,447,629,321,1051,465
Little Rock,-2.23,718,1701,198,498,721,352,1119,522
Arkansas-Pine Bluff,-8.20,676,1672,216,430,630,375,1138,487
Arkansas State,-4.36,687,1666,171,399,587,328,1091,494
Arkansas,4.97,747,1726,203,506,766,370,1201,561
Army,-4.52,730,1749,216,436,641,332,1040,400
Auburn,4.18,738,1717,230,495,738,327,1126,430
Austin Peay,-4.31,880,1928,216,395,549,386,1120,404
Ball State,-3.15,716,1604,197,412,581,292,951,388
Baylor,7.13,884,2176,201,487,706,448,1297,482
Belmont NCAA,-0.96,725,1748,218,461,651,384,1100,572
Bethune-Cookman,-6.44,788,1736,182,560,824,347,1226,521
Binghamton,-3.70,746,1709,248,341,539,328,1132,342
Boise State NCAA,5.27,709,1623,211,466,660,240,944,430
Boston College,7.03,826,1833,222,372,533,331,1072,379
Boston University,-3.93,689,1627,165,392,540,322,1048,425
Bowling Green State,-1.75,729,1711,182,393,573,334,1107,421
Bradley,1.97,831,1872,246,488,661,363,1216,507
Brigham Young,3.75,872,2072,242,516,764,366,1256,493
Brown,-3.03,636,1503,194,334,496,255,930,338
Bryant,-4.72,797,1777,246,372,537,319,1006,368
Bucknell NCAA,-1.96,703,1864,177,383,543,300,1042,307
Buffalo,-0.35,796,1896,199,496,692,385,1081,388
Butler NCAA,6.08,807,1938,201,484,688,322,1057,406
Cal Poly,-0.62,715,1552,192,398,571,261,979,381
Cal State Bakersfield,-2.17,688,1525,178,516,743,278,1017,462
Cal State Fullerton,-3.03,866,1816,204,445,644,390,1156,513
Cal State Northridge,-1.93,809,1727,230,461,662,316,1053,490
UC-Davis,-2.57,793,1842,242,411,571,344,1047,328
UC-Irvine,-0.66,831,2146,203,553,797,433,1359,407
UC-Riverside,-1.71,716,1671,242,388,534,283,997,366
UC-Santa Barbara,0.40,710,1686,225,445,627,338,1056,365
University of California NCAA,7.77,753,1915,189,428,622,384,1133,370
Campbell,-5.55,852,1882,202,489,711,408,1186,469
Canisius,-0.99,853,1928,236,443,624,388,1136,454
Central Arkansas,-6.12,845,1857,183,486,749,420,1235,447
Central Connecticut State,-4.04,849,1877,242,372,550,396,1221,408
Central Florida,0.96,785,1840,190,319,467,369,1061,394
Central Michigan,-1.21,806,1688,226,388,572,326,1074,410
Charleston Southern,-5.62,767,1842,229,381,536,334,1127,439
Charlotte,2.75,751,1835,221,508,721,371,1104,458
