Table Names-1,Table Names,School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Saint Mary's (CA) 2008,845,1843,254,477,722,385,1215,439
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,San Diego 2008,868,1925,177,452,673,384,1206,538
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Siena 2008,928,2058,239,518,752,390,1148,385
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,South Alabama 2008,840,1774,220,578,821,404,1221,457
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Southern California 2008,820,1710,184,453,661,305,1106,482
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Stanford 2008,901,2008,199,552,795,478,1409,442
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Temple 2008,857,1829,266,477,645,302,1108,432
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Tennessee 2008,1035,2258,312,564,856,501,1358,474
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Texas A&M 2008,909,1945,211,519,820,424,1402,458
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Texas-Arlington 2008,868,1820,201,485,741,352,1249,565
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Texas 2008,1032,2285,309,495,725,496,1448,359
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,UCLA 2008,1029,2164,214,595,813,492,1432,491
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Vanderbilt 2008,928,1995,303,562,765,359,1197,494
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Villanova 2008,868,2013,242,569,783,457,1257,503
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Washington State 2008,815,1716,214,481,661,274,1044,358
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,West Virginia 2008,983,2169,264,539,782,453,1332,413
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Western Kentucky 2008,993,2106,270,529,755,455,1262,514
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Winthrop 2008,795,1814,217,398,673,393,1195,439
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Wisconsin 2008,841,1872,212,527,747,419,1292,438
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2008.csv,Xavier 2008,936,1973,282,626,836,412,1322,480
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Air Force 2005,585,1216,245,322,453,174,623,318
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Alabama-Birmingham 2005,882,2006,213,437,656,401,1119,431
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Alabama State 2005,639,1523,173,453,691,360,1066,537
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Alabama 2005,813,1802,233,521,735,366,1148,423
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Arizona 2005,942,1938,219,511,650,421,1177,448
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Boston College 2005,819,1799,128,546,804,425,1224,457
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Brigham Young 2005,764,1571,171,501,692,316,1017,409
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Central Florida 2005,792,1732,232,365,510,382,1129,473
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Charlotte 2005,812,1805,232,518,798,441,1220,458
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Cincinnati 2005,867,1893,237,484,723,420,1197,393
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Connecticut 2005,1154,2403,249,516,828,586,1742,532
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Dayton 2005,780,1746,207,477,717,409,1266,467
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,DePaul 2005,813,1755,163,468,671,382,1159,422
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Duke 2005,1018,2161,263,655,890,474,1351,511
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,East Tennessee State 2005,946,2059,201,525,762,411,1269,514
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Eastern Washington 2005,747,1574,179,429,608,279,918,453
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Florida A&M 2005,747,1802,271,546,771,,1089,537
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Florida 2005,829,1719,249,462,616,306,1081,454
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Georgia Tech 2005,1029,2213,267,586,847,429,1422,578
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Gonzaga 2005,899,1765,195,543,724,348,1230,418
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Illinois-Chicago 2005,810,1797,158,445,700,423,1126,405
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Illinois 2005,887,1899,231,397,571,381,1151,401
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Kansas 2005,895,1923,188,525,743,409,1303,485
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Kentucky 2005,862,1828,204,437,627,371,1160,468
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Lehigh 2005,729,1718,198,426,595,357,1132,450
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Liberty 2005,819,1913,206,440,651,441,1235,528
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Louisiana 2005,797,1715,237,403,585,341,988,419
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Louisville 2005,737,1757,241,480,641,351,1126,413
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Manhattan 2005,762,1724,180,607,798,374,1079,395
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Maryland 2005,891,2021,165,530,840,485,1322,485
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Memphis 2005,736,1751,259,441,671,402,1139,383
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Michigan State 2005,748,1519,190,452,586,270,910,438
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Mississippi State 2005,822,1766,198,476,717,444,1231,458
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Monmouth 2005,752,1802,236,513,693,303,1088,446
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Murray State 2005,994,2009,224,518,730,416,1261,476
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Nevada 2005,901,1991,172,605,830,449,1322,445
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,North Carolina State 2005,760,1688,260,481,602,317,1046,420
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,North Carolina 2005,877,1912,195,515,749,460,1189,462
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Northern Iowa 2005,723,1644,223,478,648,268,1068,388
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Oklahoma State 2005,1002,1953,166,528,760,393,1253,468
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Pacific 2005,764,1633,195,549,746,304,1101,471
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Pittsburgh 2005,904,1921,150,488,748,466,1320,455
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Princeton 2005,634,1319,169,323,454,241,856,372
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Providence 2005,717,1592,228,398,553,342,976,433
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Richmond 2005,737,1793,188,467,648,403,1164,432
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Saint Joseph's 2005,866,1822,313,431,614,308,1043,370
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Seton Hall 2005,806,1759,181,435,609,359,1134,403
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,South Carolina 2005,846,1948,226,465,690,423,1224,448
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Southern Illinois 2005,787,1775,185,372,540,393,1057,360
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Stanford 2005,849,1771,169,489,651,366,1178,453
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Syracuse 2005,847,1827,141,430,669,423,1180,396
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Texas-El Paso 2005,834,1748,197,614,817,328,1106,445
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Texas-San Antonio 2005,813,1896,234,540,775,415,1242,564
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Texas Tech 2005,922,1985,125,521,703,385,1153,424
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Texas 2005,904,2046,227,494,726,517,1355,388
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Utah 2005,768,1630,196,402,556,355,1140,463
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Valparaiso 2005,765,1740,165,522,740,368,1183,500
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Vanderbilt 2005,841,1873,263,469,660,367,1150,419
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Vermont 2005,734,1739,203,374,551,360,1126,387
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Virginia Commonwealth 2005,811,1707,208,372,614,377,1159,510
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Wake Forest 2005,882,1854,236,590,829,417,1148,457
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Washington 2005,890,1911,201,562,788,382,1103,472
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Western Michigan 2005,845,1840,217,527,731,449,1177,411
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Wisconsin 2005,754,1687,190,492,684,347,1049,320
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2005.csv,Xavier 2005,908,2058,284,535,777,439,1327,459
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Albany (NY) 2007,798,1762,227,418,579,364,1112,437
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Arizona 2007,846,1770,172,553,737,380,1158,427
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Arkansas 2007,881,1910,212,513,730,392,1233,532
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Belmont 2007,848,1836,288,406,587,373,1228,528
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Boston College 2007,842,1763,196,573,791,394,1142,455
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Brigham Young 2007,972,1981,256,454,688,414,1273,456
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Butler 2007,780,1792,321,553,728,326,1068,341
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Central Connecticut State 2007,790,1822,262,502,688,401,1180,481
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Creighton 2007,740,1662,205,535,710,340,1080,417
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Davidson 2007,969,2157,328,499,663,465,1378,495
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Duke 2007,822,1754,198,481,698,379,1165,509
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Eastern Kentucky 2007,782,1691,264,323,475,280,930,446
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Florida A&M 2007,846,1881,209,566,855,,1291,623
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Florida 2007,1125,2138,297,646,936,447,1504,565
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,George Washington 2007,824,1799,171,428,611,389,1090,444
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Georgetown 2007,923,1826,235,474,667,409,1250,497
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Georgia Tech 2007,935,1909,201,444,652,445,1166,503
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Gonzaga 2007,933,1932,230,572,762,353,1271,473
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Holy Cross 2007,738,1695,191,504,687,386,1091,521
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Illinois 2007,790,1830,241,424,680,437,1231,491
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Indiana 2007,783,1755,252,428,603,375,1082,396
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Jackson State 2007,878,2107,194,540,759,470,1250,537
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Kansas 2007,1106,2241,231,535,811,486,1507,539
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Kentucky 2007,890,1868,231,485,690,370,1235,493
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Long Beach State 2007,906,1994,273,490,698,410,1171,445
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Louisville 2007,845,1946,250,493,727,456,1249,434
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Marquette 2007,851,1951,217,524,783,488,1251,496
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Maryland 2007,971,2032,196,547,787,437,1325,544
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Memphis 2007,1024,2249,278,592,953,550,1468,493
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Miami (OH) 2007,720,1565,169,353,498,260,998,434
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Michigan State 2007,806,1718,182,482,671,394,1217,521
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Nevada-Las Vegas 2007,979,2202,289,525,733,460,1293,410
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Nevada 2007,949,1961,253,481,636,399,1300,451
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,New Mexico State 2007,906,1890,199,641,975,459,1285,573
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Niagara 2007,889,2125,274,602,824,517,1342,473
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,North Carolina 2007,1187,2379,215,669,940,522,1551,524
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,North Texas 2007,926,2030,226,539,821,484,1356,537
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Notre Dame 2007,869,1893,287,567,763,405,1229,414
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Ohio State 2007,1029,2178,287,560,797,433,1390,443
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Old Dominion 2007,788,1828,235,479,663,400,1208,406
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Oral Roberts 2007,824,1767,204,588,827,372,1204,513
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Oregon 2007,963,2131,350,531,698,432,1273,461
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Pennsylvania 2007,836,1712,188,437,658,324,1024,433
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Pittsburgh 2007,961,2035,229,486,735,445,1320,441
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Purdue 2007,843,1834,219,471,695,388,1121,475
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Southern California 2007,946,1988,207,557,779,349,1277,540
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Southern Illinois 2007,762,1702,224,518,748,346,1076,504
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Stanford 2007,778,1738,174,426,625,395,1193,459
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Tennessee 2007,981,2189,327,542,830,473,1254,496
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Texas A&M-Corpus Christi 2007,912,1747,192,599,847,374,1173,537
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Texas A&M 2007,908,1823,215,539,753,345,1209,415
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Texas Tech 2007,842,1858,208,545,737,321,1042,396
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Texas 2007,963,2164,308,626,850,482,1391,434
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,UCLA 2007,923,1922,240,417,630,386,1158,440
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Vanderbilt 2007,904,1984,317,469,643,346,1146,422
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Villanova 2007,775,1827,248,594,761,438,1196,450
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Virginia Commonwealth 2007,901,1971,244,580,797,427,1165,394
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Virginia Tech 2007,886,1894,163,493,747,366,1131,371
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Virginia 2007,812,1860,257,582,784,422,1248,437
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Washington State 2007,826,1777,196,425,593,271,1043,355
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Weber State 2007,772,1579,180,542,807,307,1050,515
"2006.csv,2008.csv,2005.csv,2007.csv,2009.csv,2003.csv,2011.csv,2004.csv,2010.csv,2012.csv",2007.csv,Winthrop 2007,923,1935,278,421,675,422,1279,445
