,School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
101,North Carolina-Asheville 2016,898,1973,195,561,808,396.0,1278,444
102,North Carolina-Wilmington 2016,928,2039,230,534,760,397.0,1237,374
103,North Carolina 2016,1235,2560,224,617,826,568.0,1624,431
104,Northern Iowa 2016,849,1864,298,479,633,195.0,1091,357
105,Notre Dame 2016,972,2042,262,498,671,381.0,1265,359
106,Oklahoma 2016,1018,2225,382,530,734,407.0,1418,484
107,Oregon State 2016,811,1843,218,461,687,337.0,1102,361
108,Oregon 2016,1041,2230,260,648,906,442.0,1382,431
109,Pittsburgh 2016,878,1919,204,516,686,417.0,1257,384
110,Providence 2016,881,2093,249,566,781,402.0,1263,397
111,Purdue 2016,960,2042,268,538,723,400.0,1443,419
112,Saint Joseph's 2016,976,2153,251,577,806,359.0,1378,355
113,Seton Hall 2016,892,1999,206,532,808,438.0,1355,469
114,South Dakota State 2016,877,1950,255,582,783,381.0,1279,399
115,Southern California 2016,982,2138,266,507,750,401.0,1337,415
116,Southern 2016,909,2046,211,505,754,365.0,1258,391
117,Stephen F. Austin 2016,972,2032,269,515,701,405.0,1188,411
118,Stony Brook 2016,933,1992,220,429,637,425.0,1312,379
119,Syracuse 2016,884,2080,315,506,736,445.0,1319,440
120,Temple 2016,822,2021,255,368,538,371.0,1225,305
121,Texas A&M 2016,991,2208,281,565,841,460.0,1461,434
122,Texas Tech 2016,785,1754,185,550,741,326.0,1086,385
123,Texas 2016,814,1884,232,495,743,363.0,1139,341
124,Tulsa 2016,821,1849,219,495,731,323.0,1123,346
125,Utah 2016,977,2000,273,551,764,347.0,1335,451
126,Vanderbilt 2016,857,1879,273,519,747,313.0,1273,386
127,Villanova 2016,1086,2247,347,599,766,351.0,1385,440
128,Virginia Commonwealth 2016,1010,2238,262,499,721,435.0,1347,405
129,Virginia 2016,964,1964,224,474,630,323.0,1189,345
130,Weber State 2016,908,1885,291,555,821,300.0,1296,462
131,West Virginia 2016,943,2102,209,654,972,558.0,1380,498
132,Wichita State 2016,867,2023,250,551,768,407.0,1305,346
133,Wisconsin 2016,816,1917,229,512,728,398.0,1228,386
134,Xavier 2016,928,2054,255,626,857,436.0,1387,429
135,Yale 2016,795,1693,190,468,699,407.0,1208,398
136,Alabama-Birmingham 2015,873,2042,202,528,715,434.0,1322,482
137,Albany (NY) 2015,729,1666,205,493,650,334.0,1111,381
138,Arizona 2015,1009,2068,193,700,974,411.0,1399,419
139,Arkansas 2015,978,2196,238,593,819,470.0,1290,430
140,Baylor 2015,813,1874,236,487,723,497.0,1333,434
141,Belmont 2015,858,1803,329,405,585,307.0,1093,451
142,Boise State 2015,831,1823,297,431,591,298.0,1119,348
143,Brigham Young 2015,976,2090,300,679,886,421.0,1349,417
