,School,G,W,L,W-L%,SRS,SOS, ,W,L, ,W,L, ,W,L, ,Tm.,Opp., ,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
202,Mississippi_2015,34,21,13,.618,11.39,7.01,,11,7,,9,7,,8,4,,2475,2326,,1369,848,2003,.423,220,662,.332,559,723,.773,430,1284,450,225,128,378,668
221,New Mexico State_2015,34,23,11,.676,3.71,-3.67,,13,1,,15,2,,6,8,,2316,2033,,1370,808,1748,.462,165,450,.367,535,771,.694,428,1199,406,219,124,470,541
232,North Carolina State_2015,36,22,14,.611,14.11,9.72,,10,8,,14,6,,5,5,,2525,2367,,1450,895,2054,.436,236,661,.357,499,727,.686,435,1369,415,138,184,375,637
234,North Carolina_2015,38,26,12,.684,20.63,11.76,,11,7,,10,5,,7,4,,2953,2616,,1530,1099,2309,.476,184,514,.358,571,814,.701,526,1541,661,251,160,481,738
235,North Dakota State_2015,33,23,10,.697,-1.72,-3.63,,12,4,,14,0,,5,8,,2141,2057,,1335,743,1713,.434,230,600,.383,425,614,.692,274,1098,315,156,123,325,504
237,North Florida_2015,35,23,12,.657,-0.82,-5.94,,12,2,,12,2,,9,9,,2651,2385,,1400,897,1910,.470,317,810,.391,540,747,.723,339,1219,506,214,146,436,568
239,Northeastern_2015,35,23,12,.657,2.03,-1.34,,12,6,,9,3,,8,7,,2397,2279,,1415,838,1725,.486,203,526,.386,518,713,.727,297,1160,500,183,129,483,496
245,Northern Iowa_2015,35,31,4,.886,12.54,2.00,,16,2,,16,0,,9,3,,2281,1912,,1420,776,1618,.480,257,645,.398,472,644,.733,255,1071,413,207,84,363,508
249,Notre Dame_2015,38,32,6,.842,19.23,7.02,,14,4,,17,2,,7,2,,2963,2499,,1545,1050,2061,.509,302,775,.390,561,756,.742,313,1231,576,256,138,357,540
251,Ohio State_2015,35,24,11,.686,19.68,7.37,,11,7,,18,2,,4,6,,2635,2204,,1410,964,1995,.483,236,637,.370,471,693,.680,387,1241,534,266,178,396,563
253,Oklahoma State_2015,32,18,14,.563,12.95,9.63,,8,10,,12,4,,3,8,,2160,2011,,1290,733,1667,.440,226,647,.349,468,645,.726,287,1039,366,253,156,392,614
254,Oklahoma_2015,35,24,11,.686,18.65,9.94,,12,6,,14,1,,5,6,,2501,2196,,1410,885,2035,.435,236,688,.343,495,668,.741,389,1332,430,237,174,419,570
258,Oregon_2015,36,26,10,.722,11.43,7.65,,13,5,,17,2,,6,4,,2713,2550,,1460,992,2143,.463,263,726,.362,466,613,.760,372,1298,508,207,157,421,655
271,Providence_2015,34,22,12,.647,13.71,9.50,,11,7,,13,4,,5,6,,2370,2227,,1370,828,1889,.438,171,546,.313,543,768,.707,411,1228,474,242,155,407,628
272,Purdue_2015,34,21,13,.618,12.93,7.64,,12,6,,14,3,,4,6,,2375,2195,,1375,827,1840,.449,195,597,.327,524,767,.683,409,1249,505,185,177,444,642
279,Robert Morris_2015,35,20,15,.571,-3.02,-3.50,,12,6,,10,6,,8,8,,2414,2397,,1410,854,1926,.443,221,590,.375,485,684,.709,367,1162,428,300,100,467,650
292,San Diego State_2015,36,27,9,.750,11.81,4.24,,14,4,,16,1,,6,5,,2226,1939,,1455,800,1916,.418,189,591,.320,437,694,.630,439,1270,377,247,179,410,506
315,Southern Methodist_2015,34,27,7,.794,12.94,3.57,,15,3,,16,2,,8,4,,2350,2032,,1365,832,1750,.475,145,400,.363,541,770,.703,388,1244,524,237,146,426,551
321,St. John's (NY)_2015,33,21,12,.636,11.85,9.04,,10,8,,15,3,,5,6,,2343,2240,,1325,835,1890,.442,198,569,.348,475,687,.691,336,1164,408,246,210,352,587
323,Stephen F. Austin_2015,34,29,5,.853,8.61,-4.20,,17,1,,15,1,,10,3,,2672,2188,,1365,911,1870,.487,262,692,.379,588,799,.736,413,1176,596,259,120,476,734
341,Texas Southern_2015,35,22,13,.629,-5.98,-6.09,,16,2,,9,1,,10,11,,2390,2386,,1430,818,1840,.445,185,574,.322,569,861,.661,394,1193,375,214,109,454,609
344,Texas_2015,34,20,14,.588,16.16,9.07,,8,10,,13,5,,4,7,,2290,2049,,1375,796,1837,.433,212,626,.339,486,671,.724,422,1351,442,128,265,435,555
350,UCLA_2015,36,22,14,.611,12.07,8.27,,11,7,,16,1,,2,8,,2590,2453,,1450,930,2099,.443,223,606,.368,507,750,.676,440,1367,498,238,139,430,645
355,Utah_2015,35,26,9,.743,20.98,7.42,,13,5,,16,1,,6,5,,2496,1999,,1405,849,1760,.482,264,654,.404,534,760,.703,322,1204,489,208,175,407,581
356,Valparaiso_2015,34,28,6,.824,6.29,-2.00,,13,3,,15,1,,8,4,,2366,2021,,1365,837,1836,.456,236,620,.381,456,676,.675,397,1276,443,203,157,422,563
359,Villanova_2015,36,33,3,.917,23.13,7.55,,16,2,,15,0,,9,2,,2754,2193,,1450,916,1951,.470,326,837,.389,596,815,.731,371,1235,570,278,146,382,596
360,Virginia Commonwealth_2015,36,26,10,.722,12.79,6.10,,12,6,,12,4,,8,4,,2609,2368,,1475,896,2139,.419,293,854,.343,524,797,.657,444,1277,456,342,153,383,690
363,Virginia_2015,34,30,4,.882,21.73,7.81,,16,2,,15,1,,11,1,,2224,1751,,1370,804,1758,.457,170,483,.352,446,614,.726,358,1232,430,186,143,316,484
369,West Virginia_2015,35,25,10,.714,15.12,9.29,,11,7,,12,3,,5,5,,2542,2338,,1410,872,2138,.408,227,719,.316,571,863,.662,575,1272,494,376,96,453,821
376,Wichita State_2015,35,30,5,.857,15.56,3.68,,17,1,,15,0,,10,2,,2460,2008,,1410,860,1933,.445,239,670,.357,501,715,.701,415,1245,476,250,134,327,587
379,Wisconsin_2015,40,36,4,.900,24.61,10.29,,16,2,,15,1,,10,2,,2900,2327,,1610,1014,2115,.479,288,790,.365,584,765,.763,383,1338,504,174,127,296,501
380,Wofford_2015,35,28,7,.800,2.56,-2.98,,16,2,,13,1,,10,5,,2331,2089,,1400,818,1802,.454,222,596,.372,473,688,.688,324,1139,461,228,87,379,589
382,Wyoming_2015,35,25,10,.714,3.81,-0.04,,11,7,,17,2,,5,7,,2151,1974,,1430,747,1619,.461,209,642,.326,448,638,.702,216,1047,501,191,102,392,481
