Rk,School,SOS,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
1,Abilene Christian,-7.10,721,1555,207,360,543,222,904,412
2,Air Force,1.00,817,1876,264,513,715,304,1149,390
3,Akron,-1.21,949,2035,366,508,744,357,1246,422
4,Alabama A&M,-11.09,628,1549,125,411,614,299,914,384
5,Alabama-Birmingham,-1.83,835,1809,203,496,674,321,1188,444
6,Alabama State,-10.75,719,1834,200,404,634,427,1188,488
7,Alabama,7.47,809,1909,225,487,746,418,1327,474
8,Albany (NY),-4.69,907,1941,192,490,647,379,1257,416
9,Alcorn State,-10.95,800,1866,222,399,612,387,1243,452
10,American,-3.50,692,1542,168,293,474,204,868,396
11,Appalachian State,-1.60,749,1781,251,459,674,339,1126,414
12,Arizona State,7.11,888,2047,328,489,653,304,1075,344
13,Arizona NCAA,7.63,977,2048,244,635,830,380,1358,413
14,Little Rock,-3.80,775,1749,207,431,582,305,1058,412
15,Arkansas-Pine Bluff,-10.28,695,1725,208,379,581,335,1013,578
16,Arkansas State,-2.10,826,1792,220,474,743,352,1169,414
17,Arkansas NCAA,8.60,997,2165,233,628,825,401,1298,428
18,Army,-4.10,842,1906,291,349,533,317,1213,483
19,Auburn,7.33,861,1969,289,562,836,369,1171,434
20,Austin Peay,-2.32,806,1718,227,492,695,245,913,373
21,Ball State,-3.57,929,2014,319,500,696,335,1281,496
22,Baylor NCAA,11.87,921,1956,230,478,661,451,1329,469
23,Belmont,-1.69,798,1703,306,400,521,254,1057,380
24,Bethune-Cookman,-11.21,840,2022,228,367,554,397,1135,413
25,Binghamton,-5.79,768,1757,248,391,555,251,1055,397
26,Boise State,2.72,811,1802,253,529,743,309,1139,409
27,Boston College,8.08,843,1880,256,378,556,292,1119,467
28,Boston University,-3.66,817,1844,274,431,619,311,1141,444
29,Bowling Green State,-2.00,832,1957,220,471,706,353,1153,408
30,Bradley,2.94,731,1722,217,484,719,297,1156,499
31,Brigham Young,1.87,937,2057,230,637,869,363,1418,469
32,Brown,-4.08,735,1660,244,561,739,275,933,430
33,Bryant,-5.43,839,1917,237,458,636,345,1148,428
34,Bucknell NCAA,-2.48,942,1961,286,497,730,302,1203,466
35,Buffalo,-1.01,877,1945,240,492,711,385,1295,453
36,Butler NCAA,10.23,906,1898,261,522,704,287,1091,346
37,Cal Poly,-4.22,726,1800,258,372,534,300,1003,333
38,Cal State Bakersfield,-1.94,895,2035,229,483,755,433,1349,519
39,Cal State Fullerton,-6.85,821,1850,196,513,747,341,1196,465
40,Cal State Northridge,-4.13,806,1747,145,584,801,295,1052,399
41,UC-Davis NCAA,-4.68,873,2008,221,558,828,364,1280,513
42,UC-Irvine,-2.70,915,2062,265,419,611,402,1429,481
43,UC-Riverside,-3.87,689,1671,173,344,495,264,1011,387
44,UC-Santa Barbara,-2.00,622,1651,154,303,478,356,1028,341
45,University of California,6.34,807,1911,226,476,720,394,1323,428
46,Campbell,-7.59,909,1992,294,541,720,292,1219,476
47,Canisius,-3.50,943,2066,309,470,639,364,1120,446
48,Central Arkansas,-3.76,836,1910,230,493,687,337,1151,446
49,Central Connecticut State,-7.68,675,1602,146,331,534,332,966,413
50,Central Florida,3.69,825,1898,263,501,758,389,1471,525
51,Central Michigan,-2.63,912,2153,399,603,762,364,1244,362
52,Charleston Southern,-6.21,824,1868,228,428,643,336,1092,358
53,Charlotte,-0.93,800,1803,237,458,614,224,979,366
54,Chattanooga,-2.08,801,1718,231,481,677,322,1005,413
55,Chicago State,-0.19,739,1923,212,399,569,344,1123,440
56,Cincinnati NCAA,5.49,969,2116,264,472,688,437,1328,361
57,Citadel,-2.93,980,2357,397,607,802,448,1232,473
58,Clemson,9.98,871,1939,239,487,666,365,1124,354
59,Cleveland State,-1.53,745,1838,219,374,541,339,1024,405
60,Coastal Carolina,-1.48,1021,2416,318,473,719,480,1571,508
61,Colgate,-3.60,745,1693,271,384,567,263,1037,470
62,College of Charleston,-0.19,804,1862,220,588,799,302,1194,364
63,Colorado State,2.17,879,2070,257,596,815,409,1374,392
64,Colorado,6.00,888,1993,250,542,770,403,1276,410
65,Columbia,-3.13,700,1603,211,329,465,273,941,347
66,Connecticut,6.61,778,1809,223,441,619,336,1209,402
67,Coppin State,-8.01,705,1846,225,484,745,367,1115,440
68,Cornell,-1.55,746,1646,244,338,484,219,976,419
69,Creighton NCAA,8.95,1078,2137,304,404,592,289,1223,435
70,Dartmouth,-3.45,631,1463,199,351,495,249,917,401
71,Davidson,4.26,814,1861,292,442,587,285,1149,390
72,Dayton NCAA,4.27,820,1763,258,530,768,277,1097,376
73,Delaware State,-9.37,782,1865,263,359,545,348,1057,436
74,Delaware,-1.42,775,1838,196,411,599,322,1159,396
75,Denver,-4.19,811,1684,223,428,583,273,1058,404
76,DePaul,7.78,775,1804,184,472,642,339,1057,451
77,Detroit Mercy,-1.62,830,1867,251,476,717,320,1036,451
78,Drake,1.91,760,1856,270,418,553,311,1070,389
79,Drexel,-2.56,865,1987,256,411,617,379,1177,425
80,Duke NCAA,10.91,1019,2144,311,642,842,390,1341,421
81,Duquesne,0.69,785,1835,226,460,680,343,1167,454
82,East Carolina,1.33,716,1797,214,442,673,370,1252,459
83,East Tennessee State NCAA,-2.11,960,1967,265,597,850,357,1269,519
84,Eastern Illinois,-5.05,772,1852,259,366,501,348,1081,370
85,Eastern Kentucky,-2.44,750,1751,235,462,655,286,1018,432
86,Eastern Michigan,0.16,918,2046,211,519,716,420,1201,399
87,Eastern Washington,-4.43,947,1975,281,520,675,309,1196,415
88,Elon,-1.39,850,1911,308,395,577,291,1209,374
89,Evansville,2.42,800,1762,127,561,787,298,1136,389
90,Fairfield,-3.85,822,1859,262,345,506,275,1115,416
91,Fairleigh Dickinson,-5.31,754,1713,201,474,620,291,993,398
92,Florida A&M,-11.85,762,1800,187,442,671,304,1047,407
93,Florida Atlantic,-1.98,756,1838,204,392,558,316,1066,348
94,Florida Gulf Coast NCAA,-3.42,1007,2017,221,466,664,379,1269,421
95,Florida International,-3.27,805,1773,181,387,516,315,1051,413
96,Florida State NCAA,8.87,1036,2146,233,568,824,409,1324,415
97,Florida NCAA,11.01,953,2118,278,620,851,416,1331,431
98,Fordham,1.36,741,1783,264,344,474,261,913,418
99,Fresno State,2.31,852,1872,209,513,763,314,1175,444
100,Furman,-3.75,918,1941,319,435,624,317,1211,451
101,Gardner-Webb,-5.71,913,1905,209,511,819,372,1259,474
102,George Mason,1.28,879,1962,182,579,775,381,1370,440
103,George Washington,2.11,821,1938,276,529,710,394,1279,453
104,Georgetown,9.31,808,1752,206,547,746,305,1142,454
105,Georgia Southern,-2.83,841,1909,303,507,763,320,1147,388
106,Georgia State,-2.17,885,1888,246,426,658,334,1174,463
107,Georgia Tech,8.21,910,2079,171,505,740,356,1330,494
108,Georgia,10.28,836,1903,175,588,777,330,1259,444
109,Gonzaga NCAA,4.13,1149,2280,286,638,890,378,1587,448
110,Grambling,-11.89,841,1943,184,495,747,398,1108,450
111,Grand Canyon,-4.22,790,1812,205,497,747,335,1166,397
112,Green Bay,-2.83,913,2061,197,542,787,387,1312,448
113,Hampton,-9.92,751,1844,196,451,633,371,1143,435
114,Hartford,-5.56,730,1814,263,413,591,292,1046,462
115,Harvard,-2.24,699,1564,229,385,518,275,1005,359
116,Hawaii,-4.92,698,1650,214,432,604,287,966,414
117,High Point,-6.28,732,1693,196,473,636,307,1088,407
118,Hofstra,-1.90,846,1908,291,490,716,371,1164,341
119,Holy Cross,-3.51,663,1552,236,370,534,189,811,351
120,Houston Baptist,-4.44,871,1924,195,504,721,425,1199,410
121,Houston,3.42,850,1902,268,390,544,362,1138,315
122,Howard,-7.97,723,1856,172,547,833,420,1257,500
123,Idaho State,-3.37,742,1708,237,443,648,225,921,400
124,Idaho,-5.89,809,1870,255,539,746,362,1213,421
125,Illinois-Chicago,-3.63,939,2113,272,599,843,422,1429,589
126,Illinois State,2.71,865,1972,294,394,593,369,1293,427
127,Illinois,9.25,898,2019,270,442,643,342,1217,433
128,Incarnate Word,-5.62,736,1617,233,507,731,229,950,391
129,Indiana State,3.18,762,1832,254,392,576,264,1111,396
130,Indiana,8.16,959,2004,295,498,683,413,1328,517
131,Iona NCAA,-2.47,979,2155,342,513,668,338,1250,421
132,Iowa State NCAA,11.94,1031,2186,344,423,604,318,1219,355
133,Iowa,7.54,964,2121,300,510,741,408,1306,472
134,Fort Wayne,-3.19,1055,2127,352,407,561,334,1245,450
135,IUPUI,-1.62,883,1957,288,446,653,348,1104,401
136,Jackson State,-11.55,716,1860,217,417,619,425,1162,390
137,Jacksonville State NCAA,-3.24,857,1869,258,462,647,355,1244,477
138,Jacksonville,-8.45,878,1885,327,474,644,302,1081,424
139,James Madison,-1.83,770,1733,208,446,622,310,1133,467
140,Kansas State NCAA,10.48,869,1883,247,538,775,330,1132,453
141,Kansas NCAA,12.23,1071,2193,318,535,789,428,1393,456
142,Kennesaw State,-5.97,892,1932,206,411,595,358,1146,431
143,Kent State NCAA,-1.63,986,2302,257,543,755,539,1454,465
144,Kentucky NCAA,10.49,1134,2396,267,690,980,470,1512,443
145,La Salle,2.94,761,1666,255,489,638,249,973,393
146,Lafayette,-3.50,712,1655,221,350,492,205,956,436
147,Lamar,-7.93,907,1977,265,544,813,389,1189,455
148,Lehigh,-3.30,857,1788,270,448,580,232,1100,450
149,Liberty,-6.16,779,1787,319,454,612,173,990,363
150,Lipscomb,-4.45,939,1978,340,586,811,340,1213,500
151,Long Beach State,-0.60,895,2035,216,543,750,396,1212,488
152,Long Island University,-8.51,803,1846,184,488,710,423,1242,460
153,Longwood,-6.16,738,1660,186,356,487,218,922,456
