Rk,School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
1,Abilene Christian,770,1759,214,525,743,313,1107,512
2,Air Force,781,1686,288,394,553,274,1069,436
3,Akron,828,1797,257,498,689,298,1106,410
4,Alabama A&M,881,1844,228,377,549,340,1126,353
5,Alabama-Birmingham,827,1952,292,357,513,301,1035,414
6,Alabama State,813,1795,238,573,836,392,1232,401
7,Alabama NCAA,877,2109,262,527,769,414,1277,473
8,Albany (NY),807,1808,215,353,503,261,965,368
9,Alcorn State,809,1867,266,504,716,363,1179,419
10,American,776,1595,199,464,650,282,1059,413
11,Appalachian State,854,1953,232,508,705,304,1177,430
12,Arizona State NCAA,841,1919,262,451,628,357,1171,474
13,Arizona NCAA,890,2047,261,468,638,310,1018,406
14,Little Rock,754,1744,269,465,687,336,1130,436
15,Arkansas-Pine Bluff,831,1919,227,610,858,445,1327,531
16,Arkansas State,911,1852,245,456,641,318,1133,437
17,Arkansas NCAA,872,2028,301,602,828,394,1264,490
18,Army,757,1709,251,458,640,281,1092,427
19,Auburn NCAA,838,1961,273,539,747,341,1207,516
20,Austin Peay,845,1821,240,516,721,309,1107,549
21,Ball State,841,1977,258,422,580,335,1160,384
22,Baylor,836,2016,261,436,609,367,1091,400
23,Belmont,836,1943,228,384,521,302,1068,382
24,Bethune-Cookman,883,2080,231,546,780,396,1239,444
25,Binghamton,780,1750,235,386,545,278,1085,372
26,Boise State,794,1859,223,399,551,203,972,380
27,Boston College,938,2109,309,425,571,336,1212,435
28,Boston University,793,1762,252,388,533,303,1041,427
29,Bowling Green State,893,1949,261,443,614,302,1168,404
30,Bradley,716,1768,243,461,627,326,1094,447
31,Brigham Young,878,1955,251,365,556,263,1100,444
32,Brown,741,1558,205,446,631,247,959,388
33,Bryant,921,1867,308,432,616,354,1236,394
34,Bucknell NCAA,911,2138,224,513,738,360,1240,438
35,Buffalo NCAA,936,2179,239,631,860,389,1313,496
36,Butler NCAA,877,1954,274,512,689,278,1137,484
37,Cal Poly,816,1790,228,442,593,307,1143,347
38,Cal State Bakersfield,679,1597,244,466,664,291,1009,407
39,Cal State Fullerton NCAA,768,1861,220,489,647,320,1074,413
40,Cal State Northridge,801,1726,194,410,567,323,1104,333
41,UC-Davis,768,1806,221,484,658,330,1134,506
42,UC-Irvine,781,2006,229,559,803,332,1180,367
43,UC-Riverside,735,1776,233,460,663,351,1195,432
44,UC-Santa Barbara,803,1863,228,377,538,296,1081,368
45,University of California,852,1807,282,497,689,316,1116,443
46,Campbell,861,1933,235,455,633,308,1151,427
47,Canisius,818,1825,207,503,686,334,1121,500
48,Central Arkansas,975,2183,252,564,834,445,1405,509
49,Central Connecticut State,816,1860,276,392,560,319,1029,360
50,Central Florida,718,1790,201,338,469,321,1085,394
51,Central Michigan,966,2173,318,411,567,378,1269,465
52,Charleston Southern,714,1644,284,421,559,273,1021,484
53,Charlotte,842,1762,231,402,566,289,1044,370
54,Chattanooga,902,1880,228,392,525,283,1105,430
55,Chicago State,949,1908,295,563,797,363,1250,454
56,Cincinnati NCAA,739,1974,231,362,529,361,1127,514
57,Citadel,1020,2123,331,448,619,393,1382,542
58,Clemson NCAA,826,2033,268,387,552,332,1172,413
59,Cleveland State,936,2052,289,452,633,390,1335,490
60,Coastal Carolina,736,1819,276,493,680,315,1053,384
61,Colgate,831,1836,270,383,520,285,1128,431
62,College of Charleston NCAA,824,1907,239,444,602,321,1149,403
63,Colorado State,879,1918,302,477,677,321,1166,406
64,Colorado,808,1909,265,456,649,312,1091,339
65,Columbia,723,1608,269,370,505,275,1000,354
66,Connecticut,804,1856,288,444,629,371,1176,400
67,Coppin State,810,1897,247,517,713,379,1332,404
68,Cornell,809,1785,258,374,516,316,1042,320
