Rk,School,SOS,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
1,Abilene Christian,-7.53,771,1704,209,458,653,269,991,418
2,Air Force,0.66,752,1758,202,483,707,283,1107,423
3,Akron,-1.24,911,2111,409,451,659,373,1310,381
4,Alabama A&M,-10.75,681,1632,175,439,642,330,1000,340
5,Alabama-Birmingham,-3.07,942,1970,250,472,654,366,1259,414
6,Alabama State,-9.35,788,1918,215,426,623,389,1153,371
7,Alabama,8.62,738,1750,259,458,712,327,1141,438
8,Albany (NY),-7.57,848,1850,188,611,814,387,1276,413
9,Alcorn State,-9.94,691,1692,174,458,676,384,1072,429
10,American,-6.08,631,1487,195,328,471,218,874,428
11,Appalachian State,-1.10,719,1795,256,493,701,393,1142,462
12,Arizona State,8.96,796,1919,254,499,726,394,1177,384
13,Arizona NCAA,7.23,946,1970,221,622,863,394,1368,442
14,Little Rock NCAA,-1.76,886,1958,266,449,616,315,1195,355
15,Arkansas-Pine Bluff,-5.52,674,1722,202,317,519,322,1004,516
16,Arkansas State,-2.37,770,1873,180,562,766,334,1243,398
17,Arkansas,6.76,883,1992,216,519,748,374,1187,357
18,Army,-8.13,895,2084,294,455,656,408,1338,448
19,Auburn,7.54,724,1820,272,472,746,346,1134,428
20,Austin Peay NCAA,-2.98,945,2049,223,627,936,422,1326,502
21,Ball State,-2.98,855,1919,305,464,670,330,1275,465
22,Baylor NCAA,9.76,933,2003,210,545,752,467,1267,432
23,Belmont,-2.10,914,1849,338,472,650,271,1105,450
24,Bethune-Cookman,-9.18,799,1932,249,411,597,407,1186,415
25,Binghamton,-6.35,629,1614,171,398,584,273,1023,419
26,Boise State,3.13,842,1859,261,535,755,315,1110,372
27,Boston College,7.67,717,1752,230,295,453,243,993,431
28,Boston University,-6.37,859,1893,272,493,688,311,1216,468
29,Bowling Green State,-1.85,849,1913,203,499,761,345,1238,430
30,Bradley,3.70,606,1596,165,416,628,276,1083,548
31,Brigham Young,2.36,1096,2369,330,571,827,441,1514,434
32,Brown,-2.82,697,1625,225,421,600,272,1019,376
33,Bryant,-6.71,755,1798,198,310,482,300,1048,420
34,Bucknell,-5.89,831,1788,233,553,774,317,1137,423
35,Buffalo NCAA,0.90,915,2096,263,616,867,425,1363,475
36,Butler NCAA,7.55,918,1969,236,566,774,366,1188,335
37,Cal Poly,0.90,755,1812,238,423,626,351,1095,308
38,Cal State Bakersfield NCAA,-5.15,875,1939,179,476,726,414,1263,405
39,Cal State Fullerton,-0.76,698,1703,193,515,743,335,1116,393
40,Cal State Northridge,-0.85,745,1723,126,527,735,303,1086,420
41,UC-Davis,-1.26,697,1608,164,356,557,255,1033,427
42,UC-Irvine,0.77,977,2128,241,511,752,370,1416,471
43,UC-Riverside,-3.08,788,1839,252,471,670,328,1164,433
44,UC-Santa Barbara,1.44,859,1944,251,366,522,344,1235,419
45,University of California NCAA,7.87,890,1931,236,529,806,386,1349,419
46,Campbell,-6.67,744,1671,224,495,690,242,967,353
47,Canisius,-3.77,845,2014,285,551,744,393,1116,370
48,Central Arkansas,-6.81,734,1656,185,457,694,331,1044,407
49,Central Connecticut State,-9.24,682,1704,164,360,530,335,1046,402
50,Central Florida,3.01,715,1663,207,425,619,329,1166,440
51,Central Michigan,-1.30,867,1964,324,437,608,325,1152,303
52,Charleston Southern,-2.59,774,1808,280,318,512,308,1053,378
53,Charlotte,-1.72,920,2066,266,478,685,374,1196,396
54,Chattanooga NCAA,-3.46,897,1963,262,596,811,381,1241,437
55,Chicago State,-1.38,764,1995,228,384,573,414,1172,458
56,Cincinnati NCAA,5.25,851,1980,252,464,658,441,1291,363
57,Citadel,-4.75,938,2242,363,514,704,404,1148,441
58,Clemson,6.87,753,1725,238,415,574,320,1076,315
59,Cleveland State,0.09,704,1746,174,365,538,338,1061,459
60,Coastal Carolina,-4.22,854,1909,244,458,689,377,1299,406
61,Colgate,-6.06,747,1673,267,332,488,280,951,365
62,College of Charleston,0.04,722,1718,206,378,567,335,1090,393
63,Colorado State,1.53,878,2067,326,618,861,441,1359,395
64,Colorado NCAA,7.64,865,2029,252,594,808,446,1434,454
65,Columbia,-2.55,899,1986,336,536,745,366,1240,379
66,Connecticut NCAA,6.28,944,2078,255,488,615,335,1300,385
67,Coppin State,-6.06,741,1933,238,520,737,405,1144,408
68,Cornell,-1.04,703,1674,233,353,542,244,910,372
69,Creighton,6.44,979,2081,283,546,780,334,1299,406
70,Dartmouth,-3.29,700,1606,156,436,603,335,1005,401
71,Davidson,5.14,894,2022,317,503,661,312,1154,335
72,Dayton NCAA,4.76,836,1836,221,500,749,327,1265,427
73,Delaware State,-6.85,710,1815,230,330,536,340,1064,446
74,Delaware,0.85,669,1663,168,480,701,331,1132,360
75,Denver,-3.24,689,1449,235,408,530,168,781,404
76,DePaul,8.34,752,1691,168,420,618,317,1059,458
77,Detroit Mercy,-0.82,898,1929,244,555,795,373,1169,422
78,Drake,0.92,736,1639,215,406,562,253,1043,421
79,Drexel,1.88,677,1721,170,434,634,324,1022,345
80,Duke NCAA,10.59,983,2136,328,626,866,426,1296,354
81,Duquesne,1.35,950,2056,322,482,698,347,1332,473
82,East Carolina,3.22,761,1790,232,432,620,320,1093,424
83,East Tennessee State,-2.29,984,2135,295,550,774,376,1300,462
84,Eastern Illinois,-3.52,764,1737,232,385,587,299,1002,364
85,Eastern Kentucky,-3.86,864,1760,258,511,700,274,1004,457
86,Eastern Michigan,1.24,875,1961,187,616,854,386,1194,425
87,Eastern Washington,-6.03,961,1989,356,491,719,319,1133,381
88,Elon,0.66,865,1942,303,396,599,335,1185,411
89,Evansville,-0.39,879,1795,158,610,843,260,1202,426
90,Fairfield,-3.14,875,1991,293,479,650,298,1146,427
91,Fairleigh Dickinson NCAA,-8.31,929,2029,238,462,663,347,1108,423
92,Florida A&M,-10.67,644,1606,168,407,691,293,1010,466
93,Florida Atlantic,-1.72,752,1847,229,456,624,282,1071,402
94,Florida Gulf Coast NCAA,-3.82,1008,2106,186,501,778,417,1422,438
95,Florida International,-4.81,834,1779,181,428,645,328,1196,414
96,Florida State,8.16,948,2042,220,536,771,389,1257,441
97,Florida,9.19,930,2186,258,559,863,470,1436,405
98,Fordham,-0.09,782,1744,243,399,586,320,1060,438
99,Fresno State NCAA,2.24,926,2126,219,559,805,409,1293,378
100,Furman,-4.20,847,1865,253,540,777,387,1250,471
101,Gardner-Webb,-3.96,871,2039,276,458,701,435,1257,439
102,George Mason,3.62,766,1888,172,436,650,419,1359,407
103,George Washington,4.24,980,2194,269,646,858,453,1442,426
104,Georgetown,8.49,820,1858,261,529,704,316,1181,442
105,Georgia Southern,-3.14,781,1903,282,509,728,374,1131,359
106,Georgia State,-2.19,705,1597,149,412,598,243,925,350
107,Georgia Tech,9.95,965,2150,213,492,681,469,1398,403
108,Georgia,8.47,799,1892,220,583,823,394,1319,448
109,Gonzaga NCAA,4.23,1011,2081,281,537,708,382,1426,418
110,Grambling,-8.48,658,1606,152,456,706,282,1013,442
111,Grand Canyon,-5.60,896,1978,210,579,835,399,1301,407
112,Green Bay NCAA,-0.67,1048,2350,255,662,1007,458,1385,441
113,Hampton NCAA,-8.45,810,1967,206,537,815,447,1322,440
114,Hartford,-5.69,777,1906,319,463,619,229,992,385
115,Harvard,-0.25,734,1648,220,313,526,318,1118,436
116,Hawaii NCAA,-1.04,893,1946,237,597,873,360,1270,443
117,High Point,-4.24,884,1852,187,518,680,337,1074,341
118,Hofstra,0.77,914,2050,289,564,818,402,1327,406
119,Holy Cross NCAA,-6.11,775,1879,251,466,678,279,1052,386
120,Houston Baptist,-5.26,899,1903,204,602,839,351,1248,502
121,Houston,2.17,897,1926,215,467,662,410,1202,333
122,Howard,-8.33,750,1846,144,667,914,403,1218,477
123,Idaho State,-6.69,769,1767,250,509,700,284,1078,409
124,Idaho,-5.88,800,1812,223,549,774,388,1257,506
125,Illinois-Chicago,-0.81,697,1796,133,492,795,406,1235,453
126,Illinois State,2.59,759,1835,238,393,588,344,1141,405
127,Illinois,7.03,861,1993,277,453,607,258,1075,357
128,Incarnate Word,-6.20,718,1653,234,475,620,232,974,368
129,Indiana State,2.20,715,1822,210,530,765,343,1213,423
130,Indiana NCAA,6.90,1021,2034,345,504,688,414,1288,474
131,Iona NCAA,-1.78,919,2011,327,463,651,348,1218,422
132,Iowa State NCAA,10.16,1087,2159,293,395,563,304,1244,398
133,Iowa NCAA,8.71,906,2027,269,480,669,392,1257,339
134,Fort Wayne,-1.66,932,2017,354,483,671,342,1230,417
135,IUPUI,0.11,785,1858,183,428,607,321,1105,426
136,Jackson State,-9.54,898,2208,243,416,659,474,1417,446
137,Jacksonville State,-3.95,721,1792,243,415,567,315,994,331
138,Jacksonville,-6.09,866,1985,278,434,640,339,1218,366
139,James Madison,0.50,830,1848,278,467,682,335,1247,380
140,Kansas State,9.79,805,1876,175,549,798,437,1204,460
141,Kansas NCAA,11.22,1092,2207,304,601,843,402,1443,478
142,Kennesaw State,-1.61,811,1826,179,438,625,322,1039,405
143,Kent State,-1.47,834,1871,185,508,744,405,1204,379
144,Kentucky NCAA,8.84,1028,2149,244,561,813,451,1395,389
145,La Salle,4.65,690,1707,259,348,520,274,957,398
146,Lafayette,-6.00,758,1742,245,381,551,242,955,391
147,Lamar,-8.77,771,1819,197,524,781,415,1171,439
148,Lehigh,-5.20,810,1777,237,411,565,307,1095,416
149,Liberty,-3.73,738,1644,283,311,434,214,943,442
150,Lipscomb,-3.81,888,2017,331,483,695,335,1202,458
151,Long Beach State,4.57,896,2077,287,534,776,371,1251,430
152,Long Island University,-11.01,813,1884,179,557,779,386,1173,422
153,Longwood,-5.15,860,1899,227,450,636,350,1197,474
154,Louisiana,-1.94,931,2099,222,622,891,485,1410,425
155,Louisiana-Monroe,-1.46,896,1956,225,454,647,370,1233,411
156,Louisiana State,7.00,915,1990,203,569,856,368,1231,394
157,Louisiana Tech,-4.40,915,1999,234,560,842,358,1257,412
158,Louisville,7.74,866,1847,186,406,588,415,1183,353
159,Loyola (IL),1.11,722,1700,196,413,565,246,977,405
160,Loyola Marymount,0.87,796,1903,227,389,536,349,1047,352
161,Loyola (MD),-5.24,732,1702,161,465,653,334,1054,392
162,Maine,-6.49,825,1909,228,401,611,337,1055,491
163,Manhattan,-3.12,708,1644,232,485,655,242,916,442
164,Marist,-4.52,723,1713,248,451,615,261,975,364
165,Marquette,5.57,884,1888,194,555,764,311,1179,485
166,Marshall,-0.30,1017,2183,332,472,681,341,1230,424
167,Maryland-Baltimore County,-6.87,788,1788,216,515,754,279,1017,398
168,Maryland-Eastern Shore,-6.17,759,1715,201,459,648,337,1100,512
169,Maryland NCAA,8.31,943,1941,267,572,745,319,1288,458
170,Massachusetts-Lowell,-6.17,800,1705,240,381,556,249,947,455
171,Massachusetts,2.96,817,1903,234,485,694,307,1141,409
172,McNeese State,-6.74,719,1751,205,440,629,321,1045,370
173,Memphis,3.58,877,2124,206,643,890,431,1379,407
174,Mercer,-4.55,871,1958,210,494,676,436,1363,431
175,Miami (FL) NCAA,10.69,907,1895,241,578,772,330,1207,383
176,Miami (OH),-0.25,719,1781,178,471,646,326,1068,402
177,Michigan State NCAA,6.94,1009,2078,321,454,623,415,1454,406
178,Michigan NCAA,7.92,947,2048,342,420,569,290,1152,348
179,Middle Tennessee NCAA,-0.70,909,2025,279,442,718,369,1283,419
180,Milwaukee,-2.02,879,1927,306,554,718,320,1195,362
181,Minnesota,6.86,724,1785,191,469,662,310,1067,354
182,Mississippi State,6.02,850,1862,225,398,549,325,1096,393
183,Mississippi Valley State,-8.11,826,2129,179,462,667,380,1245,470
184,Mississippi,4.81,796,1916,252,561,791,424,1230,386
185,Missouri-Kansas City,-2.24,746,1738,213,447,663,356,1084,415
186,Missouri State,2.58,752,1817,168,481,713,333,1135,409
187,Missouri,6.88,732,1736,175,487,688,295,1109,386
188,Monmouth,-1.85,963,2214,282,653,850,388,1397,443
189,Montana State,-5.35,831,1916,297,410,598,394,1159,375
190,Montana,-4.29,841,1807,254,457,657,304,1138,409
191,Morehead State,-1.65,974,2219,215,557,801,541,1380,464
192,Morgan State,-7.97,734,1854,161,460,672,377,1089,368
193,Mount St. Mary's,-7.99,788,1967,226,416,601,318,1022,401
