"","Rk.x","School","SOS","FG.x","FGA.x","X3P.x","FT.x","FTA.x","ORB.x","TRB.x","TOV.x","Rk.y","FG.y","FGA.y","X3P.y","FT.y","FTA.y","ORB.y","TRB.y","TOV.y"
"300",300,"Tennessee-Martin",-3.9,855,1838,268,412,582,332,1175,394,300,764,1798,310,415,592,353,1107,421
"301",301,"Tennessee State",-2.38,611,1548,170,401,648,297,1022,446,301,683,1586,271,373,542,267,1000,473
"302",302,"Tennessee Tech",-3.99,768,1741,169,413,609,396,1110,412,302,838,1918,243,469,675,347,1208,494
"303",303,"Tennessee",8.16,725,1706,194,381,551,396,1040,387,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304",304,"Texas A&M-Corpus Christi",-6.43,748,1678,165,605,881,333,1101,430,304,679,1550,224,475,703,286,976,445
"305",305,"Texas A&M",5.91,805,1778,181,445,676,374,1197,410,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306",306,"Texas-Arlington",-2.76,779,1773,205,457,679,352,1144,453,306,853,2070,308,486,701,363,1221,490
"307",307,"Texas Christian",5.32,791,1809,150,517,841,445,1214,395,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308",308,"Texas-El Paso",-0.51,800,1717,185,497,752,312,1140,406,308,756,1766,262,423,636,298,1186,380
"309",309,"Texas-Rio Grande Valley",-4.68,678,1610,130,441,652,322,1000,417,309,875,1955,229,605,865,364,1329,515
"310",310,"Texas-San Antonio",-2.61,717,1701,191,495,708,387,1071,370,310,879,2112,290,580,854,346,1335,430
"311",311,"Texas Southern NCAA",-6.09,818,1840,185,569,861,394,1193,454,311,1048,2320,280,483,724,442,1381,426
"312",312,"Texas State",-3.36,664,1645,159,418,606,315,1003,395,312,786,1775,226,374,527,288,1041,442
"313",313,"Texas Tech",7.2,652,1610,169,476,742,374,1072,442,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314",314,"Texas NCAA",9.07,796,1837,212,486,671,422,1351,435,314,861,2028,237,379,532,353,1216,425
"315",315,"Toledo",0.62,863,1837,195,562,757,360,1204,405,315,942,2157,241,407,556,363,1195,323
"316",316,"Towson",-3.8,689,1678,134,522,787,468,1256,423,316,774,1800,239,492,692,313,1048,424
"317",317,"Troy",-5.09,674,1566,192,406,612,316,986,410,317,865,1993,255,423,607,354,1202,386
"318",318,"Tulane",0.32,699,1700,199,376,579,365,1076,397,318,815,1828,215,451,632,330,1111,374
"319",319,"Tulsa",2.81,758,1820,188,484,746,375,1246,389,319,793,1888,282,329,478,350,1085,382
"320",320,"UCLA NCAA",8.27,930,2099,223,507,750,440,1367,430,320,891,2105,287,438,625,347,1195,351
"321",321,"Utah State",0.28,721,1596,233,389,579,215,978,323,321,868,1932,261,469,631,300,1143,411
"322",322,"Utah Valley",-4.87,616,1540,169,357,514,297,989,385,322,846,2047,231,387,554,329,1073,419
"323",323,"Utah NCAA",7.42,849,1760,264,534,760,322,1204,407,NA,NA,NA,NA,NA,NA,NA,NA,NA
"324",324,"Valparaiso NCAA",-2,837,1836,236,456,676,397,1276,422,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325",325,"Vanderbilt",6.22,838,1775,255,541,764,339,1184,452,325,841,1806,210,476,660,293,1065,316
"326",326,"Vermont",-5.52,801,1701,182,495,715,274,1129,442,326,844,1928,248,341,478,255,1007,386
"327",327,"Villanova NCAA",7.55,916,1951,326,596,815,371,1235,382,327,1028,2401,272,479,641,378,1306,512
"328",328,"Virginia Commonwealth NCAA",6.1,896,2139,293,524,797,444,1277,383,NA,NA,NA,NA,NA,NA,NA,NA,NA
