"","Rk.x","School","SOS","FG.x","FGA.x","X3P.x","FT.x","FTA.x","ORB.x","TRB.x","TOV.x","Rk.y","FG.y","FGA.y","X3P.y","FT.y","FTA.y","ORB.y","TRB.y","TOV.y"
"1",1,"Abilene Christian",-6.82,870,1874,213,406,579,305,1093,461,1,770,1759,214,525,743,313,1107,512
"2",2,"Air Force",1.72,733,1751,250,408,556,302,1014,391,2,781,1686,288,394,553,274,1069,436
"3",3,"Akron",-1.92,793,1824,305,405,582,300,1071,440,3,828,1797,257,498,689,298,1106,410
"4",4,"Alabama A&M",-8.04,673,1697,182,345,533,328,1046,514,4,881,1844,228,377,549,340,1126,353
"5",5,"Alabama-Birmingham",-0.65,945,1937,223,423,564,332,1255,437,5,827,1952,292,357,513,301,1035,414
"6",6,"Alabama State",-8.62,751,1839,209,418,647,394,1131,437,6,813,1795,238,573,836,392,1232,401
"7",7,"Alabama NCAA",10.64,910,1975,229,555,828,358,1290,513,7,877,2109,262,527,769,414,1277,473
"8",8,"Albany (NY)",-5.41,839,1836,184,513,680,377,1191,371,8,807,1808,215,353,503,261,965,368
"9",9,"Alcorn State",-8.6,791,1824,239,423,598,304,1104,459,9,809,1867,266,504,716,363,1179,419
"10",10,"American",-6.17,698,1615,239,326,491,238,869,413,10,776,1595,199,464,650,282,1059,413
"11",11,"Appalachian State",-2.65,864,1983,292,500,749,389,1292,457,11,854,1953,232,508,705,304,1177,430
"12",12,"Arizona State NCAA",6.56,888,1920,288,581,793,315,1126,343,12,841,1919,262,451,628,357,1171,474
"13",13,"Arizona NCAA",6.84,1009,2003,237,563,741,352,1277,426,13,890,2047,261,468,638,310,1018,406
"14",14,"Little Rock",-2.21,750,1756,200,338,554,322,1089,459,14,754,1744,269,465,687,336,1130,436
"15",15,"Arkansas-Pine Bluff",-9.36,815,1863,217,460,681,277,1024,500,15,831,1919,227,610,858,445,1327,531
"16",16,"Arkansas State",-3.02,841,1910,236,451,628,354,1072,419,16,911,1852,245,456,641,318,1133,437
"17",17,"Arkansas NCAA",9.85,1005,2119,269,540,793,350,1208,381,17,872,2028,301,602,828,394,1264,490
"18",18,"Army",-7.17,820,1845,295,295,448,300,1073,403,18,757,1709,251,458,640,281,1092,427
"19",19,"Auburn NCAA",7.29,906,2102,324,647,836,403,1290,411,19,838,1961,273,539,747,341,1207,516
"20",20,"Austin Peay",-2.49,915,2012,202,480,737,443,1209,478,20,845,1821,240,516,721,309,1107,549
"21",21,"Ball State",-1.99,856,1895,245,453,643,318,1210,423,21,841,1977,258,422,580,335,1160,384
"22",22,"Baylor",9.17,941,2007,217,470,640,400,1292,463,22,836,2016,261,436,609,367,1091,400
"23",23,"Belmont",-2.88,901,1853,378,382,517,258,1133,410,23,836,1943,228,384,521,302,1068,382
"24",24,"Bethune-Cookman",-12.48,903,2039,241,575,820,424,1346,507,24,883,2080,231,546,780,396,1239,444
"25",25,"Binghamton",-6.36,787,1775,235,338,528,283,1066,381,25,780,1750,235,386,545,278,1085,372
"26",26,"Boise State",3.05,878,1903,307,439,595,318,1232,433,26,794,1859,223,399,551,203,972,380
"27",27,"Boston College",7.2,948,2105,298,479,646,371,1293,441,27,938,2109,309,425,571,336,1212,435
"28",28,"Boston University",-5.84,800,1730,229,357,559,296,1044,427,28,793,1762,252,388,533,303,1041,427
"29",29,"Bowling Green State",-2.88,827,1963,241,534,730,372,1226,408,29,893,1949,261,443,614,302,1168,404
"30",30,"Bradley",0.36,768,1788,217,470,665,359,1178,441,30,716,1768,243,461,627,326,1094,447
"31",31,"Brigham Young",1.53,919,1905,225,537,716,242,1146,403,31,878,1955,251,365,556,263,1100,444
"32",32,"Brown",-4.67,695,1631,186,504,667,310,988,364,32,741,1558,205,446,631,247,959,388
"33",33,"Bryant",-5.43,771,1881,259,368,522,312,1000,401,33,921,1867,308,432,616,354,1236,394
"34",34,"Bucknell NCAA",-3.46,965,2050,280,627,872,324,1281,437,34,911,2138,224,513,738,360,1240,438
"35",35,"Buffalo NCAA",0.25,1105,2334,351,486,695,426,1388,446,35,936,2179,239,631,860,389,1313,496
"36",36,"Butler NCAA",10.55,1020,2155,287,436,562,319,1198,391,36,877,1954,274,512,689,278,1137,484
"37",37,"Cal Poly",-1.83,721,1817,267,373,478,291,1034,366,37,816,1790,228,442,593,307,1143,347
"38",38,"Cal State Bakersfield",-0.73,697,1670,185,402,578,341,1068,416,38,679,1597,244,466,664,291,1009,407
"39",39,"Cal State Fullerton NCAA",-1.02,804,1721,167,543,745,276,1123,455,39,768,1861,220,489,647,320,1074,413
"40",40,"Cal State Northridge",-3.55,731,1689,186,335,473,247,940,365,40,801,1726,194,410,567,323,1104,333
"41",41,"UC-Davis",-1.84,834,1792,213,505,705,267,1064,425,41,768,1806,221,484,658,330,1134,506
