"","Rk.x","School","SOS","FG.x","FGA.x","X3P.x","FT.x","FTA.x","ORB.x","TRB.x","TOV.x","Rk.y","FG.y","FGA.y","X3P.y","FT.y","FTA.y","ORB.y","TRB.y","TOV.y"
"1",1,"Abilene Christian",-7.1,721,1555,207,360,543,222,904,412,1,770,1759,214,525,743,313,1107,512
"2",2,"Air Force",1,817,1876,264,513,715,304,1149,390,2,781,1686,288,394,553,274,1069,436
"3",3,"Akron",-1.21,949,2035,366,508,744,357,1246,422,3,828,1797,257,498,689,298,1106,410
"4",4,"Alabama A&M",-11.09,628,1549,125,411,614,299,914,384,4,881,1844,228,377,549,340,1126,353
"5",5,"Alabama-Birmingham",-1.83,835,1809,203,496,674,321,1188,444,5,827,1952,292,357,513,301,1035,414
"6",6,"Alabama State",-10.75,719,1834,200,404,634,427,1188,488,6,813,1795,238,573,836,392,1232,401
"7",7,"Alabama",7.47,809,1909,225,487,746,418,1327,474,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"Albany (NY)",-4.69,907,1941,192,490,647,379,1257,416,8,807,1808,215,353,503,261,965,368
"9",9,"Alcorn State",-10.95,800,1866,222,399,612,387,1243,452,9,809,1867,266,504,716,363,1179,419
"10",10,"American",-3.5,692,1542,168,293,474,204,868,396,10,776,1595,199,464,650,282,1059,413
"11",11,"Appalachian State",-1.6,749,1781,251,459,674,339,1126,414,11,854,1953,232,508,705,304,1177,430
"12",12,"Arizona State",7.11,888,2047,328,489,653,304,1075,344,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,"Arizona NCAA",7.63,977,2048,244,635,830,380,1358,413,13,890,2047,261,468,638,310,1018,406
"14",14,"Little Rock",-3.8,775,1749,207,431,582,305,1058,412,14,754,1744,269,465,687,336,1130,436
"15",15,"Arkansas-Pine Bluff",-10.28,695,1725,208,379,581,335,1013,578,15,831,1919,227,610,858,445,1327,531
"16",16,"Arkansas State",-2.1,826,1792,220,474,743,352,1169,414,16,911,1852,245,456,641,318,1133,437
"17",17,"Arkansas NCAA",8.6,997,2165,233,628,825,401,1298,428,17,872,2028,301,602,828,394,1264,490
"18",18,"Army",-4.1,842,1906,291,349,533,317,1213,483,18,757,1709,251,458,640,281,1092,427
