"","Rk.x","School","SOS","FG.x","FGA.x","X3P.x","FT.x","FTA.x","ORB.x","TRB.x","TOV.x","Rk.y","FG.y","FGA.y","X3P.y","FT.y","FTA.y","ORB.y","TRB.y","TOV.y"
"1",1,"Abilene Christian",-7.53,771,1704,209,458,653,269,991,418,1,770,1759,214,525,743,313,1107,512
"2",2,"Air Force",0.66,752,1758,202,483,707,283,1107,423,2,781,1686,288,394,553,274,1069,436
"3",3,"Akron",-1.24,911,2111,409,451,659,373,1310,381,3,828,1797,257,498,689,298,1106,410
"4",4,"Alabama A&M",-10.75,681,1632,175,439,642,330,1000,340,4,881,1844,228,377,549,340,1126,353
"5",5,"Alabama-Birmingham",-3.07,942,1970,250,472,654,366,1259,414,5,827,1952,292,357,513,301,1035,414
"6",6,"Alabama State",-9.35,788,1918,215,426,623,389,1153,371,6,813,1795,238,573,836,392,1232,401
"7",7,"Alabama",8.62,738,1750,259,458,712,327,1141,438,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"Albany (NY)",-7.57,848,1850,188,611,814,387,1276,413,8,807,1808,215,353,503,261,965,368
"9",9,"Alcorn State",-9.94,691,1692,174,458,676,384,1072,429,9,809,1867,266,504,716,363,1179,419
"10",10,"American",-6.08,631,1487,195,328,471,218,874,428,10,776,1595,199,464,650,282,1059,413
"11",11,"Appalachian State",-1.1,719,1795,256,493,701,393,1142,462,11,854,1953,232,508,705,304,1177,430
"12",12,"Arizona State",8.96,796,1919,254,499,726,394,1177,384,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,"Arizona NCAA",7.23,946,1970,221,622,863,394,1368,442,13,890,2047,261,468,638,310,1018,406
"14",14,"Little Rock NCAA",-1.76,886,1958,266,449,616,315,1195,355,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,"Arkansas-Pine Bluff",-5.52,674,1722,202,317,519,322,1004,516,15,831,1919,227,610,858,445,1327,531
"16",16,"Arkansas State",-2.37,770,1873,180,562,766,334,1243,398,16,911,1852,245,456,641,318,1133,437
"17",17,"Arkansas",6.76,883,1992,216,519,748,374,1187,357,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,"Army",-8.13,895,2084,294,455,656,408,1338,448,18,757,1709,251,458,640,281,1092,427
"19",19,"Auburn",7.54,724,1820,272,472,746,346,1134,428,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,"Austin Peay NCAA",-2.98,945,2049,223,627,936,422,1326,502,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,"Ball State",-2.98,855,1919,305,464,670,330,1275,465,21,841,1977,258,422,580,335,1160,384
"22",22,"Baylor NCAA",9.76,933,2003,210,545,752,467,1267,432,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,"Belmont",-2.1,914,1849,338,472,650,271,1105,450,23,836,1943,228,384,521,302,1068,382
"24",24,"Bethune-Cookman",-9.18,799,1932,249,411,597,407,1186,415,24,883,2080,231,546,780,396,1239,444
"25",25,"Binghamton",-6.35,629,1614,171,398,584,273,1023,419,25,780,1750,235,386,545,278,1085,372
"26",26,"Boise State",3.13,842,1859,261,535,755,315,1110,372,26,794,1859,223,399,551,203,972,380
"27",27,"Boston College",7.67,717,1752,230,295,453,243,993,431,27,938,2109,309,425,571,336,1212,435
"28",28,"Boston University",-6.37,859,1893,272,493,688,311,1216,468,28,793,1762,252,388,533,303,1041,427
"29",29,"Bowling Green State",-1.85,849,1913,203,499,761,345,1238,430,29,893,1949,261,443,614,302,1168,404
"30",30,"Bradley",3.7,606,1596,165,416,628,276,1083,548,30,716,1768,243,461,627,326,1094,447
"31",31,"Brigham Young",2.36,1096,2369,330,571,827,441,1514,434,31,878,1955,251,365,556,263,1100,444
"32",32,"Brown",-2.82,697,1625,225,421,600,272,1019,376,32,741,1558,205,446,631,247,959,388
"33",33,"Bryant",-6.71,755,1798,198,310,482,300,1048,420,33,921,1867,308,432,616,354,1236,394
"34",34,"Bucknell",-5.89,831,1788,233,553,774,317,1137,423,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",35,"Buffalo NCAA",0.9,915,2096,263,616,867,425,1363,475,35,936,2179,239,631,860,389,1313,496
"36",36,"Butler NCAA",7.55,918,1969,236,566,774,366,1188,335,36,877,1954,274,512,689,278,1137,484
"37",37,"Cal Poly",0.9,755,1812,238,423,626,351,1095,308,37,816,1790,228,442,593,307,1143,347
"38",38,"Cal State Bakersfield NCAA",-5.15,875,1939,179,476,726,414,1263,405,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",39,"Cal State Fullerton",-0.76,698,1703,193,515,743,335,1116,393,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",40,"Cal State Northridge",-0.85,745,1723,126,527,735,303,1086,420,40,801,1726,194,410,567,323,1104,333
"41",41,"UC-Davis",-1.26,697,1608,164,356,557,255,1033,427,41,768,1806,221,484,658,330,1134,506
"42",42,"UC-Irvine",0.77,977,2128,241,511,752,370,1416,471,42,781,2006,229,559,803,332,1180,367
"43",43,"UC-Riverside",-3.08,788,1839,252,471,670,328,1164,433,43,735,1776,233,460,663,351,1195,432
