,Unnamed: 0,School,FG,FGA,3P,FT,FTA,ORB,TOV,DRB
0,7,Albany (NY) 2014,765,1733,163,546,728,343,428,832
1,9,American 2014,748,1527,207,378,535,232,464,754
2,11,Arizona State 2014,836,1852,268,546,787,281,377,891
3,12,Arizona 2014,996,2123,204,573,870,465,387,984
4,21,Baylor 2014,959,2108,280,645,949,525,440,931
5,30,Brigham Young 2014,1012,2186,177,730,1055,463,395,969
6,36,Cal Poly 2014,754,1850,218,415,603,377,303,719
7,55,Cincinnati 2014,805,1893,196,519,733,457,377,767
8,59,Coastal Carolina 2014,861,1969,212,524,758,434,473,902
9,63,Colorado 2014,814,1871,181,648,903,401,466,904
10,65,Connecticut 2014,971,2163,287,644,829,387,457,1002
11,68,Creighton 2014,957,1927,356,486,654,293,342,899
12,71,Dayton 2014,935,2018,243,558,819,414,442,875
13,73,Delaware 2014,936,2108,252,658,925,385,334,879
14,79,Duke 2014,929,2020,316,571,783,410,328,797
15,84,Eastern Kentucky 2014,881,1810,315,600,798,243,359,641
16,96,Florida 2014,945,2056,255,582,871,437,418,948
17,102,George Washington 2014,839,1812,187,550,845,394,428,835
18,108,Gonzaga 2014,972,1963,255,562,793,343,419,948
19,114,Harvard 2014,786,1691,184,587,811,335,365,757
20,131,Iowa State 2014,1062,2239,301,564,814,375,380,1012
21,132,Iowa 2014,919,1984,191,660,898,447,371,885
22,139,Kansas State 2014,798,1840,198,486,741,406,404,774
23,140,Kansas 2014,955,1937,189,665,935,416,463,920
24,143,Kentucky 2014,1004,2213,203,781,1146,562,469,1045
25,153,Louisiana 2014,988,2127,246,613,913,464,459,865
26,157,Louisville 2014,1051,2232,288,608,920,503,391,893
27,162,Manhattan 2014,828,1837,208,676,1019,415,468,819
28,170,Massachusetts 2014,900,1962,177,525,769,404,446,863
29,172,Memphis 2014,958,2009,182,516,801,427,449,841
30,173,Mercer 2014,982,2061,290,582,791,407,420,931
31,176,Michigan State 2014,1024,2159,307,515,728,395,430,1005
32,177,Michigan 2014,945,1982,319,527,691,316,336,844
33,179,Milwaukee 2014,808,1888,245,604,823,343,469,839
34,192,Mount St. Mary's 2014,843,1923,296,522,706,328,388,725
35,196,Nebraska 2014,719,1684,188,511,713,278,349,781
36,200,New Mexico State 2014,936,1918,194,705,1027,428,457,918
37,201,New Mexico 2014,847,1851,197,625,863,360,361,936
38,209,North Carolina Central 2014,847,1832,184,635,872,403,389,794
39,211,North Carolina State 2014,950,2060,160,501,762,422,375,817
40,213,North Carolina 2014,953,2057,146,552,882,483,406,867
41,214,North Dakota State 2014,888,1759,176,540,719,307,325,774
42,228,Ohio State 2014,843,1875,200,546,793,346,394,841
43,230,Oklahoma State 2014,898,1941,239,693,964,332,356,871
44,231,Oklahoma 2014,909,2034,285,601,802,398,376,844
45,235,Oregon 2014,928,1977,259,668,865,356,389,803
46,240,Pittsburgh 2014,895,1944,183,613,861,432,373,859
47,246,Providence 2014,849,1984,218,650,831,432,406,846
48,259,Saint Joseph's 2014,840,1789,250,503,780,319,409,899
49,260,Saint Louis 2014,829,1869,190,526,755,345,431,886
50,265,San Diego State 2014,873,2009,186,598,902,470,355,894
51,293,Stanford 2014,896,1950,208,616,877,347,409,910
52,294,Stephen F. Austin 2014,922,1992,248,569,800,451,393,735
53,297,Syracuse 2014,819,1873,167,506,715,446,306,754
54,302,Tennessee 2014,927,2048,205,613,852,501,388,923
55,310,Texas Southern 2014,857,1854,217,653,910,386,454,860
56,313,Texas 2014,905,2095,178,610,909,528,426,921
57,318,Tulsa 2014,835,1899,197,604,894,368,394,863
58,319,UCLA 2014,1073,2196,229,628,839,368,379,940
59,326,Villanova 2014,870,1907,304,607,848,379,406,884
60,327,Virginia Commonwealth 2014,922,2196,260,520,772,479,423,838
61,330,Virginia 2014,855,1884,206,533,792,379,362,933
62,335,Weber State 2014,732,1541,222,568,767,265,382,800
63,340,Western Michigan 2014,779,1684,195,620,856,323,464,820
64,341,Wichita State 2014,896,1942,250,664,916,419,374,962
65,344,Wisconsin 2014,927,2019,297,642,861,337,307,929
66,345,Wofford 2014,808,1804,196,393,592,352,351,738
67,348,Xavier 2014,869,1850,174,530,770,379,421,834
