,School,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TOV,opp_DRB
5,Alabama 2012,666,1711,164,422,654,373,442,699
20,Baylor 2012,883,2114,232,485,706,428,535,753
21,Belmont 2012,850,1981,207,456,694,402,506,761
29,Brigham Young 2012,841,2029,229,447,671,348,554,865
43,University of California 2012,786,1893,186,346,505,315,438,722
54,Cincinnati 2012,849,2063,207,371,542,443,518,881
61,Colorado State 2012,738,1696,230,471,669,309,383,662
62,Colorado 2012,812,2009,229,416,642,366,444,816
64,Connecticut 2012,785,2034,245,378,514,457,372,728
67,Creighton 2012,903,2049,228,405,600,328,361,740
69,Davidson 2012,781,1830,170,506,758,315,409,757
75,Detroit Mercy 2012,842,1915,244,504,719,381,544,779
78,Duke 2012,864,1996,153,453,657,395,434,764
94,Florida State 2012,749,1965,221,482,674,430,531,738
95,Florida 2012,875,2068,226,428,618,391,464,826
102,Georgetown 2012,683,1766,164,429,631,360,424,657
107,Gonzaga 2012,771,1867,198,346,514,332,428,679
112,Harvard 2012,637,1555,143,307,467,273,388,604
126,Indiana 2012,847,1988,219,479,682,391,482,703
127,Iona 2012,885,1962,237,393,565,379,530,747
128,Iowa State 2012,864,1977,193,365,523,316,395,776
136,Kansas State 2012,716,1750,178,504,731,385,526,685
137,Kansas 2012,826,2176,236,519,721,419,533,837
140,Kentucky 2012,889,2379,219,426,614,487,464,799
143,Lamar 2012,838,1989,177,443,659,385,495,817
144,Lehigh 2012,808,1952,206,466,661,369,504,833
147,Long Beach State 2012,804,1909,207,360,519,373,513,736
148,Long Island University 2012,1039,2313,209,354,510,470,469,763
154,Louisville 2012,857,2233,218,508,766,509,621,932
157,Loyola (MD) 2012,739,1723,168,474,688,363,473,699
161,Marquette 2012,831,2065,213,433,632,468,577,807
168,Memphis 2012,751,1945,188,518,745,424,492,728
172,Michigan State 2012,751,1981,214,479,681,364,465,742
173,Michigan 2012,756,1768,203,375,526,329,424,747
178,Mississippi Valley State 2012,801,1851,233,510,780,386,564,896
182,Missouri 2012,869,1956,222,361,534,380,501,729
185,Montana 2012,684,1688,165,452,646,346,478,725
189,Murray State 2012,730,1749,140,401,607,382,546,671
192,Nevada-Las Vegas 2012,817,1991,217,456,678,383,539,835
195,New Mexico State 2012,896,2085,213,454,673,382,524,743
196,New Mexico 2012,731,1903,213,401,594,351,499,742
200,Norfolk State 2012,842,2044,210,522,778,431,504,810
201,North Carolina-Asheville 2012,865,1949,234,462,695,415,539,718
205,North Carolina State 2012,889,2140,236,487,687,414,461,818
207,North Carolina 2012,957,2431,275,360,529,425,507,888
219,Notre Dame 2012,791,1912,168,345,489,381,367,786
221,Ohio State 2012,840,2062,234,419,599,327,577,832
222,Ohio 2012,775,1880,198,563,787,416,644,881
240,Purdue 2012,826,1870,216,442,632,352,440,840
253,Saint Louis 2012,691,1668,134,444,618,309,500,750
254,Saint Mary's (CA) 2012,771,1802,176,350,523,298,393,675
258,San Diego State 2012,778,1921,234,376,545,320,435,783
271,South Dakota State 2012,871,1942,199,388,564,327,455,800
273,South Florida 2012,721,1866,179,416,589,373,397,720
280,Southern Mississippi 2012,766,1727,179,501,689,295,486,796
283,St. Bonaventure 2012,719,1723,185,458,642,328,400,639
290,Syracuse 2012,795,2064,235,432,639,541,591,807
291,Temple 2012,806,1855,181,432,615,364,428,724
306,Texas 2012,774,1862,199,523,772,409,460,725
317,Vanderbilt 2012,861,2055,206,411,587,407,451,782
318,Vermont 2012,783,1930,191,436,643,387,452,768
320,Virginia Commonwealth 2012,762,1796,174,456,660,393,644,875
323,Virginia 2012,636,1589,149,314,495,266,413,680
329,West Virginia 2012,815,1816,179,385,567,331,444,712
332,Western Kentucky 2012,839,1940,163,542,755,395,510,869
334,Wichita State 2012,729,1856,186,416,603,321,422,713
337,Wisconsin 2012,708,1819,129,370,542,331,388,791
341,Xavier 2012,828,2062,224,542,732,397,452,831
