,Unnamed: 0,School,FG,FGA,3P,FT,FTA,ORB,TOV,DRB
0,1,Akron 2013,852,1874,229,436,678,425,458,720
1,6,Albany (NY) 2013,761,1748,213,516,700,345,468,677
2,11,Arizona 2013,880,1933,269,541,722,393,458,779
3,21,Belmont 2013,906,1844,279,442,604,306,440,660
4,24,Boise State 2013,824,1790,249,446,597,323,385,665
5,32,Bucknell 2013,818,1807,157,484,652,308,321,834
6,34,Butler 2013,869,1931,239,518,744,419,474,794
7,43,University of California 2013,833,1875,134,418,585,361,417,773
8,54,Cincinnati 2013,791,1963,230,450,696,488,432,731
9,61,Colorado State 2013,881,1961,180,611,855,493,389,804
10,62,Colorado 2013,775,1788,178,502,732,378,439,750
11,67,Creighton 2013,942,1882,307,489,644,300,443,872
12,69,Davidson 2013,837,1813,256,560,704,306,371,742
13,78,Duke 2013,960,2033,270,588,796,337,383,782
14,92,Florida Gulf Coast 2013,976,2112,247,497,736,412,545,814
15,95,Florida 2013,960,2010,300,422,623,381,401,798
16,102,Georgetown 2013,737,1627,189,407,599,297,407,662
17,107,Gonzaga 2013,961,1934,226,548,777,409,393,786
18,112,Harvard 2013,677,1425,191,504,697,219,399,577
19,124,Illinois 2013,858,2084,280,469,646,427,411,671
20,126,Indiana 2013,951,1971,257,672,904,439,469,831
21,127,Iona 2013,956,2106,283,538,689,395,421,699
22,128,Iowa State 2013,962,2111,346,509,696,422,460,816
23,135,James Madison 2013,818,1941,211,499,714,365,401,699
24,136,Kansas State 2013,872,2002,238,432,631,470,403,675
25,137,Kansas 2013,985,2049,216,596,809,399,517,955
26,141,La Salle 2013,871,1931,262,446,605,332,390,626
27,145,Liberty 2013,838,1954,251,562,770,367,478,797
28,148,Long Island University 2013,915,1909,246,601,870,404,486,679
29,154,Louisville 2013,1048,2300,230,652,920,531,495,854
30,161,Marquette 2013,842,1844,147,551,755,418,471,698
31,168,Memphis 2013,976,2071,220,509,771,438,523,805
32,170,Miami (FL) 2013,895,1968,254,465,680,357,377,822
33,172,Michigan State 2013,882,1921,177,507,710,421,489,820
34,173,Michigan 2013,1093,2260,296,450,642,416,368,830
35,174,Middle Tennessee 2013,848,1835,181,528,759,407,464,740
36,176,Minnesota 2013,815,1838,184,523,764,501,467,685
37,179,Mississippi 2013,977,2230,238,587,866,466,395,785
38,182,Missouri 2013,924,2015,215,525,706,454,442,812
39,185,Montana 2013,760,1635,219,499,651,248,391,657
40,193,Nevada-Las Vegas 2013,872,2002,227,525,747,418,487,863
41,196,New Mexico State 2013,832,1828,137,554,845,429,506,806
42,197,New Mexico 2013,768,1815,221,598,829,335,402,788
43,204,North Carolina A&T 2013,776,1927,215,532,809,387,564,779
44,207,North Carolina State 2013,985,1987,184,554,813,396,433,790
45,209,North Carolina 2013,1023,2321,272,442,655,478,433,776
46,220,Northwestern State 2013,919,2007,189,532,775,435,448,698
47,222,Notre Dame 2013,892,1929,228,438,618,387,393,759
48,224,Ohio State 2013,928,2057,227,516,729,378,377,841
49,226,Oklahoma State 2013,814,1854,183,560,751,354,411,756
50,227,Oklahoma 2013,803,1847,159,495,654,377,376,689
51,231,Oregon 2013,944,2110,192,570,809,451,555,834
52,232,Pacific 2013,824,1839,225,471,684,333,390,704
53,236,Pittsburgh 2013,837,1775,163,445,666,425,364,642
54,256,Saint Louis 2013,808,1812,210,562,798,306,383,726
55,257,Saint Mary's (CA) 2013,910,1939,273,517,713,422,416,777
56,261,San Diego State 2013,839,1916,202,476,697,376,410,768
57,274,South Dakota State 2013,910,1938,270,478,627,331,365,794
58,285,Southern 2013,761,1757,226,475,689,288,359,747
59,293,Syracuse 2013,1007,2293,233,569,843,560,495,820
60,294,Temple 2013,851,1986,243,511,707,381,366,676
61,315,UCLA 2013,961,2131,171,511,706,387,391,778
62,319,Valparaiso 2013,823,1699,253,521,713,303,486,705
63,322,Villanova 2013,732,1760,204,639,889,383,533,733
64,323,Virginia Commonwealth 2013,1010,2243,281,469,669,479,407,676
65,335,Western Kentucky 2013,837,1959,226,509,755,441,537,763
66,337,Wichita State 2013,954,2166,259,553,791,512,492,843
67,340,Wisconsin 2013,823,1960,259,369,582,401,334,801
