School,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TRB,opp_TOV
Virginia Tech,778,1949,182,477,685,430,1231,525
Virginia,732,1678,180,327,512,298,1038,369
Wagner,738,1692,180,455,675,394,1150,429
Wake Forest NCAA,738,1890,179,500,728,429,1158,426
Washington State,776,1731,216,422,596,340,1012,430
Washington NCAA,860,2041,178,621,911,421,1235,578
Weber State,747,1700,199,509,697,302,1030,424
West Virginia NCAA,836,2007,209,533,785,417,1224,509
Western Carolina,759,1732,212,622,905,359,1182,585
Western Illinois,610,1520,135,449,657,323,1033,376
Western Kentucky,843,1892,198,385,566,356,1110,471
Western Michigan,774,1856,207,440,635,386,1100,437
Wichita State,733,1722,178,518,729,298,1037,494
William & Mary,759,1835,223,388,570,395,1151,348
Winthrop NCAA,695,1749,180,455,677,357,1228,507
Wisconsin NCAA,673,1586,138,394,572,263,1002,396
Wofford NCAA,765,1836,169,435,646,345,1140,491
Wright State,648,1488,174,480,657,275,976,501
Wyoming,803,1789,217,486,691,362,1129,485
Xavier NCAA,884,2158,201,464,709,415,1231,449
Yale,769,1749,194,425,594,351,1076,427
Youngstown State,698,1532,176,520,741,292,998,438
