,Unnamed: 0,School,FG,FGA,3P,FT,FTA,ORB,TOV,DRB
0,1,Akron 2011,892,2073,283,457,649,363,432,875
1,3,Alabama-Birmingham 2011,756,1725,239,368,513,352,387,757
2,4,Alabama State 2011,728,1841,165,525,870,460,551,811
3,11,Arizona 2011,969,2064,296,671,899,408,484,911
4,12,Little Rock 2011,825,1938,242,565,819,377,428,827
5,21,Belmont 2011,944,2045,327,575,781,451,480,807
6,26,Boston University 2011,749,1865,265,507,695,414,418,835
7,29,Brigham Young 2011,1019,2267,312,662,865,420,404,1005
8,32,Bucknell 2011,827,1855,234,499,633,270,380,879
9,34,Butler 2011,919,2122,289,580,799,431,416,906
10,42,UC-Santa Barbara 2011,742,1636,227,459,610,277,456,761
11,55,Cincinnati 2011,848,1939,220,496,742,454,401,783
12,57,Clemson 2011,810,1827,217,493,703,384,449,793
13,65,Connecticut 2011,1053,2429,234,627,822,570,466,1056
14,79,Duke 2011,1040,2206,291,622,826,446,447,953
15,95,Florida State 2011,827,1903,212,482,725,422,541,910
16,96,Florida 2011,968,2083,233,498,744,467,452,917
17,101,George Mason 2011,876,1861,227,495,718,364,376,824
18,103,Georgetown 2011,809,1703,223,417,568,324,433,757
19,107,Georgia 2011,823,1822,156,465,667,407,444,836
20,108,Gonzaga 2011,932,1947,203,617,810,398,474,916
21,111,Hampton 2011,746,1843,213,492,759,367,412,803
22,125,Illinois 2011,894,1910,232,393,539,342,434,836
23,126,Indiana State 2011,769,1793,235,480,676,352,477,820
24,137,Kansas State 2011,849,1939,237,542,828,490,498,790
25,138,Kansas 2011,1114,2193,271,585,862,449,507,1026
26,141,Kentucky 2011,1002,2183,281,560,789,445,406,975
27,149,Long Island University 2011,928,2009,229,645,999,479,505,899
28,155,Louisville 2011,949,2097,309,416,627,434,459,838
29,162,Marquette 2011,973,2094,191,645,927,457,455,872
30,169,Memphis 2011,891,1975,210,532,782,421,535,825
31,173,Michigan State 2011,817,1894,220,484,691,407,454,849
32,174,Michigan 2011,847,1889,283,351,502,289,351,826
33,183,Missouri 2011,983,2145,245,537,727,425,431,772
34,187,Morehead State 2011,851,1874,204,506,751,484,525,827
35,193,Nevada-Las Vegas 2011,842,1836,184,495,718,368,414,783
36,202,North Carolina-Asheville 2011,881,1950,168,576,810,400,506,813
37,208,North Carolina 2011,1044,2317,190,590,878,525,493,1053
38,215,Northern Colorado 2011,731,1708,254,571,742,376,454,774
39,220,Notre Dame 2011,843,1832,273,599,827,371,364,890
40,221,Oakland 2011,1052,2137,287,601,834,451,473,915
41,222,Ohio State 2011,1017,2059,285,535,763,419,375,858
42,226,Old Dominion 2011,803,1828,166,459,687,524,424,831
43,231,Penn State 2011,767,1748,216,394,544,337,358,731
44,234,Pittsburgh 2011,886,1866,202,540,805,484,397,875
45,239,Princeton 2011,788,1696,193,446,609,315,389,790
46,241,Purdue 2011,875,1957,235,481,673,380,354,827
47,246,Richmond 2011,922,2007,287,446,649,344,383,878
48,256,Saint Peter's 2011,713,1782,197,446,693,384,511,825
49,259,San Diego State 2011,991,2141,223,455,653,472,402,924
50,277,Southern California 2011,813,1832,204,422,648,340,390,813
51,286,St. John's (NY) 2011,807,1773,143,556,783,354,408,714
52,291,Syracuse 2011,936,1983,222,474,713,429,433,879
53,292,Temple 2011,868,1943,206,458,656,374,368,844
54,296,Tennessee 2011,837,1941,175,527,770,464,454,815
55,298,Texas A&M 2011,758,1719,181,557,799,412,426,781
56,303,Texas-San Antonio 2011,802,1871,234,546,774,362,461,824
57,307,Texas 2011,954,2099,201,592,905,494,425,958
58,313,UCLA 2011,830,1824,173,549,808,405,502,860
59,314,Utah State 2011,840,1788,206,563,764,363,402,903
60,318,Vanderbilt 2011,848,1853,263,622,837,370,441,885
61,320,Villanova 2011,796,1819,210,582,769,402,392,821
62,321,Virginia Commonwealth 2011,968,2228,339,589,824,428,452,864
63,328,Washington 2011,1061,2260,305,480,712,488,426,879
64,330,West Virginia 2011,783,1826,206,531,747,469,397,758
65,338,Wisconsin 2011,798,1808,278,436,533,355,258,733
66,339,Wofford 2011,883,1853,197,539,778,372,404,736
67,342,Xavier 2011,784,1700,173,565,756,328,386,802
