,School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
13,Arkansas-Pine Bluff 2010,725,1778,141,575,861,422,1286,569
20,Baylor 2010,993,2040,255,530,731,443,1408,491
29,Brigham Young 2010,1025,2120,292,650,823,367,1332,417
33,Butler 2010,845,1911,260,661,896,353,1241,456
40,UC-Santa Barbara 2010,674,1522,205,475,698,268,984,460
41,University of California 2010,966,2028,228,543,717,395,1241,421
54,Clemson 2010,851,1878,216,432,654,420,1178,480
64,Cornell 2010,913,1894,326,393,538,349,1149,414
76,Duke 2010,1049,2375,301,682,899,569,1560,429
79,East Tennessee State 2010,855,1978,177,537,815,445,1277,519
91,Florida State 2010,783,1734,186,431,669,406,1211,528
92,Florida 2010,890,2006,203,472,671,455,1265,423
99,Georgetown 2010,905,1815,212,478,672,333,1132,473
102,Georgia Tech 2010,948,2064,213,512,779,464,1430,574
104,Gonzaga 2010,912,1856,182,608,916,358,1286,444
114,Houston 2010,958,2282,290,545,768,440,1185,315
132,Kansas State 2010,981,2182,253,734,1098,559,1437,529
133,Kansas 2010,1033,2111,262,609,871,468,1457,470
136,Kentucky 2010,1066,2228,231,649,971,538,1584,538
140,Lehigh 2010,842,1853,220,574,799,339,1201,429
150,Louisville 2010,876,1960,262,491,700,478,1217,453
157,Marquette 2010,861,1890,274,489,660,343,1071,353
161,Maryland 2010,966,2052,195,502,689,421,1270,383
168,Michigan State 2010,974,2068,187,523,764,487,1426,514
172,Minnesota 2010,912,1949,246,463,661,375,1237,427
178,Missouri 2010,926,2104,258,517,714,441,1200,432
181,Montana 2010,791,1636,210,436,603,283,1048,390
183,Morgan State 2010,960,2239,205,688,983,568,1488,499
185,Murray State 2010,978,1961,226,571,821,439,1319,527
188,Nevada-Las Vegas 2010,899,1950,231,456,637,337,1149,395
191,New Mexico State 2010,919,1997,287,537,767,358,1212,437
192,New Mexico 2010,887,2023,273,608,909,458,1347,387
206,North Texas 2010,798,1748,179,662,921,364,1220,485
211,Northern Iowa 2010,747,1741,233,489,645,333,1130,372
214,Notre Dame 2010,918,1953,261,538,744,402,1250,362
215,Oakland 2010,920,2053,206,630,876,477,1344,485
216,Ohio State 2010,983,1999,276,498,716,325,1234,413
217,Ohio 2010,925,2153,278,635,883,443,1371,473
218,Oklahoma State 2010,839,1861,274,485,679,327,1169,418
220,Old Dominion 2010,922,2061,166,405,625,540,1394,457
228,Pittsburgh 2010,809,1811,181,537,775,420,1269,421
234,Purdue 2010,867,1957,187,546,755,351,1170,381
239,Richmond 2010,868,1943,250,441,630,304,1139,384
241,Robert Morris 2010,815,1868,197,572,859,412,1227,520
248,Saint Mary's (CA) 2010,944,1950,284,496,652,370,1244,394
250,Sam Houston State 2010,909,1963,287,511,727,410,1247,442
252,San Diego State 2010,875,1846,179,460,741,444,1257,453
259,Siena 2010,930,2048,160,534,793,442,1310,418
280,Syracuse 2010,1042,2021,244,504,745,417,1337,532
281,Temple 2010,851,1942,204,367,533,377,1281,358
285,Tennessee 2010,991,2174,218,520,775,441,1353,490
287,Texas A&M 2010,813,1846,210,590,892,400,1252,417
290,Texas-El Paso 2010,891,1879,201,501,744,323,1193,435
296,Texas 2010,1005,2158,195,556,878,503,1425,464
303,Utah State 2010,941,1928,242,435,574,362,1238,358
307,Vanderbilt 2010,859,1829,203,616,854,361,1197,448
308,Vermont 2010,826,1884,166,639,930,433,1291,487
309,Villanova 2010,899,1962,252,650,861,441,1272,452
315,Wake Forest 2010,811,1869,134,501,762,463,1306,471
317,Washington 2010,1004,2212,191,652,905,476,1364,460
319,West Virginia 2010,942,2190,257,611,868,585,1467,451
326,Winthrop 2010,735,1934,124,448,696,450,1276,402
327,Wisconsin 2010,776,1750,246,416,568,320,1056,289
328,Wofford 2010,825,1873,203,555,830,402,1243,416
331,Xavier 2010,961,2082,250,621,873,444,1415,452
