School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
Fort Wayne,756,1676,164,424,621,316,916,434
IUPUI,819,1850,186,495,638,385,957,379
Jackson State,618,1621,133,368,542,364,922,475
Jacksonville State,748,1761,144,503,742,387,969,443
Jacksonville,706,1688,151,388,591,396,941,449
James Madison,748,1774,248,371,557,321,906,414
Kansas State NCAA,812,1849,183,536,799,471,1129,474
Kansas NCAA,1023,2169,222,597,863,449,1368,506
Kennesaw State,691,1665,206,332,531,309,830,429
Kent State,830,1836,200,462,670,378,1025,463
Kentucky NCAA,1096,2248,225,678,938,472,1445,445
La Salle,898,1937,265,417,578,307,986,443
Lafayette,723,1650,283,432,566,236,806,391
Lamar NCAA,902,2087,153,616,855,497,1288,418
Lehigh NCAA,902,2030,254,590,768,386,1104,391
Liberty,811,1790,125,454,637,351,997,386
Lipscomb,802,1852,235,403,634,367,997,467
Long Beach State NCAA,880,1880,221,529,790,391,1141,440
Long Island University NCAA,920,1940,225,704,965,396,1167,546
Longwood,826,1905,265,359,531,292,960,410
Louisiana,767,1790,172,483,766,387,1134,521
Louisiana-Monroe,637,1555,188,288,441,261,797,378
Louisiana State,791,1947,173,402,582,434,1094,429
Louisiana Tech,849,2013,258,402,620,396,1040,442
Louisville NCAA,963,2281,233,568,826,518,1423,562
Loyola (IL),612,1452,117,376,540,301,825,432
Loyola Marymount,825,1936,221,531,720,395,1104,462
Loyola (MD) NCAA,755,1775,164,548,762,430,1044,443
Maine,750,1696,169,320,437,317,925,380
Manhattan,815,1865,244,546,750,419,1116,547
Marist,721,1733,203,531,734,347,964,481
Marquette NCAA,919,2033,201,599,831,414,1149,461
Marshall,895,2052,203,479,780,542,1268,458
Maryland-Baltimore County,686,1753,152,373,564,367,919,439
Maryland-Eastern Shore,644,1695,154,343,538,412,997,522
Maryland,743,1747,173,539,812,388,1081,425
Massachusetts,1016,2341,288,527,783,499,1302,548
McNeese State,804,1904,173,426,631,412,1101,402
Memphis NCAA,933,1899,185,563,785,332,1093,444
Mercer,899,1968,264,527,734,389,1182,566
Miami (FL),814,1890,250,454,630,372,1043,382
Miami (OH),639,1472,220,323,463,251,813,406
Michigan State NCAA,960,2012,200,531,759,420,1302,474
Michigan NCAA,808,1777,276,363,503,291,967,370
Middle Tennessee,882,1782,163,532,838,376,1101,473
Milwaukee,748,1792,264,423,691,377,1052,467
Minnesota,915,1979,203,536,769,435,1184,558
Mississippi State,854,1880,233,436,614,359,1118,396
Mississippi Valley State NCAA,812,2025,252,456,708,460,1156,511
Mississippi,820,1896,149,486,806,444,1190,485
Missouri-Kansas City,699,1621,256,344,495,258,774,412
Missouri State,775,1778,186,372,516,294,1029,338
Missouri NCAA,981,1945,293,559,730,319,1025,358
Monmouth,777,1855,194,392,603,353,847,449
Montana State,709,1669,198,414,598,340,888,396
Montana NCAA,781,1689,195,482,672,286,949,401
Morehead State,701,1621,215,453,608,365,927,493
Morgan State,676,1574,145,437,646,352,905,453
Mount St. Mary's,647,1525,159,295,458,331,859,480
Murray State NCAA,811,1732,239,551,761,360,1019,458
Navy,594,1464,157,333,487,299,776,423
Nebraska,649,1521,194,335,437,254,814,398
Nevada-Las Vegas NCAA,942,2062,291,496,734,408,1227,466
Nevada,842,1871,236,541,832,418,1173,481
New Hampshire,620,1547,212,322,529,299,882,379
New Mexico State NCAA,970,2045,165,707,1058,518,1352,533
New Mexico NCAA,876,1898,264,529,748,395,1216,467
Niagara,785,1940,249,503,718,423,959,421
Nicholls State,694,1616,198,403,599,278,789,453
NJIT,787,1861,258,404,575,339,1026,403
Norfolk State NCAA,870,1977,198,544,829,421,1186,539
North Carolina-Asheville NCAA,920,1907,223,682,893,377,1093,456
North Carolina A&T,778,1852,224,456,698,374,1031,501
North Carolina Central,772,1644,192,527,746,309,940,487
North Carolina-Greensboro,791,1961,222,427,623,442,1014,486
North Carolina State NCAA,977,2134,198,545,774,456,1281,470
North Carolina-Wilmington,723,1740,173,394,580,378,1068,428
North Carolina NCAA,1134,2473,194,629,922,570,1592,447
North Dakota State,805,1649,199,458,635,257,939,384
North Dakota,762,1722,201,428,679,317,1028,465
North Florida,787,1720,201,393,645,358,1016,493
North Texas,818,1885,159,455,639,401,1151,464
Northeastern,676,1579,169,420,598,343,900,484
Northern Arizona,661,1620,157,325,469,338,847,430
Northern Colorado,699,1454,199,429,614,292,852,456
