School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
UC-Santa Barbara,622,1651,154,303,478,356,1028,341
University of California,807,1911,226,476,720,394,1323,428
Campbell,909,1992,294,541,720,292,1219,476
Canisius,943,2066,309,470,639,364,1120,446
Central Arkansas,836,1910,230,493,687,337,1151,446
Central Connecticut State,675,1602,146,331,534,332,966,413
Central Florida,825,1898,263,501,758,389,1471,525
Central Michigan,912,2153,399,603,762,364,1244,362
Charleston Southern,824,1868,228,428,643,336,1092,358
Charlotte,800,1803,237,458,614,224,979,366
Chattanooga,801,1718,231,481,677,322,1005,413
Chicago State,739,1923,212,399,569,344,1123,440
Cincinnati NCAA,969,2116,264,472,688,437,1328,361
Citadel,980,2357,397,607,802,448,1232,473
Clemson,871,1939,239,487,666,365,1124,354
Cleveland State,745,1838,219,374,541,339,1024,405
Coastal Carolina,1021,2416,318,473,719,480,1571,508
Colgate,745,1693,271,384,567,263,1037,470
College of Charleston,804,1862,220,588,799,302,1194,364
Colorado State,879,2070,257,596,815,409,1374,392
Colorado,888,1993,250,542,770,403,1276,410
Columbia,700,1603,211,329,465,273,941,347
Connecticut,778,1809,223,441,619,336,1209,402
Coppin State,705,1846,225,484,745,367,1115,440
Cornell,746,1646,244,338,484,219,976,419
Creighton NCAA,1078,2137,304,404,592,289,1223,435
Dartmouth,631,1463,199,351,495,249,917,401
Davidson,814,1861,292,442,587,285,1149,390
Dayton NCAA,820,1763,258,530,768,277,1097,376
Delaware State,782,1865,263,359,545,348,1057,436
Delaware,775,1838,196,411,599,322,1159,396
Denver,811,1684,223,428,583,273,1058,404
DePaul,775,1804,184,472,642,339,1057,451
Detroit Mercy,830,1867,251,476,717,320,1036,451
Drake,760,1856,270,418,553,311,1070,389
Drexel,865,1987,256,411,617,379,1177,425
Duke NCAA,1019,2144,311,642,842,390,1341,421
Duquesne,785,1835,226,460,680,343,1167,454
East Carolina,716,1797,214,442,673,370,1252,459
East Tennessee State NCAA,960,1967,265,597,850,357,1269,519
Eastern Illinois,772,1852,259,366,501,348,1081,370
Eastern Kentucky,750,1751,235,462,655,286,1018,432
Eastern Michigan,918,2046,211,519,716,420,1201,399
Eastern Washington,947,1975,281,520,675,309,1196,415
Elon,850,1911,308,395,577,291,1209,374
Evansville,800,1762,127,561,787,298,1136,389
Fairfield,822,1859,262,345,506,275,1115,416
Fairleigh Dickinson,754,1713,201,474,620,291,993,398
Florida A&M,762,1800,187,442,671,304,1047,407
Florida Atlantic,756,1838,204,392,558,316,1066,348
Florida Gulf Coast NCAA,1007,2017,221,466,664,379,1269,421
Florida International,805,1773,181,387,516,315,1051,413
Florida State NCAA,1036,2146,233,568,824,409,1324,415
Florida NCAA,953,2118,278,620,851,416,1331,431
Fordham,741,1783,264,344,474,261,913,418
Fresno State,852,1872,209,513,763,314,1175,444
Furman,918,1941,319,435,624,317,1211,451
Gardner-Webb,913,1905,209,511,819,372,1259,474
George Mason,879,1962,182,579,775,381,1370,440
George Washington,821,1938,276,529,710,394,1279,453
Georgetown,808,1752,206,547,746,305,1142,454
Georgia Southern,841,1909,303,507,763,320,1147,388
Georgia State,885,1888,246,426,658,334,1174,463
Georgia Tech,910,2079,171,505,740,356,1330,494
Georgia,836,1903,175,588,777,330,1259,444
Gonzaga NCAA,1149,2280,286,638,890,378,1587,448
Grambling,841,1943,184,495,747,398,1108,450
Grand Canyon,790,1812,205,497,747,335,1166,397
Green Bay,913,2061,197,542,787,387,1312,448
Hampton,751,1844,196,451,633,371,1143,435
Hartford,730,1814,263,413,591,292,1046,462
Harvard,699,1564,229,385,518,275,1005,359
Hawaii,698,1650,214,432,604,287,966,414
High Point,732,1693,196,473,636,307,1088,407
Hofstra,846,1908,291,490,716,371,1164,341
Holy Cross,663,1552,236,370,534,189,811,351
Houston Baptist,871,1924,195,504,721,425,1199,410
Houston,850,1902,268,390,544,362,1138,315
Howard,723,1856,172,547,833,420,1257,500
Idaho State,742,1708,237,443,648,225,921,400
Idaho,809,1870,255,539,746,362,1213,421
Illinois-Chicago,939,2113,272,599,843,422,1429,589
Illinois State,865,1972,294,394,593,369,1293,427
Illinois,898,2019,270,442,643,342,1217,433
Incarnate Word,736,1617,233,507,731,229,950,391
Indiana State,762,1832,254,392,576,264,1111,396
Indiana,959,2004,295,498,683,413,1328,517
Iona NCAA,979,2155,342,513,668,338,1250,421
Iowa State NCAA,1031,2186,344,423,604,318,1219,355
Iowa,964,2121,300,510,741,408,1306,472
Fort Wayne,1055,2127,352,407,561,334,1245,450
IUPUI,883,1957,288,446,653,348,1104,401
Jackson State,716,1860,217,417,619,425,1162,390
Jacksonville State NCAA,857,1869,258,462,647,355,1244,477
Jacksonville,878,1885,327,474,644,302,1081,424
James Madison,770,1733,208,446,622,310,1133,467
Kansas State NCAA,869,1883,247,538,775,330,1132,453
Kansas NCAA,1071,2193,318,535,789,428,1393,456
Kennesaw State,892,1932,206,411,595,358,1146,431
Kent State NCAA,986,2302,257,543,755,539,1454,465
Kentucky NCAA,1134,2396,267,690,980,470,1512,443
La Salle,761,1666,255,489,638,249,973,393
Lafayette,712,1655,221,350,492,205,956,436
Lamar,907,1977,265,544,813,389,1189,455
Lehigh,857,1788,270,448,580,232,1100,450
Liberty,779,1787,319,454,612,173,990,363
Lipscomb,939,1978,340,586,811,340,1213,500
Long Beach State,895,2035,216,543,750,396,1212,488
Long Island University,803,1846,184,488,710,423,1242,460
Longwood,738,1660,186,356,487,218,922,456
Louisiana,945,2022,231,583,839,442,1252,440
Louisiana-Monroe,814,1916,237,333,498,347,1174,433
Louisiana State,853,1893,196,417,599,355,1115,451
Louisiana Tech,911,1952,257,478,674,335,1244,407
Louisville NCAA,952,2085,238,486,708,457,1343,374
Loyola (IL),852,1754,259,385,543,218,1000,377
Loyola Marymount,779,1755,217,338,545,332,1022,395
Loyola (MD),753,1791,177,492,711,381,1113,496
Maine,746,1852,212,365,558,325,1122,419
Manhattan,754,1813,209,542,743,355,1118,530
Marist,749,1747,245,480,662,235,998,409
Marquette NCAA,919,1888,336,457,585,280,1058,396
Marshall,1021,2237,356,599,816,325,1291,433
Maryland-Baltimore County,957,2041,330,515,691,307,1199,411
Maryland-Eastern Shore,854,2013,262,456,668,337,1142,425
Maryland NCAA,827,1840,272,512,732,351,1173,426
Massachusetts-Lowell,877,1825,258,417,567,280,1038,474
Massachusetts,847,1939,234,443,671,333,1185,489
McNeese State,715,1697,195,418,610,285,977,403
Memphis,852,1926,181,482,706,373,1172,368
Mercer,787,1774,244,449,574,367,1174,367
Miami (FL) NCAA,813,1800,209,443,617,363,1176,417
Miami (OH),787,1815,199,476,689,298,1091,467
Michigan State NCAA,905,1927,273,432,646,328,1275,490
Michigan NCAA,1002,2076,361,486,624,280,1111,348
Middle Tennessee NCAA,1014,2077,228,441,631,355,1273,374
Milwaukee,860,1949,272,355,538,280,1107,409
Minnesota NCAA,887,2037,209,573,806,378,1341,393
Mississippi State,821,1849,247,431,627,310,1130,433
Mississippi Valley State,818,1942,174,423,651,385,1108,460
Mississippi,914,2162,283,696,926,458,1422,516
Missouri-Kansas City,911,2076,315,554,777,353,1213,510
Missouri State,838,1895,270,457,652,377,1212,406
Missouri,744,1893,225,500,732,357,1168,384
Monmouth,929,2127,303,600,793,380,1310,425
Montana State,857,1968,320,527,722,336,1167,393
Montana,843,1879,238,467,621,310,1084,345
Morehead State,878,1906,219,395,544,396,1129,404
Morgan State,691,1793,159,484,681,424,1168,420
Mount St. Mary's NCAA,877,1977,261,431,640,276,1082,472
Murray State,899,2040,289,552,751,399,1243,403
Navy,735,1740,206,400,624,424,1134,464
Omaha,895,1972,297,598,799,338,1149,444
Nebraska,793,1906,179,403,568,411,1187,411
Nevada-Las Vegas,747,1893,213,495,711,365,1210,410
Nevada NCAA,933,2082,320,606,859,386,1351,386
New Hampshire,783,1787,256,455,628,324,1227,401
New Mexico State NCAA,913,1957,252,600,843,436,1339,465
New Mexico,778,1693,145,582,780,274,1071,403
New Orleans NCAA,830,1755,139,532,749,386,1140,534
Niagara,846,2035,244,512,683,389,1260,428
Nicholls State,771,1804,278,496,671,303,1020,451
NJIT,786,1857,258,421,599,343,1134,418
Norfolk State,827,1949,225,495,727,365,1307,502
North Carolina-Asheville,908,1908,264,464,681,281,1096,384
North Carolina A&T,728,1716,200,400,587,351,1102,466
North Carolina Central NCAA,910,2005,255,467,684,397,1313,406
North Carolina-Greensboro,947,2043,308,426,603,405,1243,474
North Carolina State,888,1898,226,481,687,329,1161,428
North Carolina-Wilmington NCAA,1071,2231,336,489,708,422,1261,363
North Carolina NCAA,1226,2633,283,642,916,630,1748,473
North Dakota State,775,1693,232,462,650,258,1047,348
North Dakota NCAA,926,1919,228,498,698,297,1146,419
North Florida,926,2025,295,490,748,423,1321,542
North Texas,740,1747,186,409,633,300,1075,410
Northeastern,767,1682,267,433,636,264,1039,390
Northern Arizona,769,1892,239,440,644,382,1218,465
Northern Colorado,732,1666,254,357,590,310,1075,407
Northern Illinois,828,1891,161,493,728,400,1211,429
Northern Iowa,622,1559,229,381,520,182,878,342
Northern Kentucky NCAA,928,2037,300,503,740,391,1319,468
Northwestern State,751,1698,203,499,723,337,1049,439
Northwestern NCAA,913,2094,256,476,637,386,1304,383
Notre Dame NCAA,980,2139,334,489,611,334,1212,341
Oakland,935,2057,247,582,765,353,1324,462
Ohio State,827,1786,211,464,680,324,1191,423
Ohio,835,1837,285,432,626,284,1141,388
Oklahoma State NCAA,957,2050,294,620,786,454,1215,432
Oklahoma,788,1863,192,494,685,361,1173,428
Old Dominion,727,1765,157,387,602,412,1190,348
Oral Roberts,810,1819,216,416,548,278,1034,360
Oregon State,721,1686,203,376,569,290,1038,491
Oregon NCAA,1091,2270,334,560,787,412,1431,454
Pacific,784,1939,185,453,671,385,1225,386
Penn State,825,1989,230,487,654,330,1166,430
Pennsylvania,710,1603,234,274,417,267,972,358
Pepperdine,807,1811,178,348,543,295,1033,389
Pittsburgh,807,1825,263,527,719,314,1158,396
Portland State,959,1991,238,489,743,322,1064,376
Portland,758,1793,214,485,655,278,1098,424
Prairie View,788,1839,237,463,659,292,1019,436
Presbyterian,667,1618,181,321,468,300,979,451
Princeton NCAA,772,1716,298,307,416,247,1003,298
Providence NCAA,804,1795,239,472,683,294,1101,412
Purdue NCAA,980,2044,315,515,680,344,1322,455
Quinnipiac,848,2008,228,453,663,432,1223,448
Radford,745,1802,247,353,530,396,1219,470
Rhode Island NCAA,916,2019,217,528,791,409,1301,389
Rice,946,2048,326,635,858,353,1331,524
Richmond,938,1993,271,449,630,236,1078,399
Rider,907,2034,179,505,752,421,1331,481
Robert Morris,728,1818,183,486,750,363,1139,497
Rutgers,809,1967,152,393,631,480,1319,437
Sacramento State,808,1759,160,428,657,306,1100,360
Sacred Heart,832,1882,200,462,659,361,1194,516
Saint Francis (PA),943,2021,277,414,598,342,1243,491
Saint Joseph's,755,1808,174,471,725,351,1132,371
Saint Louis,700,1733,230,396,597,279,1093,441
Saint Mary's (CA) NCAA,892,1797,293,372,499,324,1205,365
Saint Peter's,825,1891,288,438,625,297,1182,398
Sam Houston State,898,2055,212,518,755,401,1283,466
Samford,955,2038,279,645,868,345,1300,493
San Diego State,782,1878,233,463,663,350,1199,387
San Diego,666,1636,258,435,603,254,1028,379
San Francisco,868,1934,299,327,514,314,1187,415
San Jose State,772,1750,200,451,643,267,1015,377
Santa Clara,778,1784,318,330,451,203,980,341
Savannah State,833,2030,392,427,659,358,1169,431
Seattle,713,1646,260,405,573,223,1011,436
Seton Hall NCAA,872,1949,202,471,733,439,1311,449
Siena,899,1989,186,565,795,430,1284,476
South Alabama,793,1859,223,475,725,333,1108,419
South Carolina State,796,1849,185,390,564,320,991,383
South Carolina Upstate,936,2042,284,419,638,396,1279,421
South Carolina NCAA,924,2197,248,611,874,464,1346,480
South Dakota State NCAA,881,1938,318,603,782,316,1229,453
South Dakota,907,2044,224,601,852,355,1268,402
South Florida,716,1684,174,339,516,328,1053,489
Southeast Missouri State,852,1897,263,493,664,289,1024,410
Southeastern Louisiana,796,1770,215,461,675,384,1154,512
Southern California NCAA,975,2139,283,583,787,387,1286,398
SIU Edwardsville,687,1686,142,528,780,353,1073,436
Southern Illinois,808,1866,175,469,674,348,1114,398
Southern Methodist NCAA,914,1934,286,485,696,416,1335,377
Southern Mississippi,690,1728,200,372,526,258,1058,405
Southern Utah,815,2004,291,638,861,383,1218,452
Southern,825,1887,163,547,786,405,1247,453
St. Bonaventure,825,1864,201,608,791,369,1153,401
St. Francis (NY),650,1871,221,400,616,390,1078,379
St. John's (NY),866,2000,278,524,722,337,1137,433
Stanford,772,1753,157,461,676,316,1067,399
Stephen F. Austin,783,1754,193,530,735,378,1147,578
Stetson,886,2007,261,438,665,274,1128,362
Stony Brook,759,1878,250,445,617,358,1108,325
Syracuse,894,1950,300,506,685,363,1183,418
Temple,808,1916,287,366,506,320,1096,365
Tennessee-Martin,966,2066,287,474,689,453,1312,528
Tennessee State,744,1680,170,476,688,366,1117,452
Tennessee Tech,785,1860,241,506,715,356,1144,434
Tennessee,803,1903,189,588,807,388,1206,399
Texas A&M-Corpus Christi,974,2071,195,572,792,368,1227,485
Texas A&M,804,1754,189,379,584,401,1193,439
Texas-Arlington,999,2168,310,510,749,430,1384,472
Texas Christian,1064,2284,280,506,738,453,1404,504
Texas-El Paso,812,1731,180,413,624,235,1101,427
Texas-Rio Grande Valley,869,2050,276,491,685,382,1180,507
Texas-San Antonio,769,1959,172,468,703,425,1293,418
Texas Southern NCAA,866,2015,205,656,893,401,1228,407
Texas State,865,1933,217,460,696,345,1211,423
Texas Tech,835,1776,212,464,633,299,1050,354
Texas,810,1846,181,414,637,323,1133,443
Toledo,944,1966,262,525,755,339,1274,447
Towson,850,1900,155,592,868,445,1305,426
Troy NCAA,982,2153,311,614,847,409,1362,462
Tulane,751,1856,221,456,636,349,1062,420
Tulsa,701,1673,234,522,716,311,1112,473
UCLA NCAA,1210,2320,354,459,622,343,1386,404
Utah State,828,1779,245,436,624,256,1144,391
Utah Valley,886,2028,300,543,767,306,1350,522
Utah,936,1856,215,424,622,321,1217,431
Valparaiso,848,1912,217,552,712,351,1251,425
Vanderbilt NCAA,815,1896,346,513,660,286,1208,430
Vermont NCAA,943,1909,229,456,651,326,1192,392
Villanova NCAA,965,1948,311,538,681,316,1208,402
Virginia Commonwealth NCAA,945,2050,199,527,747,386,1275,435
VMI,732,1778,248,345,500,306,992,395
Virginia Tech NCAA,887,1813,290,546,741,240,1068,398
Virginia NCAA,839,1823,232,336,474,297,1119,324
Wagner,727,1700,183,410,593,434,1184,422
Wake Forest NCAA,923,1955,268,619,795,349,1199,389
Washington State,801,1739,209,368,487,199,993,389
Washington,874,1949,226,394,602,401,1161,425
Weber State,908,1866,312,584,788,221,1103,380
West Virginia NCAA,1059,2333,275,621,907,534,1387,455
Western Carolina,719,1843,182,345,528,397,1158,516
Western Illinois,711,1633,254,336,475,184,968,358
Western Kentucky,777,1767,214,441,657,302,1119,388
Western Michigan,863,1915,209,482,685,370,1155,399
Wichita State NCAA,992,2114,310,622,848,433,1472,406
William & Mary,887,1808,283,477,689,271,1123,388
Winthrop NCAA,891,1957,313,520,725,316,1224,430
Wisconsin NCAA,971,2135,283,453,703,460,1377,411
Wofford,900,1926,311,482,619,323,1105,405
Wright State,817,1819,285,546,715,326,1136,474
Wyoming,986,2265,369,620,849,322,1446,502
Xavier NCAA,981,2148,267,607,881,451,1417,478
Yale,769,1644,208,405,553,301,1056,377
Youngstown State,981,2230,250,404,601,355,1246,406
