School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
Abilene Christian,721,1555,207,360,543,222,904,412
Air Force,817,1876,264,513,715,304,1149,390
Akron,949,2035,366,508,744,357,1246,422
Alabama A&M,628,1549,125,411,614,299,914,384
Alabama-Birmingham,835,1809,203,496,674,321,1188,444
Alabama State,719,1834,200,404,634,427,1188,488
Alabama,809,1909,225,487,746,418,1327,474
Albany (NY),907,1941,192,490,647,379,1257,416
Alcorn State,800,1866,222,399,612,387,1243,452
American,692,1542,168,293,474,204,868,396
Appalachian State,749,1781,251,459,674,339,1126,414
Arizona State,888,2047,328,489,653,304,1075,344
Arizona NCAA,977,2048,244,635,830,380,1358,413
Little Rock,775,1749,207,431,582,305,1058,412
Arkansas-Pine Bluff,695,1725,208,379,581,335,1013,578
Arkansas State,826,1792,220,474,743,352,1169,414
Arkansas NCAA,997,2165,233,628,825,401,1298,428
Army,842,1906,291,349,533,317,1213,483
Auburn,861,1969,289,562,836,369,1171,434
Austin Peay,806,1718,227,492,695,245,913,373
Ball State,929,2014,319,500,696,335,1281,496
Baylor NCAA,921,1956,230,478,661,451,1329,469
Belmont,798,1703,306,400,521,254,1057,380
Bethune-Cookman,840,2022,228,367,554,397,1135,413
Binghamton,768,1757,248,391,555,251,1055,397
Boise State,811,1802,253,529,743,309,1139,409
Boston College,843,1880,256,378,556,292,1119,467
Boston University,817,1844,274,431,619,311,1141,444
Bowling Green State,832,1957,220,471,706,353,1153,408
Bradley,731,1722,217,484,719,297,1156,499
Brigham Young,937,2057,230,637,869,363,1418,469
Brown,735,1660,244,561,739,275,933,430
Bryant,839,1917,237,458,636,345,1148,428
Bucknell NCAA,942,1961,286,497,730,302,1203,466
Buffalo,877,1945,240,492,711,385,1295,453
Butler NCAA,906,1898,261,522,704,287,1091,346
Cal Poly,726,1800,258,372,534,300,1003,333
Cal State Bakersfield,895,2035,229,483,755,433,1349,519
Cal State Fullerton,821,1850,196,513,747,341,1196,465
Cal State Northridge,806,1747,145,584,801,295,1052,399
UC-Davis NCAA,873,2008,221,558,828,364,1280,513
UC-Irvine,915,2062,265,419,611,402,1429,481
UC-Riverside,689,1671,173,344,495,264,1011,387
