School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
Air Force NCAA,683,1413,276,348,467,204,763,335
Akron,826,1825,264,491,682,373,1116,412
Alabama A&M,669,1606,159,420,654,355,1018,424
Alabama-Birmingham NCAA,822,1816,222,440,680,337,971,395
Alabama State,689,1686,174,433,690,395,1069,476
Alabama NCAA,758,1662,174,488,689,389,1135,421
Albany (NY) NCAA,743,1660,223,485,682,349,1077,451
Alcorn State,652,1544,170,374,570,317,991,512
American,655,1573,165,375,543,366,1007,452
Appalachian State,731,1703,249,389,550,371,1032,455
Arizona State,655,1520,158,410,568,310,927,422
Arizona NCAA,909,2037,142,473,667,453,1140,437
Little Rock,637,1541,124,463,678,386,1003,448
Arkansas-Pine Bluff,666,1634,146,351,516,298,1036,472
Arkansas State,789,1690,172,439,667,330,1045,461
Arkansas NCAA,841,1837,179,498,720,390,1118,428
Army,529,1321,148,285,415,224,807,425
Auburn,654,1509,194,334,529,347,924,446
Austin Peay,765,1680,170,528,707,326,1018,447
Ball State,632,1483,147,368,556,327,926,397
Baylor,367,923,134,206,298,170,542,259
Belmont NCAA,897,1819,261,444,643,364,1099,503
Bethune-Cookman,706,1675,172,378,614,337,998,458
Binghamton,616,1612,179,401,541,344,977,345
Birmingham-Southern,650,1408,212,410,601,,928,349
Boise State,744,1684,230,377,530,292,1037,445
Boston College NCAA,949,1958,211,562,833,466,1277,472
Boston University,593,1448,150,314,474,312,959,376
Bowling Green State,666,1531,214,432,600,252,848,496
Bradley NCAA,848,1933,185,478,666,419,1241,497
Brigham Young,782,1692,202,443,620,325,1024,425
Brown,545,1317,133,390,591,263,867,434
Bucknell NCAA,726,1560,196,466,670,308,1032,474
Buffalo,766,1748,208,577,768,405,1086,522
Butler,784,1726,300,386,548,256,855,292
Cal Poly,659,1575,222,367,529,349,1013,437
Cal State Fullerton,840,1808,221,392,588,399,1124,437
Cal State Northridge,668,1540,156,494,673,313,926,491
UC-Davis,636,1484,172,399,566,257,792,391
UC-Irvine,726,1529,249,367,495,289,971,400
UC-Riverside,685,1725,163,352,511,374,1025,499
UC-Santa Barbara,678,1536,166,408,576,302,966,388
University of California NCAA,717,1598,169,525,716,301,1002,384
Campbell,807,1837,276,429,671,441,1098,509
Canisius,749,1653,192,360,497,312,951,394
Centenary (LA),641,1462,167,347,490,,871,479
Central Connecticut State,721,1624,230,430,596,380,995,372
