School,SOS,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TRB,opp_TOV
Georgia,7.95,681,1625,191,462,667,322,1115,371
Gonzaga NCAA,3.25,771,1867,198,346,514,332,1011,428
Grambling,-9.39,746,1653,157,352,516,361,1082,325
Green Bay,1.04,708,1657,180,386,551,330,1024,392
Hampton,-7.93,739,1869,223,504,699,438,1272,498
Hartford,-6.19,711,1581,197,465,678,314,1115,477
Harvard NCAA,-1.56,637,1555,143,307,467,273,877,388
Hawaii,-0.52,838,1954,217,494,696,405,1119,409
High Point,-4.13,747,1716,219,463,685,370,1094,373
Hofstra,-1.10,755,1651,187,454,654,319,1078,493
Holy Cross,-4.23,697,1657,177,367,511,321,994,338
Houston Baptist,-6.10,813,1729,192,526,772,367,1167,515
Houston,0.21,793,1809,197,364,537,371,1024,356
Howard,-4.16,703,1611,175,593,853,348,1069,442
Idaho State,-2.77,739,1548,216,498,683,300,1028,456
Idaho,-0.43,807,1879,223,403,594,379,1059,357
Illinois-Chicago,-1.30,710,1565,165,448,678,300,1012,351
Illinois State,2.64,817,1971,254,422,610,342,1147,392
Illinois,7.99,712,1659,208,423,601,298,1002,425
Indiana State,3.08,758,1763,204,421,571,290,1098,408
Indiana NCAA,7.80,847,1988,219,479,682,391,1094,482
Iona NCAA,-1.82,885,1962,237,393,565,379,1126,530
Iowa State NCAA,7.32,864,1977,193,365,523,316,1092,395
Iowa,6.53,910,1993,244,473,648,381,1193,473
Fort Wayne,-2.05,769,1647,220,484,685,279,981,414
IUPUI,-1.75,835,1765,176,483,665,356,1082,430
Jackson State,-7.00,724,1624,169,425,670,369,1086,424
Jacksonville State,-5.23,701,1624,139,565,800,337,1105,494
Jacksonville,0.10,719,1538,171,564,832,337,1032,424
James Madison,-2.11,765,1751,195,510,742,399,1181,434
Kansas State NCAA,7.53,716,1750,178,504,731,385,1070,526
Kansas NCAA,9.93,826,2176,236,519,721,419,1256,533
Kennesaw State,-0.49,856,1713,222,396,580,353,1120,399
Kent State,-0.95,789,1856,211,389,569,409,1153,525
Kentucky NCAA,7.93,889,2379,219,426,614,487,1286,464
La Salle,1.83,801,1919,164,483,664,415,1233,535
Lafayette,-4.01,795,1697,210,460,643,329,1086,378
Lamar NCAA,-3.77,838,1989,177,443,659,385,1202,495
Lehigh NCAA,-5.14,808,1952,206,466,661,369,1202,504
Liberty,-4.81,838,1834,223,384,558,336,1058,375
Lipscomb,-1.23,843,1873,225,392,583,396,1207,473
Long Beach State NCAA,0.87,804,1909,207,360,519,373,1109,513
Long Island University NCAA,-5.10,1039,2313,209,354,510,470,1233,469
Longwood,-5.99,962,1981,302,391,600,344,1226,353
Louisiana,-2.28,741,1842,172,501,732,367,1135,454
Louisiana-Monroe,-0.95,714,1563,232,418,595,291,1019,319
Louisiana State,5.51,745,1775,174,455,660,357,1178,483
Louisiana Tech,-1.19,828,1864,171,528,780,393,1261,511
Louisville NCAA,9.02,857,2233,218,508,766,509,1441,621
Loyola (IL),-1.77,681,1526,182,343,496,288,916,361
Loyola Marymount,1.17,810,1953,209,472,654,414,1220,491
Loyola (MD) NCAA,-2.72,739,1723,168,474,688,363,1062,473
Maine,-6.54,693,1674,172,424,598,377,1087,379
Manhattan,-4.13,741,1810,208,540,767,384,1115,536
Marist,-3.29,883,1914,204,363,510,364,1132,431
Marquette NCAA,7.50,831,2065,213,433,632,468,1275,577
Marshall,4.94,859,1911,171,494,763,363,1143,429
Maryland-Baltimore County,-6.02,785,1673,205,537,769,339,1130,392
Maryland-Eastern Shore,-4.72,722,1645,187,478,698,337,1082,413
Maryland,5.98,808,1888,195,452,624,369,1112,348
Massachusetts,2.97,920,2253,242,598,863,501,1450,615
McNeese State,-3.76,762,1777,181,480,684,345,1150,452
Memphis NCAA,5.26,751,1945,188,518,745,424,1152,492
Mercer,-1.44,805,2085,232,546,810,474,1247,514
Miami (FL),6.17,778,1847,209,416,609,381,1152,436
Miami (OH),1.93,688,1526,157,394,552,297,955,344
Michigan State NCAA,9.82,751,1981,214,479,681,364,1106,465
Michigan NCAA,8.98,756,1768,203,375,526,329,1076,424
Middle Tennessee,-0.13,722,1820,180,504,754,410,1108,510
Milwaukee,0.06,761,1815,151,453,632,344,1150,460
Minnesota,7.89,842,2033,246,532,746,425,1184,492
Mississippi State,4.86,855,1969,211,315,466,334,1112,352
Mississippi Valley State NCAA,-7.65,801,1851,233,510,780,386,1282,564
Mississippi,5.80,788,1947,249,425,651,410,1205,456
Missouri-Kansas City,-1.75,784,1639,161,475,664,325,1059,390
Missouri State,3.92,685,1684,212,433,639,309,1078,379
Missouri NCAA,5.68,869,1956,222,361,534,380,1109,501
Monmouth,-3.18,833,1737,254,500,738,392,1232,553
Montana State,-4.62,712,1562,209,455,611,286,1011,416
Montana NCAA,-3.39,684,1688,165,452,646,346,1071,478
Morehead State,-3.83,675,1521,223,445,638,299,938,526
Morgan State,-5.54,699,1638,182,437,642,387,1043,412
Mount St. Mary's,-4.90,683,1544,166,414,597,325,948,390
Murray State NCAA,-2.60,730,1749,140,401,607,382,1053,546
Navy,-4.74,658,1393,193,411,568,248,904,407
Nebraska,8.25,696,1533,218,359,509,262,932,374
Nevada-Las Vegas NCAA,4.37,817,1991,217,456,678,383,1218,539
Nevada,-0.37,827,2004,230,393,560,377,1157,443
New Hampshire,-7.66,633,1514,120,435,612,289,1032,379
New Mexico State NCAA,0.08,896,2085,213,454,673,382,1125,524
New Mexico NCAA,3.34,731,1903,213,401,594,351,1093,499
Niagara,-2.86,777,1700,249,645,862,368,1205,530
Nicholls State,-3.94,811,1703,220,496,726,379,1121,395
NJIT,-8.27,727,1743,204,517,746,352,1158,462
Norfolk State NCAA,-5.39,842,2044,210,522,778,431,1241,504
North Carolina-Asheville NCAA,-2.72,865,1949,234,462,695,415,1133,539
North Carolina A&T,-5.89,795,1917,267,469,710,459,1285,511
North Carolina Central,-6.98,695,1680,165,465,662,368,1044,537
North Carolina-Greensboro,-1.96,824,1784,234,575,800,363,1176,515
North Carolina State NCAA,6.80,889,2140,236,487,687,414,1232,461
North Carolina-Wilmington,0.18,782,1787,181,444,665,375,1125,345
North Carolina NCAA,7.07,957,2431,275,360,529,425,1313,507
North Dakota State,-2.50,726,1672,181,486,686,305,978,382
North Dakota,-6.33,749,1772,206,437,630,330,1128,451
North Florida,-0.05,832,1842,176,426,651,385,1106,435
North Texas,-2.56,739,1819,184,418,616,348,1117,470
Northeastern,-0.40,710,1608,163,447,647,345,1009,445
Northern Arizona,-3.53,776,1573,202,314,487,293,982,406
Northern Colorado,-2.19,698,1538,261,455,610,257,820,340
Northern Illinois,-1.79,680,1547,236,500,693,287,997,366
Northern Iowa,4.74,772,1759,213,349,498,273,1102,415
Northwestern State,-4.15,809,1891,168,453,733,473,1292,532
Northwestern,7.84,825,1826,232,370,532,401,1182,421
Notre Dame NCAA,6.47,791,1912,168,345,489,381,1167,367
Oakland,-0.54,1031,2114,288,481,657,355,1222,474
Ohio State NCAA,9.07,840,2062,234,419,599,327,1159,577
Ohio NCAA,0.17,775,1880,198,563,787,416,1297,644
Oklahoma State,8.95,800,1873,183,464,673,400,1239,420
Oklahoma,6.67,747,1738,228,401,559,334,1043,424
Old Dominion,0.36,756,1882,219,503,744,376,1227,544
Oral Roberts,-1.50,821,1752,189,407,568,290,963,463
Oregon State,3.38,932,2047,237,516,772,422,1246,598
Oregon,4.72,860,1962,203,418,617,376,1105,428
Pacific,-2.61,697,1603,237,391,548,348,1086,394
Penn State,7.75,667,1538,257,515,696,266,1024,438
Pennsylvania,-0.10,707,1657,192,500,700,341,1099,464
Pepperdine,-0.23,654,1529,182,421,612,287,964,295
Pittsburgh,5.89,915,2077,229,495,694,393,1158,431
Portland State,-4.07,872,1915,201,400,544,339,1016,365
Portland,3.82,801,1732,203,552,790,338,1047,361
Prairie View,-10.29,722,1742,177,480,715,329,1192,518
Presbyterian,-4.65,716,1537,147,339,482,275,856,308
Princeton,-1.00,731,1723,147,390,595,329,1051,385
Providence,4.56,808,1908,212,388,567,426,1152,352
Purdue NCAA,8.05,826,1870,216,442,632,352,1192,440
Quinnipiac,-5.80,723,1770,203,501,735,330,1057,401
Radford,-3.34,726,1622,166,577,811,350,1173,484
Rhode Island,3.10,839,1766,215,446,631,322,1083,409
Rice,1.10,804,1965,229,485,703,353,1222,472
Richmond,2.90,771,1752,143,464,623,387,1148,414
Rider,-2.40,838,1923,269,442,643,416,1168,410
Robert Morris,-4.30,764,1778,234,586,848,355,1133,574
Rutgers,5.76,689,1640,202,526,760,379,1088,502
Sacramento State,-5.71,670,1492,176,420,599,270,891,333
Sacred Heart,-5.56,816,1841,236,451,645,371,1076,445
Saint Francis (PA),-4.42,726,1567,189,376,529,356,988,395
Saint Joseph's,4.25,835,2090,232,408,575,423,1188,353
Saint Louis NCAA,4.06,691,1668,134,444,618,309,1059,500
Saint Mary's (CA) NCAA,0.78,771,1802,176,350,523,298,973,393
Saint Peter's,-2.44,710,1599,196,522,728,369,1114,463
Sam Houston State,-3.20,674,1650,182,411,626,326,1069,459
Samford,-2.96,728,1689,250,386,554,383,1081,365
San Diego State NCAA,3.79,778,1921,234,376,545,320,1103,435
San Diego,0.87,770,1702,199,440,618,329,1073,437
San Francisco,-0.17,857,1852,248,451,583,289,1098,533
San Jose State,-1.19,806,1789,228,421,594,364,1164,380
Santa Clara,0.96,742,1602,172,589,800,320,1100,370
Savannah State,-5.92,677,1589,118,477,716,297,1037,532
Seattle,-2.76,674,1607,212,465,683,302,1012,410
Seton Hall,5.70,757,1836,193,463,646,357,1159,493
Siena,-2.94,743,1833,243,332,460,364,1074,366
South Alabama,-1.98,692,1670,201,362,516,347,933,365
South Carolina State,-6.11,879,1862,222,411,656,404,1187,404
South Carolina Upstate,-1.60,807,1788,197,510,744,352,1112,568
South Carolina,6.27,690,1546,196,439,624,353,1032,440
South Dakota State NCAA,-1.87,871,1942,199,388,564,327,1127,455
South Dakota,-2.88,776,1693,201,348,472,295,1010,335
South Florida NCAA,7.29,721,1866,179,416,589,373,1093,397
Southeast Missouri State,-5.33,746,1701,187,491,678,323,1009,337
Southeastern Louisiana,-6.44,639,1556,126,391,602,315,1004,405
Southern California,6.58,686,1579,160,378,524,338,1160,480
