,School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
1,Akron 2013,852,1874,229,436,678,425,1145,458
6,Albany (NY) 2013,761,1748,213,516,700,345,1022,468
11,Arizona 2013,880,1933,269,541,722,393,1172,458
21,Belmont 2013,906,1844,279,442,604,306,966,440
24,Boise State 2013,824,1790,249,446,597,323,988,385
32,Bucknell 2013,818,1807,157,484,652,308,1142,321
34,Butler 2013,869,1931,239,518,744,419,1213,474
43,University of California 2013,833,1875,134,418,585,361,1134,417
54,Cincinnati 2013,791,1963,230,450,696,488,1219,432
61,Colorado State 2013,881,1961,180,611,855,493,1297,389
62,Colorado 2013,775,1788,178,502,732,378,1128,439
67,Creighton 2013,942,1882,307,489,644,300,1172,443
69,Davidson 2013,837,1813,256,560,704,306,1048,371
78,Duke 2013,960,2033,270,588,796,337,1119,383
92,Florida Gulf Coast 2013,976,2112,247,497,736,412,1226,545
95,Florida 2013,960,2010,300,422,623,381,1179,401
102,Georgetown 2013,737,1627,189,407,599,297,959,407
107,Gonzaga 2013,961,1934,226,548,777,409,1195,393
112,Harvard 2013,677,1425,191,504,697,219,796,399
124,Illinois 2013,858,2084,280,469,646,427,1098,411
126,Indiana 2013,951,1971,257,672,904,439,1270,469
127,Iona 2013,956,2106,283,538,689,395,1094,421
128,Iowa State 2013,962,2111,346,509,696,422,1238,460
135,James Madison 2013,818,1941,211,499,714,365,1064,401
136,Kansas State 2013,872,2002,238,432,631,470,1145,403
137,Kansas 2013,985,2049,216,596,809,399,1354,517
141,La Salle 2013,871,1931,262,446,605,332,958,390
145,Liberty 2013,838,1954,251,562,770,367,1164,478
148,Long Island University 2013,915,1909,246,601,870,404,1083,486
154,Louisville 2013,1048,2300,230,652,920,531,1385,495
161,Marquette 2013,842,1844,147,551,755,418,1116,471
168,Memphis 2013,976,2071,220,509,771,438,1243,523
170,Miami (FL) 2013,895,1968,254,465,680,357,1179,377
172,Michigan State 2013,882,1921,177,507,710,421,1241,489
173,Michigan 2013,1093,2260,296,450,642,416,1246,368
174,Middle Tennessee 2013,848,1835,181,528,759,407,1147,464
176,Minnesota 2013,815,1838,184,523,764,501,1186,467
179,Mississippi 2013,977,2230,238,587,866,466,1251,395
182,Missouri 2013,924,2015,215,525,706,454,1266,442
185,Montana 2013,760,1635,219,499,651,248,905,391
193,Nevada-Las Vegas 2013,872,2002,227,525,747,418,1281,487
196,New Mexico State 2013,832,1828,137,554,845,429,1235,506
197,New Mexico 2013,768,1815,221,598,829,335,1123,402
204,North Carolina A&T 2013,776,1927,215,532,809,387,1166,564
207,North Carolina State 2013,985,1987,184,554,813,396,1186,433
209,North Carolina 2013,1023,2321,272,442,655,478,1254,433
220,Northwestern State 2013,919,2007,189,532,775,435,1133,448
222,Notre Dame 2013,892,1929,228,438,618,387,1146,393
224,Ohio State 2013,928,2057,227,516,729,378,1219,377
226,Oklahoma State 2013,814,1854,183,560,751,354,1110,411
227,Oklahoma 2013,803,1847,159,495,654,377,1066,376
231,Oregon 2013,944,2110,192,570,809,451,1285,555
232,Pacific 2013,824,1839,225,471,684,333,1037,390
236,Pittsburgh 2013,837,1775,163,445,666,425,1067,364
256,Saint Louis 2013,808,1812,210,562,798,306,1032,383
257,Saint Mary's (CA) 2013,910,1939,273,517,713,422,1199,416
261,San Diego State 2013,839,1916,202,476,697,376,1144,410
274,South Dakota State 2013,910,1938,270,478,627,331,1125,365
285,Southern 2013,761,1757,226,475,689,288,1035,359
293,Syracuse 2013,1007,2293,233,569,843,560,1380,495
294,Temple 2013,851,1986,243,511,707,381,1057,366
315,UCLA 2013,961,2131,171,511,706,387,1165,391
319,Valparaiso 2013,823,1699,253,521,713,303,1008,486
322,Villanova 2013,732,1760,204,639,889,383,1116,533
323,Virginia Commonwealth 2013,1010,2243,281,469,669,479,1155,407
335,Western Kentucky 2013,837,1959,226,509,755,441,1204,537
337,Wichita State 2013,954,2166,259,553,791,512,1355,492
340,Wisconsin 2013,823,1960,259,369,582,401,1202,334
