School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
Abilene Christian,695,1684,232,354,487,274,897,399
Air Force,742,1565,232,321,487,265,930,366
Akron,824,1982,328,406,617,420,1249,422
Alabama A&M,608,1533,166,415,643,367,998,413
Alabama-Birmingham NCAA,873,2042,202,528,715,434,1322,482
Alabama State,761,1738,172,396,609,389,1151,397
Alabama,760,1724,221,539,752,325,1122,407
Albany (NY) NCAA,729,1666,205,493,650,334,1111,381
Alcorn State,724,1864,155,463,704,376,1038,367
American,683,1479,213,359,509,188,827,370
Appalachian State,637,1602,186,381,537,329,1010,397
Arizona State,809,1818,231,511,766,365,1184,474
Arizona NCAA,1009,2068,193,700,974,411,1399,419
Little Rock,741,1779,219,445,632,329,1063,326
Arkansas-Pine Bluff,657,1639,204,397,584,326,927,489
Arkansas State,664,1631,169,372,530,318,1038,390
Arkansas NCAA,978,2196,238,593,819,470,1290,430
Army,779,1768,227,379,557,325,1033,396
Auburn,760,1880,252,606,910,356,1104,452
Austin Peay,663,1667,155,456,685,373,1043,428
Ball State,669,1580,234,389,561,303,980,424
Baylor NCAA,813,1874,236,487,723,497,1333,434
Belmont NCAA,858,1803,329,405,585,307,1093,451
Bethune-Cookman,627,1567,163,482,672,372,1056,449
Binghamton,633,1598,171,408,618,288,992,433
Boise State NCAA,831,1823,297,431,591,298,1119,348
Boston College,743,1668,207,412,584,263,983,389
Boston University,668,1498,232,469,674,263,953,369
Bowling Green State,778,1806,218,420,588,355,1156,386
Bradley,639,1700,179,425,641,377,1098,418
Brigham Young NCAA,976,2090,300,679,886,421,1349,417
Brown,686,1623,175,501,727,324,1129,460
Bryant,709,1683,226,414,552,306,1029,366
Bucknell,800,1828,233,506,726,340,1145,377
Buffalo NCAA,837,1922,199,589,819,420,1260,378
Butler NCAA,814,1882,192,526,767,408,1239,376
Cal Poly,620,1589,166,346,506,342,1002,255
Cal State Bakersfield,715,1703,186,484,669,368,1143,409
Cal State Fullerton,698,1695,167,428,623,323,1088,391
Cal State Northridge,740,1742,110,558,729,325,1133,435
UC-Davis,775,1583,274,439,598,255,995,427
UC-Irvine NCAA,854,1851,217,370,541,329,1198,396
UC-Riverside,707,1691,207,404,592,337,1080,413
UC-Santa Barbara,806,1836,225,421,572,352,1134,360
University of California,821,1868,185,368,567,299,1170,365
Campbell,705,1654,262,373,597,305,988,403
Canisius,762,1864,215,429,596,401,1157,393
Central Arkansas,646,1524,196,406,599,273,903,529
Central Connecticut State,674,1675,146,340,479,332,1046,425
Central Florida,704,1621,202,371,577,313,997,390
Central Michigan,848,1816,322,486,670,327,1080,325
Charleston Southern,777,1846,288,435,633,403,1171,354
Charlotte,858,1853,201,445,685,382,1166,435
Chattanooga,793,1754,217,522,762,371,1118,418
Chicago State,659,1747,194,343,514,391,1050,471
Cincinnati NCAA,761,1705,167,424,633,383,1178,432
Citadel,647,1436,206,419,546,271,874,392
Clemson,689,1685,171,395,579,369,1122,365
Cleveland State,794,1760,238,382,557,353,1072,408
Coastal Carolina NCAA,836,1899,228,538,780,447,1338,399
Colgate,804,1661,253,316,453,229,994,379
College of Charleston,686,1708,197,365,553,314,1064,397
Colorado State,837,1901,245,535,794,411,1287,361
Colorado,812,1861,179,542,760,400,1269,450
Columbia,637,1453,244,298,416,287,916,328
Connecticut,800,1824,226,417,590,331,1178,404
Coppin State,758,1906,295,408,590,319,994,418
Cornell,615,1558,181,457,610,248,981,359
Creighton,746,1776,262,467,644,348,1139,391
Dartmouth,657,1510,173,348,539,298,949,373
Davidson NCAA,898,1924,343,390,553,335,1144,303
Dayton NCAA,810,1755,239,580,846,255,1121,415
Delaware State,888,2121,282,475,672,424,1375,484
Delaware,675,1646,199,430,627,314,1061,367
Denver,657,1369,224,327,427,148,717,338
DePaul,757,1739,248,458,635,292,969,428
Detroit Mercy,840,1889,231,423,619,343,1109,436
Drake,637,1396,200,370,482,192,810,409
Drexel,614,1569,176,383,514,287,948,313
Duke NCAA,1099,2191,283,610,873,445,1436,421
Duquesne,803,1788,245,362,577,353,1124,381
East Carolina,750,1777,233,383,563,333,1048,379
East Tennessee State,722,1712,280,477,661,331,1052,381
Eastern Illinois,746,1696,241,364,558,255,1003,396
Eastern Kentucky,818,1763,299,438,562,225,876,374
Eastern Michigan,806,1963,230,587,817,403,1271,411
Eastern Washington NCAA,977,2045,344,522,719,351,1183,376
Elon,807,1906,240,475,695,355,1151,440
Evansville,899,1854,153,601,803,284,1168,455
Fairfield,614,1578,198,419,585,286,979,396
Fairleigh Dickinson,681,1658,208,386,557,300,869,372
Florida A&M,560,1500,119,368,567,281,914,415
Florida Atlantic,651,1562,212,301,447,265,904,367
Florida Gulf Coast,814,1883,197,399,603,404,1257,386
Florida International,749,1694,151,411,647,313,1129,493
Florida State,763,1669,147,524,783,328,1109,478
Florida,766,1763,218,351,553,348,1095,409
Fordham,711,1713,187,406,559,373,1117,452
Fresno State,725,1692,179,457,662,286,1010,358
Furman,701,1636,216,480,717,316,1068,438
Gardner-Webb,909,2028,288,513,767,387,1226,430
George Mason,708,1663,130,450,676,391,1113,445
George Washington,827,1887,192,508,754,422,1278,420
Georgetown NCAA,799,1753,201,541,769,367,1152,415
Georgia Southern,733,1765,234,412,616,391,1160,365
Georgia State NCAA,902,1878,174,521,719,322,1116,366
Georgia Tech,734,1800,131,363,560,444,1187,394
Georgia NCAA,747,1730,184,572,826,360,1260,420
Gonzaga NCAA,1084,2083,264,557,806,391,1441,397
Grambling,512,1417,105,380,584,294,928,486
Grand Canyon,759,1683,198,482,674,281,1016,358
Green Bay,829,1808,141,453,705,369,1178,391
Hampton NCAA,796,1959,194,560,859,416,1292,494
Hartford,645,1596,235,333,477,264,936,364
