School,SOS,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TRB,opp_TOV
Air Force,3.13,665,1474,225,402,590,276,966,365
Akron,-1.50,787,1887,177,542,764,401,1188,496
Alabama A&M,-13.71,666,1570,140,409,653,408,1141,511
Alabama-Birmingham,2.90,713,1752,156,471,658,325,1082,476
Alabama State,-12.02,692,1591,150,509,762,321,1046,486
Alabama,6.62,736,1734,181,420,633,384,1102,446
Albany (NY),-5.53,778,1788,222,434,628,355,1065,392
Alcorn State,-9.00,888,1912,223,543,855,467,1329,488
American,-6.89,732,1709,169,450,664,294,997,297
Appalachian State,-2.76,908,2164,288,463,704,382,1134,400
Arizona State,5.83,678,1687,181,401,587,345,1056,426
Arizona,8.10,787,1800,180,479,689,350,1067,399
Little Rock,-2.23,751,1703,229,463,663,338,1061,359
Arkansas-Pine Bluff NCAA,-7.68,698,1720,170,621,938,321,1086,473
Arkansas State,-4.39,738,1804,161,428,608,354,1072,377
Arkansas,5.09,825,1910,233,483,668,396,1187,469
Army,-7.96,560,1358,202,446,636,270,955,495
Auburn,4.68,830,1818,223,490,687,342,1137,484
Austin Peay,-1.68,828,1864,226,435,620,391,1129,432
Ball State,-1.48,665,1660,182,359,522,343,1010,355
Baylor NCAA,8.03,816,2136,249,481,708,470,1178,435
Belmont,-3.41,753,1822,161,457,677,403,1096,449
Bethune-Cookman,-8.40,668,1575,191,469,721,332,1060,465
Binghamton,-4.31,740,1725,219,383,572,378,1068,354
Boise State,0.68,864,1898,205,398,587,350,1112,470
Boston College,7.21,766,1758,150,366,545,336,977,363
Boston University,-3.23,806,1960,222,561,832,403,1325,511
Bowling Green State,-0.94,689,1591,224,374,550,318,963,392
Bradley,4.11,725,1764,223,416,538,367,1082,378
Brigham Young NCAA,3.00,836,2049,220,500,733,372,1181,565
Brown,-3.82,856,1932,207,312,460,382,1157,313
Bucknell,-6.84,722,1675,208,455,633,319,1074,401
Buffalo,-2.27,745,1646,197,448,638,318,1024,456
Butler NCAA,5.08,805,1936,194,454,669,335,1142,529
Cal Poly,-2.31,746,1637,207,636,886,309,1052,383
Cal State Fullerton,-1.55,791,1850,195,486,714,368,1134,407
Cal State Northridge,-1.06,772,1824,240,628,875,420,1188,521
UC-Davis,-3.01,782,1682,196,502,759,312,1073,499
UC-Irvine,-3.75,752,1688,204,520,733,345,1124,428
UC-Riverside,-2.61,621,1494,220,397,603,272,930,348
UC-Santa Barbara NCAA,-1.09,671,1611,198,432,647,341,1051,458
University of California NCAA,8.26,866,1993,195,460,663,381,1123,447
Campbell,-4.96,644,1474,192,420,610,312,955,552
Canisius,-4.09,783,1857,210,384,586,400,1151,421
Centenary (LA),-5.08,799,1631,188,534,728,336,1119,472
Central Connecticut State,-9.68,732,1614,162,309,461,326,1024,431
Central Florida,2.19,750,1708,212,472,694,375,1088,457
Central Michigan,-3.58,600,1410,159,565,774,302,973,459
