,School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
0,Air Force,536,1114,219,312,479,117.0,588,320
1,Akron,761,1562,152,527,722,274.0,830,349
2,Alabama A&M,670,1680,207,415,587,367.0,995,505
3,Alabama-Birmingham,969,2179,219,483,708,460.0,1189,493
4,Alabama State,685,1602,179,311,479,353.0,1043,486
5,Alabama 2003,695,1653,183,429,602,389.0,1079,380
6,Albany (NY),673,1609,222,278,379,231.0,800,352
7,Alcorn State,823,1939,172,462,690,432.0,1197,609
8,American,695,1606,263,338,496,300.0,989,393
9,Appalachian State,844,1885,207,539,753,394.0,1137,475
10,Arizona State 2003,886,1838,131,561,832,434.0,1162,437
11,Arizona 2003,973,2111,228,551,777,479.0,1374,468
12,Little Rock,721,1581,204,479,694,322.0,1004,500
13,Arkansas-Pine Bluff,539,1518,133,315,492,279.0,867,533
14,Arkansas State,688,1549,241,455,612,312.0,888,370
15,Arkansas,611,1556,170,334,548,407.0,1063,467
16,Army,539,1290,164,240,352,211.0,808,463
17,Auburn 2003,879,1890,198,452,685,417.0,1200,541
18,Austin Peay 2003,758,1648,192,496,719,339.0,1084,476
19,Ball State,778,1814,161,482,664,395.0,1047,385
20,Baylor,661,1624,254,356,491,328.0,977,372
21,Belmont,747,1596,237,377,542,310.0,1000,491
22,Bethune-Cookman,693,1677,171,384,554,369.0,982,476
23,Binghamton,649,1544,207,292,432,316.0,970,407
24,Boise State,666,1626,149,416,596,321.0,957,412
25,Boston College,869,1849,185,539,780,421.0,1116,414
26,Boston University,728,1699,204,440,593,339.0,1100,414
27,Bowling Green State,629,1427,185,519,704,264.0,908,482
28,Bradley,756,1711,195,497,707,330.0,1027,425
29,Brigham Young 2003,765,1654,194,575,762,353.0,1134,436
30,Brown,715,1550,187,527,708,280.0,949,453
31,Bucknell,558,1374,171,400,632,289.0,931,464
32,Buffalo,652,1622,151,360,536,380.0,1014,406
33,Butler 2003,786,1655,274,383,533,261.0,923,353
34,Cal Poly,716,1678,190,424,592,350.0,1052,480
35,Cal State Fullerton,660,1502,138,367,566,358.0,911,384
36,Cal State Northridge,730,1621,179,434,617,382.0,1022,491
37,UC-Irvine,696,1557,171,466,635,331.0,996,418
38,UC-Riverside,543,1272,149,340,470,260.0,758,406
39,UC-Santa Barbara,696,1574,219,455,614,288.0,985,399
40,University of California 2003,847,1819,198,409,601,350.0,1095,433
41,Campbell,620,1416,172,344,492,214.0,748,428
42,Canisius,739,1684,166,323,458,322.0,1029,401
43,Centenary (LA),752,1592,123,518,682,,853,435
