School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
Abilene Christian,737,1664,241,499,666,306,1011,453
Air Force,679,1561,216,406,588,263,970,400
Akron,813,1855,239,467,750,412,1175,446
Alabama A&M,656,1601,182,442,674,300,1015,396
Alabama-Birmingham,800,1919,158,508,772,508,1381,403
Alabama State,792,1892,175,506,748,407,1158,377
Alabama,741,1669,183,505,737,320,1050,380
Albany (NY) NCAA,765,1733,163,546,728,343,1175,428
Alcorn State,693,1658,136,463,708,302,959,356
American NCAA,748,1527,207,378,535,232,986,464
Appalachian State,719,1730,151,445,697,392,1091,362
Arizona State NCAA,836,1852,268,546,787,281,1172,377
Arizona NCAA,996,2123,204,573,870,465,1449,387
Little Rock,784,1844,164,556,754,369,1174,422
Arkansas-Pine Bluff,659,1605,193,446,675,307,946,478
Arkansas State,797,1795,282,556,766,301,1104,390
Arkansas,928,2105,253,614,846,404,1222,392
Army,801,1804,236,406,580,352,1043,401
Auburn,723,1656,172,526,730,330,1022,363
Austin Peay,797,1632,158,535,804,298,999,471
Ball State,651,1601,196,469,679,383,1108,505
Baylor NCAA,959,2108,280,645,949,525,1456,440
Belmont,983,1973,323,587,794,315,1123,463
Bethune-Cookman,686,1713,218,442,615,367,1002,408
Binghamton,591,1554,182,476,687,312,970,428
Boise State,890,1952,264,547,730,374,1169,340
Boston College,716,1606,247,518,699,265,951,358
Boston University,894,1978,282,422,591,333,1161,411
Bowling Green State,743,1745,120,401,630,339,1131,469
Bradley,721,1720,154,440,628,356,1064,383
Brigham Young NCAA,1012,2186,177,730,1055,463,1432,395
Brown,735,1705,196,399,593,329,1154,375
Bryant,840,1788,201,470,669,307,1095,397
Bucknell,698,1627,196,385,516,287,1067,321
Buffalo,729,1631,187,487,684,355,1074,365
Butler,755,1758,183,432,654,340,1072,310
Cal Poly NCAA,754,1850,218,415,603,377,1096,303
Cal State Bakersfield,767,1752,221,460,669,379,1116,443
Cal State Fullerton,734,1726,191,433,658,325,1046,370
Cal State Northridge,888,1955,148,765,967,388,1246,447
UC-Davis,745,1701,245,439,631,255,887,373
UC-Irvine,909,1932,197,453,707,380,1350,444
UC-Riverside,740,1710,138,499,711,319,1051,408
UC-Santa Barbara,731,1574,210,465,657,306,1059,335
University of California,921,2014,199,492,717,353,1247,356
Campbell,771,1747,278,344,508,345,1049,427
Canisius,889,1939,267,547,736,385,1109,394
Central Arkansas,787,1761,191,400,666,323,982,421
Central Connecticut State,781,1794,169,386,538,316,1036,420
Central Florida,803,1831,215,432,704,441,1184,424
Central Michigan,766,1767,249,465,655,330,971,331
Charleston Southern,859,1876,302,503,689,366,1160,334
Charlotte,788,1771,186,453,699,380,1187,456
Chattanooga,832,1922,216,609,866,441,1235,442
Chicago State,787,1884,220,438,649,325,1003,389
Cincinnati NCAA,805,1893,196,519,733,457,1224,377
Citadel,764,1778,210,473,655,295,1092,412
Clemson,796,1879,190,505,679,399,1269,401
Cleveland State,837,1786,240,496,659,345,1115,414
Coastal Carolina NCAA,861,1969,212,524,758,434,1336,473
Colgate,785,1622,260,328,459,220,954,355
College of Charleston,709,1719,209,389,593,393,1213,409
Colorado State,770,1798,170,637,877,405,1202,293
Colorado NCAA,814,1871,181,648,903,401,1305,466
Columbia,742,1662,278,551,711,284,1111,412
Connecticut NCAA,971,2163,287,644,829,387,1389,457
Coppin State,722,1840,235,552,756,370,1075,380
Cornell,652,1589,192,299,450,292,880,337
Creighton NCAA,957,1927,356,486,654,293,1192,342
Dartmouth,673,1516,174,385,561,301,927,336
Davidson,896,1877,273,526,735,324,1087,378
Dayton NCAA,935,2018,243,558,819,414,1289,442
Delaware State,646,1529,156,399,579,277,942,341
Delaware NCAA,936,2108,252,658,925,385,1264,334
Denver,711,1535,253,369,520,226,808,307
DePaul,782,1848,195,531,776,406,1119,444
Detroit Mercy,778,1863,191,528,724,399,1174,408
Drake,720,1592,239,437,612,263,1009,370
Drexel,718,1707,154,474,669,315,1071,255
Duke NCAA,929,2020,316,571,783,410,1207,328
Duquesne,751,1699,218,480,717,323,1060,331
East Carolina,809,1833,289,570,799,354,1145,398
East Tennessee State,879,2045,275,656,877,368,1227,408
Eastern Illinois,703,1598,152,472,660,315,971,399
Eastern Kentucky NCAA,881,1810,315,600,798,243,884,359
Eastern Michigan,820,2004,187,594,876,409,1302,419
Eastern Washington,813,1791,251,485,700,329,1133,373
Elon,837,1789,256,462,639,290,1086,386
Evansville,775,1672,144,596,830,276,1057,422
Fairfield,697,1753,220,416,607,356,1134,469
Fairleigh Dickinson,742,1766,226,447,621,328,980,364
Florida A&M,809,2010,213,450,688,475,1253,466
Florida Atlantic,747,1760,210,416,647,396,1180,417
Florida Gulf Coast,914,1958,200,476,706,348,1282,460
Florida International,754,1681,152,468,698,358,1118,436
Florida State,873,1873,191,617,855,392,1256,512
Florida NCAA,945,2056,255,582,871,437,1385,418
Fordham,764,1942,220,476,649,448,1152,353
Fresno State,950,2170,291,646,884,359,1320,394
Furman,680,1540,164,431,633,269,940,407
Gardner-Webb,848,1895,175,554,807,401,1182,405
George Mason,756,1719,153,489,690,340,1074,421
George Washington NCAA,839,1812,187,550,845,394,1229,428
Georgetown,801,1743,180,562,780,336,1101,387
Georgia Southern,840,1927,242,484,731,372,1197,405
Georgia State,900,1923,252,589,757,276,1074,268
Georgia Tech,796,1847,173,435,636,373,1187,399
Georgia,767,1740,167,642,941,401,1259,446
Gonzaga NCAA,972,1963,255,562,793,343,1291,419
Grambling,647,1576,179,430,645,318,904,432
Grand Canyon,671,1549,206,615,831,284,1057,381
Green Bay,813,1715,150,528,751,346,1139,393
Hampton,747,1781,171,597,909,394,1173,457
Hartford,731,1593,265,435,619,230,909,458
Harvard NCAA,786,1691,184,587,811,335,1092,365
Hawaii,866,1829,177,570,789,395,1114,366
High Point,801,1698,187,414,558,299,985,373
Hofstra,750,1788,229,531,806,419,1195,406
Holy Cross,771,1795,217,518,708,338,1120,398
Houston Baptist,737,1733,157,460,674,350,1111,484
Houston,833,1833,212,467,700,359,1141,421
Howard,639,1690,175,567,835,385,1096,540
Idaho State,694,1547,166,500,701,347,1012,360
Idaho,833,1865,216,579,842,358,1161,388
Illinois-Chicago,714,1696,172,471,660,336,1054,388
Illinois State,767,1886,244,545,774,338,1181,420
Illinois,797,1941,210,444,606,375,1181,364
Incarnate Word,771,1581,203,471,688,301,1070,376
Indiana State,814,1809,219,569,787,304,1129,382
Indiana,780,1741,176,576,789,396,1241,482
Iona,947,1944,338,528,739,288,1094,349
Iowa State NCAA,1062,2239,301,564,814,375,1387,380
Iowa NCAA,919,1984,191,660,898,447,1332,371
Fort Wayne,937,1920,269,521,787,377,1182,440
IUPUI,782,1784,140,422,569,261,995,354
Jackson State,711,1707,121,498,688,367,1092,465
Jacksonville State,685,1633,175,469,695,336,950,351
Jacksonville,756,1729,188,531,749,362,1027,409
James Madison,647,1582,151,514,750,314,1045,379
Kansas State NCAA,798,1840,198,486,741,406,1180,404
Kansas NCAA,955,1937,189,665,935,416,1336,463
Kennesaw State,708,1676,192,408,628,346,1019,494
Kent State,766,1787,232,464,660,341,1074,390
Kentucky NCAA,1004,2213,203,781,1146,562,1607,469
La Salle,720,1743,177,483,682,370,1100,360
Lafayette,781,1661,231,419,563,253,927,376
Lamar,711,1628,97,482,648,277,945,420
Lehigh,758,1756,199,406,574,280,1067,384
Liberty,816,1781,180,438,622,403,1186,424
Lipscomb,727,1683,275,547,800,293,991,376
Long Beach State,822,1904,191,401,607,428,1178,390
Long Island University,707,1653,218,448,625,325,1001,371
Longwood,812,1845,180,431,591,309,998,408
Louisiana NCAA,988,2127,246,613,913,464,1329,459
Louisiana-Monroe,628,1470,143,339,536,277,943,338
Louisiana State,918,2067,231,473,707,444,1334,464
Louisiana Tech,1034,2284,286,644,948,478,1448,424
Louisville NCAA,1051,2232,288,608,920,503,1396,391
Loyola (IL),744,1609,191,426,606,266,973,427
Loyola Marymount,838,1922,141,528,693,385,1088,389
Loyola (MD),680,1642,145,452,678,329,935,357
Maine,759,1712,182,391,577,271,966,438
Manhattan NCAA,828,1837,208,676,1019,415,1234,468
Marist,709,1736,201,500,700,334,1057,384
Marquette,800,1800,154,556,806,379,1167,383
Marshall,837,1938,202,509,818,423,1222,426
Maryland-Baltimore County,669,1667,173,457,698,342,1017,450
Maryland-Eastern Shore,656,1637,180,504,699,339,979,368
Maryland,792,1844,226,460,677,384,1200,408
Massachusetts-Lowell,570,1447,192,386,548,268,880,378
Massachusetts NCAA,900,1962,177,525,769,404,1267,446
McNeese State,729,1857,203,450,647,408,1142,397
Memphis NCAA,958,2009,182,516,801,427,1268,449
Mercer NCAA,982,2061,290,582,791,407,1338,420
Miami (FL),712,1690,186,419,610,362,1140,335
Miami (OH),722,1664,146,433,574,266,967,420
Michigan State NCAA,1024,2159,307,515,728,395,1400,430
Michigan NCAA,945,1982,319,527,691,316,1160,336
Middle Tennessee,816,1795,178,529,796,399,1211,416
Milwaukee NCAA,808,1888,245,604,823,343,1182,469
Minnesota,918,2053,272,607,818,394,1282,444
Mississippi State,785,1776,154,510,769,325,1086,459
Mississippi Valley State,808,1934,203,474,707,374,1115,469
Mississippi,836,2003,258,552,793,428,1211,369
Missouri-Kansas City,729,1697,167,460,725,290,981,397
Missouri State,761,1765,230,510,720,303,1080,361
Missouri,824,1805,202,703,948,383,1293,442
Monmouth,776,1847,177,479,749,413,1184,462
Montana State,736,1661,185,452,636,267,966,357
Montana,703,1475,222,495,670,213,813,299
Morehead State,861,1927,188,693,992,481,1309,530
Morgan State,800,1869,140,475,776,446,1190,403
Mount St. Mary's NCAA,843,1923,296,522,706,328,1053,388
Murray State,901,1898,252,593,883,397,1233,420
Navy,660,1645,201,299,471,335,1006,376
Omaha,885,1967,219,569,744,338,1102,403
Nebraska NCAA,719,1684,188,511,713,278,1059,349
Nevada-Las Vegas,834,1905,195,492,752,415,1314,367
Nevada,796,1835,214,510,699,352,1113,333
New Hampshire,584,1553,211,356,514,286,1026,392
New Mexico State NCAA,936,1918,194,705,1027,428,1346,457
New Mexico NCAA,847,1851,197,625,863,360,1296,361
New Orleans,615,1434,136,492,722,340,968,437
Niagara,836,1949,166,646,947,409,1132,450
Nicholls State,708,1595,178,392,619,293,920,351
NJIT,728,1638,216,435,603,284,990,379
Norfolk State,866,1864,187,509,734,418,1195,457
North Carolina-Asheville,836,1832,223,591,793,385,1202,438
North Carolina A&T,622,1626,171,674,964,388,1159,489
North Carolina Central NCAA,847,1832,184,635,872,403,1197,389
North Carolina-Greensboro,808,1835,167,484,704,336,1172,447
North Carolina State NCAA,950,2060,160,501,762,422,1239,375
North Carolina-Wilmington,741,1841,139,397,606,390,1148,367
North Carolina NCAA,953,2057,146,552,882,483,1350,406
North Dakota State NCAA,888,1759,176,540,719,307,1081,325
North Dakota,889,1951,200,548,797,378,1071,378
North Florida,789,1784,227,513,728,383,1183,483
North Texas,774,1845,157,523,769,361,1183,405
Northeastern,734,1692,156,485,752,361,1117,420
Northern Arizona,778,1715,170,418,586,344,1055,404
Northern Colorado,864,1752,190,446,651,346,1025,365
Northern Illinois,645,1651,137,565,826,429,1199,470
Northern Iowa,762,1693,264,468,646,272,1022,330
Northern Kentucky,704,1618,228,408,578,286,940,348
Northwestern State,958,2037,176,594,802,394,1182,420
Northwestern,665,1679,217,417,596,249,1074,360
Notre Dame,839,1842,228,397,553,344,1081,331
Oakland,821,1890,279,534,732,298,1025,367
Ohio State NCAA,843,1875,200,546,793,346,1187,394
Ohio,905,1978,265,487,679,351,1252,475
Oklahoma State NCAA,898,1941,239,693,964,332,1203,356
Oklahoma NCAA,909,2034,285,601,802,398,1242,376
Old Dominion,825,1927,190,471,758,430,1282,474
Oral Roberts,831,1806,157,538,747,364,1168,376
Oregon State,825,1689,177,598,860,312,1097,432
Oregon NCAA,928,1977,259,668,865,356,1159,389
Pacific,842,1889,216,584,763,375,1177,415
Penn State,820,1915,210,559,754,357,1197,361
Pennsylvania,684,1517,140,403,594,268,939,452
Pepperdine,773,1701,197,463,661,314,1075,379
Pittsburgh NCAA,895,1944,183,613,861,432,1291,373
Portland State,802,1729,196,520,711,285,979,366
Portland,810,1778,191,516,702,339,1116,366
Prairie View,813,1949,223,513,791,403,1164,490
Presbyterian,772,1724,190,358,529,244,980,398
Princeton,704,1592,278,432,599,252,982,335
Providence NCAA,849,1984,218,650,831,432,1278,406
Purdue,822,1926,176,492,733,446,1256,393
Quinnipiac,835,1968,173,678,947,535,1454,402
Radford,972,2035,221,564,820,397,1213,383
Rhode Island,754,1703,152,509,779,356,1154,451
Rice,637,1582,237,342,527,233,971,394
Richmond,750,1777,209,487,728,304,1074,351
Rider,743,1704,237,569,778,338,1040,409
Robert Morris,890,2033,271,542,745,384,1205,411
Rutgers,823,1931,199,502,711,399,1169,417
Sacramento State,735,1598,183,417,575,281,947,338
Sacred Heart,758,1836,197,449,655,379,1070,378
Saint Francis (PA),675,1649,220,346,539,280,934,333
Saint Joseph's NCAA,840,1789,250,503,780,319,1218,409
Saint Louis NCAA,829,1869,190,526,755,345,1231,431
Saint Mary's (CA),819,1818,246,618,873,407,1188,409
Saint Peter's,659,1618,163,480,682,329,1053,373
Sam Houston State,875,1893,250,647,969,416,1220,447
Samford,849,1792,161,468,692,299,1058,421
San Diego State NCAA,873,2009,186,598,902,470,1364,355
San Diego,816,1815,225,505,726,335,1160,415
San Francisco,861,1819,224,523,807,372,1176,381
San Jose State,631,1686,265,411,569,322,1106,416
Santa Clara,788,1853,248,516,704,343,1057,329
Savannah State,693,1653,157,425,652,352,1072,502
Seattle,760,1798,222,397,609,421,1151,419
Seton Hall,816,1797,252,558,774,288,1103,415
Siena,908,2165,169,650,903,525,1429,523
South Alabama,716,1776,241,463,679,379,1155,380
South Carolina State,676,1709,148,383,587,401,1090,452
South Carolina Upstate,855,1888,205,483,716,424,1240,413
South Carolina,765,1853,195,598,847,468,1202,485
South Dakota State,769,1719,209,568,751,317,1138,381
South Dakota,713,1613,191,467,622,263,983,371
South Florida,751,1729,97,501,757,354,1122,411
Southeast Missouri State,961,1924,218,514,743,360,1191,419
Southeastern Louisiana,714,1612,204,453,650,256,958,363
Southern California,801,1824,146,510,761,354,1185,449
SIU Edwardsville,806,1715,223,429,645,298,963,429
Southern Illinois,781,1717,148,498,741,371,1104,404
Southern Methodist,937,1938,174,579,848,402,1333,493
Southern Mississippi,873,1884,201,649,956,443,1286,466
Southern Utah,591,1462,131,397,576,234,827,403
Southern,823,1822,188,444,718,380,1236,425
St. Bonaventure,856,1881,155,554,774,418,1164,423
St. Francis (NY),781,1813,195,450,659,383,1189,421
St. John's (NY),867,1948,164,505,722,372,1216,353
Stanford NCAA,896,1950,208,616,877,347,1257,409
Stephen F. Austin NCAA,922,1992,248,569,800,451,1186,393
Stetson,683,1628,159,391,590,294,926,383
