School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
Air Force,722,1532,212,418,593,187,918,386
Akron NCAA,892,2073,283,457,649,363,1238,432
Alabama A&M,633,1598,125,417,668,347,1058,444
Alabama-Birmingham NCAA,756,1725,239,368,513,352,1109,387
Alabama State NCAA,728,1841,165,525,870,460,1271,551
Alabama,930,2066,152,461,652,458,1339,516
Albany (NY),724,1707,238,327,507,376,1155,411
Alcorn State,614,1664,116,494,781,295,992,473
American,716,1602,188,431,600,288,1044,346
Appalachian State,790,1738,196,489,694,323,1067,403
Arizona State,719,1674,240,305,486,290,991,379
Arizona NCAA,969,2064,296,671,899,408,1319,484
Little Rock NCAA,825,1938,242,565,819,377,1204,428
Arkansas-Pine Bluff,627,1610,191,405,646,299,987,518
Arkansas State,745,1724,167,531,750,395,1177,418
Arkansas,756,1734,204,475,683,332,1063,411
Army,707,1701,264,360,507,324,1020,424
Auburn,675,1695,148,435,663,383,1067,440
Austin Peay,899,1960,186,526,773,429,1227,485
Ball State,724,1623,149,567,818,332,1077,414
Baylor,752,1618,164,486,699,360,1088,487
Belmont NCAA,944,2045,327,575,781,451,1258,480
Bethune-Cookman,796,1814,140,509,719,365,1094,415
Binghamton,651,1641,233,326,465,316,959,384
Boise State,876,2002,237,605,838,390,1158,425
Boston College,856,1852,306,422,583,320,1091,376
Boston University NCAA,749,1865,265,507,695,414,1249,418
Bowling Green State,803,1859,146,364,567,360,1099,444
Bradley,748,1751,159,421,583,294,1048,390
Brigham Young NCAA,1019,2267,312,662,865,420,1425,404
Brown,688,1567,209,417,558,221,959,343
Bryant,704,1683,243,350,537,315,990,409
Bucknell NCAA,827,1855,234,499,633,270,1149,380
Buffalo,879,1863,206,435,668,408,1205,524
Butler NCAA,919,2122,289,580,799,431,1337,416
Cal Poly,603,1551,190,383,577,343,1020,356
Cal State Bakersfield,657,1661,181,412,598,355,947,382
Cal State Fullerton,752,1675,198,506,704,325,1036,439
Cal State Northridge,752,1725,176,552,820,365,1111,504
