School,SOS,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TRB,opp_TOV
Abilene Christian,-4.12,759,1640,181,529,747,305,1004,431
Air Force,1.71,690,1595,212,482,687,295,1016,354
Akron,-0.48,809,1868,173,483,675,368,1128,439
Alabama A&M,-10.58,642,1585,148,578,831,373,1141,413
Alabama-Birmingham,-0.77,796,1927,200,388,581,370,1129,345
Alabama State,-11.40,789,1779,166,481,692,375,1181,476
Alabama,8.88,727,1736,177,519,698,384,1117,410
Albany (NY) NCAA,-5.22,775,1848,236,388,537,329,1062,397
Alcorn State,-9.27,724,1684,179,474,667,339,1069,390
American NCAA,-3.25,671,1621,161,448,660,319,962,396
Appalachian State,-7.13,763,1644,179,447,670,303,1064,386
Arizona State NCAA,7.41,821,1961,175,474,732,385,1251,394
Arizona NCAA,9.04,776,2041,173,500,698,369,1181,471
Little Rock,-1.09,759,1775,251,602,869,347,1136,419
Arkansas-Pine Bluff,-6.90,727,1559,203,531,776,325,1082,514
Arkansas State,-3.18,811,1886,200,477,665,362,1172,421
Arkansas,5.57,809,1983,213,594,852,473,1340,579
Army,-4.66,807,1755,208,447,621,343,1088,424
Auburn,5.47,695,1615,219,546,787,343,1053,381
Austin Peay,-5.78,838,1817,234,458,622,364,1052,430
Ball State,0.65,769,1671,158,518,738,302,996,339
Baylor NCAA,10.11,927,2179,258,465,688,432,1200,394
Belmont,-1.88,914,1989,248,585,839,396,1177,517
Bethune-Cookman,-7.53,728,1604,193,603,850,372,1121,406
Binghamton,-6.15,724,1601,244,448,654,315,1074,394
Boise State,3.86,809,1814,218,511,727,274,1025,397
Boston College,8.62,824,1771,182,524,719,357,1067,303
Boston University,-2.40,844,1924,229,429,607,351,1203,478
Bowling Green State,-0.20,716,1740,199,424,650,353,1138,451
Bradley,-0.31,704,1614,206,499,700,319,1066,413
Brigham Young NCAA,5.72,935,2175,259,577,810,382,1253,441
Brown,-4.04,671,1703,163,446,627,315,1068,343
Bryant,-4.89,819,1888,243,423,622,402,1165,404
Bucknell,-3.14,697,1644,182,346,522,252,953,274
Buffalo,-2.13,693,1640,163,403,591,329,986,385
Butler,6.98,767,1714,163,367,531,290,1058,365
Cal Poly NCAA,1.69,739,1703,183,502,694,341,1150,383
Cal State Bakersfield,-4.31,710,1642,180,589,847,326,1046,406
Cal State Fullerton,-1.12,758,1656,163,536,760,296,1086,353
Cal State Northridge,-3.29,924,2033,268,596,847,386,1154,431
UC-Davis,-1.76,851,1754,214,492,659,340,1132,386
UC-Irvine,-0.65,746,1997,196,543,762,406,1207,358
UC-Riverside,-2.33,741,1716,197,535,718,321,1084,383
UC-Santa Barbara,-0.13,658,1645,215,429,644,349,991,316
University of California,7.44,850,2044,216,503,688,380,1220,354
Campbell,-7.33,828,1807,184,451,659,388,1123,343
Canisius,-1.95,879,1952,230,499,690,428,1204,453
Central Arkansas,-5.54,801,1718,165,593,832,385,1182,436
Central Connecticut State,-6.06,831,1849,227,429,625,411,1187,392
Central Florida,5.14,835,1818,191,420,644,358,1085,369
Central Michigan,-2.72,806,1643,215,461,626,291,1057,420
