,School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
0,Abilene Christian 2019,897,1911,251,457,642,325,1110,407
11,Arizona State 2019,899,2012,240,600,882,399,1351,466
18,Auburn 2019,1097,2439,454,540,760,457,1369,466
21,Baylor 2019,869,1966,274,430,635,446,1281,446
22,Belmont 2019,1042,2094,343,441,598,286,1275,376
29,Bradley 2019,812,1874,240,465,672,313,1195,440
34,Buffalo 2019,1083,2344,344,527,767,452,1470,433
42,UC-Irvine 2019,987,2159,252,449,640,429,1471,441
50,Central Florida 2019,819,1763,229,518,798,315,1215,393
56,Cincinnati 2019,872,2018,232,534,758,442,1264,365
61,Colgate 2019,955,1995,320,418,563,322,1240,456
80,Duke 2019,1157,2418,278,551,803,495,1567,488
91,Fairleigh Dickinson 2019,921,1939,269,509,702,323,1155,477
96,Florida State 2019,960,2171,272,579,778,418,1391,492
97,Florida 2019,857,2015,291,435,603,375,1201,420
101,Gardner-Webb 2019,955,1962,281,527,741,271,1190,407
106,Georgia State 2019,903,1968,330,462,694,273,1110,391
109,Gonzaga 2019,1177,2239,287,602,791,354,1443,394
121,Houston 2019,982,2203,333,490,697,448,1502,410
131,Iona 2019,857,1897,297,521,699,283,1152,406
132,Iowa State 2019,974,2047,294,450,615,327,1230,379
133,Iowa 2019,914,2006,285,627,849,357,1246,427
140,Kansas State 2019,806,1878,241,383,574,320,1137,385
141,Kansas 2019,989,2128,260,487,691,374,1376,472
144,Kentucky 2019,978,2050,215,635,859,427,1428,466
149,Liberty 2019,963,1977,322,406,524,270,1174,395
156,Louisiana State 2019,988,2162,236,603,802,460,1355,452
158,Louisville 2019,854,1967,294,534,687,345,1297,412
165,Marquette 2019,893,1969,319,524,692,331,1292,467
169,Maryland 2019,858,1909,247,466,627,378,1336,437
177,Michigan State 2019,1071,2230,319,564,749,414,1579,493
178,Michigan 2019,941,2102,287,406,579,299,1307,334
181,Minnesota 2019,887,2039,191,578,848,402,1314,418
182,Mississippi State 2019,936,1982,292,464,647,393,1215,451
184,Mississippi 2019,876,1906,272,461,589,322,1128,416
190,Montana 2019,975,1983,287,428,621,293,1176,416
194,Murray State 2019,988,2007,258,493,673,351,1247,401
199,Nevada 2019,924,1999,297,578,816,325,1274,352
201,New Mexico State 2019,962,2092,326,484,714,445,1343,419
211,North Carolina Central 2019,874,1922,221,460,641,399,1265,515
215,North Carolina 2019,1118,2410,312,541,728,477,1589,473
216,North Dakota State 2019,874,1926,332,476,613,229,1105,368
220,Northeastern 2019,880,1848,328,476,634,237,1075,381
225,Northern Kentucky 2019,979,2047,306,483,725,364,1298,441
230,Ohio State 2019,839,1931,264,477,650,328,1215,438
233,Oklahoma 2019,883,1975,226,431,618,305,1263,401
234,Old Dominion 2019,823,2026,264,388,585,418,1365,408
237,Oregon 2019,958,2126,295,450,624,361,1307,442
245,Prairie View 2019,903,2061,225,596,875,392,1151,445
249,Purdue 2019,967,2145,365,461,641,421,1341,381
262,Saint Louis 2019,855,2052,205,484,809,492,1428,464
263,Saint Mary's (CA) 2019,899,1905,253,412,555,329,1180,355
274,Seton Hall 2019,888,2021,240,492,697,361,1213,423
294,St. John's (NY) 2019,944,2100,289,446,620,264,1120,357
299,Syracuse 2019,808,1907,274,480,701,363,1174,423
300,Temple 2019,873,1998,247,472,649,316,1136,368
304,Tennessee 2019,1106,2231,262,561,744,379,1391,412
314,Texas Tech 2019,990,2110,277,508,694,315,1297,457
322,Utah State 2019,959,2038,274,559,747,377,1405,449
327,Vermont 2019,864,1887,273,507,678,304,1194,377
328,Villanova 2019,884,2019,380,506,695,368,1253,388
329,Virginia Commonwealth 2019,820,1872,235,469,669,358,1208,458
331,Virginia Tech 2019,893,1900,327,461,606,310,1142,392
332,Virginia 2019,974,2056,321,445,598,342,1326,342
336,Washington 2019,883,1956,273,472,679,334,1129,479
346,Wisconsin 2019,874,1945,241,344,531,283,1197,327
347,Wofford 2019,1044,2132,385,406,577,365,1232,377
351,Yale 2019,893,1812,230,411,557,259,1157,392
