School,SOS,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TRB,opp_TOV
Abilene Christian,-7.53,792,1662,168,520,735,266,1031,448
Air Force,0.66,784,1823,290,472,667,326,1187,436
Akron,-1.24,862,2103,205,452,667,401,1315,408
Alabama A&M,-10.75,726,1599,168,422,637,307,1025,316
Alabama-Birmingham,-3.07,841,2017,233,408,589,390,1144,417
Alabama State,-9.35,808,1744,193,499,768,324,1170,400
Alabama,8.62,769,1878,211,493,735,431,1259,402
Albany (NY),-7.57,801,1899,229,349,516,310,1027,428
Alcorn State,-9.94,748,1673,215,453,646,324,1038,357
American,-6.08,735,1568,147,419,628,284,992,370
Appalachian State,-1.10,856,1852,183,503,738,357,1157,349
Arizona State,8.96,830,1812,224,483,690,302,1159,411
Arizona NCAA,7.23,853,2067,204,432,606,320,1055,388
Little Rock NCAA,-1.76,720,1825,226,463,677,353,1190,486
Arkansas-Pine Bluff,-5.52,747,1701,180,648,913,408,1248,438
Arkansas State,-2.37,791,1983,259,512,757,401,1257,355
Arkansas,6.76,803,1844,231,553,790,349,1187,454
Army,-8.13,918,2064,199,439,656,342,1230,402
Auburn,7.54,832,1877,232,525,752,376,1270,400
Austin Peay NCAA,-2.98,995,2159,302,471,667,378,1236,478
Ball State,-2.98,790,1951,242,516,732,335,1189,397
Baylor NCAA,9.76,823,1843,233,485,693,314,1011,463
Belmont,-2.10,873,1977,242,522,725,370,1137,390
Bethune-Cookman,-9.18,830,1923,228,442,647,428,1258,389
Binghamton,-6.35,728,1675,204,399,576,298,1108,372
Boise State,3.13,785,1765,234,442,631,264,1054,472
Boston College,7.67,796,1732,224,440,641,302,1175,415
Boston University,-6.37,875,2009,247,467,681,346,1184,406
Bowling Green State,-1.85,853,1978,278,473,685,350,1208,403
Bradley,3.70,737,1675,188,576,866,288,1121,374
Brigham Young,2.36,943,2269,287,519,725,359,1340,487
Brown,-2.82,757,1726,218,423,617,338,1092,324
Bryant,-6.71,841,1880,251,428,589,378,1217,346
Bucknell,-5.89,779,1824,229,501,747,321,1067,404
Buffalo NCAA,0.90,906,2098,256,566,790,378,1273,464
Butler NCAA,7.55,818,1879,231,477,672,309,1082,432
Cal Poly,0.90,792,1720,213,458,658,287,1102,326
Cal State Bakersfield NCAA,-5.15,696,1764,198,514,747,347,1128,499
Cal State Fullerton,-0.76,752,1753,238,485,664,307,1096,341
