,School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
0,Air Force 2005,585,1216,245,322,453,174.0,623,318
3,Alabama-Birmingham 2005,882,2006,213,437,656,401.0,1119,431
4,Alabama State 2005,639,1523,173,453,691,360.0,1066,537
5,Alabama 2005,813,1802,233,521,735,366.0,1148,423
11,Arizona 2005,942,1938,219,511,650,421.0,1177,448
26,Boston College 2005,819,1799,128,546,804,425.0,1224,457
30,Brigham Young 2005,764,1571,171,501,692,316.0,1017,409
46,Central Florida 2005,792,1732,232,365,510,382.0,1129,473
49,Charlotte 2005,812,1805,232,518,798,441.0,1220,458
52,Cincinnati 2005,867,1893,237,484,723,420.0,1197,393
62,Connecticut 2005,1154,2403,249,516,828,586.0,1742,532
68,Dayton 2005,780,1746,207,477,717,409.0,1266,467
72,DePaul 2005,813,1755,163,468,671,382.0,1159,422
76,Duke 2005,1018,2161,263,655,890,474.0,1351,511
79,East Tennessee State 2005,946,2059,201,525,762,411.0,1269,514
83,Eastern Washington 2005,747,1574,179,429,608,279.0,918,453
88,Florida A&M 2005,747,1802,271,546,771,,1089,537
92,Florida 2005,829,1719,249,462,616,306.0,1081,454
102,Georgia Tech 2005,1029,2213,267,586,847,429.0,1422,578
104,Gonzaga 2005,899,1765,195,543,724,348.0,1230,418
118,Illinois-Chicago 2005,810,1797,158,445,700,423.0,1126,405
120,Illinois 2005,887,1899,231,397,571,381.0,1151,401
133,Kansas 2005,895,1923,188,525,743,409.0,1303,485
135,Kentucky 2005,862,1828,204,437,627,371.0,1160,468
139,Lehigh 2005,729,1718,198,426,595,357.0,1132,450
140,Liberty 2005,819,1913,206,440,651,441.0,1235,528
144,Louisiana 2005,797,1715,237,403,585,341.0,988,419
148,Louisville 2005,737,1757,241,480,641,351.0,1126,413
153,Manhattan 2005,762,1724,180,607,798,374.0,1079,395
159,Maryland 2005,891,2021,165,530,840,485.0,1322,485
162,Memphis 2005,736,1751,259,441,671,402.0,1139,383
166,Michigan State 2005,748,1519,190,452,586,270.0,910,438
171,Mississippi State 2005,822,1766,198,476,717,444.0,1231,458
177,Monmouth 2005,752,1802,236,513,693,303.0,1088,446
183,Murray State 2005,994,2009,224,518,730,416.0,1261,476
187,Nevada 2005,901,1991,172,605,830,449.0,1322,445
198,North Carolina State 2005,760,1688,260,481,602,317.0,1046,420
200,North Carolina 2005,877,1912,195,515,749,460.0,1189,462
205,Northern Iowa 2005,723,1644,223,478,648,268.0,1068,388
212,Oklahoma State 2005,1002,1953,166,528,760,393.0,1253,468
218,Pacific 2005,764,1633,195,549,746,304.0,1101,471
222,Pittsburgh 2005,904,1921,150,488,748,466.0,1320,455
226,Princeton 2005,634,1319,169,323,454,241.0,856,372
227,Providence 2005,717,1592,228,398,553,342.0,976,433
233,Richmond 2005,737,1793,188,467,648,403.0,1164,432
240,Saint Joseph's 2005,866,1822,313,431,614,308.0,1043,370
252,Seton Hall 2005,806,1759,181,435,609,359.0,1134,403
256,South Carolina 2005,846,1948,226,465,690,423.0,1224,448
261,Southern Illinois 2005,787,1775,185,372,540,393.0,1057,360
269,Stanford 2005,849,1771,169,489,651,366.0,1178,453
273,Syracuse 2005,847,1827,141,430,669,423.0,1180,396
283,Texas-El Paso 2005,834,1748,197,614,817,328.0,1106,445
285,Texas-San Antonio 2005,813,1896,234,540,775,415.0,1242,564
288,Texas Tech 2005,922,1985,125,521,703,385.0,1153,424
289,Texas 2005,904,2046,227,494,726,517.0,1355,388
297,Utah 2005,768,1630,196,402,556,355.0,1140,463
298,Valparaiso 2005,765,1740,165,522,740,368.0,1183,500
299,Vanderbilt 2005,841,1873,263,469,660,367.0,1150,419
300,Vermont 2005,734,1739,203,374,551,360.0,1126,387
302,Virginia Commonwealth 2005,811,1707,208,372,614,377.0,1159,510
307,Wake Forest 2005,882,1854,236,590,829,417.0,1148,457
309,Washington 2005,890,1911,201,562,788,382.0,1103,472
315,Western Michigan 2005,845,1840,217,527,731,449.0,1177,411
319,Wisconsin 2005,754,1687,190,492,684,347.0,1049,320
323,Xavier 2005,908,2058,284,535,777,439.0,1327,459
