School,SOS,opp_FG,opp_FGA,opp_3P,opp_FT,op_FTA,opp_ORB,opp_TRB,opp_TOV
Northwestern NCAA,8.43,817,2025,233,490,732,404,1275,430
Notre Dame NCAA,9.78,914,2118,250,416,565,387,1278,456
Oakland,-3.00,882,2166,225,430,614,388,1246,483
Ohio State,7.28,791,1902,278,372,560,351,1119,387
Ohio,-2.56,768,1853,218,412,602,326,1149,417
Oklahoma State NCAA,12.22,875,1856,235,604,834,345,1083,491
Oklahoma,12.62,806,1871,259,428,627,344,1152,415
Old Dominion,-1.35,632,1579,202,430,609,265,1015,400
Oral Roberts,1.24,857,1832,277,407,576,307,1109,357
Oregon State,5.89,798,1793,237,488,696,350,1128,376
Oregon NCAA,8.38,932,2311,273,428,595,408,1274,516
Pacific,2.09,800,1782,259,512,736,268,1159,383
Penn State,8.90,856,1990,246,442,620,370,1282,491
Pennsylvania,-1.50,650,1561,222,382,524,294,998,381
Pepperdine,1.87,910,1874,292,378,535,299,1129,337
Pittsburgh,11.06,910,2028,261,383,540,354,1153,322
Portland State,-6.63,900,1873,276,459,632,322,1173,527
Portland,2.32,846,1971,290,401,578,373,1209,382
Prairie View,-8.48,806,1756,213,594,861,383,1253,502
Presbyterian,-5.95,766,1674,285,428,607,321,1053,348
Princeton NCAA,-1.84,652,1568,195,344,499,238,1002,394
Providence NCAA,7.84,810,1840,207,380,562,322,1142,454
Purdue NCAA,8.79,902,2145,242,347,491,313,1088,411
Quinnipiac,-3.22,899,1936,239,546,739,342,1178,393
Radford,-4.58,826,1851,214,381,551,300,1060,327
Rhode Island NCAA,4.62,762,1875,166,598,845,373,1212,459
Rice,-4.16,942,2146,229,537,760,341,1213,472
Richmond,3.28,890,2012,229,511,697,373,1279,492
Rider,-5.28,859,2007,247,535,721,339,1191,444
Robert Morris,-5.13,777,1773,162,522,754,354,1227,548
Rutgers,6.22,778,1882,232,427,594,356,1158,427
Sacramento State,-5.58,827,1828,235,414,584,307,1085,333
Sacred Heart,-7.52,871,1895,258,436,631,310,1117,459
Saint Francis (PA),-7.65,924,2157,312,373,512,407,1244,457
Saint Joseph's,3.69,779,1795,281,426,584,283,1111,392
Saint Louis,1.85,784,1787,240,480,688,305,1178,367
Saint Mary's (CA) NCAA,2.19,738,1792,149,329,476,245,903,318
Saint Peter's,-3.60,782,1881,247,378,549,305,1175,481
Sam Houston State,-6.35,782,1835,233,627,863,306,1176,554
Samford,-3.70,961,2241,298,513,715,419,1277,449
San Diego State,1.47,715,1845,219,415,587,342,1157,426
San Diego,0.92,785,1710,225,415,608,257,1059,312
San Francisco,0.42,793,1879,207,429,626,318,1163,440
San Jose State,1.74,776,1688,191,502,672,244,1028,416
Santa Clara,2.03,769,1703,211,409,596,256,1116,409
Savannah State,-8.44,960,2123,307,438,653,457,1411,461
Seattle,-3.95,727,1803,249,438,606,344,1137,414
Seton Hall NCAA,9.25,811,1872,214,487,677,295,1087,403
Siena,-2.23,901,2014,224,515,714,354,1135,415
South Alabama,-2.90,793,1793,237,499,716,342,1215,520
South Carolina State,-6.61,886,1832,218,496,696,366,1180,389
South Carolina Upstate,-5.23,919,2106,264,426,585,372,1209,363
South Carolina NCAA,10.16,789,1969,208,628,868,382,1304,632
South Dakota State NCAA,-0.66,963,2140,369,402,557,356,1195,400
South Dakota,-2.08,888,2048,273,464,639,330,1235,465
South Florida,2.39,740,1724,281,474,692,373,1119,398
Southeast Missouri State,-4.28,857,1793,264,486,684,310,1163,519
Southeastern Louisiana,-8.13,752,1747,202,476,682,324,1033,486
Southern California NCAA,6.40,973,2243,301,386,538,408,1272,452
SIU Edwardsville,-3.29,787,1688,176,532,727,278,1051,394
Southern Illinois,2.65,812,1817,266,399,606,345,1164,453
Southern Methodist NCAA,4.45,745,1928,282,328,474,329,1035,409
Southern Mississippi,-2.78,776,1765,282,405,585,272,1138,362
Southern Utah,-5.39,917,1922,290,690,959,327,1232,414
Southern,-11.68,849,1988,206,495,742,425,1206,407
St. Bonaventure,1.48,778,1801,243,517,747,352,1101,475
St. Francis (NY),-6.54,795,1676,161,533,783,338,1293,434
St. John's (NY),8.39,904,1963,249,541,771,390,1286,500
Stanford,8.59,751,1691,258,444,640,277,1030,445
Stephen F. Austin,-5.75,772,1712,208,519,763,306,1013,534
Stetson,-5.45,964,2122,267,459,660,401,1382,370
Stony Brook,-5.05,747,1702,232,478,682,303,1158,423
Syracuse,8.47,867,2014,295,387,586,431,1216,456
Temple,5.09,807,1875,226,437,601,369,1212,404
Tennessee-Martin,-4.34,931,2097,321,447,631,402,1154,477
Tennessee State,-2.96,637,1567,248,510,737,288,980,471
Tennessee Tech,-4.17,788,1817,249,515,697,336,1163,467
Tennessee,10.18,783,1832,219,550,787,355,1184,447
Texas A&M-Corpus Christi,-5.79,874,1994,285,541,790,388,1253,587
Texas A&M,7.97,739,1829,249,375,514,361,1029,360
Texas-Arlington,-0.87,859,2081,300,498,762,399,1273,525
Texas Christian,10.95,988,2230,273,469,685,392,1260,509
Texas-El Paso,-2.51,746,1770,243,467,690,279,1088,391
Texas-Rio Grande Valley,-3.68,884,1881,239,658,968,370,1274,525
Texas-San Antonio,-3.03,796,1832,237,462,685,276,1163,406
Texas Southern NCAA,-7.81,940,2113,196,466,682,441,1310,473
Texas State,-4.29,780,1891,213,483,673,349,1197,484
Texas Tech,7.86,731,1690,255,429,602,261,956,436
Texas,12.75,820,1932,218,415,580,367,1183,414
Toledo,-0.90,986,2140,208,387,567,316,1141,351
Towson,-1.28,740,1769,240,563,820,296,1043,437
Troy NCAA,-3.36,933,2182,295,506,703,380,1267,463
Tulane,4.25,843,1788,235,513,730,344,1185,440
Tulsa,5.29,786,1810,254,423,600,316,1062,400
UCLA NCAA,6.39,1000,2371,310,409,602,413,1257,423
Utah State,2.46,789,1871,237,433,621,309,1089,360
Utah Valley,-2.44,886,2135,222,485,722,331,1288,471
Utah,4.32,787,1887,216,390,573,281,998,385
Valparaiso,-1.59,801,1935,243,429,619,326,1114,426
Vanderbilt NCAA,10.72,862,2028,226,435,622,339,1209,379
Vermont NCAA,-3.27,812,1918,199,351,498,315,1066,453
Villanova NCAA,9.28,846,2018,251,313,445,336,1073,475
Virginia Commonwealth NCAA,3.77,800,1897,202,541,776,334,1185,515
VMI,-1.80,826,1709,244,450,671,308,1125,390
Virginia Tech NCAA,8.38,902,2029,264,397,554,359,1146,383
Virginia NCAA,10.93,658,1653,209,391,559,264,1022,432
Wagner,-7.89,670,1640,197,436,630,326,967,366
Wake Forest NCAA,9.80,891,1948,270,536,740,323,1109,385
Washington State,6.87,881,1917,248,366,527,322,1125,314
Washington,6.82,898,1926,236,481,669,345,1091,372
Weber State,-5.13,937,2075,197,434,587,366,1197,406
West Virginia NCAA,9.67,826,1948,250,565,827,393,1274,740
Western Carolina,-0.70,770,1731,248,557,794,309,1137,432
Western Illinois,-2.38,729,1671,214,479,656,244,1051,289
Western Kentucky,-2.89,853,1887,266,330,467,297,1104,343
Western Michigan,-0.55,858,1824,247,445,631,275,1068,423
Wichita State NCAA,2.96,754,2000,241,497,718,321,1154,488
William & Mary,-0.73,838,1898,270,465,659,319,1077,343
Winthrop NCAA,-6.12,811,1990,219,481,666,355,1207,462
Wisconsin NCAA,9.40,822,1992,251,413,559,313,1142,473
Wofford,-1.08,881,1868,216,501,688,303,1092,411
Wright State,-2.42,804,1821,242,467,662,287,1055,462
Wyoming,0.55,957,2381,257,662,914,409,1495,460
Xavier NCAA,11.51,964,2144,283,500,716,327,1188,454
Yale,-2.19,744,1736,218,322,453,300,959,341
Youngstown State,-2.56,1034,2239,280,451,628,397,1381,418
