,School,SOS,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TRB,opp_TOV
7,Albany (NY) 2014,-5.22,775,1848,236,388,537,329,1062,397
9,American 2014,-3.25,671,1621,161,448,660,319,962,396
11,Arizona State 2014,7.41,821,1961,175,474,732,385,1251,394
12,Arizona 2014,9.04,776,2041,173,500,698,369,1181,471
21,Baylor 2014,10.11,927,2179,258,465,688,432,1200,394
30,Brigham Young 2014,5.72,935,2175,259,577,810,382,1253,441
36,Cal Poly 2014,1.69,739,1703,183,502,694,341,1150,383
55,Cincinnati 2014,5.28,690,1745,182,424,628,366,1078,485
59,Coastal Carolina 2014,-6.31,778,1934,264,506,730,372,1175,440
63,Colorado 2014,8.8,856,1986,251,424,603,319,1098,422
65,Connecticut 2014,8.63,878,2241,241,532,801,492,1378,518
68,Creighton 2014,7.17,844,1983,234,454,654,347,1112,338
71,Dayton 2014,5.34,843,1936,203,589,832,353,1158,459
73,Delaware 2014,-1.1,936,2115,219,557,803,429,1365,418
79,Duke 2014,8.48,848,1860,138,525,758,357,1137,425
84,Eastern Kentucky 2014,-4.34,793,1631,204,621,880,325,1110,574
96,Florida 2014,8.54,806,2004,207,434,626,370,1191,526
102,George Washington 2014,4.42,788,1895,214,421,632,383,1113,442
108,Gonzaga 2014,5.36,806,2027,203,557,784,399,1178,422
114,Harvard 2014,-0.47,680,1664,164,428,603,318,1004,459
131,Iowa State 2014,9.88,954,2272,259,511,698,403,1329,418
132,Iowa 2014,7.43,804,1938,229,484,686,361,1101,439
139,Kansas State 2014,8.47,723,1774,162,551,805,385,1149,416
140,Kansas 2014,11.4,815,1961,219,605,892,373,1073,396
143,Kentucky 2014,9.9,933,2271,222,577,836,437,1231,428
153,Louisiana 2014,-0.28,907,2032,205,614,885,400,1214,483
157,Louisville 2014,4.8,786,1983,170,518,761,434,1285,638
162,Manhattan 2014,-0.9,739,1809,164,669,956,409,1199,515
170,Massachusetts 2014,6.0,843,1986,165,499,739,400,1172,445
172,Memphis 2014,7.14,888,2029,180,441,681,421,1192,490
173,Mercer 2014,-3.42,812,2024,236,550,787,399,1190,452
176,Michigan State 2014,9.38,817,2058,252,605,829,375,1208,449
177,Michigan 2014,9.65,905,2035,201,397,543,364,1154,398
179,Milwaukee 2014,-0.44,869,1991,204,527,707,373,1241,445
192,Mount St. Mary's 2014,-4.44,960,1939,155,491,669,357,1207,439
196,Nebraska 2014,8.5,696,1659,186,507,744,319,1121,397
200,New Mexico State 2014,-2.58,863,2153,162,527,720,457,1170,397
201,New Mexico 2014,4.84,776,1995,243,453,625,368,1115,338
209,North Carolina Central 2014,-8.03,658,1726,186,521,753,382,1080,534
211,North Carolina State 2014,7.44,851,1997,196,606,851,453,1266,414
213,North Carolina 2014,8.42,810,1949,211,541,807,395,1179,462
214,North Dakota State 2014,-0.02,722,1709,222,498,664,290,950,381
228,Ohio State 2014,8.12,761,1873,173,397,558,354,1177,502
230,Oklahoma State 2014,8.34,801,1957,211,552,803,409,1262,484
231,Oklahoma 2014,8.97,864,1976,236,544,761,369,1198,426
235,Oregon 2014,8.05,838,1907,198,647,912,377,1125,458
240,Pittsburgh 2014,7.54,771,1872,205,482,682,352,1079,440
246,Providence 2014,7.85,893,2017,188,469,681,374,1163,383
259,Saint Joseph's 2014,5.08,825,1966,231,417,602,343,1123,344
260,Saint Louis 2014,4.24,755,1875,139,456,665,354,1182,485
265,San Diego State 2014,4.86,734,1904,174,410,607,370,1180,490
293,Stanford 2014,9.0,844,2006,237,532,743,355,1193,413
294,Stephen F. Austin 2014,-6.76,746,1643,148,579,840,293,1018,555
297,Syracuse 2014,7.25,685,1669,233,409,612,346,1072,455
302,Tennessee 2014,7.84,823,1991,192,445,631,351,1108,399
310,Texas Southern 2014,-10.07,936,2075,222,418,607,386,1141,374
313,Texas 2014,9.15,819,2039,259,578,835,399,1203,395
318,Tulsa 2014,1.17,741,1830,218,599,869,363,1214,477
319,UCLA 2014,7.62,898,2103,301,507,750,377,1245,529
326,Villanova 2014,7.5,763,1886,220,515,728,355,1137,468
327,Virginia Commonwealth 2014,4.78,808,1869,170,496,742,369,1285,638
330,Virginia 2014,7.86,727,1875,203,403,609,321,1085,413
335,Weber State 2014,-4.23,753,1763,134,421,599,311,963,291
340,Western Michigan 2014,-1.45,773,1883,225,464,651,385,1083,417
341,Wichita State 2014,1.74,746,1911,211,438,674,339,1115,435
344,Wisconsin 2014,10.19,915,2135,184,418,579,350,1212,370
345,Wofford 2014,-5.95,727,1642,153,447,659,286,1046,424
348,Xavier 2014,8.14,797,1851,233,489,732,335,1069,381
