School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
Abilene Christian,870,1874,213,406,579,305,1093,461
Air Force,733,1751,250,408,556,302,1014,391
Akron,793,1824,305,405,582,300,1071,440
Alabama A&M,673,1697,182,345,533,328,1046,514
Alabama-Birmingham,945,1937,223,423,564,332,1255,437
Alabama State,751,1839,209,418,647,394,1131,437
Alabama NCAA,910,1975,229,555,828,358,1290,513
Albany (NY),839,1836,184,513,680,377,1191,371
Alcorn State,791,1824,239,423,598,304,1104,459
American,698,1615,239,326,491,238,869,413
Appalachian State,864,1983,292,500,749,389,1292,457
Arizona State NCAA,888,1920,288,581,793,315,1126,343
Arizona NCAA,1009,2003,237,563,741,352,1277,426
Little Rock,750,1756,200,338,554,322,1089,459
Arkansas-Pine Bluff,815,1863,217,460,681,277,1024,500
Arkansas State,841,1910,236,451,628,354,1072,419
Arkansas NCAA,1005,2119,269,540,793,350,1208,381
Army,820,1845,295,295,448,300,1073,403
Auburn NCAA,906,2102,324,647,836,403,1290,411
Austin Peay,915,2012,202,480,737,443,1209,478
Ball State,856,1895,245,453,643,318,1210,423
Baylor,941,2007,217,470,640,400,1292,463
Belmont,901,1853,378,382,517,258,1133,410
Bethune-Cookman,903,2039,241,575,820,424,1346,507
Binghamton,787,1775,235,338,528,283,1066,381
Boise State,878,1903,307,439,595,318,1232,433
Boston College,948,2105,298,479,646,371,1293,441
Boston University,800,1730,229,357,559,296,1044,427
Bowling Green State,827,1963,241,534,730,372,1226,408
Bradley,768,1788,217,470,665,359,1178,441
Brigham Young,919,1905,225,537,716,242,1146,403
Brown,695,1631,186,504,667,310,988,364
Bryant,771,1881,259,368,522,312,1000,401
Bucknell NCAA,965,2050,280,627,872,324,1281,437
Buffalo NCAA,1105,2334,351,486,695,426,1388,446
Butler NCAA,1020,2155,287,436,562,319,1198,391
Cal Poly,721,1817,267,373,478,291,1034,366
Cal State Bakersfield,697,1670,185,402,578,341,1068,416
Cal State Fullerton NCAA,804,1721,167,543,745,276,1123,455
Cal State Northridge,731,1689,186,335,473,247,940,365
UC-Davis,834,1792,213,505,705,267,1064,425
UC-Irvine,900,2061,220,420,593,420,1443,487
