,School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
8,American 2008,698,1586,260,484,655,321.0,1064,458
11,Arizona 2008,843,1765,221,536,716,281.0,1052,414
15,Arkansas 2008,936,2001,207,514,758,446.0,1274,531
18,Austin Peay 2008,855,1917,273,607,850,362.0,1107,440
20,Baylor 2008,899,1979,275,528,711,384.0,1196,403
21,Belmont 2008,938,2078,357,481,689,424.0,1248,498
24,Boise State 2008,994,1956,271,508,768,335.0,1218,534
29,Brigham Young 2008,906,1970,285,483,737,365.0,1351,492
33,Butler 2008,776,1729,319,468,635,308.0,1016,352
35,Cal State Fullerton 2008,974,2060,285,467,665,391.0,1182,445
54,Clemson 2008,1000,2191,271,422,677,536.0,1305,505
62,Connecticut 2008,868,1880,168,652,905,449.0,1383,451
63,Coppin State 2008,775,1940,147,515,721,409.0,1158,539
64,Cornell 2008,758,1562,228,392,515,258.0,939,381
67,Davidson 2008,1032,2199,328,411,573,417.0,1302,426
74,Drake 2008,816,1829,310,498,656,399.0,1128,390
76,Duke 2008,964,2084,308,594,852,426.0,1255,462
97,George Mason 2008,827,1778,205,497,707,340.0,1170,406
99,Georgetown 2008,855,1744,269,388,593,335.0,1190,458
103,Georgia 2008,840,1956,204,430,633,451.0,1295,505
104,Gonzaga 2008,892,1838,220,520,730,369.0,1235,473
122,Indiana 2008,839,1814,221,577,760,386.0,1247,449
132,Kansas State 2008,916,2067,210,532,774,539.0,1362,501
133,Kansas 2008,1176,2314,271,598,852,482.0,1547,529
134,Kent State 2008,839,1809,202,532,745,385.0,1166,516
135,Kentucky 2008,735,1566,182,472,644,301.0,1038,490
149,Louisville 2008,932,2011,272,475,734,413.0,1338,491
156,Marquette 2008,929,2082,246,554,785,474.0,1287,451
158,Maryland-Baltimore County 2008,869,1928,248,464,640,371.0,1126,318
163,Memphis 2008,1143,2454,302,608,991,565.0,1620,470
165,Miami (FL) 2008,867,1985,236,572,766,433.0,1293,454
167,Michigan State 2008,949,1976,179,487,661,440.0,1330,490
172,Mississippi State 2008,885,1922,235,484,749,410.0,1385,509
173,Mississippi Valley State 2008,698,1755,147,493,727,389.0,1107,473
183,Mount St. Mary's 2008,822,1856,204,505,718,345.0,1152,486
187,Nevada-Las Vegas 2008,844,1999,264,488,653,356.0,1209,379
201,North Carolina 2008,1250,2564,216,738,975,605.0,1695,560
210,Notre Dame 2008,914,2015,274,506,686,436.0,1371,429
215,Oklahoma 2008,831,1880,220,496,728,391.0,1240,451
217,Oral Roberts 2008,785,1783,223,489,730,371.0,1182,431
219,Oregon 2008,858,1788,279,455,656,327.0,1093,402
224,Pittsburgh 2008,997,2185,225,512,768,533.0,1399,445
225,Portland State 2008,846,1822,294,452,668,381.0,1129,484
230,Purdue 2008,806,1900,253,502,705,389.0,1124,436
242,Saint Joseph's 2008,859,1800,247,519,715,337.0,1086,432
244,Saint Mary's (CA) 2008,845,1843,254,477,722,385.0,1215,439
249,San Diego 2008,868,1925,177,452,673,384.0,1206,538
255,Siena 2008,928,2058,239,518,752,390.0,1148,385
256,South Alabama 2008,840,1774,220,578,821,404.0,1221,457
262,Southern California 2008,820,1710,184,453,661,305.0,1106,482
271,Stanford 2008,901,2008,199,552,795,478.0,1409,442
276,Temple 2008,857,1829,266,477,645,302.0,1108,432
280,Tennessee 2008,1035,2258,312,564,856,501.0,1358,474
282,Texas A&M 2008,909,1945,211,519,820,424.0,1402,458
283,Texas-Arlington 2008,868,1820,201,485,741,352.0,1249,565
291,Texas 2008,1032,2285,309,495,725,496.0,1448,359
297,UCLA 2008,1029,2164,214,595,813,492.0,1432,491
301,Vanderbilt 2008,928,1995,303,562,765,359.0,1197,494
303,Villanova 2008,868,2013,242,569,783,457.0,1257,503
310,Washington State 2008,815,1716,214,481,661,274.0,1044,358
313,West Virginia 2008,983,2169,264,539,782,453.0,1332,413
316,Western Kentucky 2008,993,2106,270,529,755,455.0,1262,514
320,Winthrop 2008,795,1814,217,398,673,393.0,1195,439
321,Wisconsin 2008,841,1872,212,527,747,419.0,1292,438
325,Xavier 2008,936,1973,282,626,836,412.0,1322,480
