,School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
6,Albany (NY) 2007,798,1762,227,418,579,364.0,1112,437
11,Arizona 2007,846,1770,172,553,737,380.0,1158,427
15,Arkansas 2007,881,1910,212,513,730,392.0,1233,532
21,Belmont 2007,848,1836,288,406,587,373.0,1228,528
25,Boston College 2007,842,1763,196,573,791,394.0,1142,455
29,Brigham Young 2007,972,1981,256,454,688,414.0,1273,456
33,Butler 2007,780,1792,321,553,728,326.0,1068,341
44,Central Connecticut State 2007,790,1822,262,502,688,401.0,1180,481
64,Creighton 2007,740,1662,205,535,710,340.0,1080,417
66,Davidson 2007,969,2157,328,499,663,465.0,1378,495
75,Duke 2007,822,1754,198,481,698,379.0,1165,509
80,Eastern Kentucky 2007,782,1691,264,323,475,280.0,930,446
87,Florida A&M 2007,846,1881,209,566,855,,1291,623
91,Florida 2007,1125,2138,297,646,936,447.0,1504,565
97,George Washington 2007,824,1799,171,428,611,389.0,1090,444
98,Georgetown 2007,923,1826,235,474,667,409.0,1250,497
101,Georgia Tech 2007,935,1909,201,444,652,445.0,1166,503
103,Gonzaga 2007,933,1932,230,572,762,353.0,1271,473
112,Holy Cross 2007,738,1695,191,504,687,386.0,1091,521
119,Illinois 2007,790,1830,241,424,680,437.0,1231,491
121,Indiana 2007,783,1755,252,428,603,375.0,1082,396
127,Jackson State 2007,878,2107,194,540,759,470.0,1250,537
132,Kansas 2007,1106,2241,231,535,811,486.0,1507,539
134,Kentucky 2007,890,1868,231,485,690,370.0,1235,493
141,Long Beach State 2007,906,1994,273,490,698,410.0,1171,445
147,Louisville 2007,845,1946,250,493,727,456.0,1249,434
154,Marquette 2007,851,1951,217,524,783,488.0,1251,496
158,Maryland 2007,971,2032,196,547,787,437.0,1325,544
161,Memphis 2007,1024,2249,278,592,953,550.0,1468,493
164,Miami (OH) 2007,720,1565,169,353,498,260.0,998,434
165,Michigan State 2007,806,1718,182,482,671,394.0,1217,521
185,Nevada-Las Vegas 2007,979,2202,289,525,733,460.0,1293,410
186,Nevada 2007,949,1961,253,481,636,399.0,1300,451
188,New Mexico State 2007,906,1890,199,641,975,459.0,1285,573
191,Niagara 2007,889,2125,274,602,824,517.0,1342,473
199,North Carolina 2007,1187,2379,215,669,940,522.0,1551,524
200,North Texas 2007,926,2030,226,539,821,484.0,1356,537
207,Notre Dame 2007,869,1893,287,567,763,405.0,1229,414
209,Ohio State 2007,1029,2178,287,560,797,433.0,1390,443
213,Old Dominion 2007,788,1828,235,479,663,400.0,1208,406
214,Oral Roberts 2007,824,1767,204,588,827,372.0,1204,513
216,Oregon 2007,963,2131,350,531,698,432.0,1273,461
219,Pennsylvania 2007,836,1712,188,437,658,324.0,1024,433
221,Pittsburgh 2007,961,2035,229,486,735,445.0,1320,441
227,Purdue 2007,843,1834,219,471,695,388.0,1121,475
259,Southern California 2007,946,1988,207,557,779,349.0,1277,540
260,Southern Illinois 2007,762,1702,224,518,748,346.0,1076,504
268,Stanford 2007,778,1738,174,426,625,395.0,1193,459
277,Tennessee 2007,981,2189,327,542,830,473.0,1254,496
278,Texas A&M-Corpus Christi 2007,912,1747,192,599,847,374.0,1173,537
279,Texas A&M 2007,908,1823,215,539,753,345.0,1209,415
287,Texas Tech 2007,842,1858,208,545,737,321.0,1042,396
288,Texas 2007,963,2164,308,626,850,482.0,1391,434
294,UCLA 2007,923,1922,240,417,630,386.0,1158,440
298,Vanderbilt 2007,904,1984,317,469,643,346.0,1146,422
300,Villanova 2007,775,1827,248,594,761,438.0,1196,450
301,Virginia Commonwealth 2007,901,1971,244,580,797,427.0,1165,394
303,Virginia Tech 2007,886,1894,163,493,747,366.0,1131,371
304,Virginia 2007,812,1860,257,582,784,422.0,1248,437
307,Washington State 2007,826,1777,196,425,593,271.0,1043,355
309,Weber State 2007,772,1579,180,542,807,307.0,1050,515
317,Winthrop 2007,923,1935,278,421,675,422.0,1279,445
318,Wisconsin 2007,867,1886,210,583,848,404.0,1258,407
320,Wright State 2007,766,1750,180,413,564,334.0,1060,400
322,Xavier 2007,849,1784,269,628,847,367.0,1146,430
