,School,SOS,opp_FG,opp_FGA,opp_3P,opp_FT,opp_FTA,opp_ORB,opp_TRB,opp_TOV
5,Alabama 2012,7.18,666,1711,164,422,654,373,1072,442
20,Baylor 2012,8.03,883,2114,232,485,706,428,1181,535
21,Belmont 2012,-1.22,850,1981,207,456,694,402,1163,506
29,Brigham Young 2012,1.55,841,2029,229,447,671,348,1213,554
43,University of California 2012,4.53,786,1893,186,346,505,315,1037,438
54,Cincinnati 2012,6.28,849,2063,207,371,542,443,1324,518
61,Colorado State 2012,5.23,738,1696,230,471,669,309,971,383
62,Colorado 2012,5.73,812,2009,229,416,642,366,1182,444
64,Connecticut 2012,8.07,785,2034,245,378,514,457,1185,372
67,Creighton 2012,3.41,903,2049,228,405,600,328,1068,361
69,Davidson 2012,-1.68,781,1830,170,506,758,315,1072,409
75,Detroit Mercy 2012,-0.01,842,1915,244,504,719,381,1160,544
78,Duke 2012,8.4,864,1996,153,453,657,395,1159,434
94,Florida State 2012,7.62,749,1965,221,482,674,430,1168,531
95,Florida 2012,7.33,875,2068,226,428,618,391,1217,464
102,Georgetown 2012,7.69,683,1766,164,429,631,360,1017,424
107,Gonzaga 2012,3.25,771,1867,198,346,514,332,1011,428
112,Harvard 2012,-1.56,637,1555,143,307,467,273,877,388
126,Indiana 2012,7.8,847,1988,219,479,682,391,1094,482
127,Iona 2012,-1.82,885,1962,237,393,565,379,1126,530
128,Iowa State 2012,7.32,864,1977,193,365,523,316,1092,395
136,Kansas State 2012,7.53,716,1750,178,504,731,385,1070,526
137,Kansas 2012,9.93,826,2176,236,519,721,419,1256,533
140,Kentucky 2012,7.93,889,2379,219,426,614,487,1286,464
143,Lamar 2012,-3.77,838,1989,177,443,659,385,1202,495
144,Lehigh 2012,-5.14,808,1952,206,466,661,369,1202,504
147,Long Beach State 2012,0.87,804,1909,207,360,519,373,1109,513
148,Long Island University 2012,-5.1,1039,2313,209,354,510,470,1233,469
154,Louisville 2012,9.02,857,2233,218,508,766,509,1441,621
157,Loyola (MD) 2012,-2.72,739,1723,168,474,688,363,1062,473
161,Marquette 2012,7.5,831,2065,213,433,632,468,1275,577
168,Memphis 2012,5.26,751,1945,188,518,745,424,1152,492
172,Michigan State 2012,9.82,751,1981,214,479,681,364,1106,465
173,Michigan 2012,8.98,756,1768,203,375,526,329,1076,424
178,Mississippi Valley State 2012,-7.65,801,1851,233,510,780,386,1282,564
182,Missouri 2012,5.68,869,1956,222,361,534,380,1109,501
185,Montana 2012,-3.39,684,1688,165,452,646,346,1071,478
189,Murray State 2012,-2.6,730,1749,140,401,607,382,1053,546
192,Nevada-Las Vegas 2012,4.37,817,1991,217,456,678,383,1218,539
195,New Mexico State 2012,0.08,896,2085,213,454,673,382,1125,524
196,New Mexico 2012,3.34,731,1903,213,401,594,351,1093,499
200,Norfolk State 2012,-5.39,842,2044,210,522,778,431,1241,504
201,North Carolina-Asheville 2012,-2.72,865,1949,234,462,695,415,1133,539
205,North Carolina State 2012,6.8,889,2140,236,487,687,414,1232,461
207,North Carolina 2012,7.07,957,2431,275,360,529,425,1313,507
219,Notre Dame 2012,6.47,791,1912,168,345,489,381,1167,367
221,Ohio State 2012,9.07,840,2062,234,419,599,327,1159,577
222,Ohio 2012,0.17,775,1880,198,563,787,416,1297,644
240,Purdue 2012,8.05,826,1870,216,442,632,352,1192,440
253,Saint Louis 2012,4.06,691,1668,134,444,618,309,1059,500
254,Saint Mary's (CA) 2012,0.78,771,1802,176,350,523,298,973,393
258,San Diego State 2012,3.79,778,1921,234,376,545,320,1103,435
271,South Dakota State 2012,-1.87,871,1942,199,388,564,327,1127,455
273,South Florida 2012,7.29,721,1866,179,416,589,373,1093,397
280,Southern Mississippi 2012,3.61,766,1727,179,501,689,295,1091,486
283,St. Bonaventure 2012,2.84,719,1723,185,458,642,328,967,400
290,Syracuse 2012,8.02,795,2064,235,432,639,541,1348,591
291,Temple 2012,4.94,806,1855,181,432,615,364,1088,428
306,Texas 2012,8.12,774,1862,199,523,772,409,1134,460
317,Vanderbilt 2012,8.04,861,2055,206,411,587,407,1189,451
318,Vermont 2012,-5.19,783,1930,191,436,643,387,1155,452
320,Virginia Commonwealth 2012,0.63,762,1796,174,456,660,393,1268,644
323,Virginia 2012,4.23,636,1589,149,314,495,266,946,413
329,West Virginia 2012,7.53,815,1816,179,385,567,331,1043,444
332,Western Kentucky 2012,0.51,839,1940,163,542,755,395,1264,510
334,Wichita State 2012,3.8,729,1856,186,416,603,321,1034,422
337,Wisconsin 2012,8.24,708,1819,129,370,542,331,1122,388
341,Xavier 2012,6.22,828,2062,224,542,732,397,1228,452
