,School,opp_ORB,opp_DRB
1,Akron 2011,425,920
3,Alabama-Birmingham 2011,333,702
4,Alabama State 2011,406,829
11,Arizona 2011,375,792
12,Little Rock 2011,376,884
21,Belmont 2011,382,755
26,Boston University 2011,435,802
29,Brigham Young 2011,395,925
32,Bucknell 2011,359,803
34,Butler 2011,351,869
42,UC-Santa Barbara 2011,356,700
55,Cincinnati 2011,351,737
57,Clemson 2011,382,740
65,Connecticut 2011,546,901
79,Duke 2011,473,826
95,Florida State 2011,403,764
96,Florida 2011,393,788
101,George Mason 2011,376,741
103,Georgetown 2011,361,638
107,Georgia 2011,388,698
108,Gonzaga 2011,359,727
111,Hampton 2011,449,868
125,Illinois 2011,384,738
126,Indiana State 2011,348,786
137,Kansas State 2011,350,708
138,Kansas 2011,397,775
141,Kentucky 2011,431,854
149,Long Island University 2011,428,802
155,Louisville 2011,455,813
162,Marquette 2011,433,808
169,Memphis 2011,445,772
173,Michigan State 2011,347,772
174,Michigan 2011,335,843
183,Missouri 2011,439,827
187,Morehead State 2011,313,679
193,Nevada-Las Vegas 2011,363,743
202,North Carolina-Asheville 2011,440,806
208,North Carolina 2011,454,889
215,Northern Colorado 2011,305,690
220,Notre Dame 2011,372,739
221,Oakland 2011,430,762
222,Ohio State 2011,341,755
226,Old Dominion 2011,326,631
231,Penn State 2011,316,709
234,Pittsburgh 2011,350,643
239,Princeton 2011,289,686
241,Purdue 2011,349,794
246,Richmond 2011,441,859
256,Saint Peter's 2011,431,812
259,San Diego State 2011,381,765
277,Southern California 2011,324,798
286,St. John's (NY) 2011,354,735
291,Syracuse 2011,442,740
292,Temple 2011,340,792
296,Tennessee 2011,388,765
298,Texas A&M 2011,321,667
303,Texas-San Antonio 2011,413,827
307,Texas 2011,423,800
313,UCLA 2011,396,720
314,Utah State 2011,319,688
318,Vanderbilt 2011,419,753
320,Villanova 2011,356,720
321,Virginia Commonwealth 2011,496,959
328,Washington 2011,412,807
330,West Virginia 2011,417,699
338,Wisconsin 2011,273,735
339,Wofford 2011,353,720
342,Xavier 2011,308,683
