Rk,School,SOS,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
100,Furman,-3.64,942,2006,338,397,557,316,1157,382
101,Gardner-Webb,-3.79,822,1850,236,378,526,298,1141,437
102,George Mason,0.83,841,1949,230,459,619,329,1213,425
103,George Washington,2.13,832,1861,180,381,537,350,1120,419
104,Georgetown,5.29,800,1763,226,524,676,325,1151,458
105,Georgia Southern,-3.28,857,1992,267,523,789,402,1248,372
106,Georgia State NCAA,-2.78,937,2033,323,417,615,303,1182,395
107,Georgia Tech,7.47,753,1770,156,439,616,334,1084,411
108,Georgia,8.87,767,1825,201,512,732,406,1301,420
109,Gonzaga NCAA,2.59,1125,2261,328,513,725,405,1477,420
110,Grambling,-10.30,777,1852,154,547,769,377,1193,477
111,Grand Canyon,-4.81,855,1992,251,551,785,403,1310,450
112,Green Bay,-4.08,859,2027,295,504,670,334,1241,453
113,Hampton,-9.57,970,2173,198,565,727,385,1372,440
114,Hartford,-5.26,835,1840,270,386,569,274,1100,402
115,Harvard,-1.70,764,1775,257,397,512,284,1115,445
116,Hawaii,-2.50,721,1630,202,460,670,267,995,402
117,High Point,-6.37,775,1691,163,413,588,322,1039,375
118,Hofstra,-1.60,868,1868,260,468,686,339,1103,334
119,Holy Cross,-5.83,724,1569,203,321,465,178,880,381
120,Houston Baptist,-3.96,860,2058,219,443,710,471,1219,438
121,Houston NCAA,4.16,952,2066,297,484,674,404,1352,418
122,Howard,-9.75,847,1997,268,487,688,369,1153,442
123,Idaho State,-3.70,778,1639,252,403,594,202,962,408
124,Idaho,-3.94,819,1749,277,415,565,307,1138,411
125,Illinois-Chicago,-4.21,951,2115,242,564,768,368,1384,544
126,Illinois State,3.67,813,1917,301,437,640,315,1171,438
127,Illinois,7.53,856,1949,236,478,653,398,1053,425
128,Incarnate Word,-5.04,671,1566,166,470,630,279,976,442
129,Indiana State,2.43,762,1803,270,454,644,321,1124,445
130,Indiana,8.25,806,1767,194,423,644,345,1099,386
131,Iona NCAA,-2.19,957,2076,324,462,626,290,1146,395
132,Iowa State,9.49,817,1870,234,390,557,338,1134,369
133,Iowa,7.13,946,1975,252,486,699,391,1258,441
134,Fort Wayne,-3.24,953,2073,339,471,654,315,1157,391
135,IUPUI,-3.53,731,1723,213,372,559,347,1022,427
136,Jackson State,-10.49,714,1921,238,325,497,401,1087,368
137,Jacksonville State,-4.87,954,2091,211,468,657,406,1371,469
