"","Rank","Team","FG","FGA","X3P","FT","FTA","ORB","DRB","TOV","Opp.FG","Opp.FGA","Opp.3P","Opp.FT","Opp.FTA","Opp.ORB","Opp.DRB","Opp.TOV","Win.","eFG","OeFG","TOVp","oTOVp","ORBp","DRBp","FTp","oFTp"
"2320",2320,"howard",30,65,10,11,15,13,20,15,22,53,2,18,27,13,18,20,1,0.538,0.434,0.157,0.199,0.419,0.526,0.169,0.169
"2321",2321,"indiana-kokomo",24,65,10,5,5,6,21,25,41,72,6,11,17,10,33,18,0,0.446,0.611,0.262,0.168,0.154,0.389,0.077,0.077
"2322",2322,"ipfw",41,72,6,11,17,10,33,18,24,65,10,5,5,6,21,25,1,0.611,0.446,0.168,0.262,0.323,0.611,0.153,0.153
"2323",2323,"bethune-cookman",23,67,8,23,28,18,27,12,24,65,5,13,22,15,28,17,1,0.403,0.408,0.112,0.163,0.391,0.491,0.343,0.343
"2324",2324,"jacksonville",24,65,5,13,22,15,28,17,23,67,8,23,28,18,27,12,0,0.408,0.403,0.163,0.112,0.357,0.509,0.2,0.2
"2325",2325,"hartford",29,63,10,10,18,11,24,13,27,51,8,17,30,6,28,13,0,0.54,0.608,0.138,0.138,0.282,0.462,0.159,0.159
"2326",2326,"long-island-university",27,51,8,17,30,6,28,13,29,63,10,10,18,11,24,13,1,0.608,0.54,0.138,0.138,0.2,0.538,0.333,0.333
"2327",2327,"notre-dame",24,54,8,7,10,3,15,10,31,60,9,10,14,13,26,13,0,0.519,0.592,0.134,0.149,0.103,0.366,0.13,0.13
"2328",2328,"michigan-state",31,60,9,10,14,13,26,13,24,54,8,7,10,3,15,10,1,0.592,0.519,0.149,0.134,0.464,0.634,0.167,0.167
"2329",2329,"north-dakota-state",22,57,10,5,8,7,20,14,31,60,10,11,17,10,28,11,0,0.474,0.6,0.176,0.124,0.2,0.417,0.088,0.088
"2330",2330,"mississippi-state",31,60,10,11,17,10,28,11,22,57,10,5,8,7,20,14,1,0.6,0.474,0.124,0.176,0.333,0.583,0.183,0.183
"2331",2331,"christendom",15,49,8,0,4,1,19,27,46,87,8,16,19,21,34,6,0,0.388,0.575,0.336,0.053,0.029,0.358,0,0
"2332",2332,"north-carolina-central",46,87,8,16,19,21,34,6,15,49,8,0,4,1,19,27,1,0.575,0.388,0.053,0.336,0.525,0.642,0.184,0.184
"2333",2333,"harvard",22,53,3,14,18,7,23,12,27,56,9,14,24,11,24,7,0,0.443,0.562,0.144,0.08,0.226,0.489,0.264,0.264
"2334",2334,"northeastern",27,56,9,14,24,11,24,7,22,53,3,14,18,7,23,12,1,0.562,0.443,0.08,0.144,0.324,0.511,0.25,0.25
"2335",2335,"texas-southern",33,71,7,14,17,8,25,14,34,67,7,22,26,7,29,8,0,0.514,0.56,0.137,0.079,0.216,0.463,0.197,0.197
"2336",2336,"oakland",34,67,7,22,26,7,29,8,33,71,7,14,17,8,25,14,1,0.56,0.514,0.079,0.137,0.219,0.537,0.328,0.328
"2337",2337,"st-thomas-tx",19,46,9,7,18,7,16,25,26,55,7,18,24,10,22,18,0,0.511,0.536,0.28,0.185,0.241,0.421,0.152,0.152
"2338",2338,"sam-houston-state",26,55,7,18,24,10,22,18,19,46,9,7,18,7,16,25,1,0.536,0.511,0.185,0.28,0.385,0.579,0.327,0.327
"2339",2339,"carver-bible",23,63,4,10,15,7,25,26,35,83,11,17,24,18,32,16,0,0.397,0.488,0.249,0.13,0.179,0.439,0.159,0.159
"2340",2340,"savannah-state",35,83,11,17,24,18,32,16,23,63,4,10,15,7,25,26,1,0.488,0.397,0.13,0.249,0.419,0.561,0.205,0.205
"2341",2341,"new-rochelle",25,70,10,19,25,11,19,11,38,86,10,18,22,22,34,9,0,0.429,0.5,0.103,0.077,0.244,0.358,0.271,0.271
"2342",2342,"st-francis-ny",38,86,10,18,22,22,34,9,25,70,10,19,25,11,19,11,1,0.5,0.429,0.077,0.103,0.537,0.642,0.209,0.209
"2343",2343,"campbell",29,55,9,18,24,7,32,15,30,70,9,9,15,8,22,6,1,0.609,0.493,0.159,0.066,0.241,0.593,0.327,0.327
"2344",2344,"stetson",30,70,9,9,15,8,22,6,29,55,9,18,24,7,32,15,0,0.493,0.609,0.066,0.159,0.2,0.407,0.129,0.129
"2345",2345,"njit",23,57,6,17,23,8,25,18,35,71,14,18,24,13,28,12,0,0.456,0.592,0.183,0.112,0.222,0.472,0.298,0.298
"2346",2346,"west-virginia",35,71,14,18,24,13,28,12,23,57,6,17,23,8,25,18,1,0.592,0.456,0.112,0.183,0.342,0.528,0.254,0.254
"2347",2347,"memphis",22,52,8,4,10,8,20,12,24,61,5,18,21,9,22,5,0,0.5,0.434,0.161,0.057,0.267,0.476,0.077,0.077
"2348",2348,"alabama-birmingham",24,61,5,18,21,9,22,5,22,52,8,4,10,8,20,12,1,0.434,0.5,0.057,0.161,0.31,0.524,0.295,0.295
"2349",2349,"north-carolina-wilmington",35,75,8,10,17,13,27,14,34,71,5,20,27,11,26,10,0,0.52,0.514,0.132,0.092,0.333,0.509,0.133,0.133
"2350",2350,"east-carolina",34,71,5,20,27,11,26,10,35,75,8,10,17,13,27,14,1,0.514,0.52,0.092,0.132,0.289,0.491,0.282,0.282
"2351",2351,"alabama-state",22,62,5,20,22,11,17,12,30,56,4,13,19,11,24,16,0,0.395,0.571,0.124,0.175,0.314,0.415,0.323,0.323
"2352",2352,"jacksonville-state",30,56,4,13,19,11,24,16,22,62,5,20,22,11,17,12,1,0.571,0.395,0.175,0.124,0.393,0.585,0.232,0.232
"2353",2353,"south-dakota",29,62,4,20,27,10,32,12,21,56,6,15,21,3,22,13,1,0.5,0.429,0.118,0.144,0.312,0.593,0.323,0.323
"2354",2354,"missouri-kansas-city",21,56,6,15,21,3,22,13,29,62,4,20,27,10,32,12,0,0.429,0.5,0.144,0.118,0.086,0.407,0.268,0.268
"2355",2355,"north-texas",29,58,13,1,2,7,22,12,32,59,10,8,12,8,20,7,0,0.612,0.627,0.166,0.089,0.259,0.524,0.017,0.017
"2356",2356,"oklahoma",32,59,10,8,12,8,20,7,29,58,13,1,2,7,22,12,1,0.627,0.612,0.089,0.166,0.267,0.476,0.136,0.136
"2357",2357,"texas-pan-american",22,70,5,11,13,10,23,9,26,55,8,18,30,10,36,13,0,0.35,0.545,0.097,0.132,0.217,0.39,0.157,0.157
"2358",2358,"texas-am",26,55,8,18,30,10,36,13,22,70,5,11,13,10,23,9,1,0.545,0.35,0.132,0.097,0.303,0.61,0.327,0.327
"2359",2359,"ottawa",21,71,8,14,22,5,24,19,45,90,12,23,29,15,45,11,0,0.352,0.567,0.169,0.084,0.1,0.348,0.197,0.197
"2360",2360,"texas-san-antonio",45,90,12,23,29,15,45,11,21,71,8,14,22,5,24,19,1,0.567,0.352,0.084,0.169,0.385,0.652,0.256,0.256
"2361",2361,"missouri",25,55,8,4,8,11,20,8,23,52,6,7,12,9,21,13,1,0.527,0.5,0.112,0.168,0.344,0.488,0.073,0.073
"2362",2362,"central-florida",23,52,6,7,12,9,21,13,25,55,8,4,8,11,20,8,0,0.5,0.527,0.168,0.112,0.31,0.512,0.135,0.135
"2363",2363,"south-carolina",22,58,6,10,12,10,18,17,29,60,4,14,21,9,21,11,0,0.431,0.517,0.194,0.119,0.323,0.462,0.172,0.172
"2364",2364,"temple",29,60,4,14,21,9,21,11,22,58,6,10,12,10,18,17,1,0.517,0.431,0.119,0.194,0.333,0.538,0.233,0.233
"2365",2365,"pacific",22,53,5,8,13,10,28,16,21,61,5,8,12,7,21,14,1,0.462,0.385,0.194,0.16,0.323,0.571,0.151,0.151
"2366",2366,"california-riverside",21,61,5,8,12,7,21,14,22,53,5,8,13,10,28,16,0,0.385,0.462,0.16,0.194,0.2,0.429,0.131,0.131
"2367",2367,"weber-state",26,48,10,9,10,3,21,20,28,54,5,22,29,8,16,12,0,0.646,0.565,0.255,0.126,0.158,0.568,0.188,0.188
"2368",2368,"fresno-state",28,54,5,22,29,8,16,12,26,48,10,9,10,3,21,20,1,0.565,0.646,0.126,0.255,0.276,0.432,0.407,0.407
"2369",2369,"multnomah",23,77,12,7,7,8,23,11,47,78,10,8,12,7,41,7,0,0.377,0.667,0.115,0.072,0.163,0.359,0.091,0.091
"2370",2370,"portland",47,78,10,8,12,7,41,7,23,77,12,7,7,8,23,11,1,0.667,0.377,0.072,0.115,0.233,0.641,0.103,0.103
"2371",2371,"northern-arizona",18,46,4,17,25,5,22,20,32,59,17,8,13,7,24,12,0,0.435,0.686,0.219,0.142,0.172,0.478,0.37,0.37
"2372",2372,"santa-clara",32,59,17,8,13,7,24,12,18,46,4,17,25,5,22,20,1,0.686,0.435,0.142,0.219,0.241,0.522,0.136,0.136
"2373",2373,"kennesaw-state",18,51,3,15,24,8,15,11,26,57,4,10,10,9,24,12,0,0.382,0.491,0.127,0.151,0.25,0.385,0.294,0.294
"2374",2374,"seattle",26,57,4,10,10,9,24,12,18,51,3,15,24,8,15,11,1,0.491,0.382,0.151,0.127,0.375,0.615,0.175,0.175
"2375",2375,"new-mexico-state",30,56,8,12,18,8,35,21,21,56,4,14,25,7,16,18,1,0.607,0.411,0.22,0.181,0.333,0.686,0.214,0.214
"2376",2376,"texas-el-paso",21,56,4,14,25,7,16,18,30,56,8,12,18,8,35,21,0,0.411,0.607,0.181,0.22,0.167,0.314,0.25,0.25
"2377",2377,"san-diego-state",21,45,3,21,28,5,30,17,23,61,7,4,7,5,22,11,1,0.5,0.434,0.188,0.138,0.185,0.577,0.467,0.467
"2378",2378,"san-diego",23,61,7,4,7,5,22,11,21,45,3,21,28,5,30,17,0,0.434,0.5,0.138,0.188,0.143,0.423,0.066,0.066
"2379",2379,"holy-cross",22,49,5,5,7,8,12,14,22,47,8,18,24,13,17,14,0,0.5,0.553,0.199,0.164,0.32,0.414,0.102,0.102
"2380",2380,"manhattan",22,47,8,18,24,13,17,14,22,49,5,5,7,8,12,14,1,0.553,0.5,0.164,0.199,0.52,0.586,0.383,0.383
"2381",2381,"towson",25,53,4,13,16,5,26,10,18,50,9,15,20,5,20,12,1,0.509,0.45,0.126,0.146,0.2,0.565,0.245,0.245
"2382",2382,"la-salle",18,50,9,15,20,5,20,12,25,53,4,13,16,5,26,10,0,0.45,0.509,0.146,0.126,0.161,0.435,0.3,0.3
"2383",2383,"marist",35,63,18,12,17,5,33,19,32,79,15,12,17,8,22,12,1,0.698,0.5,0.191,0.111,0.185,0.6,0.19,0.19
"2384",2384,"citadel",32,79,15,12,17,8,22,12,35,63,18,12,17,5,33,19,0,0.5,0.698,0.111,0.191,0.195,0.4,0.152,0.152
"2385",2385,"army",30,58,10,11,17,8,22,18,22,56,11,15,24,11,18,17,1,0.603,0.491,0.193,0.174,0.308,0.55,0.19,0.19
"2386",2386,"maryland-baltimore-county",22,56,11,15,24,11,18,17,30,58,10,11,17,8,22,18,0,0.491,0.603,0.174,0.193,0.333,0.45,0.268,0.268
"2387",2387,"jackson-state",25,64,8,5,5,12,16,12,23,44,8,16,19,6,23,17,0,0.453,0.614,0.147,0.211,0.343,0.41,0.078,0.078
"2388",2388,"central-michigan",23,44,8,16,19,6,23,17,25,64,8,5,5,12,16,12,1,0.614,0.453,0.211,0.147,0.273,0.59,0.364,0.364
"2389",2389,"grambling",24,54,6,8,12,8,28,16,21,54,10,11,22,9,21,13,1,0.5,0.481,0.194,0.145,0.276,0.571,0.148,0.148
"2390",2390,"georgia-tech",21,54,10,11,22,9,21,13,24,54,6,8,12,8,28,16,0,0.481,0.5,0.145,0.194,0.243,0.429,0.204,0.204
"2391",2391,"johnson-wales-nc",22,70,6,4,10,11,22,19,35,64,2,18,28,9,34,12,0,0.357,0.562,0.191,0.115,0.244,0.393,0.057,0.057
"2392",2392,"high-point",35,64,2,18,28,9,34,12,22,70,6,4,10,11,22,19,1,0.562,0.357,0.115,0.191,0.29,0.607,0.281,0.281
"2393",2393,"purdue",27,53,9,17,19,6,27,9,22,63,10,21,26,14,19,7,1,0.594,0.429,0.111,0.073,0.24,0.587,0.321,0.321
"2394",2394,"maryland",22,63,10,21,26,14,19,7,27,53,9,17,19,6,27,9,0,0.429,0.594,0.073,0.111,0.341,0.413,0.333,0.333
"2395",2395,"delaware",26,55,10,14,21,7,18,11,23,45,10,26,35,7,23,12,0,0.564,0.622,0.126,0.13,0.233,0.439,0.255,0.255
"2396",2396,"navy",23,45,10,26,35,7,23,12,26,55,10,14,21,7,18,11,1,0.622,0.564,0.13,0.126,0.28,0.561,0.578,0.578
"2397",2397,"coppin-state",13,61,3,8,11,8,26,15,29,69,8,14,18,12,36,10,0,0.238,0.478,0.172,0.103,0.182,0.419,0.131,0.131
"2398",2398,"ohio",29,69,8,14,18,12,36,10,13,61,3,8,11,8,26,15,1,0.478,0.238,0.103,0.172,0.316,0.581,0.203,0.203
"2399",2399,"duquesne",23,58,7,11,15,11,19,11,30,56,9,7,11,7,23,8,0,0.457,0.616,0.13,0.106,0.324,0.452,0.19,0.19
"2400",2400,"pittsburgh",30,56,9,7,11,7,23,8,23,58,7,11,15,11,19,11,1,0.616,0.457,0.106,0.13,0.269,0.548,0.125,0.125
"2401",2401,"edward-waters",20,60,3,9,12,7,20,22,35,69,10,5,9,7,28,13,0,0.358,0.58,0.233,0.142,0.2,0.417,0.15,0.15
"2402",2402,"stetson",35,69,10,5,9,7,28,13,20,60,3,9,12,7,20,22,1,0.58,0.358,0.142,0.233,0.259,0.583,0.072,0.072
"2403",2403,"fairfield",24,60,7,21,29,4,26,8,23,57,10,22,35,10,28,10,0,0.458,0.491,0.082,0.098,0.125,0.481,0.35,0.35
"2404",2404,"wagner",23,57,10,22,35,10,28,10,24,60,7,21,29,4,26,8,1,0.491,0.458,0.098,0.082,0.278,0.519,0.386,0.386
"2405",2405,"rust",17,53,8,8,18,6,25,18,34,63,13,8,18,7,33,16,0,0.396,0.643,0.201,0.164,0.154,0.431,0.151,0.151
"2406",2406,"alcorn-state",34,63,13,8,18,7,33,16,17,53,8,8,18,6,25,18,1,0.643,0.396,0.164,0.201,0.219,0.569,0.127,0.127
"2407",2407,"eastern-illinois",19,58,4,14,22,14,15,11,24,46,6,13,16,8,30,21,0,0.362,0.587,0.12,0.252,0.318,0.333,0.241,0.241
"2408",2408,"bradley",24,46,6,13,16,8,30,21,19,58,4,14,22,14,15,11,1,0.587,0.362,0.252,0.12,0.348,0.667,0.283,0.283
"2409",2409,"north-carolina",32,68,5,16,23,11,34,11,26,64,14,9,10,4,19,7,1,0.507,0.516,0.107,0.086,0.367,0.642,0.235,0.235
"2410",2410,"davidson",26,64,14,9,10,4,19,7,32,68,5,16,23,11,34,11,0,0.516,0.507,0.086,0.107,0.105,0.358,0.141,0.141
"2411",2411,"louisiana-lafayette",32,60,5,36,54,15,36,20,25,74,7,23,37,14,24,10,1,0.575,0.385,0.149,0.082,0.385,0.6,0.6,0.6
"2412",2412,"nicholls-state",25,74,7,23,37,14,24,10,32,60,5,36,54,15,36,20,0,0.385,0.575,0.082,0.149,0.28,0.4,0.311,0.311
"2413",2413,"texas-lutheran",13,47,5,11,15,5,19,20,33,63,4,10,13,9,25,11,0,0.33,0.556,0.243,0.126,0.167,0.432,0.234,0.234
"2414",2414,"texas-am-corpus-christi",33,63,4,10,13,9,25,11,13,47,5,11,15,5,19,20,1,0.556,0.33,0.126,0.243,0.321,0.568,0.159,0.159
"2415",2415,"bethesda-ca",26,65,5,14,20,9,16,15,29,54,13,21,36,12,29,20,0,0.438,0.657,0.149,0.181,0.237,0.356,0.215,0.215
"2416",2416,"idaho-state",29,54,13,21,36,12,29,20,26,65,5,14,20,9,16,15,1,0.657,0.438,0.181,0.149,0.429,0.644,0.389,0.389
"2417",2417,"illinois",22,53,3,21,26,6,30,18,23,59,8,18,21,6,22,17,0,0.443,0.458,0.185,0.174,0.214,0.577,0.396,0.396
"2418",2418,"northwestern",23,59,8,18,21,6,22,17,22,53,3,21,26,6,30,18,1,0.458,0.443,0.174,0.185,0.167,0.423,0.305,0.305
"2419",2419,"boise-state",24,55,7,18,25,10,21,14,27,61,6,10,10,7,20,8,1,0.5,0.492,0.148,0.101,0.333,0.512,0.327,0.327
"2420",2420,"oregon",27,61,6,10,10,7,20,8,24,55,7,18,25,10,21,14,0,0.492,0.5,0.101,0.148,0.25,0.488,0.164,0.164
"2421",2421,"creighton",29,60,12,4,8,3,18,15,31,57,10,19,25,8,27,15,0,0.583,0.632,0.18,0.154,0.1,0.4,0.067,0.067
"2422",2422,"gonzaga",31,57,10,19,25,8,27,15,29,60,12,4,8,3,18,15,1,0.632,0.583,0.154,0.18,0.308,0.6,0.333,0.333
"2423",2423,"holy-cross",20,46,6,8,16,6,23,9,18,50,8,14,18,9,21,6,0,0.5,0.44,0.126,0.081,0.222,0.523,0.174,0.174
"2424",2424,"la-salle",18,50,8,14,18,9,21,6,20,46,6,8,16,6,23,9,1,0.44,0.5,0.081,0.126,0.281,0.477,0.28,0.28
"2425",2425,"indiana",22,55,2,9,14,6,25,10,26,55,11,6,10,4,28,10,0,0.418,0.573,0.126,0.133,0.176,0.472,0.164,0.164
"2426",2426,"michigan",26,55,11,6,10,4,28,10,22,55,2,9,14,6,25,10,1,0.573,0.418,0.133,0.126,0.138,0.528,0.109,0.109
"2427",2427,"south-carolina-state",28,63,6,9,12,7,17,17,41,65,9,12,17,9,26,15,0,0.492,0.7,0.184,0.154,0.212,0.395,0.143,0.143
"2428",2428,"north-carolina-state",41,65,9,12,17,9,26,15,28,63,6,9,12,7,17,17,1,0.7,0.492,0.154,0.184,0.346,0.605,0.185,0.185
"2429",2429,"manhattan",20,47,8,7,9,5,17,19,20,53,2,14,19,13,22,19,0,0.511,0.396,0.252,0.208,0.185,0.436,0.149,0.149
"2430",2430,"towson",20,53,2,14,19,13,22,19,20,47,8,7,9,5,17,19,1,0.396,0.511,0.208,0.252,0.433,0.564,0.264,0.264
"2431",2431,"lehigh",19,47,10,6,7,3,21,16,30,58,9,6,11,7,23,6,0,0.511,0.595,0.227,0.08,0.115,0.477,0.128,0.128
"2432",2432,"virginia",30,58,9,6,11,7,23,6,19,47,10,6,7,3,21,16,1,0.595,0.511,0.08,0.227,0.25,0.523,0.103,0.103
"2433",2433,"cincinnati",29,69,8,10,16,8,18,8,27,57,10,25,30,8,29,15,0,0.478,0.561,0.086,0.146,0.216,0.383,0.145,0.145
"2434",2434,"xavier",27,57,10,25,30,8,29,15,29,69,8,10,16,8,18,8,1,0.561,0.478,0.146,0.086,0.308,0.617,0.439,0.439
"2435",2435,"colorado",24,61,8,7,13,7,21,10,22,54,7,21,29,13,32,10,0,0.459,0.472,0.118,0.107,0.179,0.396,0.115,0.115
"2436",2436,"colorado-state",22,54,7,21,29,13,32,10,24,61,8,7,13,7,21,10,1,0.472,0.459,0.107,0.118,0.382,0.604,0.389,0.389
"2437",2437,"fairleigh-dickinson",30,63,10,5,6,7,32,17,22,66,12,26,33,11,23,8,0,0.556,0.424,0.197,0.074,0.233,0.582,0.079,0.079
"2438",2438,"iona",22,66,12,26,33,11,23,8,30,63,10,5,6,7,32,17,1,0.424,0.556,0.074,0.197,0.256,0.418,0.394,0.394
"2439",2439,"north-carolina-greensboro",24,79,11,17,27,14,31,17,19,58,4,33,42,7,39,20,1,0.373,0.362,0.138,0.166,0.264,0.443,0.215,0.215
"2440",2440,"liberty",19,58,4,33,42,7,39,20,24,79,11,17,27,14,31,17,0,0.362,0.373,0.166,0.138,0.184,0.557,0.569,0.569
"2441",2441,"bryant",21,54,9,8,11,2,18,7,26,60,9,14,16,13,31,9,0,0.472,0.508,0.097,0.105,0.061,0.367,0.148,0.148
"2442",2442,"new-hampshire",26,60,9,14,16,13,31,9,21,54,9,8,11,2,18,7,1,0.508,0.472,0.105,0.097,0.419,0.633,0.233,0.233
"2443",2443,"radford",27,59,6,3,4,10,24,12,17,54,7,9,11,11,20,15,1,0.508,0.38,0.159,0.186,0.333,0.545,0.051,0.051
"2444",2444,"virginia-military-institute",17,54,7,9,11,11,20,15,27,59,6,3,4,10,24,12,0,0.38,0.508,0.186,0.159,0.314,0.455,0.167,0.167
"2445",2445,"iupui",22,58,7,13,15,10,18,18,31,58,10,11,17,9,26,15,0,0.44,0.621,0.197,0.166,0.278,0.409,0.224,0.224
"2446",2446,"ball-state",31,58,10,11,17,9,26,15,22,58,7,13,15,10,18,18,1,0.621,0.44,0.166,0.197,0.333,0.591,0.19,0.19
"2447",2447,"wichita-state",24,53,10,11,17,9,26,12,22,59,5,13,17,11,21,11,1,0.547,0.415,0.146,0.126,0.3,0.553,0.208,0.208
"2448",2448,"baylor",22,59,5,13,17,11,21,11,24,53,10,11,17,9,26,12,0,0.415,0.547,0.126,0.146,0.297,0.447,0.22,0.22
"2449",2449,"green-bay",27,63,10,11,15,3,24,15,29,59,12,16,22,6,33,15,0,0.508,0.593,0.161,0.156,0.083,0.421,0.175,0.175
"2450",2450,"belmont",29,59,12,16,22,6,33,15,27,63,10,11,15,3,24,15,1,0.593,0.508,0.156,0.161,0.2,0.579,0.271,0.271
"2451",2451,"colgate",24,57,10,7,9,4,23,9,26,58,8,16,22,10,29,8,0,0.509,0.517,0.119,0.09,0.121,0.442,0.123,0.123
"2452",2452,"binghamton",26,58,8,16,22,10,29,8,24,57,10,7,9,4,23,9,1,0.517,0.509,0.09,0.119,0.303,0.558,0.276,0.276
"2453",2453,"central-connecticut-state",25,55,7,11,15,13,27,17,20,54,9,13,15,6,17,10,1,0.518,0.454,0.194,0.126,0.433,0.614,0.2,0.2
"2454",2454,"brown",20,54,9,13,15,6,17,10,25,55,7,11,15,13,27,17,0,0.454,0.518,0.126,0.194,0.182,0.386,0.241,0.241
"2455",2455,"st-bonaventure",25,67,5,18,27,12,31,14,19,56,7,17,30,6,27,16,1,0.41,0.402,0.129,0.156,0.308,0.534,0.269,0.269
"2456",2456,"buffalo",19,56,7,17,30,6,27,16,25,67,5,18,27,12,31,14,0,0.402,0.41,0.156,0.129,0.162,0.466,0.304,0.304
"2457",2457,"saint-louis",14,49,4,13,18,5,19,17,26,53,8,15,19,7,28,13,0,0.327,0.566,0.201,0.152,0.152,0.404,0.265,0.265
"2458",2458,"butler",26,53,8,15,19,7,28,13,14,49,4,13,18,5,19,17,1,0.566,0.327,0.152,0.201,0.269,0.596,0.283,0.283
"2459",2459,"youngstown-state",26,60,11,10,19,9,18,20,34,59,6,15,18,4,26,15,0,0.525,0.627,0.201,0.162,0.257,0.409,0.167,0.167
"2460",2460,"depaul",34,59,6,15,18,4,26,15,26,60,11,10,19,9,18,20,1,0.627,0.525,0.162,0.201,0.182,0.591,0.254,0.254
"2461",2461,"oakland-city",20,55,7,9,14,6,16,10,38,57,11,11,17,7,30,11,0,0.427,0.763,0.126,0.129,0.167,0.348,0.164,0.164
"2462",2462,"evansville",38,57,11,11,17,7,30,11,20,55,7,9,14,6,16,10,1,0.763,0.427,0.129,0.126,0.304,0.652,0.193,0.193
"2463",2463,"maine",21,57,6,18,24,10,31,17,22,59,5,18,27,8,26,9,0,0.421,0.415,0.173,0.094,0.278,0.544,0.316,0.316
"2464",2464,"fordham",22,59,5,18,27,8,26,9,21,57,6,18,24,10,31,17,1,0.415,0.421,0.094,0.173,0.205,0.456,0.305,0.305
"2465",2465,"quinnipiac",19,53,6,14,22,10,21,13,22,46,8,27,29,1,28,10,0,0.415,0.565,0.147,0.117,0.263,0.429,0.264,0.264
"2466",2466,"lafayette",22,46,8,27,29,1,28,10,19,53,6,14,22,10,21,13,1,0.565,0.415,0.117,0.147,0.045,0.571,0.587,0.587
"2467",2467,"georgia",24,50,4,21,30,7,28,10,22,62,11,11,14,8,22,11,1,0.52,0.444,0.111,0.126,0.241,0.56,0.42,0.42
"2468",2468,"marquette",22,62,11,11,14,8,22,11,24,50,4,21,30,7,28,10,0,0.444,0.52,0.126,0.111,0.222,0.44,0.177,0.177
"2469",2469,"virginia-tech",25,57,7,26,37,5,28,14,29,73,9,13,24,10,28,12,1,0.5,0.459,0.129,0.11,0.152,0.5,0.456,0.456
"2470",2470,"mississippi",29,73,9,13,24,10,28,12,25,57,7,26,37,5,28,14,0,0.459,0.5,0.11,0.129,0.263,0.5,0.178,0.178
"2471",2471,"robert-morris",27,67,10,10,19,12,19,10,25,52,4,22,27,9,30,16,0,0.478,0.519,0.104,0.168,0.286,0.388,0.149,0.149
"2472",2472,"siena",25,52,4,22,27,9,30,16,27,67,10,10,19,12,19,10,1,0.519,0.478,0.168,0.104,0.321,0.612,0.423,0.423
"2473",2473,"massachusetts",27,59,12,4,5,5,21,17,28,55,3,17,29,8,27,15,0,0.559,0.536,0.209,0.151,0.156,0.438,0.068,0.068
"2474",2474,"south-carolina",28,55,3,17,29,8,27,15,27,59,12,4,5,5,21,17,1,0.536,0.559,0.151,0.209,0.276,0.562,0.309,0.309
"2475",2475,"oakland",27,59,14,10,12,9,27,14,29,62,6,9,12,8,21,10,1,0.576,0.516,0.164,0.118,0.3,0.562,0.169,0.169
"2476",2476,"western-michigan",29,62,6,9,12,8,21,10,27,59,14,10,12,9,27,14,0,0.516,0.576,0.118,0.164,0.229,0.438,0.145,0.145
"2477",2477,"reinhardt",27,69,8,14,17,8,29,17,44,80,11,8,15,10,34,10,0,0.449,0.619,0.164,0.095,0.19,0.46,0.203,0.203
"2478",2478,"winthrop",44,80,11,8,15,10,34,10,27,69,8,14,17,8,29,17,1,0.619,0.449,0.095,0.164,0.256,0.54,0.1,0.1
"2479",2479,"northern-illinois",34,65,11,16,23,11,24,9,25,59,10,17,22,9,21,17,1,0.608,0.508,0.092,0.173,0.344,0.533,0.246,0.246
"2480",2480,"chicago-state",25,59,10,17,22,9,21,17,34,65,11,16,23,11,24,9,0,0.508,0.608,0.173,0.092,0.273,0.467,0.288,0.288
"2481",2481,"maryland-baltimore-county",36,76,16,10,16,18,34,14,24,69,6,18,29,13,22,10,1,0.579,0.391,0.132,0.092,0.45,0.607,0.132,0.132
"2482",2482,"citadel",24,69,6,18,29,13,22,10,36,76,16,10,16,18,34,14,0,0.391,0.579,0.092,0.132,0.277,0.393,0.261,0.261
"2483",2483,"air-force",21,55,7,12,17,7,22,14,19,44,11,10,15,6,29,22,1,0.445,0.557,0.162,0.27,0.194,0.431,0.218,0.218
"2484",2484,"denver",19,44,11,10,15,6,29,22,21,55,7,12,17,7,22,14,0,0.557,0.445,0.27,0.162,0.214,0.569,0.227,0.227
"2485",2485,"south-dakota",30,68,10,10,15,7,14,10,35,63,7,19,25,15,32,19,0,0.515,0.611,0.107,0.177,0.179,0.304,0.147,0.147
"2486",2486,"duke",35,63,7,19,25,15,32,19,30,68,10,10,15,7,14,10,1,0.611,0.515,0.177,0.107,0.517,0.696,0.302,0.302
"2487",2487,"south-carolina-upstate",23,56,10,10,17,5,8,6,29,43,10,19,25,7,31,12,0,0.5,0.791,0.076,0.149,0.139,0.205,0.179,0.179
"2488",2488,"gardner-webb",29,43,10,19,25,7,31,12,23,56,10,10,17,5,8,6,1,0.791,0.5,0.149,0.076,0.467,0.795,0.442,0.442
"2489",2489,"harvard",23,62,12,12,17,11,22,15,26,56,2,25,30,7,28,10,0,0.468,0.482,0.159,0.104,0.282,0.44,0.194,0.194
"2490",2490,"kentucky",26,56,2,25,30,7,28,10,23,62,12,12,17,11,22,15,1,0.482,0.468,0.104,0.159,0.241,0.56,0.446,0.446
"2491",2491,"fayetteville-state",21,68,3,7,8,15,27,10,23,60,7,8,11,11,31,13,0,0.331,0.442,0.116,0.154,0.326,0.466,0.103,0.103
"2492",2492,"longwood",23,60,7,8,11,11,31,13,21,68,3,7,8,15,27,10,1,0.442,0.331,0.154,0.116,0.289,0.534,0.133,0.133
