"","Rank","Team","FG","FGA","X3P","FT","FTA","ORB","DRB","TOV","Opp.FG","Opp.FGA","Opp.3P","Opp.FT","Opp.FTA","Opp.ORB","Opp.DRB","Opp.TOV","Win.","eFG","OeFG","TOVp","oTOVp","ORBp","DRBp","FTp","oFTp"
"372",372,"njit",38,70,13,7,11,9,23,8,27,52,10,16,27,5,25,15,1,0.636,0.615,0.089,0.159,0.265,0.479,0.1,0.1
"373",373,"bryant",27,52,8,10,15,3,25,26,36,79,3,20,26,14,20,7,0,0.596,0.475,0.278,0.062,0.13,0.556,0.192,0.192
"374",374,"north-carolina-state",36,79,3,20,26,14,20,7,27,52,8,10,15,3,25,26,1,0.475,0.596,0.062,0.278,0.359,0.444,0.253,0.253
"375",375,"cleveland-state",16,52,3,3,11,6,24,14,29,65,7,5,11,10,32,8,0,0.337,0.5,0.181,0.095,0.158,0.429,0.058,0.058
"376",376,"rutgers",29,65,7,5,11,10,32,8,16,52,3,3,11,6,24,14,1,0.5,0.337,0.095,0.181,0.294,0.571,0.077,0.077
"377",377,"hardin-simmons",16,56,9,15,22,3,24,22,27,66,6,12,21,16,34,21,0,0.366,0.455,0.219,0.194,0.081,0.414,0.268,0.268
"378",378,"sam-houston-state",27,66,6,12,21,16,34,21,16,56,9,15,22,3,24,22,1,0.455,0.366,0.194,0.219,0.4,0.586,0.182,0.182
"379",379,"iona",22,60,10,8,10,8,16,12,26,54,6,13,22,10,26,15,0,0.45,0.537,0.146,0.164,0.235,0.381,0.133,0.133
"380",380,"syracuse",26,54,6,13,22,10,26,15,22,60,10,8,10,8,16,12,1,0.537,0.45,0.164,0.146,0.385,0.619,0.241,0.241
"381",381,"high-point",19,57,7,8,17,8,19,15,27,57,12,18,23,12,32,16,0,0.395,0.579,0.168,0.166,0.2,0.373,0.14,0.14
